# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.196
metadata : {}


# id : NWRW1800000037.196.1.1
한인 주부-유학생이 홍콩-LA서 원정 성매매 알선

한인	한인/NNG
씨(25·여)를	씨/NNB+(/SS+25/SN+·/SP+여/NNG+)/SS+를/JKO
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.196.4.1
경찰에 따르면 로스앤젤레스 인근의 한 대학에 유학 중인 홍 씨는 2009년 말부터 국내의 유흥업소 종업원 구인사이트에 ‘고수익 알바’ 등의 글을 올리고 자신의 연락처를 남겨 놓았다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
로스앤젤레스	로스앤젤레스/NNP
인근의	인근/NNG+의/JKG
한	한/MMN
대학에	대학/NNG+에/JKB
유학	유학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
홍	홍/NNP
씨는	씨/NNB+는/JX
2009년	2009/SN+년/NNB
말부터	말/NNB+부터/JX
국내의	국내/NNG+의/JKG
유흥업소	유흥업소/NNG
종업원	종업원/NNG
구인사이트에	구인/NNG+사이트/NNG+에/JKB
‘고수익	‘/SS+고/XPN+수익/NNG
알바’	알바/NNG+’/SS
등의	등/NNB+의/JKG
글을	글/NNG+을/JKO
올리고	올리/VV+고/EC
자신의	자신/NNG+의/JKG
연락처를	연락처/NNG+를/JKO
남겨	남기/VV+어/EC
놓았다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.196.4.2
연락해온 여성들이 성매매 의사를 밝히면 프로필 전문 사진사 A 씨의 연락처를 가르쳐 주고 반라 사진도 찍게 했다.

연락해온	연락/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
여성들이	여성/NNG+들/XSN+이/JKS
성매매	성매매/NNG
의사를	의사/NNG+를/JKO
밝히면	밝히/VV+면/EC
프로필	프로필/NNG
전문	전문/NNG
사진사	사진사/NNG
A	A/SL
씨의	씨/NNB+의/JKG
연락처를	연락처/NNG+를/JKO
가르쳐	가르치/VV+어/EC
주고	주/VX+고/EC
반라	반라/NNG
사진도	사진/NNG+도/JX
찍게	찍/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.196.4.3
홍 씨는 A 씨에게서 e메일로 사진을 받아 사전 심사를 한 뒤 성매매 여성들이 미국에 90일 이상 머물 수 있는 비자를 발급받을 수 있도록 허위 통장잔액 증명서와 재학증명서 등을 만들어 보냈다.

홍	홍/NNP
씨는	씨/NNB+는/JX
A	A/SL
씨에게서	씨/NNB+에게서/JKB
e메일로	e/SL+메일/NNG+로/JKB
사진을	사진/NNG+을/JKO
받아	받/VV+아/EC
사전	사전/NNG
심사를	심사/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
성매매	성매매/NNG
여성들이	여성/NNG+들/XSN+이/JKS
미국에	미국/NNP+에/JKB
90일	90/SN+일/NNB
이상	이상/NNG
머물	머물/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비자를	비자/NNG+를/JKO
발급받을	발급/NNG+받/XSV+을/ETM
있도록	있/VA+도록/EC
허위	허위/NNG
통장잔액	통장/NNG+잔액/NNG
증명서와	증명서/NNG+와/JC
재학증명서	재학/NNG+증명서/NNG
등을	등/NNB+을/JKO
만들어	만들/VV+어/EC
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.196.4.4
홍 씨는 로스앤젤레스 인근에 있는 오피스텔 3, 4채를 빌려 성매수 남성들이 이곳으로 와 성매매를 하도록 했다.

홍	홍/NNP
씨는	씨/NNB+는/JX
로스앤젤레스	로스앤젤레스/NNP
인근에	인근/NNG+에/JKB
있는	있/VA+는/ETM
오피스텔	오피스텔/NNG
3,	3/SN+,/SP
4채를	4/SN+채/NNB+를/JKO
빌려	빌리/VV+어/EC
성매수	성/NNG+매수/NNG
남성들이	남성/NNG+들/XSN+이/JKS
이곳으로	이곳/NP+으로/JKB
와	오/VV+아/EC
성매매를	성매매/NNG+를/JKO
하도록	하/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.196.4.5
성매수 남성은 주로 한국 교민이었던 것으로 조사됐다.

성매수	성/NNG+매수/NNG
남성은	남성/NNG+은/JX
주로	주로/MAG
한국	한국/NNP
교민이었던	교민/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.196.5.1
홍콩의 정 씨도 구인사이트를 통해 모집한 성매매 여성들의 프로필 사진을 사진사 A 씨에게 촬영하게 한 뒤 홍콩 현지 성매매 사이트에 올렸다.

홍콩의	홍콩/NNP+의/JKG
정	정/NNP
씨도	씨/NNB+도/JX
구인사이트를	구인/NNG+사이트/NNG+를/JKO
통해	통하/VV+아/EC
모집한	모집/NNG+하/XSV+ㄴ/ETM
성매매	성매매/NNG
여성들의	여성/NNG+들/XSN+의/JKG
프로필	프로필/NNG
사진을	사진/NNG+을/JKO
사진사	사진사/NNG
A	A/SL
씨에게	씨/NNB+에게/JKB
촬영하게	촬영/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
뒤	뒤/NNG
홍콩	홍콩/NNP
현지	현지/NNG
사이트에	사이트/NNG+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.196.5.2
정 씨는 홍 씨의 범행을 수사하던 경찰이 A 씨의 사진 전송 명세를 추적하면서 적발됐다.

정	정/NNP
씨는	씨/NNB+는/JX
홍	홍/NNP
씨의	씨/NNB+의/JKG
범행을	범행/NNG+을/JKO
수사하던	수사/NNG+하/XSV+던/ETM
경찰이	경찰/NNG+이/JKS
A	A/SL
사진	사진/NNG
전송	전송/NNG
명세를	명세/NNG+를/JKO
추적하면서	추적/NNG+하/XSV+면서/EC
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.196.6.1
사진을 본 성매수 남성들이 정 씨의 사무실로 전화를 해 오면 성매매 여성들이 있는 곳으로 찾아오도록 하거나(‘In Call’), 상대가 머무는 곳으로 찾아가도록(‘Out Call’) 안내했다.

사진을	사진/NNG+을/JKO
본	보/VV+ㄴ/ETM
성매수	성/NNG+매수/NNG
남성들이	남성/NNG+들/XSN+이/JKS
정	정/NNP
씨의	씨/NNB+의/JKG
사무실로	사무실/NNG+로/JKB
전화를	전화/NNG+를/JKO
해	하/VV+아/EC
오면	오/VX+면/EC
성매매	성매매/NNG
여성들이	여성/NNG+들/XSN+이/JKS
있는	있/VA+는/ETM
곳으로	곳/NNG+으로/JKB
찾아오도록	찾아오/VV+도록/EC
하거나(‘In	하/VX+거나/EC+(/SS+‘/SS+In/SL
Call’),	Call/SL+’/SS+)/SS+,/SP
상대가	상대/NNG+가/JKS
머무는	머물/VV+는/ETM
찾아가도록(‘Out	찾아가/VV+도록/EC+(/SS+‘/SS+Out/SL
Call’)	Call/SL+’/SS+)/SS
안내했다.	안내/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.196.6.2
성매매는 홍콩의 5성급, 3성급 호텔 두 곳에서 이뤄졌으며 성매수 남성들은 대부분 홍콩인인 것으로 알려졌다.

성매매는	성매매/NNG+는/JX
홍콩의	홍콩/NNP+의/JKG
5성급,	5/SN+성급/NNG+,/SP
3성급	3성급/NNG
호텔	호텔/NNG
두	두/MMN
곳에서	곳/NNG+에서/JKB
이뤄졌으며	이뤄지/VV+었/EP+으며/EC
성매수	성/NNG+매수/NNG
남성들은	남성/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
홍콩인인	홍콩인/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.196.6.3
정 씨는 홍콩인과 결혼한 주부다.

정	정/NNP
씨는	씨/NNB+는/JX
홍콩인과	홍콩인/NNG+과/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
주부다.	주부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.196.7.1
두 사람이 챙긴 돈은 모두 9억4000여만 원.

두	두/MMN
사람이	사람/NNG+이/JKS
챙긴	챙기/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
모두	모두/MAG
9억4000여만	9/SN+억/NR+4000/SN+여/XSN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000037.196.7.2
홍 씨는 성매매 1건에 250∼300달러(약 34만 원)를 ‘화대’로 받았고 이 중 100달러(약 11만 원)를 알선 및 숙박비 명목으로 가져갔다.

홍	홍/NNP
씨는	씨/NNB+는/JX
성매매	성매매/NNG
1건에	1/SN+건/NNB+에/JKB
250∼300달러(약	250/SN+∼/SO+300/SN+달러/NNB+(/SS+약/MMA
34만	34/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
‘화대’로	‘/SS+화대/NNG+’/SS+로/JKB
받았고	받/VV+았/EP+고/EC
이	이/MMD
중	중/NNB
100달러(약	100/SN+달러/NNB+(/SS+약/MMA
11만	11/SN+만/NR
알선	알선/NNG
및	및/MAG
숙박비	숙박비/NNG
명목으로	명목/NNG+으로/JKB
가져갔다.	가져가/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.196.7.3
경찰은 같은 수법으로 뉴욕에서 성매매를 알선한 업주 정모 씨(27·여)에 대해서도 미국 국무부에 관련 자료를 제공하고 공조수사를 요청했다.

경찰은	경찰/NNG+은/JX
같은	같/VA+은/ETM
수법으로	수법/NNG+으로/JKB
뉴욕에서	뉴욕/NNP+에서/JKB
성매매를	성매매/NNG+를/JKO
알선한	알선/NNG+하/XSV+ㄴ/ETM
업주	업주/NNG
정모	정/NNP+모/NP
씨(27·여)에	씨/NNB+(/SS+27/SN+·/SP+여/NNG+)/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
미국	미국/NNP
국무부에	국무부/NNG+에/JKB
관련	관련/NNG
자료를	자료/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
공조수사를	공조/NNG+수사/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.196.7.4
경찰 관계자는 “성매매 여성 중 40여 명이 홍콩에, 80여 명이 미국에 머물고 있어 이들이 국내에 입국하는 대로 입건해 수사할 방침”이라고 밝혔다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“성매매	“/SS+성매매/NNG
여성	여성/NNG
중	중/NNB
40여	40/SN+여/XSN
명이	명/NNB+이/JKS
홍콩에,	홍콩/NNP+에/JKB+,/SP
80여	80/SN+여/XSN
미국에	미국/NNP+에/JKB
머물고	머물/VV+고/EC
있어	있/VX+어/EC
이들이	이/NP+들/XSN+이/JKS
국내에	국내/NNG+에/JKB
입국하는	입국/NNG+하/XSV+는/ETM
대로	대로/NNB
입건해	입건/NNG+하/XSV+아/EC
수사할	수사/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


