# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.199
metadata : {}


# id : NWRW1800000054.199.1.1
[잠깐만요!] 6·10 항쟁 기념식에 학생들 동원됐었나

[잠깐만요!]	[/SS+잠깐/NNG+만/JX+요/JX+!/SF+]/SS
국가보훈처에서 주관하는 대표적 기념행사인 '현충일(6월 6일) 추념 행사'나 '6·25전쟁 기념행사'가 열릴 때도 교육청 차원에서 봉사 활동 모집 공문을 학교로 보내진 않았다.

국가보훈처에서	국가/NNG+보훈처/NNG+에서/JKB
주관하는	주관/NNG+하/XSV+는/ETM
대표적	대표/NNG+적/XSN
기념행사인	기념행사/NNG+이/VCP+ㄴ/ETM
'현충일(6월	'/SS+현충일/NNG+(/SS+6/SN+월/NNB
6일)	6/SN+일/NNB+)/SS
추념	추념/NNG
행사'나	행사/NNG+'/SS+나/JC
'6·25전쟁	'/SS+6/SN+·/SP+25/SN+전쟁/NNG
기념행사'가	기념행사/NNG+'/SS+가/JKS
열릴	열리/VV+ㄹ/ETM
때도	때/NNG+도/JX
교육청	교육청/NNG
차원에서	차원/NNG+에서/JKB
봉사	봉사/NNG
활동	활동/NNG
모집	모집/NNG
공문을	공문/NNG+을/JKO
학교로	학교/NNG+로/JKB
보내진	보내/VV+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.199.6.3
보훈처 관계자는 "현충일이나 6·25 행사는 보훈처 홈페이지를 통해 봉사 활동 신청을 받는다"며 "학교나 학생 차원에서 알아서 신청하는 것"이라고 했다.

보훈처	보훈처/NNG
관계자는	관계자/NNG+는/JX
"현충일이나	"/SS+현충일/NNG+이나/JC
6·25	6/SN+·/SP+25/SN
행사는	행사/NNG+는/JX
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+아/EC
봉사	봉사/NNG
활동	활동/NNG
신청을	신청/NNG+을/JKO
받는다"며	받/VV+는다/EF+"/SS+며/EC
"학교나	"/SS+학교/NNG+나/JC
학생	학생/NNG
차원에서	차원/NNG+에서/JKB
알아서	알/VV+아서/EC
신청하는	신청/NNG+하/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.199.7.1
서울시교육청은 '학생 봉사 활동 인증' 남발을 막기 위해 그 나름의 기준을 갖고 있다.

서울시교육청은	서울시교육청/NNP+은/JX
'학생	'/SS+학생/NNG
봉사	봉사/NNG
활동	활동/NNG
인증'	인증/NNG+'/SS
남발을	남발/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
그	그/MMD
나름의	나름/NNB+의/JKG
기준을	기준/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.199.7.2
'2017학년도 학생 봉사 활동 운영 계획'에는 '정부·지자체 기념식 등의 공공 행사에 단순 동원식 참여 및 행정기관으로부터 활동비 등 대가를 받는 활동이 봉사 활동으로 인정되지 않도록 유의'하라고 적혀 있다.

'2017학년도	'/SS+2017/SN+학년도/NNG
학생	학생/NNG
봉사	봉사/NNG
활동	활동/NNG
운영	운영/NNG
계획'에는	계획/NNG+'/SS+에/JKB+는/JX
'정부·지자체	'/SS+정부/NNG+·/SP+지자체/NNG
기념식	기념식/NNG
등의	등/NNB+의/JKG
공공	공공/NNG
행사에	행사/NNG+에/JKB
단순	단순/NNG
동원식	동원식/NNG
참여	참여/NNG
및	및/MAG
행정기관으로부터	행정/NNG+기관/NNG+으로부터/JKB
활동비	활동비/NNG
등	등/NNB
대가를	대가/NNG+를/JKO
받는	받/VV+는/ETM
활동이	활동/NNG+이/JKS
활동으로	활동/NNG+으로/JKB
인정되지	인정/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
유의'하라고	유의/NNG+'/SS+하/XSV+라고/EC
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.199.7.3
지난 '6·10 기념식'에 참석했던 한 중학교 2학년생은 "한 사람당 의자 5개 정도 옮겼다"고 말했다.

지난	지나/VV+ㄴ/ETM
'6·10	'/SS+6/SN+·/SP+10/SN
기념식'에	기념식/NNG+'/SS+에/JKB
참석했던	참석/NNG+하/XSV+았/EP+던/ETM
한	한/MMN
중학교	중학교/NNG
2학년생은	2/SN+학년/NNG+생/XSN+은/JX
"한	"/SS+한/MMN
사람당	사람/NNG+당/XSN
의자	의자/NNG
5개	5/SN+개/NNB
정도	정도/NNG
옮겼다"고	옮기/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.199.7.4
일부에서 "서울시교육청이 학생을 사실상 동원한 것 아니냐"고 지적하는 이유다.

일부에서	일부/NNG+에서/JKB
"서울시교육청이	"/SS+서울시교육청/NNP+이/JKS
학생을	학생/NNG+을/JKO
사실상	사실/NNG+상/XSN
동원한	동원/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
지적하는	지적/NNG+하/XSV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


