# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.382
metadata : {}


# id : NWRW1800000044.382.1.1
김정은, 노동당 창건기념일에도 안나타나

김정은,	김정은/NNP+,/SP
통풍을	통풍/NNG+을/JKO
앓고	앓/VV+고/EC
있다고	있/VX+다고/EC
얘기하지만	얘기/NNG+하/XSV+지만/EC
현재로서는	현재/NNG+로서/JKB+는/JX
확인된	확인/NNG+되/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.382.4.2
정부 당국자는 “(국가정보원 등) 관계기관도 김정은의 건강에 이상이 있다는 사실은 체크하고 있지만 어느 정도 아픈지는 파악이 안 되는 상황이다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
“(국가정보원	“/SS+(/SS+국가/NNG+정보원/NNG
등)	등/NNB+)/SS
관계기관도	관계/NNG+기관/NNG+도/JX
김정은의	김정은/NNP+의/JKG
건강에	건강/NNG+에/JKB
이상이	이상/NNG+이/JKS
있다는	있/VA+다는/ETM
사실은	사실/NNG+은/JX
체크하고	체크/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
어느	어느/MMD
정도	정도/NNG
아픈지는	아프/VA+ㄴ지/EF+는/JX
파악이	파악/NNG+이/JKS
안	안/MAG
되는	되/VV+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.382.4.3
공식적인 확인은 하지 못하고 있다”고 말했다.

공식적인	공식/NNG+적/XSN+이/VCP+ㄴ/ETM
확인은	확인/NNG+은/JX
하지	하/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.382.5.1
한편, 유럽연합(EU) 등이 북한의 인권 문제 책임자들을 국제 사법기구에 회부하도록 유엔 안전보장이사회(안보리)에 권고하는 내용의 인권 결의안을 추진하는 데 대해, 유엔 주재 북한대표부는 9일(현지시각) 자국 인권과 관련한 결의안을 유엔 총회 제3위원회(인권 담당)에 별도로 제출하겠다는 방침을 회원국들에 밝혔다.

한편,	한편/MAG+,/SP
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
등이	등/NNB+이/JKS
북한의	북한/NNP+의/JKG
인권	인권/NNG
문제	문제/NNG
책임자들을	책임자/NNG+들/XSN+을/JKO
국제	국제/NNG
사법기구에	사법/NNG+기구/NNG+에/JKB
회부하도록	회부/NNG+하/XSV+도록/EC
유엔	유엔/NNP
안전보장이사회(안보리)에	안전/NNG+보장/NNG+이사회/NNG+(/SS+안보리/NNG+)/SS+에/JKB
권고하는	권고/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
결의안을	결의안/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
데	데/NNB
대해,	대하/VV+아/EC+,/SP
주재	주재/NNG
북한대표부는	북한/NNP+대표부/NNG+는/JX
9일(현지시각)	9/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
자국	자국/NNG
인권과	인권/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
총회	총회/NNG
제3위원회(인권	제/XPN+3/SN+위원회/NNG+(/SS+인권/NNG
담당)에	담당/NNG+)/SS+에/JKB
별도로	별도/NNG+로/JKB
제출하겠다는	제출/NNG+하/XSV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
회원국들에	회원국/NNG+들/XSN+에/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


