# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.223
metadata : {}


# id : NWRW1800000038.223.1.1
이상한 건보료 시스템… 이건희 회장, 직장인 최고액의 절반만 내

이상한	이상/NNG+하/XSA+ㄴ/ETM
직장 가입자는 월급 외에도 사업소득이나 이자, 임대소득 등을 합친 종합소득이 연 7200만원 이상이면 추가로 월 최대 230만원까지 보험료를 내야 한다.

직장	직장/NNG
가입자는	가입자/NNG+는/JX
월급	월급/NNG
외에도	외/NNB+에/JKB+도/JX
사업소득이나	사업/NNG+소득/NNG+이나/JC
이자,	이자/NNG+,/SP
임대소득	임대/NNG+소득/NNG
등을	등/NNB+을/JKO
합친	합치/VV+ㄴ/ETM
종합소득이	종합/NNG+소득/NNG+이/JKS
연	연/NNG
7200만원	7200/SN+만/NR+원/NNB
이상이면	이상/NNG+이/VCP+면/EC
추가로	추가/NNG+로/JKB
월	월/NNG
최대	최대/NNG
230만원까지	230/SN+만/NR+원/NNB+까지/JX
보험료를	보험료/NNG+를/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.223.5.4
금융·사업소득이 많은 직장인이 늘어남에 따라 형평성을 맞추려고 지난해 9월 도입한 제도다.

금융·사업소득이	금융/NNG+·/SP+사업/NNG+소득/NNG+이/JKS
많은	많/VA+은/ETM
직장인이	직장인/NNG+이/JKS
늘어남에	늘어나/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
형평성을	형평/NNG+성/XSN+을/JKO
맞추려고	맞추/VV+려고/EC
지난해	지난해/NNG
9월	9/SN+월/NNB
도입한	도입/NNG+하/XSV+ㄴ/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.223.5.5
사실상 직장 가입자에게 부과하는 최고 보험료는 460만원인 것이다.

사실상	사실/NNG+상/XSN
직장	직장/NNG
가입자에게	가입자/NNG+에게/JKB
부과하는	부과/NNG+하/XSV+는/ETM
최고	최고/NNG
보험료는	보험료/NNG+는/JX
460만원인	460/SN+만/NR+원/NNB+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.223.6.1
보건복지부에 따르면 지난 5월 기준으로 직장 가입자 상한액인 230만원을 내는 사람은 전국에 2522명 있다.

보건복지부에	보건/NNG+복지부/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
기준으로	기준/NNG+으로/JKB
직장	직장/NNG
가입자	가입자/NNG
상한액인	상한액/NNG+이/VCP+ㄴ/ETM
230만원을	230/SN+만/NR+원/NNB+을/JKO
내는	내/VV+는/ETM
사람은	사람/NNG+은/JX
전국에	전국/NNG+에/JKB
2522명	2522/SN+명/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.223.6.2
이들 가운데 이건희 회장보다 2배 많은 건보료(월 460만원)를 내는 사람은 180명에 이른다.

이들	이/NP+들/XSN
가운데	가운데/NNG
이건희	이건희/NNP
회장보다	회장/NNG+보다/JKB
2배	2/SN+배/NNG
많은	많/VA+은/ETM
건보료(월	건보료/NNG+(/SS+월/NNG
460만원)를	460/SN+만/NR+원/NNB+)/SS+를/JKO
내는	내/VV+는/ETM
사람은	사람/NNG+은/JX
180명에	180/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.223.7.1
복지부 관계자는 "현재 직장과 지역의 보험료 부과 방식이 다르기 때문에 벌어지는 일"이라며 "소득 중심으로 부과 체계를 단일화하는 방안을 논의 중"이라고 말했다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
"현재	"/SS+현재/MAG
직장과	직장/NNG+과/JC
지역의	지역/NNG+의/JKG
보험료	보험료/NNG
부과	부과/NNG
방식이	방식/NNG+이/JKS
다르기	다르/VA+기/ETN
때문에	때문/NNB+에/JKB
벌어지는	벌어지/VV+는/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"소득	"/SS+소득/NNG
중심으로	중심/NNG+으로/JKB
체계를	체계/NNG+를/JKO
단일화하는	단일/NNG+화/XSN+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
논의	논의/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


