# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.146
metadata : {}


# id : NWRW1800000030.146.1.1
불법조업 中어선 나포현장 "멈춰라"… "탕" 고무탄 발사… 1분 만에 승선

불법조업	불법/NNG+조업/NNG
불과 50m 떨어진 거리에서 불법 조업을 하던 78t 규모 중국 쌍끌이 어선 요호어35556호의 선원들이 다급해졌다.

불과	불과/MAG
50m	50/SN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
거리에서	거리/NNG+에서/JKB
불법	불법/NNG
조업을	조업/NNG+을/JKO
하던	하/VV+던/ETM
78t	78/SN+t/SW
규모	규모/NNG
중국	중국/NNP
쌍끌이	쌍끌이/NNG
어선	어선/NNG
요호어35556호의	요호어/NNG+35556/SN+호/NNB+의/JKG
선원들이	선원/NNG+들/XSN+이/JKS
다급해졌다.	다급하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.146.5.2
바다에 내린 그물을 칼로 끊기 시작했다.

바다에	바다/NNG+에/JKB
내린	내리/VV+ㄴ/ETM
그물을	그물/NNG+을/JKO
칼로	칼/NNG+로/JKB
끊기	끊/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.6.1
고속단정은 뱃머리를 돌려 도주하려는 요호어35556호의 왼편 뱃머리를 향해 돌진했다.

고속단정은	고속/NNG+단정/NNG+은/JX
뱃머리를	뱃머리/NNG+를/JKO
돌려	돌리/VV+어/EC
도주하려는	도주/NNG+하/XSV+려는/ETM
요호어35556호의	요호어/NNG+35556/SN+호/NNB+의/JKG
왼편	왼편/NNG
향해	향하/VV+아/EC
돌진했다.	돌진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.6.2
육군 특전사 출신의 해경 검색팀장 이청호(41) 경장이 제일 먼저 중국 어선에 올라섰고, 뒤이어 6명의 해상특수기동대원이 승선했다.

육군	육군/NNG
특전사	특전사/NNG
출신의	출신/NNG+의/JKG
해경	해경/NNG
검색팀장	검색/NNG+팀장/NNG
이청호(41)	이청호/NNP+(/SS+41/SN+)/SS
경장이	경장/NNG+이/JKS
제일	제일/MAG
먼저	먼저/MAG
중국	중국/NNP
어선에	어선/NNG+에/JKB
올라섰고,	올라서/VV+었/EP+고/EC+,/SP
뒤이어	뒤잇/VV+어/EC
6명의	6/SN+명/NNB+의/JKG
해상특수기동대원이	해상/NNG+특수/NNG+기동/NNG+대원/NNG+이/JKS
승선했다.	승선/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.6.3
이 경장은 조타실로 들이닥쳐 선장을 제압했다.

이	이/NNP
경장은	경장/NNG+은/JX
조타실로	조타실/NNG+로/JKB
들이닥쳐	들이닥치/VV+어/EC
선장을	선장/NNG+을/JKO
제압했다.	제압/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.6.4
"제압했다!"는 이 경장의 고함 소리는 중국 선원들의 요란한 중국어 고함 소리와 뒤섞였다.

"제압했다!"는	"/SS+제압/NNG+하/XSV+았/EP+다/EF+!/SF+"/SS+는/ETM
이	이/NNP
경장의	경장/NNG+의/JKG
고함	고함/NNG
소리는	소리/NNG+는/JX
중국	중국/NNP
선원들의	선원/NNG+들/XSN+의/JKG
요란한	요란/NNG+하/XSA+ㄴ/ETM
중국어	중국어/NNP
소리와	소리/NNG+와/JKB
뒤섞였다.	뒤섞이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.146.7.1
별안간 '탕!' 날카로운 소리가 귀청을 울렸다.

별안간	별안간/NNG
'탕!'	'/SS+탕/MAG+!/SF+'/SS
날카로운	날카롭/VA+ㄴ/ETM
소리가	소리/NNG+가/JKS
귀청을	귀청/NNG+을/JKO
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.146.7.2
고속단정 2호의 기동대원 4명이 고무탄을 발사하면서 요호어35556호의 오른쪽 뱃머리로 승선했다.

고속단정	고속/NNG+단정/NNG
2호의	2/SN+호/NNB+의/JKG
기동대원	기동/NNG+대원/NNG
4명이	4/SN+명/NNB+이/JKS
고무탄을	고무탄/NNG+을/JKO
발사하면서	발사/NNG+하/XSV+면서/EC
요호어35556호의	요호어/NNG+35556/SN+호/NNB+의/JKG
오른쪽	오른쪽/NNG
뱃머리로	뱃머리/NNG+로/JKB
승선했다.	승선/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.7.3
기동대원 11명은 선실과 기관실을 순식간에 장악했다.

기동대원	기동/NNG+대원/NNG
11명은	11/SN+명/NNB+은/JX
선실과	선실/NNG+과/JC
기관실을	기관실/NNG+을/JKO
순식간에	순식/NNG+간/XSN+에/JKB
장악했다.	장악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.7.4
우왕좌왕하는 선장 손모(37)씨 등 8명의 선원들을 갑판에 모아 무릎을 꿇렸다.

우왕좌왕하는	우왕좌왕/NNG+하/XSV+는/ETM
선장	선장/NNG
손모(37)씨	손/NNP+모/NP+(/SS+37/SN+)/SS+씨/NNB
등	등/NNB
8명의	8/SN+명/NNB+의/JKG
선원들을	선원/NNG+들/XSN+을/JKO
갑판에	갑판/NNG+에/JKB
모아	모으/VV+아/EC
무릎을	무릎/NNG+을/JKO
꿇렸다.	꿇리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.146.7.5
이 경장은 "됐다"면서 숨을 크게 내쉬었다.

이	이/NNP
경장은	경장/NNG+은/JX
"됐다"면서	"/SS+되/VV+었/EP+다/EF+"/SS+이/VCP+면서/EC
숨을	숨/NNG+을/JKO
크게	크/VA+게/EC
내쉬었다.	내쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.146.7.6
기동대원들은 어둠과 안개 속에서 불과 1~2분 만에 승선, 완벽하게 작전에 성공한 것이다.

기동대원들은	기동/NNG+대원/NNG+들/XSN+은/JX
어둠과	어둠/NNG+과/JC
안개	안개/NNG
속에서	속/NNG+에서/JKB
불과	불과/MAG
1~2분	1/SN+~/SO+2/SN+분/NNB
만에	만/NNB+에/JKB
승선,	승선/NNG+,/SP
완벽하게	완벽/NNG+하/XSA+게/EC
작전에	작전/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.146.7.7
불법 어로 증거물을 수거하는 최정우(27) 순경은 조업 항적이 기록된 GPS(위성)항법장치와 불법 조업으로 잡은 멸치·조기 등 300여 상자를 확보했다.

불법	불법/NNG
어로	어로/NNG
증거물을	증거물/NNG+을/JKO
수거하는	수거/NNG+하/XSV+는/ETM
최정우(27)	최정우/NNP+(/SS+27/SN+)/SS
순경은	순경/NNG+은/JX
조업	조업/NNG
항적이	항적/NNG+이/JKS
기록된	기록/NNG+되/XSV+ㄴ/ETM
GPS(위성)항법장치와	GPS/SL+(/SS+위성/NNG+)/SS+항법/NNG+장치/NNG+와/JC
조업으로	조업/NNG+으로/JKB
잡은	잡/VV+은/ETM
멸치·조기	멸치/NNG+·/SP+조기/NNG
등	등/NNB
300여	300/SN+여/XSN
상자를	상자/NNG+를/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.8.1
쌍끌이 조업 중이던 2척의 어선 가운데 주선(주된 역할을 하는 배) 제압이 완료됐다.

쌍끌이	쌍끌이/NNG
조업	조업/NNG
중이던	중/NNB+이/VCP+던/ETM
2척의	2/SN+척/NNB+의/JKG
어선	어선/NNG
가운데	가운데/NNG
주선(주된	주선/NNG+(/SS+주/NNG+되/XSV+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
배)	배/NNG+)/SS
제압이	제압/NNG+이/JKS
완료됐다.	완료/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.146.8.2
종선(보조 역할을 하는 배)은 주선과 연결된 저인망 로프를 잘라내고 달아났다.

종선(보조	종선/NNG+(/SS+보조/NNG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
배)은	배/NNG+)/SS+은/JX
주선과	주선/NNG+과/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
저인망	저인망/NNG
로프를	로프/NNG+를/JKO
잘라내고	자르/VV+아/EC+내/VX+고/EC
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.8.3
3005함에서 고속단정으로 무전 지시가 내려왔다.

3005함에서	3005/SN+함/NNG+에서/JKB
고속단정으로	고속/NNG+단정/NNG+으로/JKB
무전	무전/NNG
지시가	지시/NNG+가/JKS
내려왔다.	내려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.8.4
"나머지 중국 어선들은 서쪽으로 퇴각하고 있다.

"나머지	"/SS+나머지/NNG
중국	중국/NNP
어선들은	어선/NNG+들/XSN+은/JX
서쪽으로	서쪽/NNG+으로/JKB
퇴각하고	퇴각/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.146.8.5
서두르지 말고 천천히 작전에 임하라."

서두르지	서두르/VV+지/EC
말고	말/VX+고/EC
천천히	천천히/MAG
작전에	작전/NNG+에/JKB
임하라."	임하/VV+라/EF+./SF+"/SS


# id : NWRW1800000030.146.9.1
이날 단속은 지난 6일부터 7박8일 일정으로 진행되는 작전의 일환이다.

이날	이날/NNG
단속은	단속/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일부터	6/SN+일/NNB+부터/JX
7박8일	7/SN+박/NNB+8/SN+일/NNB
일정으로	일정/NNG+으로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
작전의	작전/NNG+의/JKG
일환이다.	일환/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.146.9.2
인천항을 출항한 3005함은 이날 오후 7시 25분쯤 약 10.7노티컬마일(약 19㎞) 떨어진 곳인 대청도 남서쪽 북위 37도17분, 동경 124도 6분 근처 해상에서 불법 조업 중인 중국 선단을 발견했다.

인천항을	인천항/NNP+을/JKO
출항한	출항/NNG+하/XSV+ㄴ/ETM
3005함은	3005/SN+함/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
7시	7/SN+시/NNB
25분쯤	25/SN+분/NNB+쯤/XSN
약	약/MMA
10.7노티컬마일(약	10/SN+./SP+7/SN+노티컬마일/NNB+(/SS+약/MMA
19㎞)	19/SN+㎞/SW+)/SS
떨어진	떨어지/VV+ㄴ/ETM
곳인	곳/NNG+이/VCP+ㄴ/ETM
대청도	대청도/NNP
남서쪽	남서쪽/NNG
북위	북위/NNG
37도17분,	37/SN+도/NNB+17/SN+분/NNB+,/SP
동경	동경/NNG
124도	124/SN+도/NNB
6분	6/SN+분/NNB
근처	근처/NNG
해상에서	해상/NNG+에서/JKB
불법	불법/NNG
조업	조업/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
중국	중국/NNP
선단을	선단/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.9.3
우리측 배타적 경제수역(EEZ)을 5.1노티컬마일(약 9.4㎞) 침범한 상태였다.

우리측	우리/NP+측/NNB
배타적	배타/NNG+적/XSN
경제수역(EEZ)을	경제/NNG+수역/NNG+(/SS+EEZ/SL+)/SS+을/JKO
5.1노티컬마일(약	5/SN+./SP+1/SN+노티컬마일/NNB+(/SS+약/MMA
9.4㎞)	9/SN+./SP+4/SN+㎞/SW+)/SS
침범한	침범/NNG+하/XSV+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.146.10.1
함장 이병훈(55) 경정은 즉시 해상특수기동대에 출동 준비를 명령했다.

함장	함장/NNG
이병훈(55)	이병훈/NNP+(/SS+55/SN+)/SS
경정은	경정/NNG+은/JX
즉시	즉시/MAG
해상특수기동대에	해상/NNG+특수/NNG+기동대/NNG+에/JKB
출동	출동/NNG
준비를	준비/NNG+를/JKO
명령했다.	명령/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.10.2
짙은 안개와 어둠으로 시정(視程)이 100m도 안 되는 악조건.

짙은	짙/VA+은/ETM
안개와	안개/NNG+와/JC
어둠으로	어둠/NNG+으로/JKB
시정(視程)이	시정/NNG+(/SS+視程/SH+)/SS+이/JKS
100m도	100/SN+m/SW+도/JX
안	안/MAG
되는	되/VV+는/ETM
악조건.	악조건/NNG+./SF


# id : NWRW1800000030.146.10.3
자칫 사고가 날 수도 있는 상황이었다.

자칫	자칫/MAG
사고가	사고/NNG+가/JKS
날	나/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.146.10.4
이 함장은 5년째 경비함 함장으로 근무하면서 150여척의 중국 어선을 나포한 베테랑이지만, 함교에서 작전을 설명하는 그의 목소리는 긴장돼 있었다.

이	이/NNP
함장은	함장/NNG+은/JX
5년째	5/SN+년/NNB+째/XSN
경비함	경비함/NNG
함장으로	함장/NNG+으로/JKB
근무하면서	근무/NNG+하/XSV+면서/EC
150여척의	150/SN+여/XSN+척/NNB+의/JKG
중국	중국/NNP
어선을	어선/NNG+을/JKO
나포한	나포/NNG+하/XSV+ㄴ/ETM
베테랑이지만,	베테랑/NNG+이/VCP+지만/EC+,/SP
함교에서	함교/NNG+에서/JKB
작전을	작전/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
그의	그/NP+의/JKG
목소리는	목소리/NNG+는/JX
긴장돼	긴장/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.146.10.5
이 함장은 "안개는 작전의 방해 요소이기도 하지만, 중국 어선들이 우리 작전을 눈치 채지 못하게 하는 좋은 역할도 한다"고 말했다.

이	이/NNP
함장은	함장/NNG+은/JX
"안개는	"/SS+안개/NNG+는/JX
작전의	작전/NNG+의/JKG
방해	방해/NNG
요소이기도	요소/NNG+이/VCP+기/ETN+도/JX
하지만,	하/VX+지만/EC+,/SP
중국	중국/NNP
어선들이	어선/NNG+들/XSN+이/JKS
우리	우리/NP
작전을	작전/NNG+을/JKO
눈치	눈치/NNG
채지	채/VV+지/EC
못하게	못하/VX+게/EC
하는	하/VX+는/ETM
좋은	좋/VA+은/ETM
역할도	역할/NNG+도/JX
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.10.6
3005함은 7노티컬마일(약 13㎞) 떨어진 곳에서 고속단정 2척을 내렸다.

3005함은	3005/SN+함/NNG+은/JX
7노티컬마일(약	7/SN+노티컬마일/NNB+(/SS+약/MMA
13㎞)	13/SN+㎞/SW+)/SS
떨어진	떨어지/VV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
고속단정	고속/NNG+단정/NNG
2척을	2/SN+척/NNB+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.146.10.7
3005함을 일반 상선(商船) 속도인 9노트(약 17㎞/h)로 이동시켜 중국 선단이 눈치 채지 못하게 했다.

3005함을	3005/SN+함/NNG+을/JKO
일반	일반/NNG
상선(商船)	상선/NNG+(/SS+商船/SH+)/SS
속도인	속도/NNG+이/VCP+ㄴ/ETM
9노트(약	9/SN+노트/NNB+(/SS+약/MMA
17㎞/h)로	17/SN+㎞/SW+//SP+h/SL+)/SS+로/JKB
이동시켜	이동/NNG+시키/XSV+어/EC
중국	중국/NNP
선단이	선단/NNG+이/JKS
눈치	눈치/NNG
채지	채/VV+지/EC
못하게	못하/VX+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.146.10.8
불법조업하는 중국 어선의 저항은 날이 갈수록 심해지고 있다.

불법조업하는	불법/NNG+조업/NNG+하/XSV+는/ETM
중국	중국/NNP
어선의	어선/NNG+의/JKG
저항은	저항/NNG+은/JX
날이	날/NNG+이/JKS
갈수록	가/VV+ㄹ수록/EC
심해지고	심하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.146.10.9
한 대원은 "매번 목숨을 걸고 작전에 임한다"고 말했다.

한	한/MMN
대원은	대원/NNG+은/JX
"매번	"/SS+매번/MAG
목숨을	목숨/NNG+을/JKO
걸고	걸/VV+고/EC
작전에	작전/NNG+에/JKB
임한다"고	임하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.146.10.10
3005함은 이날도 밤새 안개를 헤치며 우리 바다를 지켰다.

3005함은	3005/SN+함/NNG+은/JX
이날도	이날/NNG+도/JX
밤새	밤새/NNG
안개를	안개/NNG+를/JKO
헤치며	헤치/VV+며/EC
우리	우리/NP
바다를	바다/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


