# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.84
metadata : {}


# id : NWRW1800000025.84.1.1
[월드 베스트]자동차/금융위기의 승자 현대·기아차,미국 판매 쑥쑥

[월드	[/SS+월드/NNG
2위인	2/SN+위/NNB+이/VCP+ㄴ/ETM
폴크스바겐의	폴크스바겐/NNP+의/JKG
영업이익은	영업/NNG+이익/NNG+은/JX
2008년보다	2008/SN+년/NNB+보다/JKB
70%가량	70/SN+%/SW+가량/XSN
감소한	감소/NNG+하/XSV+ㄴ/ETM
18억6000만	18/SN+억/NR+6000/SN+만/NR
유로(약	유로/NNG+(/SS+약/MMA
2조8830억	2/SN+조/NR+8830/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.84.4.5
벤츠를 생산하는 다임러그룹의 영업손실액이 26억 유로(약 3조9516억 원)에 이른 데 이어 도요타, 혼다, 닛산 등 일본 자동차 업계의 ‘빅3’ 업체들도 모두 영업손실로 돌아섰다.

벤츠를	벤츠/NNP+를/JKO
생산하는	생산/NNG+하/XSV+는/ETM
다임러그룹의	다임러그룹/NNP+의/JKG
영업손실액이	영업/NNG+손실액/NNG+이/JKS
26억	26/SN+억/NR
유로(약	유로/NNG+(/SS+약/MMA
3조9516억	3/SN+조/NR+9516/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
이른	이르/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
도요타,	도요타/NNP+,/SP
혼다,	혼다/NNP+,/SP
닛산	닛산/NNP
등	등/NNB
일본	일본/NNP
자동차	자동차/NNG
업계의	업계/NNG+의/JKG
‘빅3’	‘/SS+빅/NNG+3/SN+’/SS
업체들도	업체/NNG+들/XSN+도/JX
모두	모두/MAG
영업손실로	영업/NNG+손실/NNG+로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.84.5.1
현대차는 지난해 글로벌 시장 점유율 5.2%를 기록해 처음 5%를 넘어섰고, 올해는 5.4%까지 높일 계획이다.

현대차는	현대차/NNP+는/JX
지난해	지난해/NNG
글로벌	글로벌/NNG
시장	시장/NNG
점유율	점유/NNG+율/XSN
5.2%를	5/SN+./SP+2/SN+%/SW+를/JKO
기록해	기록/NNG+하/XSV+아/EC
처음	처음/NNG
5%를	5/SN+%/SW+를/JKO
넘어섰고,	넘어서/VV+었/EP+고/EC+,/SP
올해는	올해/NNG+는/JX
5.4%까지	5/SN+./SP+4/SN+%/SW+까지/JX
높일	높이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.84.5.2
지난해 세계 시장 점유율이 2.6%였던 기아차는 올해 3% 진입을 목표로 하고 있다.

지난해	지난해/NNG
세계	세계/NNG
시장	시장/NNG
점유율이	점유/NNG+율/XSN+이/JKS
2.6%였던	2/SN+./SP+6/SN+%/SW+이/VCP+었/EP+던/ETM
기아차는	기아차/NNP+는/JX
올해	올해/NNG
3%	3/SN+%/SW
진입을	진입/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.84.6.1
최대 승부처인 미국 시장은 2월 미국에서 첫선을 보인 현대차 YF쏘나타와 기아차 차량으로선 처음 미국에서 생산된 쏘렌토R를 앞세워 공략한다는 전략이다.

최대	최대/NNG
승부처인	승부처/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
시장은	시장/NNG+은/JX
2월	2/SN+월/NNB
미국에서	미국/NNP+에서/JKB
첫선을	첫선/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
현대차	현대차/NNP
YF쏘나타와	YF쏘나타/NNG+와/JC
기아차	기아차/NNP
차량으로선	차량/NNG+으로서/JKB+ㄴ/JX
처음	처음/NNG
생산된	생산/NNG+되/XSV+ㄴ/ETM
쏘렌토R를	쏘렌토R/NNG+를/JKO
앞세워	앞세우/VV+어/EC
공략한다는	공략/NNG+하/XSV+ㄴ다는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.84.6.2
올해 미국 시장 점유율 목표는 현대차가 4.6%, 기아차가 3.2%다.

올해	올해/NNG
미국	미국/NNP
시장	시장/NNG
점유율	점유/NNG+율/XSN
목표는	목표/NNG+는/JX
현대차가	현대차/NNP+가/JKS
4.6%,	4/SN+./SP+6/SN+%/SW+,/SP
기아차가	기아차/NNP+가/JKS
3.2%다.	3/SN+./SP+2/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000025.84.6.3
두 회사가 모두 목표를 달성하면 미국 시장 점유율이 7.8%로 닛산을 제치고 GM, 도요타, 포드, 크라이슬러, 혼다에 이어 6위로 올라선다.

두	두/MMN
회사가	회사/NNG+가/JKS
모두	모두/MAG
목표를	목표/NNG+를/JKO
달성하면	달성/NNG+하/XSV+면/EC
미국	미국/NNP
시장	시장/NNG
점유율이	점유/NNG+율/XSN+이/JKS
7.8%로	7/SN+./SP+8/SN+%/SW+로/JKB
닛산을	닛산/NNP+을/JKO
제치고	제치/VV+고/EC
GM,	GM/SL+,/SP
도요타,	도요타/NNP+,/SP
포드,	포드/NNP+,/SP
크라이슬러,	크라이슬러/NNP+,/SP
혼다에	혼다/NNP+에/JKB
이어	잇/VV+어/EC
6위로	6/SN+위/NNB+로/JKB
올라선다.	올라서/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.84.7.1
최근 발표된 소비자 만족도 및 성능 평가 결과를 보면 현대·기아차가 올해 목표를 달성하는 건 어려워 보이지 않는다.

최근	최근/NNG
발표된	발표/NNG+되/XSV+ㄴ/ETM
소비자	소비자/NNG
만족도	만족도/NNG
및	및/MAG
성능	성능/NNG
평가	평가/NNG
결과를	결과/NNG+를/JKO
보면	보/VV+면/EC
현대·기아차가	현대/NNP+·/SP+기아차/NNP+가/JKS
올해	올해/NNG
목표를	목표/NNG+를/JKO
달성하는	달성/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
어려워	어렵/VA+어/EC
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000025.84.7.2
현대차는 최근 미국 자동차 품질조사 전문기관인 JD파워가 발표한 서비스 만족도 조사에서 771점을 기록하며 전체 23개사 가운데 9위에 올랐다.

현대차는	현대차/NNP+는/JX
최근	최근/NNG
미국	미국/NNP
자동차	자동차/NNG
품질조사	품질/NNG+조사/NNG
전문기관인	전문/NNG+기관/NNG+이/VCP+ㄴ/ETM
JD파워가	JD파워/NNP+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
서비스	서비스/NNG
만족도	만족도/NNG
조사에서	조사/NNG+에서/JKB
771점을	771/SN+점/NNB+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
전체	전체/NNG
23개사	23/SN+개사/NNB
가운데	가운데/NNG
9위에	9/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.84.7.3
도요타와 혼다, 닛산을 제쳐 아시아 회사 중에서는 가장 앞선 순위였다.

도요타와	도요타/NNP+와/JC
혼다,	혼다/NNP+,/SP
닛산을	닛산/NNP+을/JKO
제쳐	제치/VV+어/EC
아시아	아시아/NNP
회사	회사/NNG
중에서는	중/NNB+에서/JKB+는/JX
가장	가장/MAG
앞선	앞서/VV+ㄴ/ETM
순위였다.	순위/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.84.7.4
내구품질 조사에서도 현대차는 148점을 받아 전체 36개 브랜드 가운데 11위를 차지했다.

내구품질	내구/NNG+품질/NNG
조사에서도	조사/NNG+에서/JKB+도/JX
현대차는	현대차/NNP+는/JX
148점을	148/SN+점/NNB+을/JKO
받아	받/VV+아/EC
전체	전체/NNG
36개	36/SN+개/NNB
브랜드	브랜드/NNG
가운데	가운데/NNG
11위를	11/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.84.7.5
일반 브랜드로 분류돼 있지만 프리미엄 브랜드 평균보다 내구성이 뛰어난 것으로 평가됐다.

일반	일반/NNG
브랜드로	브랜드/NNG+로/JKB
분류돼	분류/NNG+되/XSV+어/EC
있지만	있/VX+지만/EC
프리미엄	프리미엄/NNG
브랜드	브랜드/NNG
평균보다	평균/NNG+보다/JKB
내구성이	내구/NNG+성/XSN+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가됐다.	평가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.84.7.6
차를 보유한 고객이 다시 차량을 구매할 때 중요한 잣대가 되는 고객충성도 조사에서도 현대차는 약진하고 있다.

차를	차/NNG+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
고객이	고객/NNG+이/JKS
다시	다시/MAG
차량을	차량/NNG+을/JKO
구매할	구매/NNG+하/XSV+ㄹ/ETM
때	때/NNG
중요한	중요/NNG+하/XSA+ㄴ/ETM
잣대가	잣대/NNG+가/JKC
되는	되/VV+는/ETM
고객충성도	고객/NNG+충성도/NNG
조사에서도	조사/NNG+에서/JKB+도/JX
현대차는	현대차/NNP+는/JX
약진하고	약진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.84.7.7
미국 브랜드 키즈의 고객충성도 조사에서 현대차는 지난해 8위에서 올해 1위로 등극했다.

미국	미국/NNP
브랜드	브랜드/NNG
키즈의	키즈/NNP+의/JKG
고객충성도	고객/NNG+충성도/NNG
조사에서	조사/NNG+에서/JKB
현대차는	현대차/NNP+는/JX
지난해	지난해/NNG
8위에서	8/SN+위/NNB+에서/JKB
올해	올해/NNG
1위로	1/SN+위/NNB+로/JKB
등극했다.	등극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.84.7.8
또 미국 중고차 평가 전문기관인 켈리블루북이 지난달 발표한 ‘2010년 1분기 브랜드 충성도 조사’에서도 수위를 차지했다.

또	또/MAG
미국	미국/NNP
중고차	중고차/NNG
평가	평가/NNG
전문기관인	전문/NNG+기관/NNG+이/VCP+ㄴ/ETM
켈리블루북이	켈리블루북/NNP+이/JKS
지난달	지난달/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘2010년	‘/SS+2010/SN+년/NNB
1분기	1/SN+분기/NNG
브랜드	브랜드/NNG
충성도	충성도/NNG
조사’에서도	조사/NNG+’/SS+에서/JKB+도/JX
수위를	수위/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.84.7.9
켈리블루북의 조사에서 현대차 고객 56.3%는 향후 차량을 구입할 때 다시 현대차를 사겠다고 응답했다.

켈리블루북의	켈리블루북/NNP+의/JKG
조사에서	조사/NNG+에서/JKB
현대차	현대차/NNP
고객	고객/NNG
56.3%는	56/SN+./SP+3/SN+%/SW+는/JX
향후	향후/NNG
차량을	차량/NNG+을/JKO
구입할	구입/NNG+하/XSV+ㄹ/ETM
때	때/NNG
다시	다시/MAG
현대차를	현대차/NNP+를/JKO
사겠다고	사/VV+겠/EP+다고/EC
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.84.7.10
이는 지난해 4분기(10∼12월)의 45.9%보다 10.4%포인트 높아진 수치다.

이는	이/NP+는/JX
지난해	지난해/NNG
4분기(10∼12월)의	4/SN+분기/NNG+(/SS+10/SN+∼/SO+12/SN+월/NNB+)/SS+의/JKG
45.9%보다	45/SN+./SP+9/SN+%/SW+보다/JKB
10.4%포인트	10/SN+./SP+4/SN+%/SW+포인트/NNG
높아진	높아지/VV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.84.7.11
차량 성능과 품질에 비해 상대적으로 저평가됐던 브랜드 파워도 최근 들어 가파르게 상승하고 있다.

차량	차량/NNG
성능과	성능/NNG+과/JC
품질에	품질/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
저평가됐던	저/XPN+평가/NNG+되/XSV+었/EP+던/ETM
브랜드	브랜드/NNG
파워도	파워/NNG+도/JX
최근	최근/NNG
들어	들/VV+어/EC
가파르게	가파르/VA+게/EC
상승하고	상승/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.84.8.1
○ 해외 생산시설 구축 마무리 단계

○	○/SW
해외	해외/NNG
생산시설	생산/NNG+시설/NNG
구축	구축/NNG
마무리	마무리/NNG
단계	단계/NNG


# id : NWRW1800000025.84.9.1
1997년 현대차 터키 공장 가동을 시작으로 해외 생산을 시작한 현대·기아차는 해외 생산시설 확충에 주력해 현재 연간 기준 해외 생산능력이 293만 대에 이른다.

1997년	1997/SN+년/NNB
현대차	현대차/NNP
터키	터키/NNP
공장	공장/NNG
가동을	가동/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
해외	해외/NNG
생산을	생산/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
생산시설	생산/NNG+시설/NNG
확충에	확충/NNG+에/JKB
주력해	주력/NNG+하/XSV+아/EC
현재	현재/MAG
연간	연간/NNG
기준	기준/NNG
생산능력이	생산/NNG+능력/NNG+이/JKS
293만	293/SN+만/NR
대에	대/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.84.9.2
올해 하반기 15만 대 규모의 러시아 공장이 준공되면 연간 생산능력은 300만 대를 돌파한다.

올해	올해/NNG
하반기	하반기/NNG
15만	15/SN+만/NR
대	대/NNB
규모의	규모/NNG+의/JKG
러시아	러시아/NNP
공장이	공장/NNG+이/JKS
준공되면	준공/NNG+되/XSV+면/EC
연간	연간/NNG
생산능력은	생산/NNG+능력/NNG+은/JX
300만	300/SN+만/NR
대를	대/NNB+를/JKO
돌파한다.	돌파/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.84.9.3
글로벌 자동차 회사 중 연산 300만 대가 넘는 해외 공장을 보유한 곳은 도요타, GM, 폴크스바겐그룹 등 3개 회사밖에 없다.

글로벌	글로벌/NNG
자동차	자동차/NNG
회사	회사/NNG
중	중/NNB
연산	연산/NNG
300만	300/SN+만/NR
대가	대/NNB+가/JKS
넘는	넘/VV+는/ETM
해외	해외/NNG
공장을	공장/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
도요타,	도요타/NNP+,/SP
GM,	GM/SL+,/SP
폴크스바겐그룹	폴크스바겐그룹/NNP
등	등/NNB
3개	3/SN+개/NNB
회사밖에	회사/NNG+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.84.10.1
연산 10만 대 규모의 브라질 공장을 5월경 착공하고, 30만 대 규모의 중국 3공장도 올해 안에 첫 삽을 뜰 계획이다.

연산	연산/NNG
10만	10/SN+만/NR
대	대/NNB
규모의	규모/NNG+의/JKG
브라질	브라질/NNP
공장을	공장/NNG+을/JKO
5월경	5/SN+월/NNB+경/XSN
착공하고,	착공/NNG+하/XSV+고/EC+,/SP
30만	30/SN+만/NR
중국	중국/NNP
3공장도	3/SN+공장/NNG+도/JX
올해	올해/NNG
안에	안/NNG+에/JKB
첫	첫/MMN
삽을	삽/NNG+을/JKO
뜰	뜨/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.84.10.2
해외 주요 거점별로 생산시설을 구축하는 작업은 2013년경 마무리될 것으로 보인다.

해외	해외/NNG
주요	주요/NNG
거점별로	거점/NNG+별/XSN+로/JKB
생산시설을	생산/NNG+시설/NNG+을/JKO
구축하는	구축/NNG+하/XSV+는/ETM
작업은	작업/NNG+은/JX
2013년경	2013/SN+년/NNB+경/XSN
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.84.11.1
현대차 관계자는 “해외 생산시설 구축이 마무리되면 현대·기아차는 해당 지역에 맞는 전략 차종을 적기에 공급할 수 있게 돼 글로벌 시장 공략이 더욱 가속화할 것”이라고 말했다.

현대차	현대차/NNP
관계자는	관계자/NNG+는/JX
“해외	“/SS+해외/NNG
생산시설	생산/NNG+시설/NNG
구축이	구축/NNG+이/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
현대·기아차는	현대/NNP+·/SP+기아차/NNP+는/JX
해당	해당/NNG
지역에	지역/NNG+에/JKB
맞는	맞/VV+는/ETM
전략	전략/NNG
차종을	차종/NNG+을/JKO
적기에	적기/NNG+에/JKB
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
글로벌	글로벌/NNG
시장	시장/NNG
공략이	공략/NNG+이/JKS
더욱	더욱/MAG
가속화할	가속/NNG+화/XSN+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


