# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.304
metadata : {}


# id : NWRW1800000030.304.1.1
[상하이 스캔들] 총영사관에 무슨 일이… 1·2인자 전쟁에 불륜폭로 벽보·투서까지…

[상하이	[/SS+상하이/NNP
부총영사로	부총영사/NNG+로/JKB
부임했다.	부임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.5.2
김 전 총영사보다 두 살 위인 J씨는 처음부터 총영사와 사이가 좋지 않았다.

김	김/NNP
전	전/MMD
총영사보다	총영사/NNG+보다/JKB
두	두/MMN
살	살/NNB
위인	위/NNG+이/VCP+ㄴ/ETM
J씨는	J/SL+씨/NNB+는/JX
처음부터	처음/NNG+부터/JX
총영사와	총영사/NNG+와/JKB
사이가	사이/NNG+가/JKS
좋지	좋/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.304.5.3
두 사람은 상대방의 처신을 놓고 서로 비난했고, 상대방이 자신을 음해한다는 생각까지 갖게 됐다고 한다.

두	두/MMN
사람은	사람/NNG+은/JX
상대방의	상대방/NNG+의/JKG
처신을	처신/NNG+을/JKO
놓고	놓/VV+고/EC
서로	서로/MAG
비난했고,	비난/NNG+하/XSV+았/EP+고/EC+,/SP
상대방이	상대방/NNG+이/JKS
자신을	자신/NNG+을/JKO
음해한다는	음해/NNG+하/XSV+ㄴ다는/ETM
생각까지	생각/NNG+까지/JX
갖게	갖/VV+게/EC
됐다고	되/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.304.6.1
결국 김 전 총영사는 외교부 본부 및 국정원에 J씨에 대한 불만을 언급했고 '강제 송환'까지 입에 올린 것으로 알려졌다.

결국	결국/MAG
김	김/NNP
전	전/MMD
총영사는	총영사/NNG+는/JX
외교부	외교부/NNG
본부	본부/NNG
및	및/MAG
국정원에	국정원/NNG+에/JKB
J씨에	J/SL+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
불만을	불만/NNG+을/JKO
언급했고	언급/NNG+하/XSV+았/EP+고/EC
'강제	'/SS+강제/NNG
송환'까지	송환/NNG+'/SS+까지/JX
입에	입/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.304.6.2
이때부터 두 사람 사이의 보이지 않는 '전쟁'이 시작됐다고 한다.

이때부터	이때/NNG+부터/JX
두	두/MMN
사람	사람/NNG
사이의	사이/NNG+의/JKG
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
'전쟁'이	'/SS+전쟁/NNG+'/SS+이/JKS
시작됐다고	시작/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.304.7.1
이와는 별개로 상하이 총영사관의 영사들 간에 중국 여성 덩씨를 둘러싼 '삼각관계'가 만들어졌다.

이와는	이/NP+와/JKB+는/JX
별개로	별개/NNG+로/JKB
상하이	상하이/NNP
총영사관의	총영사관/NNG+의/JKG
영사들	영사/NNG+들/XSN
간에	간/NNB+에/JKB
중국	중국/NNP
여성	여성/NNG
덩씨를	덩/NNP+씨/NNB+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
'삼각관계'가	'/SS+삼각관계/NNG+'/SS+가/JKS
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.304.7.2
법무부에서 파견된 H영사는 덩씨와 상당히 친밀한 관계를 유지해왔다.

법무부에서	법무부/NNG+에서/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
H영사는	H/SL+영사/NNG+는/JX
덩씨와	덩/NNP+씨/NNB+와/JKB
상당히	상당히/MAG
친밀한	친밀/NNG+하/XSA+ㄴ/ETM
관계를	관계/NNG+를/JKO
유지해왔다.	유지/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.304.7.3
덩씨에게 비자 발급 등의 편의를 봐주고 있으며 두 사람이 정기적으로 만난다는 소문이 퍼졌다.

덩씨에게	덩/NNP+씨/NNB+에게/JKB
비자	비자/NNG
발급	발급/NNG
등의	등/NNB+의/JKG
편의를	편의/NNG+를/JKO
봐주고	봐주/VV+고/EC
있으며	있/VX+으며/EC
두	두/MMN
사람이	사람/NNG+이/JKS
정기적으로	정기/NNG+적/XSN+으로/JKB
만난다는	만나/VV+ㄴ다는/ETM
소문이	소문/NNG+이/JKS
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.304.7.4
지식경제부 소속의 K영사도 덩씨와 밀접한 사이였다.

지식경제부	지식/NNG+경제부/NNG
소속의	소속/NNG+의/JKG
K영사도	K/SL+영사/NNG+도/JX
덩씨와	덩/NNP+씨/NNB+와/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
사이였다.	사이/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.304.7.5
K영사는 덩씨로부터 상하이엑스포 때 전폭적인 지원을 받았다.

K영사는	K/SL+영사/NNG+는/JX
덩씨로부터	덩/NNP+씨/NNB+로부터/JKB
상하이엑스포	상하이/NNP+엑스포/NNG
때	때/NNG
전폭적인	전폭/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.7.6
총리실 공직복무관리관실이 확보한 투서(投書)에는 K씨가 "나는 다시는 덩씨를 괴롭히지 않을 것이고 내 사랑은 변하지 않을 것이다. 약속을 지키지 않을 경우 벌금으로 6억원과 제 손가락 하나를 잘라 드리겠다"고 자필로 쓰고 서명한 각서가 들어 있다.

총리실	총리실/NNG
공직복무관리관실이	공직/NNG+복무/NNG+관리관실/NNG+이/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
투서(投書)에는	투서/NNG+(/SS+投書/SH+)/SS+에/JKB+는/JX
K씨가	K/SL+씨/NNB+가/JKS
"나는	"/SS+나/NP+는/JX
다시는	다시/MAG+는/JX
덩씨를	덩/NNP+씨/NNB+를/JKO
괴롭히지	괴롭히/VV+지/EC
않을	않/VX+을/ETM
것이고	것/NNB+이/VCP+고/EC
내	나/NP+의/JKG
사랑은	사랑/NNG+은/JX
변하지	변하/VV+지/EC
것이다.	것/NNB+이/VCP+다/EF+./SF
약속을	약속/NNG+을/JKO
지키지	지키/VV+지/EC
경우	경우/NNG
벌금으로	벌금/NNG+으로/JKB
6억원과	6/SN+억/NR+원/NNB+과/JC
제	저/NP+의/JKG
손가락	손가락/NNG
하나를	하나/NR+를/JKO
잘라	자르/VV+아/EC
드리겠다"고	드리/VX+겠/EP+다/EF+"/SS+고/JKQ
자필로	자필/NNG+로/JKB
쓰고	쓰/VV+고/EC
서명한	서명/NNG+하/XSV+ㄴ/ETM
각서가	각서/NNG+가/JKS
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.304.7.7
상하이 교민 사회에선 'H씨에게 덩씨를 뺏긴 뒤 K씨가 복수하기 위해 H씨 부인과 바람을 피웠다'는 소문도 돌았다.

상하이	상하이/NNP
교민	교민/NNG
사회에선	사회/NNG+에서/JKB+ㄴ/JX
'H씨에게	'/SS+H/SL+씨/NNB+에게/JKB
덩씨를	덩/NNP+씨/NNB+를/JKO
뺏긴	뺏기/VV+ㄴ/ETM
뒤	뒤/NNG
K씨가	K/SL+씨/NNB+가/JKS
복수하기	복수/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
H씨	H/SL+씨/NNB
부인과	부인/NNG+과/JKB
바람을	바람/NNG+을/JKO
피웠다'는	피우/VV+었/EP+다/EF+'/SS+는/ETM
소문도	소문/NNG+도/JX
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.7.8
작년 11월 초 한국 교민들이 많이 사는 지역에는 'K씨가 H씨의 부인과 간통했다'는 내용의 벽보가 붙기도 했다.

작년	작년/NNG
11월	11/SN+월/NNB
초	초/NNB
한국	한국/NNP
교민들이	교민/NNG+들/XSN+이/JKS
많이	많이/MAG
사는	살/VV+는/ETM
지역에는	지역/NNG+에/JKB+는/JX
'K씨가	'/SS+K/SL+씨/NNB+가/JKS
H씨의	H/SL+씨/NNB+의/JKG
부인과	부인/NNG+과/JKB
간통했다'는	간통/NNG+하/XSV+았/EP+다/EF+'/SS+는/ETM
내용의	내용/NNG+의/JKG
벽보가	벽보/NNG+가/JKS
붙기도	붙/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.304.7.9
외교부의 P영사도 덩씨와 얼굴을 나란히 하고 웃는 얼굴로 사진을 찍을 만큼 덩씨와 친하게 지냈다.

외교부의	외교부/NNG+의/JKG
P영사도	P/SL+영사/NNG+도/JX
덩씨와	덩/NNP+씨/NNB+와/JKB
얼굴을	얼굴/NNG+을/JKO
나란히	나란히/MAG
하고	하/VV+고/EC
웃는	웃/VV+는/ETM
얼굴로	얼굴/NNG+로/JKB
사진을	사진/NNG+을/JKO
찍을	찍/VV+을/ETM
만큼	만큼/NNB
친하게	친하/VA+게/EC
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.304.7.10
하지만 이들은 한결같이 "업무 때문에 덩씨와 가끔 만나 친하게 지냈을 뿐 불륜이 있었던 것은 전혀 아니다"고 부인한다.

하지만	하지만/MAJ
이들은	이/NP+들/XSN+은/JX
한결같이	한결같이/MAG
"업무	"/SS+업무/NNG
때문에	때문/NNB+에/JKB
덩씨와	덩/NNP+씨/NNB+와/JKB
가끔	가끔/MAG
만나	만나/VV+아/EC
친하게	친하/VA+게/EC
지냈을	지내/VV+었/EP+을/ETM
뿐	뿐/NNB
불륜이	불륜/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
전혀	전혀/MAG
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
부인한다.	부인/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.304.7.11
이런 상황에서 올 초부터 청와대와 법무부, 국정원과 언론기관에 주상하이 총영사관에 대한 투서가 이어졌다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
올	올/NNG
초부터	초/NNB+부터/JX
청와대와	청와대/NNP+와/JC
법무부,	법무부/NNG+,/SP
국정원과	국정원/NNG+과/JC
언론기관에	언론/NNG+기관/NNG+에/JKB
주상하이	주상하이/NNG
총영사관에	총영사관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투서가	투서/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.304.7.12
이 투서에는 김 전 총영사를 비롯한 외교관들이 덩씨와 몸을 밀착시킨 채 찍은 사진 등이 들어 있었다.

이	이/MMD
투서에는	투서/NNG+에/JKB+는/JX
김	김/NNP
전	전/MMD
총영사를	총영사/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
외교관들이	외교관/NNG+들/XSN+이/JKS
덩씨와	덩/NNP+씨/NNB+와/JKB
몸을	몸/NNG+을/JKO
밀착시킨	밀착/NNG+시키/XSV+ㄴ/ETM
채	채/NNB
찍은	찍/VV+은/ETM
사진	사진/NNG
등이	등/NNB+이/JKS
들어	들/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.304.7.13
총리실 복무관리관실 관계자들은 H씨와 K씨를 조사하는 과정에서 김 전 총영사와 이미 퇴직한 다른 영사 한 명도 덩씨의 편의를 봐줬다는 진술을 받아낸 것으로 알려졌다.

총리실	총리실/NNG
복무관리관실	복무/NNG+관리관실/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
H씨와	H/SL+씨/NNB+와/JC
K씨를	K/SL+씨/NNB+를/JKO
조사하는	조사/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
김	김/NNP
전	전/MMD
총영사와	총영사/NNG+와/JKB
이미	이미/MAG
퇴직한	퇴직/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
영사	영사/NNG
한	한/MMN
명도	명/NNB+도/JX
덩씨의	덩/NNP+씨/NNB+의/JKG
편의를	편의/NNG+를/JKO
봐줬다는	보/VV+아/EC+주/VX+었/EP+다는/ETM
진술을	진술/NNG+을/JKO
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.304.8.1
김 전 총영사는 이 투서가 궁극적으로는 자신을 목표로 했으며 J씨와 관련이 있다고 주장한다.

김	김/NNP
전	전/MMD
총영사는	총영사/NNG+는/JX
이	이/MMD
투서가	투서/NNG+가/JKS
궁극적으로는	궁극/NNG+적/XSN+으로/JKB+는/JX
자신을	자신/NNG+을/JKO
목표로	목표/NNG+로/JKB
했으며	하/VV+았/EP+으며/EC
J씨와	J/SL+씨/NNB+와/JKB
관련이	관련/NNG+이/JKS
있다고	있/VA+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.304.8.2
또 정보기관이 덩씨의 남편을 배후 조종했을 가능성까지 거론했다.

또	또/MAG
정보기관이	정보기관/NNG+이/JKS
덩씨의	덩/NNP+씨/NNB+의/JKG
남편을	남편/NNG+을/JKO
배후	배후/NNG
조종했을	조종/NNG+하/XSV+았/EP+을/ETM
가능성까지	가능/NNG+성/XSN+까지/JX
거론했다.	거론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.8.3
"도저히 내부자나 정보기관이 아니면 알 수 없는 정보들이 투서에 담겨 있다"는 것이다.

"도저히	"/SS+도저히/MAG
내부자나	내부자/NNG+나/JC
정보기관이	정보기관/NNG+이/JKC
아니면	아니/VCN+면/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
정보들이	정보/NNG+들/XSN+이/JKS
투서에	투서/NNG+에/JKB
담겨	담기/VV+어/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.304.8.4
김 전 총영사는 "내가 외교부 고위직에도 거론되고 오는 4월 재·보선에서 경기도 성남시 분당을에도 출마할 가능성을 막기 위해 이런 투서를 한 것으로 보인다"고 말했다.

김	김/NNP
전	전/MMD
총영사는	총영사/NNG+는/JX
"내가	"/SS+내/NP+가/JKS
외교부	외교부/NNG
고위직에도	고위직/NNG+에/JKB+도/JX
거론되고	거론/NNG+되/XSV+고/EC
오는	오/VV+는/ETM
4월	4/SN+월/NNB
재·보선에서	재·보선/NNG+에서/JKB
경기도	경기도/NNP
성남시	성남시/NNP
분당을에도	분당을/NNP+에/JKB+도/JX
출마할	출마/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
이런	이런/MMD
투서를	투서/NNG+를/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.304.8.5
이에 대해 J부총영사는 본지와의 전화 인터뷰에서 "왜 그런 이야기가 나오는지 알 수 없으며 덩씨 남편과는 일면식도 없다"고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
J부총영사는	J/SL+부총영사/NNG+는/JX
본지와의	본지/NNG+와/JKB+의/JKG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"왜	"/SS+왜/MAG
그런	그런/MMD
이야기가	이야기/NNG+가/JKS
나오는지	나오/VV+는지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없으며	없/VA+으며/EC
덩씨	덩/NNP+씨/NNB
남편과는	남편/NNG+과/JKB+는/JX
일면식도	일면식/NNG+도/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


