# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.402
metadata : {}


# id : NWRW1800000022.402.1.1
[수도권Ⅰ] 경기도·프랑크푸르트 교류 협의;독일의 자동차·신재생에너지업체 상륙 기대

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
이 전시회는 세계 4500여개의 기업들이 참여하는 관련분야 세계 최대 전시회다.

이	이/MMD
전시회는	전시회/NNG+는/JX
세계	세계/NNG
4500여개의	4500/SN+여/XSN+개/NNB+의/JKG
기업들이	기업/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
관련분야	관련/NNG+분야/NNG
최대	최대/NNG
전시회다.	전시회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.402.4.1
경기도 역시 내년에 있을 한-EU FTA 체결을 맞아 매년 9월 경기도가 개최하는 '우수상품박람회(G-FAIR)'에 EU관을 설치, 독일을 비롯한 유럽 첨단기업들이 참여할 수 있도록 협조를 당부했다.

경기도	경기도/NNP
역시	역시/MAG
내년에	내년/NNG+에/JKB
있을	있/VA+을/ETM
한-EU	한/NNP+-/SO+EU/SL
FTA	FTA/SL
체결을	체결/NNG+을/JKO
맞아	맞/VV+아/EC
매년	매년/MAG
9월	9/SN+월/NNB
경기도가	경기도/NNP+가/JKS
개최하는	개최/NNG+하/XSV+는/ETM
'우수상품박람회(G-FAIR)'에	'/SS+우수/NNG+상품/NNG+박람회/NNG+(/SS+G/SL+-/SO+FAIR/SL+)/SS+'/SS+에/JKB
EU관을	EU관/NNP+을/JKO
설치,	설치/NNG+,/SP
독일을	독일/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
유럽	유럽/NNP
첨단기업들이	첨단/NNG+기업/NNG+들/XSN+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
협조를	협조/NNG+를/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.402.4.2
EU관이 설치될 경우 양 국가 간 기술교류 및 투자교류는 물론 유럽기업들의 한국산 부품 아웃소싱 기회가 마련될 것으로 전망된다.

EU관이	EU관/NNP+이/JKS
설치될	설치/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
양	양/MMN
국가	국가/NNG
간	간/NNB
기술교류	기술/NNG+교류/NNG
및	및/MAG
투자교류는	투자/NNG+교류/NNG+는/JX
물론	물론/MAG
유럽기업들의	유럽/NNP+기업/NNG+들/XSN+의/JKG
한국산	한국/NNP+산/XSN
부품	부품/NNG
아웃소싱	아웃소싱/NNG
기회가	기회/NNG+가/JKS
마련될	마련/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.402.5.1
경기도는 특히 자동차·화학·제약 분야와 태양광 에너지 등 신재생 에너지 분야에 발전된 기술을 보유한 독일 소재의 세계적인 기업들이 경기도에 투자할 수 있도록 적극적인 지원방안을 모색하는 등 양 기관의 우호적인 발전방안을 논의했다고 밝혔다.

경기도는	경기도/NNP+는/JX
특히	특히/MAG
자동차·화학·제약	자동차/NNG+·/SP+화학/NNG+·/SP+제약/NNG
분야와	분야/NNG+와/JC
태양광	태양광/NNG
에너지	에너지/NNG
등	등/NNB
신재생	신/XPN+재생/NNG
분야에	분야/NNG+에/JKB
발전된	발전/NNG+되/XSV+ㄴ/ETM
기술을	기술/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
독일	독일/NNP
소재의	소재/NNG+의/JKG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
기업들이	기업/NNG+들/XSN+이/JKS
경기도에	경기도/NNP+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
지원방안을	지원/NNG+방안/NNG+을/JKO
모색하는	모색/NNG+하/XSV+는/ETM
양	양/MMN
기관의	기관/NNG+의/JKG
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
발전방안을	발전/NNG+방안/NNG+을/JKO
논의했다고	논의/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


