# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.254
metadata : {}


# id : NWRW1800000030.254.1.1
[조선데스크] 여론조사를 믿습니까?

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
전화번호부에	전화번호부/NNG+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
집전화를	집/NNG+전화/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
방식을	방식/NNG+을/JKO
썼지만,	쓰/VV+었/EP+지만/EC+,/SP
그동안	그동안/NNG
통신환경은	통신/NNG+환경/NNG+은/JX
엄청나게	엄청나/VA+게/EC
바뀌었기	바뀌/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.254.4.3
최근 아산정책연구원의 조사에선 전체 가구의 25%가 집전화 없이 휴대전화만 사용하고 있고, 45%는 집전화가 있어도 전화번호부에 등록하지 않은 것으로 나타났다.

최근	최근/MAG
아산정책연구원의	아산정책연구원/NNP+의/JKG
조사에선	조사/NNG+에서/JKB+ㄴ/JX
전체	전체/NNG
가구의	가구/NNG+의/JKG
25%가	25/SN+%/SW+가/JKS
집전화	집/NNG+전화/NNG
없이	없이/MAG
휴대전화만	휴대/NNG+전화/NNG+만/JX
사용하고	사용/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
45%는	45/SN+%/SW+는/JX
집전화가	집/NNG+전화/NNG+가/JKS
있어도	있/VA+어도/EC
전화번호부에	전화번호부/NNG+에/JKB
등록하지	등록/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.254.4.4
결국 전화 여론조사의 대상은 집전화를 전화번호부에 등록한 30%의 가구에 불과하기 때문에 표심(票心)을 정확히 읽기가 어려울 수밖에 없다.

결국	결국/MAG
전화	전화/NNG
여론조사의	여론/NNG+조사/NNG+의/JKG
대상은	대상/NNG+은/JX
집전화를	집/NNG+전화/NNG+를/JKO
전화번호부에	전화번호부/NNG+에/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
30%의	30/SN+%/SW+의/JKG
가구에	가구/NNG+에/JKB
불과하기	불과/MAG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
표심(票心)을	표심/NNG+(/SS+票心/SH+)/SS+을/JKO
정확히	정확히/MAG
읽기가	읽/VV+기/ETN+가/JKS
어려울	어렵/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.254.4.5
조선일보가 지난달 정치지표 조사에 처음으로 RDD(Random Digit Dialing·무작위 전화통화) 방식을 도입해 조사 대상을 전화번호부 비등록 가구까지 확대한 이후 많은 언론이 조사방식을 RDD로 바꾼 것은 그나마 다행이다.

조선일보가	조선일보/NNP+가/JKS
지난달	지난달/NNG
정치지표	정치/NNG+지표/NNG
조사에	조사/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
RDD(Random	RDD/SL+(/SS+Random/SL
Digit	Digit/SL
Dialing·무작위	Dialing/SL+·/SP+무/XPN+작위/NNG
전화통화)	전화/NNG+통화/NNG+)/SS
방식을	방식/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
조사	조사/NNG
대상을	대상/NNG+을/JKO
전화번호부	전화번호부/NNG
비등록	비/XPN+등록/NNG
가구까지	가구/NNG+까지/JX
확대한	확대/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
많은	많/VA+은/ETM
언론이	언론/NNG+이/JKS
조사방식을	조사/NNG+방식/NNG+을/JKO
RDD로	RDD/SL+로/JKB
바꾼	바꾸/VV+ㄴ/ETM
것은	것/NNB+은/JX
그나마	그나마/MAG
다행이다.	다행/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.254.4.6
하지만 여론조사에서 휴대전화의 이용이 법으로 제약을 받는 것은 해결과제로 남아 있다.

하지만	하지만/MAJ
여론조사에서	여론/NNG+조사/NNG+에서/JKB
휴대전화의	휴대/NNG+전화/NNG+의/JKG
이용이	이용/NNG+이/JKS
법으로	법/NNG+으로/JKB
제약을	제약/NNG+을/JKO
받는	받/VV+는/ETM
것은	것/NNB+은/JX
해결과제로	해결/NNG+과제/NNG+로/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.254.5.1
여론조사는 이렇게 불안정한 도구이지만 정치권에선 여전히 후보 선출에 영향력이 막강한 '선거의 종결자'로 활약 중이다.

여론조사는	여론/NNG+조사/NNG+는/JX
이렇게	이렇/VA+게/EC
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
도구이지만	도구/NNG+이/VCP+지만/EC
정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
여전히	여전히/MAG
후보	후보/NNG
선출에	선출/NNG+에/JKB
영향력이	영향력/NNG+이/JKS
막강한	막강/NNG+하/XSA+ㄴ/ETM
'선거의	'/SS+선거/NNG+의/JKG
종결자'로	종결자/NNG+'/SS+로/JKB
활약	활약/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.254.5.2
이번 4·27 재·보선에서도 국회의원과 광역 및 기초단체장을 뽑는 10곳 중 한나라당과 민주당이 후보를 내지 않은 전남 순천을 제외한 9곳에서 여·야(與·野)가 후보 경선에 여론조사 결과를 반영했다.

이번	이번/NNG
4·27	4/SN+·/SP+27/SN
재·보선에서도	재·보선/NNG+에서/JKB+도/JX
국회의원과	국회/NNG+의원/NNG+과/JC
광역	광역/NNG
및	및/MAG
기초단체장을	기초/NNG+단체장/NNG+을/JKO
뽑는	뽑/VV+는/ETM
10곳	10/SN+곳/NNG
중	중/NNB
한나라당과	한나라당/NNP+과/JC
민주당이	민주당/NNP+이/JKS
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
않은	않/VX+은/ETM
전남	전남/NNP
순천을	순천/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
9곳에서	9/SN+곳/NNG+에서/JKB
여·야(與·野)가	여/NNG+·/SP+야/NNG+(/SS+與/SH+·/SP+野/SH+)/SS+가/JKS
후보	후보/NNG
경선에	경선/NNG+에/JKB
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
반영했다.	반영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.254.5.3
민주당과 국민참여당이 후보 단일화 방식을 놓고 진흙탕 싸움을 벌였던 경남 김해을도 결국 '100% 여론조사 경선'으로 결론이 났다.

민주당과	민주당/NNP+과/JC
국민참여당이	국민참여당/NNP+이/JKS
후보	후보/NNG
단일화	단일/NNG+화/XSN
방식을	방식/NNG+을/JKO
놓고	놓/VV+고/EC
진흙탕	진흙탕/NNG
싸움을	싸움/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
경남	경남/NNP
김해을도	김해을/NNP+도/JX
결국	결국/MAG
'100%	'/SS+100/SN+%/SW
여론조사	여론/NNG+조사/NNG
경선'으로	경선/NNG+'/SS+으로/JKB
결론이	결론/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.254.6.1
작년 지방선거 직후 한나라당 고위 당직자는 "여론조사는 이제 의미가 없다"고 했고, 야당측도 "여론조사가 전부 신빙성이 의심된다"며 여론조사 시대의 종언(終焉)을 선언했지만, 지금은 이들 모두 집단적으로 기억을 상실한 듯하다.

작년	작년/NNG
지방선거	지방/NNG+선거/NNG
직후	직후/NNG
한나라당	한나라당/NNP
고위	고위/NNG
당직자는	당직자/NNG+는/JX
"여론조사는	"/SS+여론/NNG+조사/NNG+는/JX
이제	이제/MAG
의미가	의미/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
야당측도	야당/NNG+측/NNB+도/JX
"여론조사가	"/SS+여론/NNG+조사/NNG+가/JKS
전부	전부/MAG
신빙성이	신빙/NNG+성/XSN+이/JKS
의심된다"며	의심/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
여론조사	여론/NNG+조사/NNG
시대의	시대/NNG+의/JKG
종언(終焉)을	종언/NNG+(/SS+終焉/SH+)/SS+을/JKO
선언했지만,	선언/NNG+하/XSV+았/EP+지만/EC+,/SP
지금은	지금/NNG+은/JX
이들	이/NP+들/XSN
모두	모두/MAG
집단적으로	집단/NNG+적/XSN+으로/JKB
기억을	기억/NNG+을/JKO
상실한	상실/NNG+하/XSV+ㄴ/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000030.254.6.2
더구나 그토록 엉터리라고 공격하던 '전화번호부를 이용한 집전화 여론조사'를 그대로 사용하며 후보를 뽑고 있다.

더구나	더구나/MAG
그토록	그토록/MAG
엉터리라고	엉터리/NNG+이/VCP+라고/EC
공격하던	공격/NNG+하/XSV+던/ETM
'전화번호부를	'/SS+전화번호부/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
집전화	집/NNG+전화/NNG
여론조사'를	여론/NNG+조사/NNG+'/SS+를/JKO
그대로	그대로/MAG
사용하며	사용/NNG+하/XSV+며/EC
후보를	후보/NNG+를/JKO
뽑고	뽑/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.254.7.1
정치권의 여론조사 의존증이 여간해선 치료하기 힘든 중증(重症)이라면 최소한 여론조사와 관련한 제도의 정비나 학술연구 지원 등을 통해 문제점을 보완해야 한다.

정치권의	정치/NNG+권/XSN+의/JKG
여론조사	여론/NNG+조사/NNG
의존증이	의존증/NNG+이/JKS
여간해선	여간/MAG+하/XSA+아서/EC+ㄴ/JX
치료하기	치료/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
중증(重症)이라면	중증/NNG+(/SS+重症/SH+)/SS+이/VCP+라면/EC
최소한	최소한/MAG
여론조사와	여론/NNG+조사/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
제도의	제도/NNG+의/JKG
정비나	정비/NNG+나/JC
학술연구	학술/NNG+연구/NNG
지원	지원/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
문제점을	문제점/NNG+을/JKO
보완해야	보완/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.254.7.2
평소엔 조사결과가 조금만 불리해도 '공공의 적(敵)'으로 몰아세우던 여론조사가 선거 때 후보 경선에선 자연스럽게 정확해진다고 생각하는 것일까?

평소엔	평소/NNG+에/JKB+ㄴ/JX
조사결과가	조사/NNG+결과/NNG+가/JKS
조금만	조금/NNG+만/JX
불리해도	불리/NNG+하/XSA+아도/EC
'공공의	'/SS+공공/NNG+의/JKG
적(敵)'으로	적/NNG+(/SS+敵/SH+)/SS+'/SS+으로/JKB
몰아세우던	몰아세우/VV+던/ETM
여론조사가	여론/NNG+조사/NNG+가/JKS
선거	선거/NNG
때	때/NNG
후보	후보/NNG
경선에선	경선/NNG+에서/JKB+ㄴ/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
정확해진다고	정확/NNG+하/XSA+아/EC+지/VX+ㄴ다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000030.254.7.3
정치권에 묻고 싶다.

정치권에	정치/NNG+권/XSN+에/JKB
묻고	묻/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000030.254.7.4
"여론조사를 정말로 믿습니까?"

"여론조사를	"/SS+여론/NNG+조사/NNG+를/JKO
정말로	정말로/MAG
믿습니까?"	믿/VV+습니까/EF+?/SF+"/SS


