# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.386
metadata : {}


# id : NWRW1800000026.386.1.1
[대한민국이 공격당했다] 李대통령 "서해 5도, 세계 최고 장비 갖춰 철저하게 대응하라";北, 올 세 차례 空地 훈련

[대한민국이	[/SS+대한민국/NNP+이/JKS
이명박 대통령은 이날 열린 긴급 안보·경제점검회의에서 "이번과 같은 도발은 언제라도 다시 일어날 수 있다. 특히 서해지역에 실질적인 경계 태세를 강화해야 한다"며 "서해 5도와 같은 (안보적) 취약지역은 국지전과 비대칭 전력에 대비해서 세계 최고의 장비를 갖춰서 철저하게 대응해 나가라"고 했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
열린	열리/VV+ㄴ/ETM
긴급	긴급/NNG
안보·경제점검회의에서	안보/NNG+·/SP+경제/NNG+점검/NNG+회의/NNG+에서/JKB
"이번과	"/SS+이번/NNG+과/JKB
같은	같/VA+은/ETM
도발은	도발/NNG+은/JX
언제라도	언제/NP+이/VCP+라도/EC
다시	다시/MAG
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF
특히	특히/MAG
서해지역에	서해/NNP+지역/NNG+에/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
경계	경계/NNG
태세를	태세/NNG+를/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"서해	"/SS+서해/NNP
5도와	5도/NNG+와/JKB
(안보적)	(/SS+안보/NNG+적/XSN+)/SS
취약지역은	취약/NNG+지역/NNG+은/JX
국지전과	국지전/NNG+과/JC
비대칭	비/XPN+대칭/NNG
전력에	전력/NNG+에/JKB
대비해서	대비/NNG+하/XSV+아서/EC
세계	세계/NNG
최고의	최고/NNG+의/JKG
장비를	장비/NNG+를/JKO
갖춰서	갖추/VV+어서/EC
철저하게	철저/NNG+하/XSA+게/EC
대응해	대응/NNG+하/XSV+아/EC
나가라"고	나가/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.4.1
이 대통령은 이번 사태를 직접 지휘하면서 접적(接敵)지역인데도 대비가 충분히 돼 있지 않은 현지 상황에 충격을 받은 것으로 전해졌다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이번	이번/NNG
사태를	사태/NNG+를/JKO
직접	직접/MAG
지휘하면서	지휘/NNG+하/XSV+면서/EC
접적(接敵)지역인데도	접적/NNG+(/SS+接敵/SH+)/SS+지역/NNG+이/VCP+ㄴ데/EC+도/JX
대비가	대비/NNG+가/JKS
충분히	충분히/MAG
돼	되/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
현지	현지/NNG
상황에	상황/NNG+에/JKB
충격을	충격/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.386.4.2
북한의 포격에 맞서 적의 진지를 공격할 무기도 없는 것을 본 이 대통령은 "도대체 군은 무슨 생각으로 전력 배치를 이렇게 해두었느냐"고도 했던 것으로 전해졌다.

북한의	북한/NNP+의/JKG
포격에	포격/NNG+에/JKB
맞서	맞서/VV+어/EC
적의	적/NNG+의/JKG
진지를	진지/NNG+를/JKO
공격할	공격/NNG+하/XSV+ㄹ/ETM
무기도	무기/NNG+도/JX
없는	없/VA+는/ETM
것을	것/NNB+을/JKO
본	보/VV+ㄴ/ETM
이	이/NNP
대통령은	대통령/NNG+은/JX
"도대체	"/SS+도대체/MAG
군은	군/NNG+은/JX
무슨	무슨/MMD
생각으로	생각/NNG+으로/JKB
전력	전력/NNG
배치를	배치/NNG+를/JKO
이렇게	이렇/VA+게/EC
해두었느냐"고도	하/VV+아/EC+두/VX+었/EP+느냐/EF+"/SS+고/JKQ+도/JX
했던	하/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.386.4.3
지난번 천안함 사건 이후 '적극적 억제 원칙'을 지시했는데도 현장에선 전혀 변화가 없었다는 것이다.

지난번	지난번/NNG
천안함	천안함/NNP
사건	사건/NNG
이후	이후/NNG
'적극적	'/SS+적극/NNG+적/XSN
억제	억제/NNG
원칙'을	원칙/NNG+'/SS+을/JKO
지시했는데도	지시/NNG+하/XSV+았/EP+는데/EC+도/JX
현장에선	현장/NNG+에서/JKB+ㄴ/JX
전혀	전혀/MAG
변화가	변화/NNG+가/JKS
없었다는	없/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.386.5.1
전문가들은 이날 이명박 대통령의 지시를 계기로 서해 5도에 대한 작전 개념부터 바꿔야 한다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
이날	이날/NNG
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
지시를	지시/NNG+를/JKO
계기로	계기/NNG+로/JKB
서해	서해/NNP
5도에	5도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
작전	작전/NNG
개념부터	개념/NNG+부터/JX
바꿔야	바꾸/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.386.5.2
그동안 소규모 상륙작전에 대비하고 평상시 북한의 실제포격 가능성은 없을 것으로 상정해 각종 무기도 소규모로 배치했으나, 이제는 북한의 대규모 상륙작전을 저지하고 해안포 등도 정밀타격할 수 있는 능력을 갖춰야 한다는 것이다.

그동안	그동안/NNG
소규모	소/XPN+규모/NNG
상륙작전에	상륙/NNG+작전/NNG+에/JKB
대비하고	대비/NNG+하/XSV+고/EC
평상시	평상시/NNG
북한의	북한/NNP+의/JKG
실제포격	실제/NNG+포격/NNG
가능성은	가능/NNG+성/XSN+은/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
상정해	상정/NNG+하/XSV+아/EC
각종	각종/NNG
무기도	무기/NNG+도/JX
소규모로	소/XPN+규모/NNG+로/JKB
배치했으나,	배치/NNG+하/XSV+았/EP+으나/EC+,/SP
이제는	이제/NNG+는/JX
대규모	대/XPN+규모/NNG
상륙작전을	상륙/NNG+작전/NNG+을/JKO
저지하고	저지/NNG+하/XSV+고/EC
해안포	해안포/NNG
등도	등/NNB+도/JX
정밀타격할	정밀/NNG+타격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
능력을	능력/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.386.5.3
합참과 방위사업청은 이날 국회 국방위 예산결산심사소위에 보고한 '서북도서 전력보강 계획'을 통해 K-9 자주포 ○○문 배치 예산 820억원 등 2636억원의 내년도 예산을 요청한 것으로 전해졌다.

합참과	합참/NNG+과/JC
방위사업청은	방위/NNG+사업청/NNG+은/JX
이날	이날/NNG
국회	국회/NNG
국방위	국방위/NNG
예산결산심사소위에	예산/NNG+결산/NNG+심사/NNG+소위/NNG+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
'서북도서	'/SS+서북/NNG+도서/NNG
전력보강	전력/NNG+보강/NNG
계획'을	계획/NNG+'/SS+을/JKO
통해	통하/VV+아/EC
K-9	K/SL+-/SO+9/SN
자주포	자주포/NNG
○○문	○/SW+○/SW+문/NNG
배치	배치/NNG
예산	예산/NNG
820억원	820/SN+억/NR+원/NNB
등	등/NNB
2636억원의	2636/SN+억/NR+원/NNB+의/JKG
내년도	내년도/NNG
예산을	예산/NNG+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.386.6.1
국방부와 합참은 지난 23일 연평도 포격사건 후 북한의 추가도발 시나리오 중 하나로 백령도·연평도 상륙 도발 가능성을 이명박 대통령에게 보고한 것으로 알려졌다.

국방부와	국방부/NNG+와/JC
합참은	합참/NNG+은/JX
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
연평도	연평도/NNP
포격사건	포격/NNG+사건/NNG
후	후/NNG
북한의	북한/NNP+의/JKG
추가도발	추가/NNG+도발/NNG
시나리오	시나리오/NNG
중	중/NNB
하나로	하나/NR+로/JKB
백령도·연평도	백령도/NNP+·/SP+연평도/NNP
상륙	상륙/NNG
도발	도발/NNG
가능성을	가능/NNG+성/XSN+을/JKO
이명박	이명박/NNP
대통령에게	대통령/NNG+에게/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.386.6.2
군 소식통들에 따르면 북한은 올 들어 김정일·김정은 부자가 참관한 가운데 서해 5도 상륙작전을 상정한 듯한 대규모 공지(空地)훈련을 세 차례나 실시했다.

군	군/NNG
소식통들에	소식통/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
북한은	북한/NNP+은/JX
올	올/NNG
들어	들/VV+어/EC
김정일·김정은	김정일/NNP+·/SP+김정은/NNP
부자가	부자/NNG+가/JKS
참관한	참관/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
서해	서해/NNP
5도	5도/NNG
상륙작전을	상륙/NNG+작전/NNG+을/JKO
상정한	상정/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
대규모	대/XPN+규모/NNG
공지(空地)훈련을	공지/NNG+(/SS+空地/SH+)/SS+훈련/NNG+을/JKO
세	세/MMN
차례나	차례/NNG+나/JX
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.6.3
지난 1월 백령도 북쪽 평안북도 해안에서 가까운 한 섬을 대상으로 122㎜·240㎜ 방사포(다연장로켓), 170㎜ 자주포 등 각종 포병 전력(戰力)과 전투기들을 동원해 집중포격을 하고 특수부대가 상륙하는 훈련을 한 것을 비롯해 총 세 차례나 유사한 훈련을 했다는 것이다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
백령도	백령도/NNP
북쪽	북쪽/NNG
평안북도	평안북도/NNP
해안에서	해안/NNG+에서/JKB
가까운	가깝/VA+ㄴ/ETM
한	하/VV+ㄴ/ETM
섬을	섬/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
122㎜·240㎜	122/SN+㎜/SW+·/SP+240/SN+㎜/SW
방사포(다연장로켓),	방사포/NNG+(/SS+다연장/NNG+로켓/NNG+)/SS+,/SP
170㎜	170/SN+㎜/SW
자주포	자주포/NNG
등	등/NNB
각종	각종/NNG
포병	포병/NNG
전력(戰力)과	전력/NNG+(/SS+戰力/SH+)/SS+과/JC
전투기들을	전투기/NNG+들/XSN+을/JKO
동원해	동원/NNG+하/XSV+아/EC
집중포격을	집중/NNG+포격/NNG+을/JKO
하고	하/VV+고/EC
특수부대가	특수/NNG+부대/NNG+가/JKS
상륙하는	상륙/NNG+하/XSV+는/ETM
훈련을	훈련/NNG+을/JKO
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
총	총/MMA
세	세/MMN
차례나	차례/NNG+나/JX
유사한	유사/NNG+하/XSA+ㄴ/ETM
했다는	하/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.386.6.4
훈련형태와 규모 등을 봤을 때 우리 백령도·연평도 등 서해 5도를 상정한 상륙훈련으로 분석됐다고 한다.

훈련형태와	훈련/NNG+형태/NNG+와/JC
규모	규모/NNG
등을	등/NNB+을/JKO
봤을	보/VV+았/EP+을/ETM
때	때/NNG
우리	우리/NP
백령도·연평도	백령도/NNP+·/SP+연평도/NNP
등	등/NNB
서해	서해/NNP
5도를	5도/NNG+를/JKO
상정한	상정/NNG+하/XSV+ㄴ/ETM
상륙훈련으로	상륙/NNG+훈련/NNG+으로/JKB
분석됐다고	분석/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.386.7.1
정부는 또 '확전 방지'에 초점이 맞춰진 기존 교전규칙을 '적극적 억제'에 맞게 전면 개정하기로 했다.

정부는	정부/NNG+는/JX
또	또/MAG
'확전	'/SS+확전/NNG
방지'에	방지/NNG+'/SS+에/JKB
초점이	초점/NNG+이/JKS
맞춰진	맞추/VV+어/EC+지/VX+ㄴ/ETM
기존	기존/NNG
교전규칙을	교전/NNG+규칙/NNG+을/JKO
'적극적	'/SS+적극/NNG+적/XSN
억제'에	억제/NNG+'/SS+에/JKB
맞게	맞/VV+게/EC
전면	전면/NNG
개정하기로	개정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.7.2
홍상표 청와대 홍보수석은 "북한의 도발에 대응하는 발상 자체를 바꿀 수 있는 교전규칙을 만들 것"이라고 했다.

홍상표	홍상표/NNP
청와대	청와대/NNP
홍보수석은	홍보/NNG+수석/NNG+은/JX
"북한의	"/SS+북한/NNP+의/JKG
도발에	도발/NNG+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
발상	발상/NNG
자체를	자체/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
교전규칙을	교전/NNG+규칙/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.7.3
북한의 이번 공격이 민간인 마을에 대해서까지 무차별적으로 이뤄진 점과 관련, 이 대통령과 장관들은 이에 대한 대비도 필요하다고 봤다.

북한의	북한/NNP+의/JKG
이번	이번/NNG
공격이	공격/NNG+이/JKS
민간인	민간인/NNG
마을에	마을/NNG+에/JKB
대해서까지	대하/VV+아서/EC+까지/JX
무차별적으로	무/XPN+차별/NNG+적/XSN+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
점과	점/NNG+과/JKB
관련,	관련/NNG+,/SP
이	이/NNP
대통령과	대통령/NNG+과/JC
장관들은	장관/NNG+들/XSN+은/JX
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
대비도	대비/NNG+도/JX
필요하다고	필요/NNG+하/XSA+다고/EC
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.7.4
북한이라는 집단에 '민간인은 공격하지 않는다'는 국제적인 인도주의 원칙을 기대하면 안 된다는 것이다.

북한이라는	북한/NNP+이/VCP+라는/ETM
집단에	집단/NNG+에/JKB
'민간인은	'/SS+민간인/NNG+은/JX
공격하지	공격/NNG+하/XSV+지/EC
않는다'는	않/VX+는다/EF+'/SS+는/ETM
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
인도주의	인도주의/NNG
원칙을	원칙/NNG+을/JKO
기대하면	기대/NNG+하/XSV+면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.386.7.5
이에 따라 군부대 간 교전만 상정하고 만들어진 교전규칙을 민간인 공격과 구분, 세분화하기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
군부대	군부대/NNG
간	간/NNB
교전만	교전/NNG+만/JX
상정하고	상정/NNG+하/XSV+고/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
교전규칙을	교전/NNG+규칙/NNG+을/JKO
민간인	민간인/NNG
공격과	공격/NNG+과/JKB
구분,	구분/NNG+,/SP
세분화하기로	세분/NNG+화/XSN+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.7.6
서해 5도 지역 주민들의 안전 확보를 위한 종합 대책도 마련하기로 했다.

서해	서해/NNP
5도	5도/NNG
지역	지역/NNG
주민들의	주민/NNG+들/XSN+의/JKG
안전	안전/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
종합	종합/NNG
대책도	대책/NNG+도/JX
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.8.1
지상전력 강화도 추진하기로 했다.

지상전력	지상/NNG+전력/NNG
강화도	강화/NNG+도/JX
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.386.8.2
내년도 예산을 우선 배정해 북한의 재도발에 대비하는 지상전력을 대폭 강화하기로 한 것이다.

내년도	내년도/NNG
예산을	예산/NNG+을/JKO
우선	우선/MAG
배정해	배정/NNG+하/XSV+아/EC
북한의	북한/NNP+의/JKG
재도발에	재/XPN+도발/NNG+에/JKB
대비하는	대비/NNG+하/XSV+는/ETM
지상전력을	지상/NNG+전력/NNG+을/JKO
대폭	대폭/MAG
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.386.8.3
또 지난 정부에서 이 지역 해병대 병력을 줄이기로 했던 결정도 전면 백지화하고 오히려 전력을 강화하기로 했다.

또	또/MAG
지난	지나/VV+ㄴ/ETM
정부에서	정부/NNG+에서/JKB
이	이/MMD
지역	지역/NNG
해병대	해병대/NNG
병력을	병력/NNG+을/JKO
줄이기로	줄이/VV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
결정도	결정/NNG+도/JX
전면	전면/NNG
백지화하고	백지/NNG+화/XSN+하/XSV+고/EC
오히려	오히려/MAG
전력을	전력/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


