# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.394
metadata : {}


# id : NWRW1800000040.394.1.1
열람방식·공개범위 결정안돼 여야공방 제2라운드 이어질듯

열람방식·공개범위	열람/NNG+방식/NNG+·/SP+공개/NNG+범위/NNG
찬성으로	찬성/NNG+으로/JKB
통과됐다는	통과/NNG+되/XSV+었/EP+다는/ETM
증거자료를	증거/NNG+자료/NNG+를/JKO
제시해	제시/NNG+하/XSV+아/EC
열람	열람/NNG
등을	등/NNB+을/JKO
요청하면,	요청/NNG+하/XSV+면/EC+,/SP
국가기록원장은	국가/NNG+기록원장/NNG+은/JX
의장의	의장/NNG+의/JKG
요청을	요청/NNG+을/JKO
받은	받/VV+은/ETM
10일	10/SN+일/NNB
이내에	이내/NNG+에/JKB
사본	사본/NNG
제출	제출/NNG
통한	통하/VV+ㄴ/ETM
열람에	열람/NNG+에/JKB
응하게	응하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.394.8.1
하지만 관련 자료가 국회로 넘어오더라도, 열람의 방식과 공개 범위 등을 놓고 여야 사이에 새로운 공방이 벌어질 가능성을 배제할 수 없다.

하지만	하지만/MAJ
관련	관련/NNG
자료가	자료/NNG+가/JKS
국회로	국회/NNG+로/JKB
넘어오더라도,	넘어오/VV+더라도/EC+,/SP
열람의	열람/NNG+의/JKG
방식과	방식/NNG+과/JC
공개	공개/NNG
범위	범위/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
여야	여야/NNG
사이에	사이/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
공방이	공방/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.394.8.2
여야가 자료제출 요구안을 본회의에서 통과시키면서도, 공개 방식에 대해선 국회 운영위원회에서 추후 논의하기로 합의했기 때문이다.

여야가	여야/NNG+가/JKS
자료제출	자료/NNG+제출/NNG
요구안을	요구안/NNG+을/JKO
본회의에서	본회의/NNG+에서/JKB
통과시키면서도,	통과/NNG+시키/XSV+면서/EC+도/JX+,/SP
공개	공개/NNG
방식에	방식/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
국회	국회/NNG
운영위원회에서	운영/NNG+위원회/NNG+에서/JKB
추후	추후/NNG
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
합의했기	합의/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.394.8.3
윤상현 새누리당, 정성호 민주당 원내수석부대표는 본회의 직전 기자들과 만나 “(대화록 관련) 사본이 국회로 오면 이걸 어떻게 열람하고, 어떻게 공개할지 운영위에서 결정하게 될 것”이라고 말했다.

윤상현	윤상현/NNP
새누리당,	새누리당/NNP+,/SP
정성호	정성호/NNP
민주당	민주당/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
본회의	본회의/NNG
직전	직전/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“(대화록	“/SS+(/SS+대화록/NNG
관련)	관련/NNG+)/SS
사본이	사본/NNG+이/JKS
국회로	국회/NNG+로/JKB
오면	오/VV+면/EC
이걸	이거/NP+ㄹ/JKO
어떻게	어떻/VA+게/EC
열람하고,	열람/NNG+하/XSV+고/EC+,/SP
공개할지	공개/NNG+하/XSV+ㄹ지/EF
운영위에서	운영위/NNG+에서/JKB
결정하게	결정/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.394.9.1
국가기록원 관계자는 “국회에서 자료 제출을 요구할 때 열람하고자 하는 대통령기록물을 특정하고, 열람 방법 등을 제시해야 한다.

국가기록원	국가/NNG+기록원/NNG
관계자는	관계자/NNG+는/JX
“국회에서	“/SS+국회/NNG+에서/JKB
자료	자료/NNG
제출을	제출/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
때	때/NNG
열람하고자	열람/NNG+하/XSV+고자/EC
하는	하/VX+는/ETM
대통령기록물을	대통령/NNG+기록물/NNG+을/JKO
특정하고,	특정/NNG+하/XSV+고/EC+,/SP
열람	열람/NNG
방법	방법/NNG
등을	등/NNB+을/JKO
제시해야	제시/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.394.9.2
또 열람을 하려면 국회에서 위원회나 별도의 회의체를 만들어 열람 장소와 범위, 주체, 방법 등을 기록원과 협의해야 한다”고 설명했다.

또	또/MAG
열람을	열람/NNG+을/JKO
하려면	하/VV+려면/EC
국회에서	국회/NNG+에서/JKB
위원회나	위원회/NNG+나/JC
별도의	별도/NNG+의/JKG
회의체를	회의체/NNG+를/JKO
만들어	만들/VV+어/EC
열람	열람/NNG
장소와	장소/NNG+와/JC
범위,	범위/NNG+,/SP
주체,	주체/NNG+,/SP
방법	방법/NNG
등을	등/NNB+을/JKO
기록원과	기록원/NNG+과/JKB
협의해야	협의/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.394.10.1
공개 범위도 논란거리다.

공개	공개/NNG
범위도	범위/NNG+도/JX
논란거리다.	논란거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.394.10.2
적법 절차를 밟아 열람을 했더라도, 공개까지 하는 것은 대통령기록물관리법 제19조의 비밀누설 금지를 위반한 것이라는 논란이 여전하기 때문이다.

적법	적법/NNG
절차를	절차/NNG+를/JKO
밟아	밟/VV+아/EC
열람을	열람/NNG+을/JKO
했더라도,	하/VV+았/EP+더라도/EC+,/SP
공개까지	공개/NNG+까지/JX
하는	하/VV+는/ETM
것은	것/NNB+은/JX
대통령기록물관리법	대통령/NNG+기록물/NNG+관리법/NNG
제19조의	제/XPN+19/SN+조/NNB+의/JKG
비밀누설	비밀/NNG+누설/NNG
금지를	금지/NNG+를/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
논란이	논란/NNG+이/JKS
여전하기	여전하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.394.10.3
여야 내부에선 정상회담 대화록 전문을 모두 공개하면 외교적 결례 등 나쁜 선례를 남기기 때문에, 국정원이 공개한 발췌본과 국가기록원에 있던 대화록 진본 사이에 어떤 차이가 있는지, ‘엔엘엘 포기발언 논란’의 진위는 무엇인지 등 정치적 논쟁이 됐던 내용을 중심으로 제한 공개하자는 의견도 나오고 있다.

여야	여야/NNG
내부에선	내부/NNG+에서/JKB+ㄴ/JX
정상회담	정상/NNG+회담/NNG
대화록	대화록/NNG
전문을	전문/NNG+을/JKO
모두	모두/MAG
공개하면	공개/NNG+하/XSV+면/EC
외교적	외교/NNG+적/XSN
결례	결례/NNG
등	등/NNB
나쁜	나쁘/VA+ㄴ/ETM
선례를	선례/NNG+를/JKO
남기기	남기/VV+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
국정원이	국정원/NNG+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
발췌본과	발췌본/NNG+과/JC
국가기록원에	국가/NNG+기록원/NNG+에/JKB
있던	있/VA+던/ETM
진본	진본/NNG
사이에	사이/NNG+에/JKB
어떤	어떤/MMD
차이가	차이/NNG+가/JKS
있는지,	있/VA+는지/EF+,/SP
‘엔엘엘	‘/SS+엔엘엘/NNG
포기발언	포기/NNG+발언/NNG
논란’의	논란/NNG+’/SS+의/JKG
진위는	진위/NNG+는/JX
무엇인지	무엇/NP+이/VCP+ㄴ지/EF
정치적	정치/NNG+적/XSN
논쟁이	논쟁/NNG+이/JKS
됐던	되/VV+었/EP+던/ETM
내용을	내용/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
제한	제한/NNG
공개하자는	공개/NNG+하/XSV+자는/ETM
의견도	의견/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.394.11.1
국가기록원에 있는 대화록 전문의 공개가 이번 논란을 말끔히 해소하지 못할 것이란 관측도 있다.

국가기록원에	국가/NNG+기록원/NNG+에/JKB
있는	있/VA+는/ETM
대화록	대화록/NNG
전문의	전문/NNG+의/JKG
공개가	공개/NNG+가/JKS
이번	이번/NNG
논란을	논란/NNG+을/JKO
말끔히	말끔히/MAG
해소하지	해소/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
관측도	관측/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.394.11.2
대화록 검증과 공개 과정에서 여야 모두 자신들에게 최대한 유리하게 대화록 내용을 해석하며 공방을 벌일 수 있기 때문이다.

대화록	대화록/NNG
검증과	검증/NNG+과/JC
공개	공개/NNG
과정에서	과정/NNG+에서/JKB
여야	여야/NNG
모두	모두/MAG
자신들에게	자신/NNG+들/XSN+에게/JKB
최대한	최대한/MAG
유리하게	유리/NNG+하/XSA+게/EC
내용을	내용/NNG+을/JKO
해석하며	해석/NNG+하/XSV+며/EC
공방을	공방/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


