# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.96
metadata : {}


# id : NWRW1800000046.96.1.1
[추억人] 박상천 前 민주당 대표

[추억人]	[/SS+추억/NNG+人/SH+]/SS
잃은	잃/VV+은/ETM
거위"	거위/NNG+"/SS
(고인의)	(/SS+고인/NNG+의/JKG+)/SS
맞수가	맞수/NNG+가/JKC
아니라	아니/VCN+라/EC
하수"라고	하수/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.5.1
박 전 대표는 2003년 노무현 대통령 당선 후 야권이 열린우리당과 민주당으로 갈라설 때 민주당을 지켰다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
2003년	2003/SN+년/NNB
노무현	노무현/NNP
대통령	대통령/NNG
당선	당선/NNG
후	후/NNG
야권이	야권/NNG+이/JKS
열린우리당과	열린우리당/NNP+과/JC
민주당으로	민주당/NNP+으로/JKB
갈라설	갈라서/VV+ㄹ/ETM
때	때/NNG
민주당을	민주당/NNP+을/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.5.2
이때의 선택 때문에 일부 강경파로부터 거센 비판을 받았다.

이때의	이때/NNG+의/JKG
선택	선택/NNG
때문에	때문/NNB+에/JKB
일부	일부/NNG
강경파로부터	강경파/NNG+로부터/JKB
거센	거세/VA+ㄴ/ETM
비판을	비판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.5.3
여당에서 하루아침에 소수파로 전락한 민주당을 이끌던 그는 2004년 총선에서 '탄핵 역풍'에 무너졌다.

여당에서	여당/NNG+에서/JKB
하루아침에	하루아침/NNG+에/JKB
소수파로	소수파/NNG+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
민주당을	민주당/NNP+을/JKO
이끌던	이끌/VV+던/ETM
그는	그/NP+는/JX
2004년	2004/SN+년/NNB
총선에서	총선/NNG+에서/JKB
'탄핵	'/SS+탄핵/NNG
역풍'에	역풍/NNG+'/SS+에/JKB
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.5.4
2008년 총선을 앞두고 야권이 통합민주당으로 재편된 후에는 손학규 전 대표와 공동대표로 민주당을 이끌었다.

2008년	2008/SN+년/NNB
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
야권이	야권/NNG+이/JKS
통합민주당으로	통합민주당/NNP+으로/JKB
재편된	재편/NNG+되/XSV+ㄴ/ETM
후에는	후/NNG+에/JKB+는/JX
손학규	손학규/NNP
전	전/MMD
대표와	대표/NNG+와/JKB
공동대표로	공동/NNG+대표/NNG+로/JKB
민주당을	민주당/NNP+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.5.5
2008년 광우병 시위 때는 장외 투쟁보다는 국회를 통한 입법(立法)을 강조했다.

2008년	2008/SN+년/NNB
광우병	광우병/NNG
시위	시위/NNG
때는	때/NNG+는/JX
장외	장외/NNG
투쟁보다는	투쟁/NNG+보다/JKB+는/JX
국회를	국회/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
입법(立法)을	입법/NNG+(/SS+立法/SH+)/SS+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.5.6
'구(舊) 민주계'라는 한계 때문에 국회 부의장 경선에서 낙선했고, 2012년 19대 총선을 앞두고 "후배들에게 길을 열어주겠다"며 정계를 은퇴했다.

'구(舊)	'/SS+구/MMA+(/SS+舊/SH+)/SS
민주계'라는	민주/NNP+계/XSN+'/SS+이/VCP+라는/ETM
한계	한계/NNG
때문에	때문/NNB+에/JKB
국회	국회/NNG
부의장	부의장/NNG
경선에서	경선/NNG+에서/JKB
낙선했고,	낙선/NNG+하/XSV+았/EP+고/EC+,/SP
2012년	2012/SN+년/NNB
19대	19/SN+대/NNB
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
"후배들에게	"/SS+후배/NNG+들/XSN+에게/JKB
길을	길/NNG+을/JKO
열어주겠다"며	열/VV+어/EC+주/VX+겠/EP+다/EF+"/SS+며/EC
정계를	정계/NNG+를/JKO
은퇴했다.	은퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.6.1
1996년, 1999년, 2000년 세 차례 원내총무(현 원내대표)를 지낸 그는 야당 시절에 폭력과 거리 투쟁보다는 대화와 의회를 강조한 합리적 의회주의자였다.

1996년,	1996/SN+년/NNB+,/SP
1999년,	1999/SN+년/NNB+,/SP
2000년	2000/SN+년/NNB
세	세/MMN
차례	차례/NNG
원내총무(현	원내/NNG+총무/NNG+(/SS+현/MMD
원내대표)를	원내/NNG+대표/NNG+)/SS+를/JKO
지낸	지내/VV+ㄴ/ETM
그는	그/NP+는/JX
야당	야당/NNG
시절에	시절/NNG+에/JKB
폭력과	폭력/NNG+과/JC
거리	거리/NNG
투쟁보다는	투쟁/NNG+보다/JKB+는/JX
대화와	대화/NNG+와/JC
의회를	의회/NNG+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
합리적	합리/NNG+적/XSN
의회주의자였다.	의회주의자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.96.6.2
2008년 한·미 FTA로 국회가 폭력으로 얼룩졌을 때도 투쟁일변도 노선을 비판했다.

2008년	2008/SN+년/NNB
한·미	한·미/NNP
FTA로	FTA/SL+로/JKB
국회가	국회/NNG+가/JKS
폭력으로	폭력/NNG+으로/JKB
얼룩졌을	얼룩지/VV+었/EP+을/ETM
때도	때/NNG+도/JX
투쟁일변도	투쟁/NNG+일변도/NNG
노선을	노선/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.6.3
'국회선진화법'도 그가 처음 제안했다.

'국회선진화법'도	'/SS+국회/NNG+선진/NNG+화/XSN+법/NNG+'/SS+도/JX
그가	그/NP+가/JKS
처음	처음/NNG
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.6.4
하루 2갑 이상 담배를 피웠던 애연가였는데, 금연을 권하던 후배들에게 "난 뻐끔 담배여"라며 이해를 구했다.

하루	하루/NNG
2갑	2/SN+갑/NNG
이상	이상/NNG
담배를	담배/NNG+를/JKO
피웠던	피우/VV+었/EP+던/ETM
애연가였는데,	애연가/NNG+이/VCP+었/EP+는데/EC+,/SP
금연을	금연/NNG+을/JKO
권하던	권/NNG+하/XSV+던/ETM
후배들에게	후배/NNG+들/XSN+에게/JKB
"난	"/SS+나/NP+ㄴ/JX
뻐끔	뻐끔/MAG
담배여"라며	담배/NNG+이/VCP+어/EF+"/SS+이/VCP+라며/EC
이해를	이해/NNG+를/JKO
구했다.	구하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.7.1
4일 빈소에는 여야(與野) 정치인의 발길이 이어졌다.

4일	4/SN+일/NNB
빈소에는	빈소/NNG+에/JKB+는/JX
여야(與野)	여야/NNG+(/SS+與野/SH+)/SS
정치인의	정치인/NNG+의/JKG
발길이	발길/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.96.7.2
새정치연합 문재인 대표는 "우리 당 역사에 큰 획을 그은 분"이라고 말했다.

새정치연합	새정치연합/NNP
문재인	문재인/NNP
대표는	대표/NNG+는/JX
"우리	"/SS+우리/NP
당	당/NNG
역사에	역사/NNG+에/JKB
큰	크/VA+ㄴ/ETM
획을	획/NNG+을/JKO
그은	긋/VV+은/ETM
분"이라고	분/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.7.3
박지원 의원은 "김대중 전 대통령께서 성실성과 노력, 실력을 높이 평가했던 분"이라며 이희호 여사의 조전(弔電)을 전달했다.

박지원	박지원/NNP
의원은	의원/NNG+은/JX
"김대중	"/SS+김대중/NNP
전	전/MMD
대통령께서	대통령/NNG+께서/JKS
성실성과	성실/NNG+성/XSN+과/JC
노력,	노력/NNG+,/SP
실력을	실력/NNG+을/JKO
높이	높이/MAG
평가했던	평가/NNG+하/XSV+았/EP+던/ETM
분"이라며	분/NNB+"/SS+이/VCP+라며/EC
이희호	이희호/NNP
여사의	여사/NNG+의/JKG
조전(弔電)을	조전/NNG+(/SS+弔電/SH+)/SS+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.7.4
여권에선 김기춘 전 대통령 비서실장이 빈소를 찾았고, 새누리당 김무성 대표도 조의를 표했다.

여권에선	여권/NNG+에서/JKB+ㄴ/JX
김기춘	김기춘/NNP
전	전/MMD
대통령	대통령/NNG
비서실장이	비서실장/NNG+이/JKS
빈소를	빈소/NNG+를/JKO
찾았고,	찾/VV+았/EP+고/EC+,/SP
새누리당	새누리당/NNP
김무성	김무성/NNP
대표도	대표/NNG+도/JX
조의를	조의/NNG+를/JKO
표했다.	표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.7.5
여야는 함께 애도했다.

여야는	여야/NNG+는/JX
함께	함께/MAG
애도했다.	애도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.7.6
새누리당 김영우 수석 대변인은 "소통하는 정치와 법치주의 정착에 큰 기여를 했다"고 했고, 새정치민주연합 김성수 대변인은 "강직한 성품과 날카로운 논리는 후배들에게 귀감이 될 것"이라고 했다.

새누리당	새누리당/NNP
김영우	김영우/NNP
수석	수석/NNG
대변인은	대변인/NNG+은/JX
"소통하는	"/SS+소통/NNG+하/XSV+는/ETM
정치와	정치/NNG+와/JC
법치주의	법치주의/NNG
정착에	정착/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기여를	기여/NNG+를/JKO
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
새정치민주연합	새정치민주연합/NNP
김성수	김성수/NNP
"강직한	"/SS+강직하/VA+ㄴ/ETM
성품과	성품/NNG+과/JC
날카로운	날카롭/VA+ㄴ/ETM
논리는	논리/NNG+는/JX
후배들에게	후배/NNG+들/XSN+에게/JKB
귀감이	귀감/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.96.8.1
유족은 아내 김금자(65), 딸 유선(SBS)·민선(제일모직), 아들 태희(SK텔레콤)씨와 사위 김욱준(검사), 김용철(의사)씨가 있다.

유족은	유족/NNG+은/JX
아내	아내/NNG
김금자(65),	김금자/NNP+(/SS+65/SN+)/SS+,/SP
딸	딸/NNG
유선(SBS)·민선(제일모직),	유선/NNP+(/SS+SBS/SL+)/SS+·/SP+민선/NNP+(/SS+제일모직/NNP+)/SS+,/SP
아들	아들/NNG
태희(SK텔레콤)씨와	태희/NNP+(/SS+SK텔레콤/NNP+)/SS+씨/NNB+와/JC
사위	사위/NNG
김욱준(검사),	김욱준/NNP+(/SS+검사/NNG+)/SS+,/SP
김용철(의사)씨가	김용철/NNP+(/SS+의사/NNG+)/SS+씨/NNB+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.96.8.2
가수 박진영씨가 5촌 조카다.

가수	가수/NNG
박진영씨가	박진영/NNP+씨/NNB+가/JKS
5촌	5/SN+촌/NNB
조카다.	조카/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.96.8.3
빈소 서울성모병원.

빈소	빈소/NNG
서울성모병원.	서울성모병원/NNP+./SF


# id : NWRW1800000046.96.8.4
발인 6일.

발인	발인/NNG
6일.	6/SN+일/NNB+./SF


# id : NWRW1800000046.96.8.5
(02)2258-5940

(02)2258-5940	(/SS+02/SN+)/SS+2258/SN+-/SO+5940/SN


