# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.37
metadata : {}


# id : NWRW1800000053.37.1.1
“융합형 창의 인재 양성… 산업의 밑거름 만들겠다”

“융합형	“/SS+융합/NNG+형/XSN
# id : NWRW1800000053.37.4.1
박태현 한국과학창의재단 이사장(60·사진)은 지난달 31일 동아일보와의 인터뷰에서 이같이 밝혔다.

박태현	박태현/NNP
한국과학창의재단	한국과학창의재단/NNP
이사장(60·사진)은	이사장/NNG+(/SS+60/SN+·/SP+사진/NNG+)/SS+은/JX
지난달	지난달/NNG
31일	31/SN+일/NNB
동아일보와의	동아일보/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.37.4.2
1967년 한국과학기술후원회로 시작한 한국과학창의재단이 올해 50주년을 맞았다.

1967년	1967/SN+년/NNB
한국과학기술후원회로	한국과학기술후원회/NNP+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
한국과학창의재단이	한국과학창의재단/NNP+이/JKS
올해	올해/NNG
50주년을	50/SN+주년/NNB+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.37.4.3
지난해 12월 취임한 박 이사장은 1년 가까이 언론 인터뷰를 고사해 오다가 6일 50주년 기념식과 7일 ‘과학창의연례콘퍼런스’ 개최를 앞두고 국내 언론으로는 본보와 첫 인터뷰를 가졌다.

지난해	지난해/NNG
12월	12/SN+월/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
박	박/NNP
이사장은	이사장/NNG+은/JX
1년	1/SN+년/NNB
가까이	가까이/MAG
언론	언론/NNG
인터뷰를	인터뷰/NNG+를/JKO
고사해	고사/NNG+하/XSV+아/EC
오다가	오/VX+다가/EC
6일	6/SN+일/NNB
50주년	50/SN+주년/NNB
기념식과	기념식/NNG+과/JC
7일	7/SN+일/NNB
‘과학창의연례콘퍼런스’	‘/SS+과학/NNG+창의/NNG+연례/NNG+콘퍼런스/NNG+’/SS
개최를	개최/NNG+를/JKO
앞두고	앞두/VV+고/EC
국내	국내/NNG
언론으로는	언론/NNG+으로/JKB+는/JX
본보와	본보/NNG+와/JKB
첫	첫/MMN
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.37.5.1
박 이사장은 “4차 산업혁명은 우리가 당면한 현실”이라며 “과학기술의 가치가 문화로 확산되고 사회와 어우러지면서 궁극적으로는 산업화될 수 있도록 기반을 닦는 게 재단의 임무라고 생각한다”고 밝혔다.

박	박/NNP
이사장은	이사장/NNG+은/JX
“4차	“/SS+4/SN+차/NNB
산업혁명은	산업/NNG+혁명/NNG+은/JX
우리가	우리/NP+가/JKS
당면한	당면/NNG+하/XSV+ㄴ/ETM
현실”이라며	현실/NNG+”/SS+이/VCP+라며/EC
“과학기술의	“/SS+과학/NNG+기술/NNG+의/JKG
가치가	가치/NNG+가/JKS
문화로	문화/NNG+로/JKB
확산되고	확산/NNG+되/XSV+고/EC
사회와	사회/NNG+와/JKB
어우러지면서	어우러지/VV+면서/EC
궁극적으로는	궁극/NNG+적/XSN+으로/JKB+는/JX
산업화될	산업/NNG+화/XSN+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
기반을	기반/NNG+을/JKO
닦는	닦/VV+는/ETM
게	거/NNB+이/JKS
재단의	재단/NNG+의/JKG
임무라고	임무/NNG+이/VCP+라고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.37.6.1
50년 전 과학기술 진흥과 과학기술인 지원 목적으로 설립된 한국과학기술후원회는 1980년대 경제 발전을 위한 과학기술 인력 양성의 필요성이 대두되면서 한국과학기술진흥재단으로 진화했다.

50년	50/SN+년/NNB
전	전/NNG
과학기술	과학/NNG+기술/NNG
진흥과	진흥/NNG+과/JC
과학기술인	과학/NNG+기술인/NNG
지원	지원/NNG
목적으로	목적/NNG+으로/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
한국과학기술후원회는	한국과학기술후원회/NNP+는/JX
1980년대	1980/SN+년대/NNB
경제	경제/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
인력	인력/NNG
양성의	양성/NNG+의/JKG
필요성이	필요/NNG+성/XSN+이/JKS
대두되면서	대두/NNG+되/XSV+면서/EC
한국과학기술진흥재단으로	한국/NNP+과학/NNG+기술/NNG+진흥/NNG+재단/NNG+으로/JKB
진화했다.	진화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.37.6.2
버스를 개조한 ‘과학차’가 학교를 찾아다니며 청소년들에게 과학기술에 대한 꿈과 상상력을 자극했다.

버스를	버스/NNG+를/JKO
개조한	개조/NNG+하/XSV+ㄴ/ETM
‘과학차’가	‘/SS+과학/NNG+차/NNG+’/SS+가/JKS
학교를	학교/NNG+를/JKO
찾아다니며	찾아다니/VV+며/EC
청소년들에게	청소년/NNG+들/XSN+에게/JKB
과학기술에	과학/NNG+기술/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
꿈과	꿈/NNG+과/JC
상상력을	상상력/NNG+을/JKO
자극했다.	자극/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.37.6.3
1996년에는 과학기술특별법과 과학기술기본법 등이 제정되면서 한국과학문화재단으로 개편돼 과학문화 확산 활동을 본격적으로 펼쳤고, 2008년 수학·과학 교육과 창의인재 양성 등의 임무가 추가되면서 현재 한국과학창의재단의 모습을 갖췄다.

1996년에는	1996/SN+년/NNB+에/JKB+는/JX
과학기술특별법과	과학/NNG+기술/NNG+특별법/NNG+과/JC
과학기술기본법	과학/NNG+기술/NNG+기본법/NNG
등이	등/NNB+이/JKS
제정되면서	제정/NNG+되/XSV+면서/EC
한국과학문화재단으로	한국/NNP+과학/NNG+문화/NNG+재단/NNG+으로/JKB
개편돼	개편/NNG+되/XSV+어/EC
과학문화	과학/NNG+문화/NNG
확산	확산/NNG
활동을	활동/NNG+을/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
펼쳤고,	펼치/VV+었/EP+고/EC+,/SP
2008년	2008/SN+년/NNB
수학·과학	수학/NNG+·/SP+과학/NNG
교육과	교육/NNG+과/JC
창의인재	창의/NNG+인재/NNG
양성	양성/NNG
등의	등/NNB+의/JKG
임무가	임무/NNG+가/JKS
추가되면서	추가/NNG+되/XSV+면서/EC
현재	현재/MAG
한국과학창의재단의	한국과학창의재단/NNP+의/JKG
모습을	모습/NNG+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.37.7.1
박 이사장은 “앞으로는 창의융합인재가 매우 중요한데, 융합은 창의를 구현하는 좋은 방법 중 하나”라며 “유(有)와 유(有)를 융합해 새로운 유(有)를 만들어낼 수 있다”고 말했다.

박	박/NNP
이사장은	이사장/NNG+은/JX
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
창의융합인재가	창의/NNG+융합/NNG+인재/NNG+가/JKS
매우	매우/MAG
중요한데,	중요/NNG+하/XSA+ㄴ데/EC+,/SP
융합은	융합/NNG+은/JX
창의를	창의/NNG+를/JKO
구현하는	구현/NNG+하/XSV+는/ETM
좋은	좋/VA+은/ETM
방법	방법/NNG
중	중/NNB
하나”라며	하나/NR+”/SS+이/VCP+라며/EC
“유(有)와	“/SS+유/NNG+(/SS+有/SH+)/SS+와/JC
유(有)를	유/NNG+(/SS+有/SH+)/SS+를/JKO
융합해	융합/NNG+하/XSV+아/EC
새로운	새롭/VA+ㄴ/ETM
만들어낼	만들/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.37.8.1
그는 아이폰을 융합형 창의의 대표적인 예로 들었다.

그는	그/NP+는/JX
아이폰을	아이폰/NNP+을/JKO
융합형	융합/NNG+형/XSN
창의의	창의/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
예로	예/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.37.8.2
아이팟, 인터넷, 휴대전화는 이미 개발된 기술이지만, 스티브 잡스가 이들 3개 기술을 묶어 아이폰이라는 완전히 새로운 기술로 탄생시켰다는 것이다.

아이팟,	아이팟/NNP+,/SP
인터넷,	인터넷/NNG+,/SP
휴대전화는	휴대/NNG+전화/NNG+는/JX
이미	이미/MAG
개발된	개발/NNG+되/XSV+ㄴ/ETM
기술이지만,	기술/NNG+이/VCP+지만/EC+,/SP
스티브	스티브/NNP
잡스가	잡스/NNP+가/JKS
이들	이/NP+들/XSN
3개	3/SN+개/NNB
기술을	기술/NNG+을/JKO
묶어	묶/VV+어/EC
아이폰이라는	아이폰/NNP+이/VCP+라는/ETM
완전히	완전히/MAG
새로운	새롭/VA+ㄴ/ETM
기술로	기술/NNG+로/JKB
탄생시켰다는	탄생/NNG+시키/XSV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.37.9.1
박 이사장은 국내 교육 환경에서 융합형 창의가 가장 많이 발휘될 수 있는 시기를 대학 학부생으로 보고, 내년부터 대학과 연계해 이들을 지원하는 사업을 시작할 계획이다.

박	박/NNP
이사장은	이사장/NNG+은/JX
국내	국내/NNG
교육	교육/NNG
환경에서	환경/NNG+에서/JKB
융합형	융합/NNG+형/XSN
창의가	창의/NNG+가/JKS
가장	가장/MAG
많이	많이/MAG
발휘될	발휘/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시기를	시기/NNG+를/JKO
대학	대학/NNG
학부생으로	학부/NNG+생/XSN+으로/JKB
보고,	보/VV+고/EC+,/SP
내년부터	내년/NNG+부터/JX
대학과	대학/NNG+과/JKB
연계해	연계/NNG+하/XSV+아/EC
이들을	이/NP+들/XSN+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
사업을	사업/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.37.9.2
KAIST, 광주과학기술원(GIST), 대구경북과학기술원(DGIST), 울산과학기술원(UNIST), 포스텍 등 5개 대학 총장에게 일일이 전화를 걸어 계획을 설명하고, 최근 첫 회의도 가졌다.

KAIST,	KAIST/SL+,/SP
광주과학기술원(GIST),	광주과학기술원/NNP+(/SS+GIST/SL+)/SS+,/SP
대구경북과학기술원(DGIST),	대구경북과학기술원/NNP+(/SS+DGIST/SL+)/SS+,/SP
울산과학기술원(UNIST),	울산과학기술원/NNP+(/SS+UNIST/SL+)/SS+,/SP
포스텍	포스텍/NNP
등	등/NNB
5개	5/SN+개/NNB
대학	대학/NNG
총장에게	총장/NNG+에게/JKB
일일이	일일이/MAG
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
계획을	계획/NNG+을/JKO
설명하고,	설명/NNG+하/XSV+고/EC+,/SP
최근	최근/NNG
첫	첫/MMN
회의도	회의/NNG+도/JX
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.37.10.1
박 이사장은 “대학에 융합교육 코스를 개설해 학부생들이 팀을 이뤄 연구계획서를 짜고 교수가 멘토 역할을 하는 방식을 검토 중”이라며 “이런 활동이 발전되면 미세먼지와 같은 사회적인 문제의 해법도 찾을 수 있고, 스타트업의 탄생으로 일자리도 만들어질 것”이라고 말했다.

박	박/NNP
이사장은	이사장/NNG+은/JX
“대학에	“/SS+대학/NNG+에/JKB
융합교육	융합/NNG+교육/NNG
코스를	코스/NNG+를/JKO
개설해	개설/NNG+하/XSV+아/EC
학부생들이	학부/NNG+생/XSN+들/XSN+이/JKS
팀을	팀/NNG+을/JKO
이뤄	이루/VV+어/EC
연구계획서를	연구/NNG+계획서/NNG+를/JKO
짜고	짜/VV+고/EC
교수가	교수/NNG+가/JKS
멘토	멘토/NNG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
방식을	방식/NNG+을/JKO
검토	검토/NNG
중”이라며	중/NNB+”/SS+이/VCP+라며/EC
“이런	“/SS+이런/MMD
활동이	활동/NNG+이/JKS
발전되면	발전/NNG+되/XSV+면/EC
미세먼지와	미세/NNG+먼지/NNG+와/JKB
같은	같/VA+은/ETM
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
문제의	문제/NNG+의/JKG
해법도	해법/NNG+도/JX
찾을	찾/VV+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
스타트업의	스타트업/NNG+의/JKG
탄생으로	탄생/NNG+으로/JKB
일자리도	일자리/NNG+도/JX
만들어질	만들/VV+어/EC+지/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.37.11.1
박 이사장은 서울대 화학생물공학부 교수로 재직하면서 평소 과학기술 대중화에 관심이 많았다.

박	박/NNP
이사장은	이사장/NNG+은/JX
서울대	서울대/NNP
화학생물공학부	화학/NNG+생물/NNG+공학부/NNG
교수로	교수/NNG+로/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
평소	평소/NNG
과학기술	과학/NNG+기술/NNG
대중화에	대중/NNG+화/XSN+에/JKB
관심이	관심/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.37.11.2
특히 문화 콘텐츠의 영향력을 절감해 왔다.

특히	특히/MAG
문화	문화/NNG
콘텐츠의	콘텐츠/NNG+의/JKG
영향력을	영향력/NNG+을/JKO
절감해	절감/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.37.11.3
그는 “영화 ‘건축학개론’이 공전의 히트를 치자 이듬해 건축공학과 커트라인이 매우 높았던 기억이 있다”며 “문화 콘텐츠에 과학기술을 자연스럽게 녹이는 노력이 필요하다”고 강조했다.

그는	그/NP+는/JX
“영화	“/SS+영화/NNG
‘건축학개론’이	‘/SS+건축학/NNG+개론/NNG+’/SS+이/JKS
공전의	공전/NNG+의/JKG
히트를	히트/NNG+를/JKO
치자	치/VV+자/EC
이듬해	이듬해/NNG
건축공학과	건축/NNG+공학과/NNG
커트라인이	커트라인/NNG+이/JKS
매우	매우/MAG
높았던	높/VA+았/EP+던/ETM
기억이	기억/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“문화	“/SS+문화/NNG
콘텐츠에	콘텐츠/NNG+에/JKB
과학기술을	과학/NNG+기술/NNG+을/JKO
자연스럽게	자연/NNG+스럽/XSA+게/EC
녹이는	녹이/VV+는/ETM
노력이	노력/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.37.12.1
최근에는 넷플릭스가 국내 첫 오리지널 드라마로 제작을 결정한 웹툰 ‘좋아하면 울리는’의 PD를 만나 과학 분야 자문도 해줬다.

최근에는	최근/NNG+에/JKB+는/JX
넷플릭스가	넷플릭스/NNP+가/JKS
국내	국내/NNG
첫	첫/MMN
오리지널	오리지널/NNG
드라마로	드라마/NNG+로/JKB
제작을	제작/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
웹툰	웹툰/NNG
‘좋아하면	‘/SS+좋아하/VV+면/EC
울리는’의	울리/VV+는/ETM+’/SS+의/JKG
PD를	PD/SL+를/JKO
만나	만나/VV+아/EC
과학	과학/NNG
분야	분야/NNG
자문도	자문/NNG+도/JX
해줬다.	하/VV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.37.12.2
이 웹툰은 스마트폰 애플리케이션으로 좋아하는 마음을 확인한다는 설정이다.

이	이/MMD
웹툰은	웹툰/NNG+은/JX
스마트폰	스마트폰/NNG
애플리케이션으로	애플리케이션/NNG+으로/JKB
좋아하는	좋아하/VV+는/ETM
마음을	마음/NNG+을/JKO
확인한다는	확인/NNG+하/XSV+ㄴ다는/ETM
설정이다.	설정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.37.12.3
박 이사장은 “대중이 과학기술에 관심을 가지는 사회 분위기가 형성돼야 상상력과 창의력도 발휘될 여지가 크다”며 “이런 기반을 조성하는 게 재단의 역할이라고 생각한다”고 말했다.

박	박/NNP
이사장은	이사장/NNG+은/JX
“대중이	“/SS+대중/NNG+이/JKS
과학기술에	과학/NNG+기술/NNG+에/JKB
관심을	관심/NNG+을/JKO
가지는	가지/VV+는/ETM
사회	사회/NNG
분위기가	분위기/NNG+가/JKS
형성돼야	형성/NNG+되/XSV+어야/EC
상상력과	상상력/NNG+과/JC
창의력도	창의력/NNG+도/JX
발휘될	발휘/NNG+되/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
기반을	기반/NNG+을/JKO
조성하는	조성/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
재단의	재단/NNG+의/JKG
역할이라고	역할/NNG+이/VCP+라고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


