# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.342
metadata : {}


# id : NWRW1800000030.342.1.1
나눔의 메시지… 정치참여 선언보다 더 극적 효과 •안철수 원장 주식 절반 기부 - 야권의 쏟아지는 통합신당 참여 압박에 '기부정치'로 대답

나눔의	나누/VV+ㅁ/ETN+의/JKG
안 원장은 '나눔과 희망' '더불어 사는 사회'를 강조하면서 "제가 이룬 것은 저만의 것이 아니다" "'영혼이 있는 기업'을 만들기 위해 애써왔다"고 했다.

안	안/NNP
원장은	원장/NNG+은/JX
'나눔과	'/SS+나누/VV+ㅁ/ETN+과/JC
희망'	희망/NNG+'/SS
'더불어	'/SS+더불/VV+어/EC
사는	살/VV+는/ETM
사회'를	사회/NNG+'/SS+를/JKO
강조하면서	강조/NNG+하/XSV+면서/EC
"제가	"/SS+제/NP+가/JKS
이룬	이루/VV+ㄴ/ETM
것은	것/NNB+은/JX
저만의	저/NP+만/JX+의/JKG
것이	것/NNB+이/JKC
아니다"	아니/VCN+다/EF+"/SS
"'영혼이	"/SS+'/SS+영혼/NNG+이/JKS
있는	있/VA+는/ETM
기업'을	기업/NNG+'/SS+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
애써왔다"고	애쓰/VV+어/EC+오/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.5.2
그는 "전쟁의 폐허와 분단의 아픔을 딛고 유례없는 성장과 발전을 이룩해 온 우리 사회가 최근 큰 시련을 겪고 있다"면서 "건강한 중산층이 무너지고 젊은 세대들이 좌절하고 실의에 빠져 있다"고 했다.

그는	그/NP+는/JX
"전쟁의	"/SS+전쟁/NNG+의/JKG
폐허와	폐허/NNG+와/JC
분단의	분단/NNG+의/JKG
아픔을	아픔/NNG+을/JKO
딛고	딛/VV+고/EC
유례없는	유례없/VA+는/ETM
성장과	성장/NNG+과/JC
발전을	발전/NNG+을/JKO
이룩해	이룩하/VV+아/EC
온	오/VX+ㄴ/ETM
우리	우리/NP
사회가	사회/NNG+가/JKS
최근	최근/NNG
큰	크/VA+ㄴ/ETM
시련을	시련/NNG+을/JKO
겪고	겪/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"건강한	"/SS+건강/NNG+하/XSA+ㄴ/ETM
중산층이	중산/NNG+층/XSN+이/JKS
무너지고	무너지/VV+고/EC
젊은	젊/VA+은/ETM
세대들이	세대/NNG+들/XSN+이/JKS
좌절하고	좌절/NNG+하/XSV+고/EC
실의에	실의/NNG+에/JKB
빠져	빠지/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.5.3
이어 "국가 사회가 일거에 이를 해결할 수 없을 것"이라며 "더 혜택받은 입장에서 공동체를 위해 공헌하는 '노블레스 오블리주'가 필요할 때"라고 했다.

이어	이어/MAG
"국가	"/SS+국가/NNG
사회가	사회/NNG+가/JKS
일거에	일거/NNG+에/JKB
이를	이/NP+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"더	"/SS+더/MAG
혜택받은	혜택/NNG+받/XSV+은/ETM
입장에서	입장/NNG+에서/JKB
공동체를	공동체/NNG+를/JKO
위해	위하/VV+아/EC
공헌하는	공헌/NNG+하/XSV+는/ETM
'노블레스	'/SS+노블레스/NNG
오블리주'가	오블리주/NNG+'/SS+가/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
때"라고	때/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.6.1
안 원장 측은 "재산 환원은 정치와는 무관하다"고 했지만, 기업인이나 교수의 삶을 넘어서서 정치인 안철수의 생각을 밝힌 것으로 보인다.

안	안/NNP
원장	원장/NNG
측은	측/NNB+은/JX
"재산	"/SS+재산/NNG
환원은	환원/NNG+은/JX
정치와는	정치/NNG+와/JKB+는/JX
무관하다"고	무관하/VA+다/EF+"/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
기업인이나	기업인/NNG+이나/JC
교수의	교수/NNG+의/JKG
삶을	삶/NNG+을/JKO
넘어서서	넘어서/VV+어서/EC
정치인	정치인/NNG
안철수의	안철수/NNP+의/JKG
생각을	생각/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.342.7.1
안 원장의 재산 환원은 그동안 이명박 대통령과 정몽준 전 한나라당 대표 등 기업인 출신 정치인들이 정치적 고비마다 발표했던 사재 출연과 다르지 않다.

안	안/NNP
원장의	원장/NNG+의/JKG
재산	재산/NNG
환원은	환원/NNG+은/JX
그동안	그동안/NNG
이명박	이명박/NNP
대통령과	대통령/NNG+과/JC
정몽준	정몽준/NNP
전	전/MMD
한나라당	한나라당/NNP
대표	대표/NNG
등	등/NNB
기업인	기업인/NNG
출신	출신/NNG
정치인들이	정치인/NNG+들/XSN+이/JKS
정치적	정치/NNG+적/XSN
고비마다	고비/NNG+마다/JX
발표했던	발표/NNG+하/XSV+았/EP+던/ETM
사재	사재/NNG
출연과	출연/NNG+과/JKB
다르지	다르/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.342.7.2
재산 환원을 통해 자신의 정치적 입지를 높이는 것이다.

재산	재산/NNG
환원을	환원/NNG+을/JKO
통해	통하/VV+아/EC
자신의	자신/NNG+의/JKG
정치적	정치/NNG+적/XSN
입지를	입지/NNG+를/JKO
높이는	높이/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.342.7.3
그러나 안 원장의 경우 평소 사회적 공헌을 강조해 왔고 자신이 직접 일군 기업을 사회에 돌려준다는 측면에서 차원이 다르다는 얘기도 나온다.

그러나	그러나/MAJ
안	안/NNP
원장의	원장/NNG+의/JKG
경우	경우/NNG
평소	평소/NNG
사회적	사회/NNG+적/XSN
공헌을	공헌/NNG+을/JKO
강조해	강조/NNG+하/XSV+아/EC
왔고	오/VX+았/EP+고/EC
자신이	자신/NNG+이/JKS
직접	직접/MAG
일군	일구/VV+ㄴ/ETM
기업을	기업/NNG+을/JKO
사회에	사회/NNG+에/JKB
돌려준다는	돌려주/VV+ㄴ다는/ETM
측면에서	측면/NNG+에서/JKB
차원이	차원/NNG+이/JKS
다르다는	다르/VA+다는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.342.8.1
◇관망속 독자 세력화 가능성

◇관망속	◇/SW+관망/NNG+속/NNG
독자	독자/NNG
세력화	세력/NNG+화/XSN
가능성	가능/NNG+성/XSN


# id : NWRW1800000030.342.9.1
안 원장의 발표는 회사 직원들조차 예상치 못한 '깜짝 이벤트'였다.

안	안/NNP
원장의	원장/NNG+의/JKG
발표는	발표/NNG+는/JX
회사	회사/NNG
직원들조차	직원/NNG+들/XSN+조차/JX
예상치	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
'깜짝	'/SS+깜짝/MAG
이벤트'였다.	이벤트/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.342.9.2
안철수연구소 관계자는 "안 원장이 개인적으로 고민해 결정한 것"이라고 했다.

안철수연구소	안철수연구소/NNP
관계자는	관계자/NNG+는/JX
"안	"/SS+안/NNP
원장이	원장/NNG+이/JKS
개인적으로	개인/NNG+적/XSN+으로/JKB
고민해	고민/NNG+하/XSV+아/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.10.1
정치권의 '야권 통합신당 참여' 요구와 '독자 신당 창당설' 등이 쏟아지는 시점에서 발표가 나온 것도 주목할 대목이다.

정치권의	정치/NNG+권/XSN+의/JKG
'야권	'/SS+야권/NNG
통합신당	통합신당/NNP
참여'	참여/NNG+'/SS
요구와	요구/NNG+와/JC
'독자	'/SS+독자/NNG
신당	신당/NNG
창당설'	창당설/NNG+'/SS
등이	등/NNB+이/JKS
쏟아지는	쏟아지/VV+는/ETM
시점에서	시점/NNG+에서/JKB
발표가	발표/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것도	것/NNB+도/JX
주목할	주목/NNG+하/XSV+ㄹ/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.342.10.2
여론의 관심이 집중된 상황인 만큼 재산 환원의 효과가 극대화될 수 있다.

여론의	여론/NNG+의/JKG
관심이	관심/NNG+이/JKS
집중된	집중/NNG+되/XSV+ㄴ/ETM
상황인	상황/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
재산	재산/NNG
환원의	환원/NNG+의/JKG
효과가	효과/NNG+가/JKS
극대화될	극대/NNG+화/XSN+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.342.10.3
재산 환원을 이슈화함으로써 야권의 '통합신당 참여' 압박을 피하려는 의도도 있어 보인다.

재산	재산/NNG
환원을	환원/NNG+을/JKO
이슈화함으로써	이슈/NNG+화/XSN+하/XSV+ㅁ/ETN+으로써/JKB
야권의	야권/NNG+의/JKG
'통합신당	'/SS+통합신당/NNP
참여'	참여/NNG+'/SS
압박을	압박/NNG+을/JKO
피하려는	피하/VV+려는/ETM
의도도	의도/NNG+도/JX
있어	있/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.342.10.4
안 원장은 그동안 야권의 러브콜에도 일절 반응하지 않았었다.

안	안/NNP
원장은	원장/NNG+은/JX
그동안	그동안/NNG
야권의	야권/NNG+의/JKG
러브콜에도	러브콜/NNG+에/JKB+도/JX
일절	일절/MAG
반응하지	반응/NNG+하/XSV+지/EC
않았었다.	않/VX+았었/EP+다/EF+./SF


# id : NWRW1800000030.342.10.5
사회적 약자 배려를 강조해온 안 원장이 최근 안철수연구소의 주가 급등으로 적잖은 심적 부담을 느꼈다는 얘기도 나온다.

사회적	사회/NNG+적/XSN
약자	약자/NNG
배려를	배려/NNG+를/JKO
강조해온	강조/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
안	안/NNP
원장이	원장/NNG+이/JKS
최근	최근/NNG
안철수연구소의	안철수연구소/NNP+의/JKG
주가	주가/NNG
급등으로	급등/NNG+으로/JKB
적잖은	적잖/VA+은/ETM
심적	심적/NNG
부담을	부담/NNG+을/JKO
느꼈다는	느끼/VV+었/EP+다는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.342.11.1
안 원장의 정치 참여 시점은 내년 이후가 될 것이란 관측이 나온다.

안	안/NNP
원장의	원장/NNG+의/JKG
정치	정치/NNG
참여	참여/NNG
시점은	시점/NNG+은/JX
내년	내년/NNG
이후가	이후/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.342.11.2
안 원장은 최근 "나는 의사를 그만둘 때도 6개월을 고민했고, '안철수연구소' CEO를 그만둘 때는 1년을 고민했다"고 주변에 말했다 한다.

안	안/NNP
원장은	원장/NNG+은/JX
최근	최근/NNG
"나는	"/SS+나/NP+는/JX
의사를	의사/NNG+를/JKO
그만둘	그만두/VV+ㄹ/ETM
때도	때/NNG+도/JX
6개월을	6/SN+개월/NNB+을/JKO
고민했고,	고민/NNG+하/XSV+았/EP+고/EC+,/SP
'안철수연구소'	'/SS+안철수연구소/NNP+'/SS
CEO를	CEO/SL+를/JKO
때는	때/NNG+는/JX
1년을	1/SN+년/NNB+을/JKO
고민했다"고	고민/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
주변에	주변/NNG+에/JKB
말했다	말/NNG+하/XSV+았/EP+다/EF
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.342.11.3
정치 참여 시기와 방법을 두고 오랜 시간 고민할 가능성이 크다.

정치	정치/NNG
참여	참여/NNG
시기와	시기/NNG+와/JC
방법을	방법/NNG+을/JKO
두고	두/VV+고/EC
오랜	오랜/MMA
시간	시간/NNG
고민할	고민/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.342.11.4
안 원장은 주변 인사들에게 "섣불리 아무 말이나 하고 싶지 않다. 우선 대학 일에 집중하겠다"는 뜻을 밝힌 것으로 알려졌다.

안	안/NNP
원장은	원장/NNG+은/JX
주변	주변/NNG
인사들에게	인사/NNG+들/XSN+에게/JKB
"섣불리	"/SS+섣불리/MAG
아무	아무/MMD
말이나	말/NNG+이나/JX
하고	하/VV+고/EC
싶지	싶/VX+지/EC
않다.	않/VX+다/EF+./SF
우선	우선/MAG
대학	대학/NNG
일에	일/NNG+에/JKB
집중하겠다"는	집중/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
뜻을	뜻/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.342.12.1
안 원장이 신당 창당을 택할지, 야권행을 택할지도 관심사다.

안	안/NNP
원장이	원장/NNG+이/JKS
신당	신당/NNG
창당을	창당/NNG+을/JKO
택할지,	택하/VV+ㄹ지/EC+,/SP
야권행을	야권행/NNG+을/JKO
택할지도	택하/VV+ㄹ지/EC+도/JX
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.342.12.2
여권에선 "안 원장이 정치를 하더라도 꼭 야권으로 간다고 보는 것은 오산"이라고 했다.

여권에선	여권/NNG+에서/JKB+ㄴ/JX
"안	"/SS+안/NNP
원장이	원장/NNG+이/JKS
정치를	정치/NNG+를/JKO
하더라도	하/VV+더라도/EC
꼭	꼭/MAG
야권으로	야권/NNG+으로/JKB
간다고	가/VV+ㄴ다고/EC
보는	보/VX+는/ETM
것은	것/NNB+은/JX
오산"이라고	오산/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.12.3
그러나 박원순 시장 측 관계자는 "안 원장은 상식에 기초해 판단하는 분"이라며 "자신의 대권을 위해 신당을 만들기보다는 야권 통합이라는 대의를 따를 것"이라고 했다.

그러나	그러나/MAJ
박원순	박원순/NNP
시장	시장/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
"안	"/SS+안/NNP
원장은	원장/NNG+은/JX
상식에	상식/NNG+에/JKB
기초해	기초/NNG+하/XSV+아/EC
판단하는	판단/NNG+하/XSV+는/ETM
분"이라며	분/NNB+"/SS+이/VCP+라며/EC
"자신의	"/SS+자신/NNG+의/JKG
대권을	대권/NNG+을/JKO
위해	위하/VV+아/EC
신당을	신당/NNG+을/JKO
만들기보다는	만들/VV+기/ETN+보다/JKB+는/JX
야권	야권/NNG
통합이라는	통합/NNG+이/VCP+라는/ETM
대의를	대의/NNG+를/JKO
따를	따르/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.12.4
김형준 명지대 교수는 "중도를 표방하는 안 원장이 당장 야권으로 가기보다는 총선 이후 독자 세력화를 꾀할 가능성이 커 보인다"고 했다.

김형준	김형준/NNP
명지대	명지대/NNP
교수는	교수/NNG+는/JX
"중도를	"/SS+중도/NNG+를/JKO
표방하는	표방/NNG+하/XSV+는/ETM
안	안/NNP
원장이	원장/NNG+이/JKS
당장	당장/NNG
야권으로	야권/NNG+으로/JKB
가기보다는	가/VV+기/ETN+보다/JKB+는/JX
총선	총선/NNG
이후	이후/NNG
독자	독자/NNG
세력화를	세력/NNG+화/XSN+를/JKO
꾀할	꾀하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


