# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.34
metadata : {}


# id : NWRW1800000045.34.1.1
[Money&life]年 6∼7%대 수익 기대… 분산투자로 주식보다 안정적

[Money&life]年	[/SS+Money/SL+&/SW+life/SL+]/SS+年/SH
등으로도	등/NNB+으로/JKB+도/JX
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.34.9.3
두루두루 랩과 펀드는 대우증권의 모든 영업점에서 가입할 수 있다.

두루두루	두루두루/MAG
랩과	랩/NNG+과/JC
펀드는	펀드/NNG+는/JX
대우증권의	대우증권/NNP+의/JKG
모든	모든/MMN
영업점에서	영업점/NNG+에서/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


