# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.175
metadata : {}


# id : NWRW1800000033.175.1.1
[휴지통]“개그가 아닙니다” 개그맨 전유성-도의원 막말 싸움

[휴지통]“개그가	[/SS+휴지통/NNG+]/SS+“/SS+개그/NNG+가/JKC
보자마자	보/VV+자마자/EC
서로	서로/MAG
헐뜯는	헐뜯/VV+는/ETM
말싸움을	말싸움/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.175.3.4
전 씨가 먼저 크게 화를 내며 “야 이○○, 도의원이면 다야 건방진 ○○”라며 욕설을 퍼부었다.

전	전/NNP
씨가	씨/NNB+가/JKS
먼저	먼저/MAG
크게	크/VA+게/EC
화를	화/NNG+를/JKO
내며	내/VV+며/EC
“야	“/SS+야/IC
이○○,	이/MMD+○/SW+○/SW+,/SP
도의원이면	도/NNG+의원/NNG+이/VCP+면/EC
다야	다/NNG+이/VCP+야/EF
건방진	건방지/VA+ㄴ/ETM
○○”라며	○/SW+○/SW+”/SS+이/VCP+라며/EC
욕설을	욕설/NNG+을/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.175.3.5
이에 질세라 박 의원 역시 “뭐 이런 ○○가 있어.

이에	이/NP+에/JKB
질세라	지/VV+ㄹ세라/EC
박	박/NNP
의원	의원/NNG
역시	역시/MAG
“뭐	“/SS+뭐/NP
이런	이런/MMD
○○가	○/SW+○/SW+가/JKS
있어.	있/VA+어/EF+./SF


# id : NWRW1800000033.175.3.6
네가 잘났으면 얼마나 잘났냐”라며 전 씨를 향해 손가락질을 해댔다.

네가	네/NP+가/JKS
잘났으면	잘나/VV+았/EP+으면/EC
얼마나	얼마나/MAG
잘났냐”라며	잘나/VV+았/EP+냐/EF+”/SS+이/VCP+라며/EC
전	전/NNP
씨를	씨/NNB+를/JKO
향해	향하/VV+아/EC
손가락질을	손가락/NNG+질/XSN+을/JKO
해댔다.	하/VV+아/EC+대/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.175.3.7
목격자들에 따르면 두 사람의 말다툼과 실랑이는 5분여 동안 계속되면서 몸싸움 직전까지 갔다.

목격자들에	목격자/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
두	두/MMN
사람의	사람/NNG+의/JKG
말다툼과	말다툼/NNG+과/JC
실랑이는	실랑이/NNG+는/JX
5분여	5/SN+분/NNB+여/XSN
동안	동안/NNG
계속되면서	계속/NNG+되/XSV+면서/EC
몸싸움	몸싸움/NNG
직전까지	직전/NNG+까지/JX
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.175.3.8
주위 사람들이 나서 두 사람들을 뜯어 말리고서야 사태는 겨우 진정됐다.

주위	주위/NNG
사람들이	사람/NNG+들/XSN+이/JKS
나서	나서/VV+어/EC
두	두/MMN
사람들을	사람/NNG+들/XSN+을/JKO
뜯어	뜯/VV+어/EC
말리고서야	말리/VV+고서/EC+야/JX
사태는	사태/NNG+는/JX
겨우	겨우/MAG
진정됐다.	진정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.175.4.1
이들의 싸움은 전 씨가 2009년부터 청도에서 공연 중인 ‘개나소나콘서트’ 공연 예산 삭감 때문에 빚어졌다.

이들의	이/NP+들/XSN+의/JKG
싸움은	싸움/NNG+은/JX
전	전/NNP
씨가	씨/NNB+가/JKS
2009년부터	2009/SN+년/NNB+부터/JX
청도에서	청도/NNP+에서/JKB
공연	공연/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
‘개나소나콘서트’	‘/SS+개/NNG+나/JX+소/NNG+나/JX+콘서트/NNG+’/SS
예산	예산/NNG
삭감	삭감/NNG
때문에	때문/NNB+에/JKB
빚어졌다.	빚어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.175.4.2
경북도의회가 최근 이 공연 예산 2000만 원을 전액 삭감하는 과정에 청도 출신 박 의원이 주도적으로 참여한 데 따른 것이다.

경북도의회가	경북도의회/NNP+가/JKS
최근	최근/MAG
이	이/MMD
공연	공연/NNG
예산	예산/NNG
2000만	2000/SN+만/NR
원을	원/NNB+을/JKO
전액	전액/NNG
삭감하는	삭감/NNG+하/XSV+는/ETM
과정에	과정/NNG+에/JKB
청도	청도/NNP
출신	출신/NNG
박	박/NNP
의원이	의원/NNG+이/JKS
주도적으로	주도/NNG+적/XSN+으로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.175.4.3
개나소나콘서트는 생명 존중에 대한 인식을 높이기 위해 관람객들이 애완견과 함께 공연을 즐기는 청도의 대표 문화공연으로 자리 잡았다.

개나소나콘서트는	개/NNG+나/JX+소/NNG+나/JX+콘서트/NNG+는/JX
생명	생명/NNG
존중에	존중/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
관람객들이	관람객/NNG+들/XSN+이/JKS
애완견과	애완견/NNG+과/JKB
함께	함께/MAG
공연을	공연/NNG+을/JKO
즐기는	즐기/VV+는/ETM
청도의	청도/NNP+의/JKG
대표	대표/NNG
문화공연으로	문화/NNG+공연/NNG+으로/JKB
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.175.4.4
전 씨는 2007년 위출혈로 방송 활동을 접고 휴식차 전국을 돌다가 청도의 풍광에 반해 그해 말 청도로 내려와 카페와 코미디 전용극장을 열었다.

전	전/NNP
씨는	씨/NNB+는/JX
2007년	2007/SN+년/NNB
위출혈로	위/NNG+출혈/NNG+로/JKB
방송	방송/NNG
활동을	활동/NNG+을/JKO
접고	접/VV+고/EC
휴식차	휴식차/NNG
전국을	전국/NNG+을/JKO
돌다가	돌/VV+다가/EC
청도의	청도/NNP+의/JKG
풍광에	풍광/NNG+에/JKB
반해	반하/VV+아/EC
그해	그해/NNG
말	말/NNB
청도로	청도/NNP+로/JKB
내려와	내려오/VV+아/EC
카페와	카페/NNG+와/JC
코미디	코미디/NNG
전용극장을	전용/NNG+극장/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


