# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.128
metadata : {}


# id : NWRW1800000053.128.1.1
빌보드 “BTS, 미국인이 생각하는 관객 참여 개념을 근본부터 뒤집어”

빌보드	빌보드/NNP
실제로 인스타그램에는 현장에서 촬영한 아미의 팬 찬트 영상과 ‘놀랍다’는 반응이 게시된 것을 어렵지 않게 찾을 수 있었다.

실제로	실제로/MAG
인스타그램에는	인스타그램/NNP+에/JKB+는/JX
현장에서	현장/NNG+에서/JKB
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
아미의	아미/NNP+의/JKG
팬	팬/NNG
찬트	찬트/NNG
영상과	영상/NNG+과/JC
‘놀랍다’는	‘/SS+놀랍/VA+다/EF+’/SS+는/ETM
반응이	반응/NNG+이/JKS
게시된	게시/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
어렵지	어렵/VA+지/EC
않게	않/VX+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.128.6.2
빌보드는 “한국에서는 대체로 팬들의 응원 소리가 더 클수록 아티스트의 인기가 많다”며 “현지 팬들이 방탄이 고국에서와 같이 응원 받고 있다는 느낌을 주기 위해 팬 찬트를 부르는 듯했다”고 분석했다.

빌보드는	빌보드/NNP+는/JX
“한국에서는	“/SS+한국/NNP+에서/JKB+는/JX
대체로	대체로/MAG
팬들의	팬/NNG+들/XSN+의/JKG
응원	응원/NNG
소리가	소리/NNG+가/JKS
더	더/MAG
클수록	크/VA+ㄹ수록/EC
아티스트의	아티스트/NNG+의/JKG
인기가	인기/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“현지	“/SS+현지/NNG
팬들이	팬/NNG+들/XSN+이/JKS
방탄이	방탄/NNP+이/JKS
고국에서와	고국/NNG+에서/JKB+와/JKB
같이	같이/MAG
받고	받/XSV+고/EC
있다는	있/VX+다는/ETM
느낌을	느낌/NNG+을/JKO
주기	주/VV+기/ETN
위해	위하/VV+아/EC
팬	팬/NNG
찬트를	찬트/NNG+를/JKO
부르는	부르/VV+는/ETM
듯했다”고	듯/NNB+하/XSA+았/EP+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.128.7.1
실제로 케이팝 아이돌을 좋아하는 팬들은 한국 팬의 문화를 그대로 흡수하는 모습을 보인다.

실제로	실제로/MAG
케이팝	케이팝/NNG
아이돌을	아이돌/NNG+을/JKO
좋아하는	좋아하/VV+는/ETM
팬들은	팬/NNG+들/XSN+은/JX
한국	한국/NNP
팬의	팬/NNG+의/JKG
문화를	문화/NNG+를/JKO
그대로	그대로/MAG
흡수하는	흡수/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.128.8.1
응원하는 아티스트의 음원을 순위권에 들게 하기 위해 하는 ‘스밍’(반복적으로 스트리밍하는 것)을 해외 팬들도 따라한다.

응원하는	응원/NNG+하/XSV+는/ETM
아티스트의	아티스트/NNG+의/JKG
음원을	음원/NNG+을/JKO
순위권에	순위/NNG+권/XSN+에/JKB
들게	들/VV+게/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
하는	하/VV+는/ETM
‘스밍’(반복적으로	‘/SS+스밍/NNG+’/SS+(/SS+반복/NNG+적/XSN+으로/JKB
스트리밍하는	스트리밍/NNG+하/XSV+는/ETM
것)을	것/NNB+)/SS+을/JKO
해외	해외/NNG
팬들도	팬/NNG+들/XSN+도/JX
따라한다.	따르/VV+아/EC+하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.128.8.2
유튜브의 DNA 뮤직비디오에는 ‘1억 뷰에 거의 다 왔으니 스트리밍을 멈추지 말라’거나 ‘목표를 달성했으니 나도 좀 쉬고 컴퓨터도 쉬어야겠다’는 영어 댓글이 달려 있다.

유튜브의	유튜브/NNP+의/JKG
DNA	DNA/SL
뮤직비디오에는	뮤직비디오/NNG+에/JKB+는/JX
‘1억	‘/SS+1/SN+억/NR
뷰에	뷰/NNG+에/JKB
거의	거의/MAG
다	다/MAG
왔으니	오/VV+았/EP+으니/EC
스트리밍을	스트리밍/NNG+을/JKO
멈추지	멈추/VV+지/EC
말라’거나	말/VX+라/EF+’/SS+거나/EC
‘목표를	‘/SS+목표/NNG+를/JKO
달성했으니	달성/NNG+하/XSV+았/EP+으니/EC
나도	나/NP+도/JX
좀	좀/MAG
쉬고	쉬/VV+고/EC
컴퓨터도	컴퓨터/NNG+도/JX
쉬어야겠다’는	쉬/VV+어야/EC+하/VX+겠/EP+다/EF+’/SS+는/ETM
영어	영어/NNP
댓글이	댓글/NNG+이/JKS
달려	달리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.128.8.3
덕분에 두 달 전 공개된 영상은 1억6000만 뷰를 넘겼다.

덕분에	덕분/NNG+에/JKB
두	두/MMN
달	달/NNB
전	전/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
영상은	영상/NNG+은/JX
1억6000만	1/SN+억/NR+6000/SN+만/NR
뷰를	뷰/NNG+를/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.128.9.1
방탄소년단은 이런 ‘충성’에 보답하듯 ‘2017 아메리칸 뮤직 어워즈(AMA)’ 무대를 마치자마자 숙소에서 모바일 라이브 영상을 통해 다시 팬들을 만났다.

방탄소년단은	방탄소년단/NNP+은/JX
이런	이런/MMD
‘충성’에	‘/SS+충성/NNG+’/SS+에/JKB
보답하듯	보답/NNG+하/XSV+듯/EC
‘2017	‘/SS+2017/SN
아메리칸	아메리칸/NNP
뮤직	뮤직/NNG
어워즈(AMA)’	어워즈/NNG+(/SS+AMA/SL+)/SS+’/SS
무대를	무대/NNG+를/JKO
마치자마자	마치/VV+자마자/EC
숙소에서	숙소/NNG+에서/JKB
모바일	모바일/NNG
라이브	라이브/NNG
영상을	영상/NNG+을/JKO
통해	통하/VV+아/EC
다시	다시/MAG
팬들을	팬/NNG+들/XSN+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.128.9.2
아미들은 “방탄소년단이 팬을 만나기 위해 애프터파티도 포기했다”며 감동했다.

아미들은	아미/NNP+들/XSN+은/JX
“방탄소년단이	“/SS+방탄소년단/NNP+이/JKS
팬을	팬/NNG+을/JKO
만나기	만나/VV+기/ETN
위해	위하/VV+아/EC
애프터파티도	애프터파티/NNG+도/JX
포기했다”며	포기/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
감동했다.	감동/NNG+하/XSV+았/EP+다/EF+./SF


