# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.36
metadata : {}


# id : NWRW1800000052.36.1.1
경제단체 “김영란법 합헌 결정 존중…금액 기준 높여야”

경제단체	경제/NNG+단체/NNG
소상공인연합회·직능경제인단체총연합회·외식업중앙회로 구성된 전국자영업자총연대는 28일 헌재 결정 직후 논평에서 “경제적 부작용과 부정적 파장을 현장에서 겪을 소상공인업계는 벌써부터 막막함이 엄습한다”며 “자영업자들은 일터를 잃게 되고 삶의 터전을 떠나 거리로 나서는 수순을 밟게 될 것”이라고 밝혔다.

소상공인연합회·직능경제인단체총연합회·외식업중앙회로	소/XPN+상공인/NNG+연합회/NNG+·/SP+직능/NNG+경제인/NNG+단체/NNG+총/MMA+연합회/NNG+·/SP+외식업/NNG+중앙회/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
전국자영업자총연대는	전국자영업자총연대/NNP+는/JX
28일	28/SN+일/NNB
헌재	헌재/NNG
결정	결정/NNG
직후	직후/NNG
논평에서	논평/NNG+에서/JKB
“경제적	“/SS+경제/NNG+적/XSN
부작용과	부작용/NNG+과/JC
부정적	부정/NNG+적/XSN
파장을	파장/NNG+을/JKO
현장에서	현장/NNG+에서/JKB
겪을	겪/VV+을/ETM
소상공인업계는	소/XPN+상공인/NNG+업계/NNG+는/JX
벌써부터	벌써/MAG+부터/JX
막막함이	막막하/VA+ㅁ/ETN+이/JKS
엄습한다”며	엄습/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“자영업자들은	“/SS+자영업자/NNG+들/XSN+은/JX
일터를	일터/NNG+를/JKO
잃게	잃/VV+게/EC
되고	되/VV+고/EC
삶의	삶/NNG+의/JKG
터전을	터전/NNG+을/JKO
떠나	떠나/VV+아/EC
거리로	거리/NNG+로/JKB
나서는	나서/VV+는/ETM
수순을	수순/NNG+을/JKO
밟게	밟/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.36.3.4
이들은 현실을 반영해 법 시행에 앞서 시행령을 반드시 수정해야 한다고 주장했다.

이들은	이/NP+들/XSN+은/JX
현실을	현실/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
법	법/NNG
시행에	시행/NNG+에/JKB
앞서	앞서/VV+어/EC
시행령을	시행령/NNG+을/JKO
반드시	반드시/MAG
수정해야	수정/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.36.3.5
적용 품목 가운데 농·수·축산물과 화훼는 배제하고, 식사는 3만원에서 5만원으로, 선물은 5만원에서 7만~10만원으로 제한 금액을 올려야 한다는 것이다.

적용	적용/NNG
품목	품목/NNG
가운데	가운데/NNG
농·수·축산물과	농·수·축산물/NNG+과/JC
화훼는	화훼/NNG+는/JX
배제하고,	배제/NNG+하/XSV+고/EC+,/SP
식사는	식사/NNG+는/JX
3만원에서	3/SN+만/NR+원/NNB+에서/JKB
5만원으로,	5/SN+만/NR+원/NNB+으로/JKB+,/SP
선물은	선물/NNG+은/JX
5만원에서	5/SN+만/NR+원/NNB+에서/JKB
7만~10만원으로	7/SN+만/NR+~/SO+10/SN+만/NR+원/NNB+으로/JKB
제한	제한/NNG
금액을	금액/NNG+을/JKO
올려야	올리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.36.4.1
전국경제인연합회 이용우 사회본부장은 “헌재 결정을 존중한다.

전국경제인연합회	전국경제인연합회/NNP
이용우	이용우/NNP
사회본부장은	사회/NNG+본부장/NNG+은/JX
“헌재	“/SS+헌재/NNG
결정을	결정/NNG+을/JKO
존중한다.	존중/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.36.4.2
다만 어려운 경제 상황에 부정적 영향을 미치지 않도록 주무부처인 국민권익위가 법 적용에 대해 보다 구체적인 가이드라인을 마련해야 한다”고 밝혔다.

다만	다만/MAG
어려운	어렵/VA+ㄴ/ETM
경제	경제/NNG
상황에	상황/NNG+에/JKB
부정적	부정/NNG+적/XSN
영향을	영향/NNG+을/JKO
미치지	미치/VV+지/EC
않도록	않/VX+도록/EC
주무부처인	주무/NNG+부처/NNG+이/VCP+ㄴ/ETM
국민권익위가	국민/NNG+권익위/NNG+가/JKS
법	법/NNG
적용에	적용/NNG+에/JKB
대해	대하/VV+아/EC
보다	보다/MAG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
가이드라인을	가이드라인/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.36.4.3
전경련은 그동안 김영란법 시행에 따른 관련 업계 피해액이 11조6천억원으로 예상된다며 식사비·선물비 허용 한도 상향 조정 등을 주장해왔다.

전경련은	전경련/NNP+은/JX
그동안	그동안/NNG
김영란법	김영란법/NNG
시행에	시행/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
관련	관련/NNG
업계	업계/NNG
피해액이	피해액/NNG+이/JKS
11조6천억원으로	11/SN+조/NR+6/SN+천억/NR+원/NNB+으로/JKB
예상된다며	예상/NNG+되/XSV+ㄴ다며/EC
식사비·선물비	식사비/NNG+·/SP+선물비/NNG
허용	허용/NNG
한도	한도/NNG
상향	상향/NNG
조정	조정/NNG
등을	등/NNB+을/JKO
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.36.5.1
중소기업중앙회도 논평에서 “부패 방지 법률의 한계를 보완하고 공공부문의 신뢰 향상을 기한다는 법 취지를 고려한 것으로 판단하며, 헌재 결정을 통해 우리 사회가 보다 성숙한 사회로 도약하는 계기가 되길 기대한다”고 밝혔다.

중소기업중앙회도	중소기업/NNG+중앙회/NNG+도/JX
논평에서	논평/NNG+에서/JKB
“부패	“/SS+부패/NNG
방지	방지/NNG
법률의	법률/NNG+의/JKG
한계를	한계/NNG+를/JKO
보완하고	보완/NNG+하/XSV+고/EC
공공부문의	공공/NNG+부문/NNG+의/JKG
신뢰	신뢰/NNG
향상을	향상/NNG+을/JKO
기한다는	기하/VV+ㄴ다는/ETM
법	법/NNG
취지를	취지/NNG+를/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단하며,	판단/NNG+하/XSV+며/EC+,/SP
헌재	헌재/NNG
결정을	결정/NNG+을/JKO
통해	통하/VV+아/EC
우리	우리/NP
사회가	사회/NNG+가/JKS
보다	보다/MAG
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
사회로	사회/NNG+로/JKB
도약하는	도약/NNG+하/XSV+는/ETM
계기가	계기/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.36.5.2
다만 “우리 경제·사회 현실과 함께 직접적 피해가 예상되는 소상공인, 농림축수산인에 대한 세심한 배려도 요구된다”며 “각계각층의 충분한 논의와 사회적 합의를 통해 법 제정 취지를 살리되, 시행령에서 규정하는 금품가액의 범위를 상향해야 한다”고 주장했다.

다만	다만/MAG
“우리	“/SS+우리/NP
경제·사회	경제/NNG+·/SP+사회/NNG
현실과	현실/NNG+과/JKB
함께	함께/MAG
직접적	직접/NNG+적/XSN
피해가	피해/NNG+가/JKS
예상되는	예상/NNG+되/XSV+는/ETM
소상공인,	소/XPN+상공인/NNG+,/SP
농림축수산인에	농림/NNG+축수산인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세심한	세심하/VA+ㄴ/ETM
배려도	배려/NNG+도/JX
요구된다”며	요구/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“각계각층의	“/SS+각계각층/NNG+의/JKG
충분한	충분하/VA+ㄴ/ETM
논의와	논의/NNG+와/JC
사회적	사회/NNG+적/XSN
합의를	합의/NNG+를/JKO
통해	통하/VV+아/EC
법	법/NNG
제정	제정/NNG
취지를	취지/NNG+를/JKO
살리되,	살리/VV+되/EC+,/SP
시행령에서	시행령/NNG+에서/JKB
규정하는	규정/NNG+하/XSV+는/ETM
금품가액의	금품/NNG+가액/NNG+의/JKG
범위를	범위/NNG+를/JKO
상향해야	상향/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.36.6.1
선물세트 판매 급감 등을 우려해온 백화점 등 유통업계는 추석을 앞두고 5만원대 이하 실속형 선물세트 비중을 전년 대비 20~30%가량 확대하는 등 법 시행에 대비해왔다.

선물세트	선물/NNG+세트/NNG
판매	판매/NNG
급감	급감/NNG
등을	등/NNB+을/JKO
우려해온	우려/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
백화점	백화점/NNG
등	등/NNB
유통업계는	유통업/NNG+계/XSN+는/JX
추석을	추석/NNG+을/JKO
앞두고	앞두/VV+고/EC
5만원대	5/SN+만/NR+원/NNB+대/XSN
이하	이하/NNG
실속형	실속/NNG+형/XSN
비중을	비중/NNG+을/JKO
전년	전년/NNG
대비	대비/NNG
20~30%가량	20/SN+~/SO+30/SN+%/SW+가량/XSN
확대하는	확대/NNG+하/XSV+는/ETM
법	법/NNG
시행에	시행/NNG+에/JKB
대비해왔다.	대비/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.36.6.2
한 백화점 관계자는 “명절 선물의 매출 비중은 1% 미만이어서 큰 타격은 없을 것 같다”고 말했다.

한	한/MMN
백화점	백화점/NNG
관계자는	관계자/NNG+는/JX
“명절	“/SS+명절/NNG
선물의	선물/NNG+의/JKG
매출	매출/NNG
비중은	비중/NNG+은/JX
1%	1/SN+%/SW
미만이어서	미만/NNG+이/VCP+어서/EC
큰	크/VA+ㄴ/ETM
타격은	타격/NNG+은/JX
없을	없/VA+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.36.7.1
대기업들은 공무원과 언론인들을 접촉하는 부서에서 법 시행 때 어떤 문제가 발생할 수 있는지에 관해 법무팀을 중심으로 검토하고 있다.

대기업들은	대/XPN+기업/NNG+들/XSN+은/JX
공무원과	공무원/NNG+과/JC
언론인들을	언론인/NNG+들/XSN+을/JKO
접촉하는	접촉/NNG+하/XSV+는/ETM
부서에서	부서/NNG+에서/JKB
법	법/NNG
시행	시행/NNG
때	때/NNG
어떤	어떤/MMD
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는지에	있/VA+는지/EF+에/JKB
관해	관하/VV+아/EC
법무팀을	법무/NNG+팀/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.36.7.2
엘지(LG)그룹은 “임직원들이 업무 수행 중 일어날 수 있는 사례들을 점검하는 한편 국민권익위원회의 법규 해설집과 교육자료를 중심으로 법을 준수할 수 있도록 사내교육도 계획하고 있다”고 밝혔다.

엘지(LG)그룹은	엘지/NNP+(/SS+LG/SL+)/SS+그룹/NNG+은/JX
“임직원들이	“/SS+임직원/NNG+들/XSN+이/JKS
업무	업무/NNG
수행	수행/NNG
중	중/NNB
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사례들을	사례/NNG+들/XSN+을/JKO
점검하는	점검/NNG+하/XSV+는/ETM
한편	한편/NNG
국민권익위원회의	국민/NNG+권익/NNG+위원회/NNG+의/JKG
법규	법규/NNG
해설집과	해설집/NNG+과/JC
교육자료를	교육/NNG+자료/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
법을	법/NNG+을/JKO
준수할	준수/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
사내교육도	사내/NNG+교육/NNG+도/JX
계획하고	계획/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


