# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.150
metadata : {}


# id : NWRW1800000030.150.1.1
"부산저축銀 브로커인 박태규 송환 협조를"

"부산저축銀	"/SS+부산/NNP+저축/NNG+銀/SH
대검 중수부는 이날 전남 순천시 왕지동 아파트 건설 사업과 관련해 2008년 10월 부산저축은행 김양(59) 부회장에게 3000만원을 받은 혐의로 서갑원(49) 전 민주당 의원을 소환 조사했다.

대검	대검/NNG
중수부는	중수부/NNG+는/JX
이날	이날/NNG
전남	전남/NNP
순천시	순천시/NNP
왕지동	왕지동/NNP
아파트	아파트/NNG
건설	건설/NNG
사업과	사업/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
2008년	2008/SN+년/NNB
10월	10/SN+월/NNB
부산저축은행	부산저축은행/NNP
김양(59)	김양/NNP+(/SS+59/SN+)/SS
부회장에게	부회장/NNG+에게/JKB
3000만원을	3000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
서갑원(49)	서갑원/NNP+(/SS+49/SN+)/SS
전	전/MMD
민주당	민주당/NNP
의원을	의원/NNG+을/JKO
소환	소환/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.4.4
서 전 의원은 "김 부회장을 다른 사람과 함께 몇 번 만났으나, 돈을 받지 않았다"고 말했다.

서	서/NNP
전	전/MMD
의원은	의원/NNG+은/JX
"김	"/SS+김/NNP
부회장을	부회장/NNG+을/JKO
다른	다른/MMD
사람과	사람/NNG+과/JKB
함께	함께/MAG
몇	몇/NR
번	번/NNB
만났으나,	만나/VV+았/EP+으나/EC+,/SP
돈을	돈/NNG+을/JKO
받지	받/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.5.1
서울중앙지법은 부산저축은행에서 8000만원을 받은 혐의를 받고 있는 김해수(53) 전 청와대 정무비서관에 대해 중수부가 청구한 영장을 "증거인멸 우려가 없고 피의자(김씨)의 방어권을 보장할 필요가 있다"며 기각했다.

서울중앙지법은	서울중앙지법/NNP+은/JX
부산저축은행에서	부산저축은행/NNP+에서/JKB
8000만원을	8000/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김해수(53)	김해수/NNP+(/SS+53/SN+)/SS
전	전/MMD
청와대	청와대/NNP
정무비서관에	정무/NNG+비서관/NNG+에/JKB
대해	대하/VV+아/EC
중수부가	중수부/NNG+가/JKS
청구한	청구/NNG+하/XSV+ㄴ/ETM
영장을	영장/NNG+을/JKO
"증거인멸	"/SS+증거/NNG+인멸/NNG
우려가	우려/NNG+가/JKS
없고	없/VA+고/EC
피의자(김씨)의	피의자/NNG+(/SS+김/NNP+씨/NNB+)/SS+의/JKG
방어권을	방어/NNG+권/XSN+을/JKO
보장할	보장/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.6.1
삼화저축은행 비리를 수사 중인 서울중앙지검 금융조세조사1부(부장 이석환)는 이 은행 신삼길(53·구속기소) 명예회장에게서 억대 금품을 받았다는 의혹을 산 공성진(58) 전 한나라당 의원을 참고인 자격으로 소환 조사했다.

삼화저축은행	삼화저축은행/NNP
비리를	비리/NNG+를/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
금융조세조사1부(부장	금융/NNG+조세/NNG+조사/NNG+1/SN+부/NNG+(/SS+부장/NNG
이석환)는	이석환/NNP+)/SS+는/JX
이	이/MMD
은행	은행/NNG
신삼길(53·구속기소)	신삼길/NNP+(/SS+53/SN+·/SP+구속/NNG+기소/NNG+)/SS
명예회장에게서	명예/NNG+회장/NNG+에게서/JKB
억대	억/NR+대/XSN
금품을	금품/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
산	살/VV+ㄴ/ETM
공성진(58)	공성진/NNP+(/SS+58/SN+)/SS
전	전/MMD
한나라당	한나라당/NNP
의원을	의원/NNG+을/JKO
참고인	참고인/NNG
자격으로	자격/NNG+으로/JKB
소환	소환/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.6.2
검찰은 지난 2005~2008년 공 전 의원의 여동생이 매달 500만원씩 받은 1억8000만원이 공 전 의원에게 건너갔는지 조사했다.

검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2005~2008년	2005/SN+~/SO+2008/SN+년/NNB
공	공/NNP
전	전/MMD
의원의	의원/NNG+의/JKG
여동생이	여동생/NNG+이/JKS
매달	매달/MAG
500만원씩	500/SN+만/NR+원/NNB+씩/XSN
받은	받/VV+은/ETM
1억8000만원이	1/SN+억/NR+8000/SN+만/NR+원/NNB+이/JKS
의원에게	의원/NNG+에게/JKB
건너갔는지	건너가/VV+았/EP+는지/EF
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.6.3
공 전 의원은 "동생이 컨설팅 대가로 받은 것"이라는 입장이다.

공	공/NNP
전	전/MMD
의원은	의원/NNG+은/JX
"동생이	"/SS+동생/NNG+이/JKS
컨설팅	컨설팅/NNG
대가로	대가/NNG+로/JKB
받은	받/VV+은/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


