# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.163
metadata : {}


# id : NWRW1800000044.163.1.1
“인천 아시안게임에 북한선수단 참가 낙관”

“인천	“/SS+인천/NNP
재미있는	재미있/VA+는/ETM
개막식이	개막식/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
점은	점/NNG+은/JX
확실하다”고	확실하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.163.7.1
조직위는 아시안게임을 앞두고 소치 겨울올림픽(2월), 브라질 월드컵(6월)이 열리는 점을 우려하고 있다.

조직위는	조직위/NNG+는/JX
아시안게임을	아시안/NNP+게임/NNG+을/JKO
앞두고	앞두/VV+고/EC
소치	소치/NNP
겨울올림픽(2월),	겨울/NNG+올림픽/NNG+(/SS+2/SN+월/NNB+)/SS+,/SP
브라질	브라질/NNP
월드컵(6월)이	월드컵/NNG+(/SS+6/SN+월/NNB+)/SS+이/JKS
열리는	열리/VV+는/ETM
점을	점/NNG+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.163.7.2
자칫 이들 대형 행사에 아시안게임이 가려버릴 수도 있기 때문이다.

자칫	자칫/MAG
이들	이/NP+들/XSN
대형	대형/NNG
행사에	행사/NNG+에/JKB
아시안게임이	아시안/NNP+게임/NNG+이/JKS
가려버릴	가리/VV+어/EC+버리/VX+ㄹ/ETM
수도	수/NNB+도/JX
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.163.7.3
조직위 관계자는 “올림픽과 월드컵에 홍보대사를 파견하고 국민들을 대상으로 집중적으로 홍보해 성공한 대회가 되도록 하겠다”고 말했다.

조직위	조직위/NNG
관계자는	관계자/NNG+는/JX
“올림픽과	“/SS+올림픽/NNG+과/JC
월드컵에	월드컵/NNG+에/JKB
홍보대사를	홍보/NNG+대사/NNG+를/JKO
파견하고	파견/NNG+하/XSV+고/EC
국민들을	국민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
홍보해	홍보/NNG+하/XSV+아/EC
성공한	성공/NNG+하/XSV+ㄴ/ETM
대회가	대회/NNG+가/JKC
되도록	되/VV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.163.8.1
김 위원장은 “원래 아시아올림픽평의회(OCA)에 내게 돼 있는 입장권 판매 수익의 20%를 면제받기로 해 70억원의 수익이 발생하고 마케팅 분야에서도 예상보다 수십억원 넘는 수익을 거둘 것으로 보인다”고 했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
“원래	“/SS+원래/MAG
아시아올림픽평의회(OCA)에	아시아올림픽평의회/NNP+(/SS+OCA/SL+)/SS+에/JKB
내게	나/NP+에게/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
입장권	입장/NNG+권/XSN
판매	판매/NNG
수익의	수익/NNG+의/JKG
20%를	20/SN+%/SW+를/JKO
면제받기로	면제/NNG+받/XSV+기/ETN+로/JKB
해	하/VV+아/EC
70억원의	70/SN+억/NR+원/NNB+의/JKG
수익이	수익/NNG+이/JKS
발생하고	발생/NNG+하/XSV+고/EC
마케팅	마케팅/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
예상보다	예상/NNG+보다/JKB
수십억원	수십억/NR+원/NNB
넘는	넘/VV+는/ETM
수익을	수익/NNG+을/JKO
거둘	거두/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.163.8.2
제17회 인천아시안게임은 오는 9월19일부터 10월4일까지 아시아 45개 회원국 2만3000여명이 참여한 가운데 인천과 주변 도시에서 열린다.

제17회	제/XPN+17/SN+회/NNB
인천아시안게임은	인천/NNP+아시안/NNP+게임/NNG+은/JX
오는	오/VV+는/ETM
9월19일부터	9/SN+월/NNB+19/SN+일/NNB+부터/JX
10월4일까지	10/SN+월/NNB+4/SN+일/NNB+까지/JX
아시아	아시아/NNP
45개	45/SN+개/NNB
회원국	회원국/NNG
2만3000여명이	2/SN+만/NR+3000/SN+여/XSN+명/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
인천과	인천/NNP+과/JC
주변	주변/NNG
도시에서	도시/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


