# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.15
metadata : {}


# id : NWRW1800000025.15.1.1
18도에 묶인 정부청사… 장관도 “너무 추워”

18도에	18/SN+도/NNB+에/JKB
사무실을	사무실/NNG+을/JKO
돌며	돌/VV+며/EC
전열기가	전열기/NNG+가/JKS
있는지	있/VA+는지/EF
살펴본다.	살펴보/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.15.5.3
지경부 관계자는 “주무부처가 앞장서서 지켜야 하지 않겠느냐”고 말했지만 문제는 다음 날이었다.

지경부	지경부/NNG
관계자는	관계자/NNG+는/JX
“주무부처가	“/SS+주무/NNG+부처/NNG+가/JKS
앞장서서	앞장서/VV+어서/EC
지켜야	지키/VV+어야/EC
하지	하/VX+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했지만	말/NNG+하/XSV+았/EP+지만/EC
문제는	문제/NNG+는/JX
다음	다음/NNG
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.15.6.1
13일 사상 최악의 한파가 몰아치자 곳곳에서 “추워서 일을 못하겠다”는 불만이 터져 나왔다.

13일	13/SN+일/NNB
사상	사상/NNG
최악의	최악/NNG+의/JKG
한파가	한파/NNG+가/JKS
몰아치자	몰아치/VV+자/EC
곳곳에서	곳곳/NNG+에서/JKB
“추워서	“/SS+춥/VA+어서/EC
일을	일/NNG+을/JKO
못하겠다”는	못/MAG+하/VV+겠/EP+다/EF+”/SS+는/ETM
불만이	불만/NNG+이/JKS
터져	터지/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.15.6.2
1층에 위치한 사무실의 온도가 한낮에도 11도에 그치는 등 햇빛이 들지 않거나 난방이 잘 안 되는 방의 수은주는 급강하했다.

1층에	1/SN+층/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
사무실의	사무실/NNG+의/JKG
온도가	온도/NNG+가/JKS
한낮에도	한/XPN+낮/NNG+에/JKB+도/JX
11도에	11/SN+도/NNB+에/JKB
그치는	그치/VV+는/ETM
등	등/NNB
햇빛이	햇빛/NNG+이/JKS
들지	들/VV+지/EC
않거나	않/VX+거나/EC
난방이	난방/NNG+이/JKS
잘	잘/MAG
안	안/MAG
되는	되/VV+는/ETM
방의	방/NNG+의/JKG
수은주는	수은주/NNG+는/JX
급강하했다.	급강하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.15.6.3
항의가 빗발치자 담당 부서에서는 “18도라는 지침은 있지만 몇 도 이상으로 하라는 지침은 없다.

항의가	항의/NNG+가/JKS
빗발치자	빗발치/VV+자/EC
담당	담당/NNG
부서에서는	부서/NNG+에서/JKB+는/JX
“18도라는	“/SS+18/SN+도/NNB+이/VCP+라는/ETM
지침은	지침/NNG+은/JX
있지만	있/VV+지만/EC
몇	몇/NR
도	도/NNB
이상으로	이상/NNG+으로/JKB
하라는	하/VV+라는/ETM
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.15.6.4
개별적으로 알아서 하는 수밖에 없다”며 곤혹스러워했다.

개별적으로	개별/NNG+적/XSN+으로/JKB
알아서	알/VV+아서/EC
하는	하/VV+는/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
곤혹스러워했다.	곤혹/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.15.7.1
이는 비단 지경부만의 상황은 아니다.

이는	이/NP+는/JX
비단	비단/MAG
지경부만의	지경부/NNG+만/JX+의/JKG
상황은	상황/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000025.15.7.2
과천청사가 지은 지 오래돼 단열이 잘 안 되기 때문.

과천청사가	과천청사/NNP+가/JKS
지은	짓/VV+ㄴ/ETM
지	지/NNB
오래돼	오래/MAG+되/XSA+어/EC
단열이	단열/NNG+이/JKS
잘	잘/MAG
안	안/MAG
되기	되/VV+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.15.7.3
따라서 공무원들에게 조끼, 내복, 무릎담요는 ‘필수품’이 됐다.

따라서	따라서/MAJ
공무원들에게	공무원/NNG+들/XSN+에게/JKB
조끼,	조끼/NNG+,/SP
내복,	내복/NNG+,/SP
무릎담요는	무릎/NNG+담요/NNG+는/JX
‘필수품’이	‘/SS+필수품/NNG+’/SS+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.15.7.4
농림수산식품부 관계자는 “추우니 어쩔 수 없다”며 “위에서 시키지 않아도 알아서 내복과 조끼를 입는다”고 말했다.

농림수산식품부	농림/NNG+수산/NNG+식품부/NNG
관계자는	관계자/NNG+는/JX
“추우니	“/SS+춥/VA+으니/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“위에서	“/SS+위/NNG+에서/JKB
시키지	시키/VV+지/EC
않아도	않/VX+아도/EC
알아서	알/VV+아서/EC
내복과	내복/NNG+과/JC
조끼를	조끼/NNG+를/JKO
입는다”고	입/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.15.8.1
볼멘소리도 나오지만 “어쩔 수 없다”는 의견도 만만치 않다.

볼멘소리도	볼멘소리/NNG+도/JX
나오지만	나오/VV+지만/EC
“어쩔	“/SS+어쩌/VV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
의견도	의견/NNG+도/JX
만만치	만만하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.15.8.2
지경부의 한 국장은 “공무원들이 평소처럼 난방을 하면서 국민들에게 에너지를 절약해 달라고 호소할 수는 없다”며 “힘들더라도 공무원들이 솔선수범해야 하지 않겠느냐”고 말했다.

지경부의	지경부/NNG+의/JKG
한	한/MMN
국장은	국장/NNG+은/JX
“공무원들이	“/SS+공무원/NNG+들/XSN+이/JKS
평소처럼	평소/NNG+처럼/JKB
난방을	난방/NNG+을/JKO
하면서	하/VV+면서/EC
국민들에게	국민/NNG+들/XSN+에게/JKB
에너지를	에너지/NNG+를/JKO
절약해	절약/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
호소할	호소/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“힘들더라도	“/SS+힘들/VA+더라도/EC
공무원들이	공무원/NNG+들/XSN+이/JKS
솔선수범해야	솔선수범/NNG+하/XSV+아야/EC
하지	하/VX+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


