# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.250
metadata : {}


# id : NWRW1800000048.250.1.1
‘차벽’ 없으니 ‘충돌’도 없었다

‘차벽’	‘/SS+차/NNG+벽/NNG+’/SS
이들은 지난 18일 1차 추모집회 당시 차벽으로 도심을 원천봉쇄해 교통대란과 시위대와의 충돌을 빚은 경찰의 과잉 대응을 비판했다.

이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
1차	1/SN+차/NNB
추모집회	추모/NNG+집회/NNG
당시	당시/NNG
차벽으로	차/NNG+벽/NNG+으로/JKB
도심을	도심/NNG+을/JKO
원천봉쇄해	원천/NNG+봉쇄/NNG+하/XSV+아/EC
교통대란과	교통대란/NNG+과/JC
시위대와의	시위대/NNG+와/JKB+의/JKG
충돌을	충돌/NNG+을/JKO
빚은	빚/VV+은/ETM
경찰의	경찰/NNG+의/JKG
과잉	과잉/NNG
대응을	대응/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.7.3
경기도 부천에서 왔다는 김성애(47)씨는 “지난 집회에서 ‘우리가 가해자냐’고 절규하며 연행당하는 유가족의 모습을 보고 오늘 행진에 참가하게 됐다”고 했다.

경기도	경기도/NNP
부천에서	부천/NNP+에서/JKB
왔다는	오/VV+았/EP+다는/ETM
김성애(47)씨는	김성애/NNP+(/SS+47/SN+)/SS+씨/NNB+는/JX
“지난	“/SS+지나/VV+ㄴ/ETM
집회에서	집회/NNG+에서/JKB
‘우리가	‘/SS+우리/NP+가/JKS
가해자냐’고	가해자/NNG+이/VCP+냐/EF+’/SS+고/JKQ
절규하며	절규/NNG+하/XSV+며/EC
연행당하는	연행/NNG+당하/XSV+는/ETM
유가족의	유가족/NNG+의/JKG
모습을	모습/NNG+을/JKO
보고	보/VV+고/EC
오늘	오늘/NNG
행진에	행진/NNG+에/JKB
참가하게	참가/NNG+하/XSV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.7.4
시민들은 정부의 세월호특별법 시행령안 폐기 등을 요구했다.

시민들은	시민/NNG+들/XSN+은/JX
정부의	정부/NNG+의/JKG
세월호특별법	세월호/NNP+특별법/NNG
시행령안	시행령안/NNG
폐기	폐기/NNG
등을	등/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.8.1
우려했던 충돌은 벌어지지 않았다.

우려했던	우려/NNG+하/XSV+았/EP+던/ETM
충돌은	충돌/NNG+은/JX
벌어지지	벌어지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.250.8.2
세월호 국민대책위원회는 26일 “지난 18일 집회와 달리 경찰 차벽이 없었고 문화제를 할 수 있는 공간도 확보돼 경찰에 항의할 일도 없었다.

세월호	세월호/NNP
국민대책위원회는	국민/NNG+대책/NNG+위원회/NNG+는/JX
26일	26/SN+일/NNB
“지난	“/SS+지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
집회와	집회/NNG+와/JKB
달리	달리/MAG
경찰	경찰/NNG
차벽이	차/NNG+벽/NNG+이/JKS
없었고	없/VA+었/EP+고/EC
문화제를	문화제/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간도	공간/NNG+도/JX
확보돼	확보/NNG+되/XSV+어/EC
경찰에	경찰/NNG+에/JKB
항의할	항의/NNG+하/XSV+ㄹ/ETM
일도	일/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.250.8.3
집회가 끝난 뒤에 행진을 했던 지난 1차 집회와 성격도 달랐다”고 했다.

집회가	집회/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
행진을	행진/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
지난	지나/VV+ㄴ/ETM
1차	1/SN+차/NNB
집회와	집회/NNG+와/JKB
성격도	성격/NNG+도/JX
달랐다”고	다르/VA+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.9.1
경찰은 이날 67개 중대 5300여명과 차량 20여대를 광화문광장 주변에 배치했지만 차벽을 설치하지는 않았다.

경찰은	경찰/NNG+은/JX
이날	이날/NNG
67개	67/SN+개/NNB
중대	중대/NNG
5300여명과	5300/SN+여/XSN+명/NNB+과/JC
차량	차량/NNG
20여대를	20/SN+여/XSN+대/NNB+를/JKO
광화문광장	광화문광장/NNP
주변에	주변/NNG+에/JKB
배치했지만	배치/NNG+하/XSV+았/EP+지만/EC
차벽을	차/NNG+벽/NNG+을/JKO
설치하지는	설치/NNG+하/XSV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.250.9.2
앞서 경찰은 차벽 과잉 사용에 대한 비판 여론이 일자 “불법·폭력시위가 발생할 경우에만 제한적으로 차벽을 설치하겠다”고 밝힌 바 있다.

앞서	앞서/MAG
경찰은	경찰/NNG+은/JX
차벽	차/NNG+벽/NNG
과잉	과잉/NNG
사용에	사용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판	비판/NNG
여론이	여론/NNG+이/JKS
일자	일/VV+자/EC
“불법·폭력시위가	“/SS+불법/NNG+·/SP+폭력/NNG+시위/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우에만	경우/NNG+에/JKB+만/JX
제한적으로	제한/NNG+적/XSN+으로/JKB
차벽을	차/NNG+벽/NNG+을/JKO
설치하겠다”고	설치/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.250.9.3
경찰청 경비과 관계자는 “시민들이 광화문 북단이나 청와대로 진출하려 하지 않았기 때문에 차벽을 설치하지 않았다”고 했다.

경찰청	경찰청/NNG
경비과	경비과/NNG
관계자는	관계자/NNG+는/JX
“시민들이	“/SS+시민/NNG+들/XSN+이/JKS
광화문	광화문/NNP
북단이나	북단/NNG+이나/JC
청와대로	청와대/NNP+로/JKB
진출하려	진출/NNG+하/XSV+려/EC
하지	하/VX+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
차벽을	차/NNG+벽/NNG+을/JKO
설치하지	설치/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.10.1
한편 새달 1~2일 노동자와 시민들이 참여하는 세월호 철야집회 참가자들이 청와대로의 행진을 예고한 상황이어서 경찰의 차벽 설치와 충돌이 우려된다.

한편	한편/MAG
새달	새달/NNG
1~2일	1/SN+~/SO+2/SN+일/NNB
노동자와	노동자/NNG+와/JC
시민들이	시민/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
세월호	세월호/NNP
철야집회	철야/NNG+집회/NNG
참가자들이	참가자/NNG+들/XSN+이/JKS
청와대로의	청와대/NNP+로/JKB+의/JKG
행진을	행진/NNG+을/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
경찰의	경찰/NNG+의/JKG
차벽	차/NNG+벽/NNG
설치와	설치/NNG+와/JC
충돌이	충돌/NNG+이/JKS
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


