# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.203
metadata : {}


# id : NWRW1800000022.203.1.1
[제주] 해안어장 6곳 '해산물 채취 체험장'으로 개방

[제주]	[/SS+제주/NNP+]/SS
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.203.4.1
이들 어촌계에는 소득연계사업 명목으로 연간 3000만~5000만원을 지원한다.

이들	이/NP+들/XSN
어촌계에는	어촌계/NNG+에/JKB+는/JX
소득연계사업	소득/NNG+연계/NNG+사업/NNG
명목으로	명목/NNG+으로/JKB
연간	연간/NNG
3000만~5000만원을	3000/SN+만/NR+~/SO+5000/SN+만/NR+원/NNB+을/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.203.4.2
강문수 제주도 해양정책과장은 "개방을 신청한 15곳 가운데 어촌계 총회에서 의결되고 접근성과 자연경관이 뛰어난 곳을 우선 선정했다"고 말했다.

강문수	강문수/NNP
제주도	제주도/NNP
해양정책과장은	해양/NNG+정책과장/NNG+은/JX
"개방을	"/SS+개방/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
15곳	15/SN+곳/NNG
가운데	가운데/NNG
어촌계	어촌계/NNG
총회에서	총회/NNG+에서/JKB
의결되고	의결/NNG+되/XSV+고/EC
접근성과	접근/NNG+성/XSN+과/JC
자연경관이	자연/NNG+경관/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
곳을	곳/NNG+을/JKO
우선	우선/MAG
선정했다"고	선정/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.203.5.1
그동안 제주지역 일부 어촌계가 특정 시기나 특정 일에 어장을 관광객에게 개방한 적은 있지만 연중 개방되는 곳은 없었다.

그동안	그동안/NNG
제주지역	제주지역/NNP
일부	일부/NNG
어촌계가	어촌계/NNG+가/JKS
특정	특정/NNG
시기나	시기/NNG+나/JC
일에	일/NNG+에/JKB
어장을	어장/NNG+을/JKO
관광객에게	관광객/NNG+에게/JKB
개방한	개방/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
있지만	있/VA+지만/EC
연중	연중/NNG
개방되는	개방/NNG+되/XSV+는/ETM
곳은	곳/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.203.5.2
개방된 어장이라도 잠수어업인들이 수산자원을 방류해 기르는 깊은 바다에서의 채취행위와 작살 등의 포획도구를 사용해서는 안 된다.

개방된	개방/NNG+되/XSV+ㄴ/ETM
어장이라도	어장/NNG+이/VCP+라도/EC
잠수어업인들이	잠수/NNG+어업인/NNG+들/XSN+이/JKS
수산자원을	수산/NNG+자원/NNG+을/JKO
방류해	방류/NNG+하/XSV+아/EC
기르는	기르/VV+는/ETM
깊은	깊/VA+은/ETM
바다에서의	바다/NNG+에서/JKB+의/JKG
채취행위와	채취/NNG+행위/NNG+와/JC
작살	작살/NNG
등의	등/NNB+의/JKG
포획도구를	포획/NNG+도구/NNG+를/JKO
사용해서는	사용/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.203.5.3
또 수산자원보호령에 해산물을 잡을 수 없도록 규정된 크기와 채취 금지 기간은 반드시 지켜야 한다.

또	또/MAG
수산자원보호령에	수산/NNG+자원/NNG+보호령/NNG+에/JKB
해산물을	해산물/NNG+을/JKO
잡을	잡/VV+을/ETM
수	수/NNB
없도록	없/VA+도록/EC
규정된	규정/NNG+되/XSV+ㄴ/ETM
크기와	크기/NNG+와/JC
채취	채취/NNG
금지	금지/NNG
기간은	기간/NNG+은/JX
반드시	반드시/MAG
지켜야	지키/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.203.6.1
수산물별 채취금지 크기나 기간은 다음과 같다.

수산물별	수산물/NNG+별/XSN
채취금지	채취/NNG+금지/NNG
크기나	크기/NNG+나/JC
기간은	기간/NNG+은/JX
다음과	다음/NNG+과/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000022.203.6.2
▲소라 8㎝ 이하, 6월 1일~8월 31일 ▲전복 10㎝ 이하, 10월 1일~12월 31일 ▲우뭇가사리 11월 1일~4월 30일 ▲오분자기 4㎝ 이하 ▲해삼 7월 1~31일 ▲톳 10월 1일~1월 31일

▲소라	▲/SW+소라/NNG
8㎝	8/SN+㎝/SW
이하,	이하/NNG+,/SP
6월	6/SN+월/NNB
1일~8월	1/SN+일/NNB+~/SO+8/SN+월/NNB
31일	31/SN+일/NNB
▲전복	▲/SW+전복/NNG
10㎝	10/SN+㎝/SW
10월	10/SN+월/NNB
1일~12월	1/SN+일/NNB+~/SO+12/SN+월/NNB
▲우뭇가사리	▲/SW+우뭇가사리/NNG
11월	11/SN+월/NNB
1일~4월	1/SN+일/NNB+~/SO+4/SN+월/NNB
30일	30/SN+일/NNB
▲오분자기	▲/SW+오분자기/NNG
4㎝	4/SN+㎝/SW
이하	이하/NNG
▲해삼	▲/SW+해삼/NNG
7월	7/SN+월/NNB
1~31일	1/SN+~/SO+31/SN+일/NNB
▲톳	▲/SW+톳/NNG
1일~1월	1/SN+일/NNB+~/SO+1/SN+월/NNB


