# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.216
metadata : {}


# id : NWRW1800000030.216.1.1
퇴출선수에서 없어선 안 될 선수로

퇴출선수에서	퇴출/NNG+선수/NNG+에서/JKB
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
이대호(22개)에	이대호/NNP+(/SS+22/SN+개/NNB+)/SS+에/JKB
1개	1/SN+개/NNB
차로	차/NNG+로/JKB
바짝	바짝/MAG
따라붙었다.	따라붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.216.4.3
그는 "몰아치기에 능한 대호형이랑 경쟁하는데 1위 탈환은 아직 멀었다"며 "올스타전 홈런왕 레이스 때 흔들린 타격 밸런스를 정상으로 돌리는 것이 더 급한 과제다"고 했다.

그는	그/NP+는/JX
"몰아치기에	"/SS+몰아치/VV+기/ETN+에/JKB
능한	능하/VA+ㄴ/ETM
대호형이랑	대호/NNP+형/NNB+이랑/JKB
경쟁하는데	경쟁/NNG+하/XSV+는데/EC
1위	1/SN+위/NNB
탈환은	탈환/NNG+은/JX
아직	아직/MAG
멀었다"며	멀/VA+었/EP+다/EF+"/SS+며/EC
"올스타전	"/SS+올스타전/NNG
홈런왕	홈런왕/NNG
레이스	레이스/NNG
때	때/NNG
흔들린	흔들리/VV+ㄴ/ETM
타격	타격/NNG
밸런스를	밸런스/NNG+를/JKO
정상으로	정상/NNG+으로/JKB
돌리는	돌리/VV+는/ETM
것이	것/NNB+이/JKS
더	더/MAG
급한	급하/VA+ㄴ/ETM
과제다"고	과제/NNG+이/VCP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.216.5.1
최형우는 원래 '홈런왕'이라는 말과는 거리가 먼 선수였다.

최형우는	최형우/NNP+는/JX
원래	원래/MAG
'홈런왕'이라는	'/SS+홈런왕/NNG+'/SS+이/VCP+라는/ETM
말과는	말/NNG+과/JKB+는/JX
거리가	거리/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
선수였다.	선수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.216.5.2
2002년 삼성에 2차 6라운드 48순위로 입단한 그는 1군에서 6경기만 뛰고 2005년 10월 팀에서 방출됐다.

2002년	2002/SN+년/NNB
삼성에	삼성/NNP+에/JKB
2차	2/SN+차/NNB
6라운드	6/SN+라운드/NNG
48순위로	48/SN+순위/NNG+로/JKB
입단한	입단/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
1군에서	1/SN+군/NNG+에서/JKB
6경기만	6/SN+경기/NNG+만/JX
뛰고	뛰/VV+고/EC
2005년	2005/SN+년/NNB
10월	10/SN+월/NNB
팀에서	팀/NNG+에서/JKB
방출됐다.	방출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.216.5.3
군 복무를 위해 상무에 입단하려고 했지만 그마저도 실패했다.

군	군/NNG
복무를	복무/NNG+를/JKO
위해	위하/VV+아/EC
상무에	상무/NNP+에/JKB
입단하려고	입단/NNG+하/XSV+려고/EC
했지만	하/VX+았/EP+지만/EC
그마저도	그/NP+마저/JX+도/JX
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.216.5.4
하지만 그해 경찰청야구단이 생기면서 기회가 왔다.

하지만	하지만/MAJ
그해	그해/NNG
경찰청야구단이	경찰청/NNG+야구단/NNG+이/JKS
생기면서	생기/VV+면서/EC
기회가	기회/NNG+가/JKS
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.216.5.5
2군 무대에서 꾸준히 경기에 나설 수 있었던 최형우는 자신만의 타격폼을 만들어갔다.

2군	2/SN+군/NNG
무대에서	무대/NNG+에서/JKB
꾸준히	꾸준히/MAG
경기에	경기/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
최형우는	최형우/NNP+는/JX
자신만의	자신/NNG+만/JX+의/JKG
타격폼을	타격/NNG+폼/NNG+을/JKO
만들어갔다.	만들/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.216.6.1
"입대 전에는 왜 야구를 하는지도 모른 채 코치진의 지시를 따라가기에 바빴어요.

"입대	"/SS+입대/NNG
전에는	전/NNG+에/JKB+는/JX
왜	왜/MAG
야구를	야구/NNG+를/JKO
하는지도	하/VV+는지/EC+도/JX
모른	모르/VV+ㄴ/ETM
채	채/NNB
코치진의	코치진/NNG+의/JKG
지시를	지시/NNG+를/JKO
따라가기에	따라가/VV+기/ETN+에/JKB
바빴어요.	바쁘/VA+았/EP+어요/EF+./SF


# id : NWRW1800000030.216.6.2
김용철 감독님이 기회를 많이 주셔서 저만의 스타일을 찾을 수 있었고 야구의 재미도 알게 됐죠."

김용철	김용철/NNP
감독님이	감독/NNG+님/XSN+이/JKS
기회를	기회/NNG+를/JKO
많이	많이/MAG
주셔서	주/VV+시/EP+어서/EC
저만의	저/NP+만/JX+의/JKG
스타일을	스타일/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있었고	있/VA+었/EP+고/EC
야구의	야구/NNG+의/JKG
재미도	재미/NNG+도/JX
알게	알/VV+게/EC
됐죠."	되/VV+었/EP+죠/EF+./SF+"/SS


# id : NWRW1800000030.216.7.1
2군에서 좋은 활약을 펼쳤던 최형우는 전역 이후 다른 구단의 입단 제의를 뿌리치고 다시 삼성에 입단했다.

2군에서	2/SN+군/NNG+에서/JKB
좋은	좋/VA+은/ETM
활약을	활약/NNG+을/JKO
펼쳤던	펼치/VV+었/EP+던/ETM
최형우는	최형우/NNP+는/JX
전역	전역/NNG
이후	이후/NNG
다른	다른/MMD
구단의	구단/NNG+의/JKG
입단	입단/NNG
제의를	제의/NNG+를/JKO
뿌리치고	뿌리치/VV+고/EC
다시	다시/MAG
삼성에	삼성/NNP+에/JKB
입단했다.	입단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.216.7.2
자신을 버렸던 야속한 친정팀이었지만 권혁, 안지만, 조동찬 등 동갑내기 선수들과의 우정을 잊지 못해 다시 삼성 유니폼을 입었다.

자신을	자신/NNG+을/JKO
버렸던	버리/VV+었/EP+던/ETM
야속한	야속/NNG+하/XSA+ㄴ/ETM
친정팀이었지만	친정/NNG+팀/NNG+이/VCP+었/EP+지만/EC
권혁,	권혁/NNP+,/SP
안지만,	안지만/NNP+,/SP
조동찬	조동찬/NNP
등	등/NNB
동갑내기	동갑내기/NNG
선수들과의	선수/NNG+들/XSN+과/JKB+의/JKG
우정을	우정/NNG+을/JKO
잊지	잊/VV+지/EC
못해	못하/VX+아/EC
다시	다시/MAG
삼성	삼성/NNP
유니폼을	유니폼/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.216.7.3
2008년부터 삼성의 붙박이 1군 선수로 뛰기 시작한 그는 4년 만에 팀에 없어서는 안 될 선수가 됐다.

2008년부터	2008/SN+년/NNB+부터/JX
삼성의	삼성/NNP+의/JKG
붙박이	붙박이/NNG
1군	1/SN+군/NNG
선수로	선수/NNG+로/JKB
뛰기	뛰/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
팀에	팀/NNG+에/JKB
없어서는	없/VA+어서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
선수가	선수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.216.7.4
이제는 '홈런왕' 자리를 놓고 프로야구 최고의 타자라고 불리는 이대호와 당당히 겨룰 수 있는 위치까지 오른 것이다.

이제는	이제/NNG+는/JX
'홈런왕'	'/SS+홈런왕/NNG+'/SS
자리를	자리/NNG+를/JKO
놓고	놓/VV+고/EC
프로야구	프로/NNG+야구/NNG
최고의	최고/NNG+의/JKG
타자라고	타자/NNG+이/VCP+라고/EC
불리는	불리/VV+는/ETM
이대호와	이대호/NNP+와/JKB
당당히	당당히/MAG
겨룰	겨루/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
위치까지	위치/NNG+까지/JX
오른	오르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.216.8.1
최형우는 '3년 연속 20홈런' 달성에도 성공했다.

최형우는	최형우/NNP+는/JX
'3년	'/SS+3/SN+년/NNB
연속	연속/NNG
20홈런'	20/SN+홈런/NNG+'/SS
달성에도	달성/NNG+에/JKB+도/JX
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.216.8.2
그 와중에도 타율 0.313, 73타점을 기록하며 팀 승리에 보탬이 되는 타격을 이어갔다.

그	그/MMD
와중에도	와중/NNG+에/JKB+도/JX
타율	타율/NNG
0.313,	0/SN+./SP+313/SN+,/SP
73타점을	73/SN+타점/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
팀	팀/NNG
승리에	승리/NNG+에/JKB
보탬이	보탬/NNG+이/JKC
되는	되/VV+는/ETM
타격을	타격/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.216.8.3
최형우는 "지금까지 따라온 이상 홈런왕 타이틀에 끝까지 도전하겠다"며 "2002년에는 2군에서 지켜보기만 했던 팀 우승을 내 손으로 일궈내는 것이 또 다른 목표"라고 말했다.

최형우는	최형우/NNP+는/JX
"지금까지	"/SS+지금/NNG+까지/JX
따라온	따라오/VV+ㄴ/ETM
이상	이상/NNG
홈런왕	홈런왕/NNG
타이틀에	타이틀/NNG+에/JKB
끝까지	끝/NNG+까지/JX
도전하겠다"며	도전/NNG+하/XSV+겠/EP+다/EF+"/SS+며/EC
"2002년에는	"/SS+2002/SN+년/NNB+에/JKB+는/JX
2군에서	2/SN+군/NNG+에서/JKB
지켜보기만	지켜보/VV+기/ETN+만/JX
했던	하/VX+았/EP+던/ETM
팀	팀/NNG
우승을	우승/NNG+을/JKO
내	나/NP+의/JKG
손으로	손/NNG+으로/JKB
일궈내는	일구/VV+어/EC+내/VX+는/ETM
것이	것/NNB+이/JKS
또	또/MAG
다른	다른/MMD
목표"라고	목표/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


