# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.377
metadata : {}


# id : NWRW1800000049.377.1.1
남북적십자회담 사진설명에 연도 틀려

남북적십자회담	남북/NNP+적십자/NNP+회담/NNG
회담’	회담/NNG+’/SS
사진설명에	사진/NNG+설명/NNG+에/JKB
연도가	연도/NNG+가/JKS
잘못됐다는	잘못/MAG+되/XSV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.377.4.2
‘서울’이라고 쓰인 플래카드가 걸린 이 사진의 설명에는 ‘1971년’이라고 쓰여 있다.

‘서울’이라고	‘/SS+서울/NNP+’/SS+이라고/JKQ
쓰인	쓰이/VV+ㄴ/ETM
플래카드가	플래카드/NNG+가/JKS
걸린	걸리/VV+ㄴ/ETM
이	이/MMD
사진의	사진/NNG+의/JKG
설명에는	설명/NNG+에/JKB+는/JX
‘1971년’이라고	‘/SS+1971/SN+년/NNB+’/SS+이라고/JKQ
쓰여	쓰이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.377.4.3
홍석률 성신여대 사학과 교수는 “남북 적십자 회담 본회담은 7·4남북공동성명 뒤인 1972년 8, 9월에 서울과 평양에서 열렸다”며 “1971년에는 판문점에서 예비회담이 열렸다”고 말했다.

홍석률	홍석률/NNP
성신여대	성신여대/NNP
사학과	사학과/NNG
교수는	교수/NNG+는/JX
“남북	“/SS+남북/NNP
적십자	적십자/NNP
회담	회담/NNG
본회담은	본회담/NNG+은/JX
7·4남북공동성명	7/SN+·/SP+4/SN+남북/NNP+공동/NNG+성명/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1972년	1972/SN+년/NNB
8,	8/SN+,/SP
9월에	9/SN+월/NNB+에/JKB
서울과	서울/NNP+과/JC
평양에서	평양/NNP+에서/JKB
열렸다”며	열리/VV+었/EP+다/EF+”/SS+며/EC
“1971년에는	“/SS+1971/SN+년/NNB+에/JKB+는/JX
판문점에서	판문점/NNP+에서/JKB
예비회담이	예비회담/NNG+이/JKS
열렸다”고	열리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.377.5.1
고교 한국사 교과서에서도 오류가 있다는 지적이 제기됐다.

고교	고교/NNG
한국사	한국사/NNG
교과서에서도	교과서/NNG+에서/JKB+도/JX
오류가	오류/NNG+가/JKS
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.377.5.2
251쪽에는 제헌 헌법을 설명하며 “국가 재산의 상당 부분이 일본의 귀속 재산이었던 상황에서 국유화를 내세운 헌법 조항을 두었다.

251쪽에는	251/SN+쪽/NNG+에/JKB+는/JX
제헌	제헌/NNG
헌법을	헌법/NNG+을/JKO
설명하며	설명/NNG+하/XSV+며/EC
“국가	“/SS+국가/NNG
재산의	재산/NNG+의/JKG
상당	상당/NNG
부분이	부분/NNG+이/JKS
일본의	일본/NNP+의/JKG
귀속	귀속/NNG
재산이었던	재산/NNG+이/VCP+었/EP+던/ETM
상황에서	상황/NNG+에서/JKB
국유화를	국유/NNG+화/XSN+를/JKO
내세운	내세우/VV+ㄴ/ETM
헌법	헌법/NNG
조항을	조항/NNG+을/JKO
두었다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.377.5.3
이 조항은 귀속 재산 처리가 종결된 후 삭제됐다”고 기술했다.

이	이/MMD
조항은	조항/NNG+은/JX
귀속	귀속/NNG
재산	재산/NNG
처리가	처리/NNG+가/JKS
종결된	종결/NNG+되/XSV+ㄴ/ETM
후	후/NNG
삭제됐다”고	삭제/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
기술했다.	기술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.377.5.4
하지만 박태균 서울대 국제대학원 교수는 “해당 조항은 주요 산업의 국유화를 의미한 것이고, 귀속 재산과는 관련이 적다”며 “이 조항은 1954년 개헌으로 삭제됐고, 귀속 재산 처리는 1950년대 내내 지속됐으므로 삭제 시기에 대한 서술도 틀렸다”고 말했다.

하지만	하지만/MAJ
박태균	박태균/NNP
서울대	서울대/NNP
국제대학원	국제/NNG+대학원/NNG
교수는	교수/NNG+는/JX
“해당	“/SS+해당/NNG
조항은	조항/NNG+은/JX
주요	주요/NNG
산업의	산업/NNG+의/JKG
국유화를	국유/NNG+화/XSN+를/JKO
의미한	의미/NNG+하/XSV+ㄴ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
귀속	귀속/NNG
재산과는	재산/NNG+과/JKB+는/JX
관련이	관련/NNG+이/JKS
적다”며	적/VA+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
1954년	1954/SN+년/NNB
개헌으로	개헌/NNG+으로/JKB
삭제됐고,	삭제/NNG+되/XSV+었/EP+고/EC+,/SP
재산	재산/NNG
처리는	처리/NNG+는/JX
1950년대	1950/SN+년대/NNB
내내	내내/MAG
지속됐으므로	지속/NNG+되/XSV+었/EP+으므로/EC
삭제	삭제/NNG
시기에	시기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
서술도	서술/NNG+도/JX
틀렸다”고	틀리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.377.6.1
또 고교 한국사 교과서 246쪽의 “소련군은 38선 이북에서 군정을 실시했다”고 서술한 부분도 도마에 올랐다.

또	또/MAG
고교	고교/NNG
한국사	한국사/NNG
교과서	교과서/NNG
246쪽의	246/SN+쪽/NNG+의/JKG
“소련군은	“/SS+소련군/NNG+은/JX
38선	38/SN+선/NNG
이북에서	이북/NNG+에서/JKB
군정을	군정/NNG+을/JKO
실시했다”고	실시/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
서술한	서술/NNG+하/XSV+ㄴ/ETM
부분도	부분/NNG+도/JX
도마에	도마/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.377.6.2
검정 교과서 중에는 비슷하게 서술한 경우도 있지만 “소련은 인민위원회에 권한을 넘겨주고 배후에서 북한을 관리했다”고 쓴 교과서도 있다.

검정	검정/NNG
교과서	교과서/NNG
중에는	중/NNB+에/JKB+는/JX
비슷하게	비슷하/VA+게/EC
서술한	서술/NNG+하/XSV+ㄴ/ETM
경우도	경우/NNG+도/JX
있지만	있/VA+지만/EC
“소련은	“/SS+소련/NNP+은/JX
인민위원회에	인민/NNG+위원회/NNG+에/JKB
권한을	권한/NNG+을/JKO
넘겨주고	넘겨주/VV+고/EC
배후에서	배후/NNG+에서/JKB
북한을	북한/NNP+을/JKO
관리했다”고	관리/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
쓴	쓰/VV+ㄴ/ETM
교과서도	교과서/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.377.6.3
북한-소련 관계 전문가인 이재훈 동국대 대외교류연구원 박사는 “소련군은 군정을 실시한 게 아니라 ‘민정부’를 만들어 인민위원회 등을 조종했다”며 “국정 교과서의 해당 부분은 오류”라고 말했다.

북한-소련	북한/NNP+-/SO+소련/NNP
관계	관계/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
이재훈	이재훈/NNP
동국대	동국대/NNP
대외교류연구원	대외/NNG+교류/NNG+연구원/NNG
박사는	박사/NNG+는/JX
“소련군은	“/SS+소련군/NNG+은/JX
군정을	군정/NNG+을/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
‘민정부’를	‘/SS+민정부/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
인민위원회	인민/NNG+위원회/NNG
등을	등/NNB+을/JKO
조종했다”며	조종/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“국정	“/SS+국정/NNG
교과서의	교과서/NNG+의/JKG
해당	해당/NNG
부분은	부분/NNG+은/JX
오류”라고	오류/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


