# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.278
metadata : {}


# id : NWRW1800000025.278.1.1
[해운대 37층 주상복합 화재]4층서 발화 10여분만에 가연성 외벽 타고 37층 옥상까지

[해운대	[/SS+해운대/NNP
주변에서 구경하던 시민들 머리 위로 떨어지는 아찔한 상황도 벌어졌다.

주변에서	주변/NNG+에서/JKB
구경하던	구경/NNG+하/XSV+던/ETM
시민들	시민/NNG+들/XSN
머리	머리/NNG
위로	위/NNG+로/JKB
떨어지는	떨어지/VV+는/ETM
아찔한	아찔/MAG+하/XSA+ㄴ/ETM
상황도	상황/NNG+도/JX
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.5.3
이 마감재는 화재 현장에서 50m 떨어진 곳까지 날아갔다.

이	이/MMD
마감재는	마감재/NNG+는/JX
화재	화재/NNG
현장에서	현장/NNG+에서/JKB
50m	50/SN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
곳까지	곳/NNG+까지/JX
날아갔다.	날아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.5.4
이 아파트는 건물 외관을 돋보이게 하려고 외벽 마감재인 알루미늄 패널 바깥 부분에 특수 황금색 페인트를 칠했다.

이	이/MMD
아파트는	아파트/NNG+는/JX
건물	건물/NNG
외관을	외관/NNG+을/JKO
돋보이게	돋보이/VV+게/EC
하려고	하/VX+려고/EC
외벽	외벽/NNG
마감재인	마감재/NNG+이/VCP+ㄴ/ETM
알루미늄	알루미늄/NNG
패널	패널/NNG
바깥	바깥/NNG
부분에	부분/NNG+에/JKB
특수	특수/NNG
황금색	황금색/NNG
페인트를	페인트/NNG+를/JKO
칠했다.	칠/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.5.5
이 마감재가 ‘불쏘시개’ 역할을 하면서 불이 삽시간에 번졌다.

이	이/MMD
마감재가	마감재/NNG+가/JKS
‘불쏘시개’	‘/SS+불쏘시개/NNG+’/SS
역할을	역할/NNG+을/JKO
하면서	하/VV+면서/EC
불이	불/NNG+이/JKS
삽시간에	삽시간/NNG+에/JKB
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.5.6
시간이 갈수록 두 개 동 사이 외벽 마감재가 ‘V’자 모양으로 타올랐다.

시간이	시간/NNG+이/JKS
갈수록	가/VV+ㄹ수록/EC
두	두/MMN
개	개/NNB
동	동/NNB
사이	사이/NNG
외벽	외벽/NNG
마감재가	마감재/NNG+가/JKS
‘V’자	‘/SS+V/SL+’/SS+자/NNG
모양으로	모양/NNG+으로/JKB
타올랐다.	타오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.5.7
황금색 위용을 자랑하던 아파트 외벽은 금색 반, 검은색 반으로 바뀌어 있었다.

황금색	황금색/NNG
위용을	위용/NNG+을/JKO
자랑하던	자랑/NNG+하/XSV+던/ETM
아파트	아파트/NNG
외벽은	외벽/NNG+은/JX
금색	금색/NNG
반,	반/NNG+,/SP
검은색	검은색/NNG
반으로	반/NNG+으로/JKB
바뀌어	바뀌/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.278.5.8
오후 1시경 옥상에 있던 입주민 유모 씨(59·여) 등 9명이 헬기로 구조됐다.

오후	오후/NNG
1시경	1/SN+시/NNB+경/XSN
옥상에	옥상/NNG+에/JKB
있던	있/VA+던/ETM
입주민	입주민/NNG
유모	유/NNP+모/NP
씨(59·여)	씨/NNB+(/SS+59/SN+·/SP+여/NNG+)/SS
등	등/NNB
9명이	9/SN+명/NNB+이/JKS
헬기로	헬기/NNG+로/JKB
구조됐다.	구조/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.6.1
○ ‘건물 내부는 사실상 폐허 상태’

○	○/SW
‘건물	‘/SS+건물/NNG
내부는	내부/NNG+는/JX
사실상	사실/NNG+상/XSN
폐허	폐허/NNG
상태’	상태/NNG+’/SS


# id : NWRW1800000025.278.7.1
시간이 흘러도 화재가 진압되지 않자 “저러다가 건물이 무너지는 것 아닌가” 하는 수군거림이 곳곳에서 들려왔다.

시간이	시간/NNG+이/JKS
흘러도	흐르/VV+어도/EC
화재가	화재/NNG+가/JKS
진압되지	진압/NNG+되/XSV+지/EC
않자	않/VX+자/EC
“저러다가	“/SS+저러/VV+다가/EC
건물이	건물/NNG+이/JKS
무너지는	무너지/VV+는/ETM
것	것/NNB
아닌가”	아니/VCN+ㄴ가/EF+”/SS
하는	하/VV+는/ETM
수군거림이	수군거리/VV+ㅁ/ETN+이/JKS
곳곳에서	곳곳/NNG+에서/JKB
들려왔다.	들려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.7.2
주변 마린시티 고층아파트에 사는 주민 수백 명은 거리에 나와 발을 동동 굴렀다.

주변	주변/NNG
마린시티	마린시티/NNP
고층아파트에	고층/NNG+아파트/NNG+에/JKB
사는	살/VV+는/ETM
주민	주민/NNG
수백	수백/NR
명은	명/NNB+은/JX
거리에	거리/NNG+에/JKB
나와	나오/VV+아/EC
발을	발/NNG+을/JKO
동동	동동/MAG
굴렀다.	구르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.7.3
‘우리 아파트에도 불이 나면 어떡하지’ 하는 걱정스러운 표정이었다.

‘우리	‘/SS+우리/NP
아파트에도	아파트/NNG+에/JKB+도/JX
불이	불/NNG+이/JKS
나면	나/VV+면/EC
어떡하지’	어떡하/VV+지/EC+’/SS
하는	하/VV+는/ETM
걱정스러운	걱정/NNG+스럽/XSA+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.278.7.4
택시운전사 박모 씨(46)는 “고층 옥상의 불기둥과 검은 연기가 사방으로 퍼지고 케이블 방송도 화재 현장을 실시간으로 방송해 미국 뉴욕 9·11테러 현장을 보는 듯했다”고 전했다.

택시운전사	택시/NNG+운전사/NNG
박모	박/NNP+모/NP
씨(46)는	씨/NNB+(/SS+46/SN+)/SS+는/JX
“고층	“/SS+고층/NNG
옥상의	옥상/NNG+의/JKG
불기둥과	불기둥/NNG+과/JC
검은	검/VA+은/ETM
연기가	연기/NNG+가/JKS
사방으로	사방/NNG+으로/JKB
퍼지고	퍼지/VV+고/EC
케이블	케이블/NNG
방송도	방송/NNG+도/JX
화재	화재/NNG
현장을	현장/NNG+을/JKO
실시간으로	실시간/NNG+으로/JKB
방송해	방송/NNG+하/XSV+아/EC
미국	미국/NNP
뉴욕	뉴욕/NNP
9·11테러	9/SN+·/SP+11/SN+테러/NNG
보는	보/VV+는/ETM
듯했다”고	듯/NNB+하/XSA+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.7.5
화재현장에서 100m가량 떨어진 수영만 요트경기장에서도 화재에 따른 매캐한 냄새가 진동했다.

화재현장에서	화재/NNG+현장/NNG+에서/JKB
100m가량	100/SN+m/SW+가량/XSN
떨어진	떨어지/VV+ㄴ/ETM
수영만	수영만/NNP
요트경기장에서도	요트/NNG+경기장/NNG+에서/JKB+도/JX
화재에	화재/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
매캐한	매캐하/VA+ㄴ/ETM
냄새가	냄새/NNG+가/JKS
진동했다.	진동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.7.6
큰 불은 2시간 반 만인 오후 1시경 꺼졌다.

큰	크/VA+ㄴ/ETM
불은	불/NNG+은/JX
2시간	2/SN+시간/NNB
반	반/NNG
만인	만/NNB+이/VCP+ㄴ/ETM
오후	오후/NNG
1시경	1/SN+시/NNB+경/XSN
꺼졌다.	꺼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.7.7
오후 3시경 잔불이 다시 일자 소방관들이 다시 투입되면서 오후 6시 49분경 완전히 진화됐다.

오후	오후/NNG
3시경	3/SN+시/NNB+경/XSN
잔불이	잔불/NNG+이/JKS
다시	다시/MAG
일자	일/VV+자/EC
소방관들이	소방관/NNG+들/XSN+이/JKS
투입되면서	투입/NNG+되/XSV+면서/EC
6시	6/SN+시/NNB
49분경	49/SN+분/NNB+경/XSN
완전히	완전히/MAG
진화됐다.	진화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.8.1
화재원인을 조사하기 위해 오후 8시경 현장에 들어간 소방관들은 “건물 내부가 연기가 자욱해 앞을 보기 어려운 상황”이라며 “내부는 사실상 폐허 상태”라고 말했다.

화재원인을	화재/NNG+원인/NNG+을/JKO
조사하기	조사/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
오후	오후/NNG
8시경	8/SN+시/NNB+경/XSN
현장에	현장/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
소방관들은	소방관/NNG+들/XSN+은/JX
“건물	“/SS+건물/NNG
내부가	내부/NNG+가/JKS
연기가	연기/NNG+가/JKS
자욱해	자욱하/VA+아/EC
앞을	앞/NNG+을/JKO
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“내부는	“/SS+내부/NNG+는/JX
사실상	사실/NNG+상/XSN
폐허	폐허/NNG
상태”라고	상태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.8.2
이들은 “피해가 가장 컸던 37층 꼭대기층은 집기류가 하나도 성한 게 없고 원래 집 내부가 어떻게 생겼는지 구분하기 힘든 상황”이라고 전했다.

이들은	이/NP+들/XSN+은/JX
“피해가	“/SS+피해/NNG+가/JKS
가장	가장/MAG
컸던	크/VA+었/EP+던/ETM
37층	37/SN+층/NNG
꼭대기층은	꼭대기/NNG+층/NNG+은/JX
집기류가	집기/NNG+류/XSN+가/JKS
하나도	하나/NR+도/JX
성한	성하/VA+ㄴ/ETM
게	거/NNB+이/JKS
없고	없/VA+고/EC
원래	원래/MAG
집	집/NNG
내부가	내부/NNG+가/JKS
어떻게	어떻/VA+게/EC
생겼는지	생기/VV+었/EP+는지/EC
구분하기	구분/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.8.3
해운대구는 이 아파트 주민들을 위해 이날 주변 모텔과 해운대구 우1동 주민자치센터 별관에 임시숙소를 마련했다.

해운대구는	해운대구/NNP+는/JX
이	이/MMD
아파트	아파트/NNG
주민들을	주민/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
이날	이날/NNG
주변	주변/NNG
모텔과	모텔/NNG+과/JC
해운대구	해운대구/NNP
우1동	우1동/NNP
주민자치센터	주민/NNG+자치/NNG+센터/NNG
별관에	별관/NNG+에/JKB
임시숙소를	임시/NNG+숙소/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.9.1
○ 알루미늄 패널과 접착제가 불쏘시개

○	○/SW
알루미늄	알루미늄/NNG
패널과	패널/NNG+과/JC
접착제가	접착제/NNG+가/JKS
불쏘시개	불쏘시개/NNG


# id : NWRW1800000025.278.10.1
이날 불은 외관을 살리려 외벽 마감재로 사용한 알루미늄 패널과 단열재 때문에 급격히 빨리 번졌다.

이날	이날/NNG
불은	불/NNG+은/JX
외관을	외관/NNG+을/JKO
살리려	살리/VV+려/EC
외벽	외벽/NNG
마감재로	마감재/NNG+로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
알루미늄	알루미늄/NNG
패널과	패널/NNG+과/JC
단열재	단열재/NNG
때문에	때문/NNB+에/JKB
급격히	급격히/MAG
빨리	빨리/MAG
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.10.2
12mm 두께의 패널을 가로 세로 1m 이하의 크기로 잘라 벽면에 붙였는데, 이런 공법은 철근콘크리트 구조의 건물에 주로 쓰인다.

12mm	12/SN+mm/SW
두께의	두께/NNG+의/JKG
패널을	패널/NNG+을/JKO
가로	가로/NNG
세로	세로/NNG
1m	1/SN+m/SW
이하의	이하/NNG+의/JKG
크기로	크기/NNG+로/JKB
잘라	자르/VV+아/EC
벽면에	벽면/NNG+에/JKB
붙였는데,	붙이/VV+었/EP+는데/EC+,/SP
이런	이런/MMD
공법은	공법/NNG+은/JX
철근콘크리트	철근/NNG+콘크리트/NNG
구조의	구조/NNG+의/JKG
건물에	건물/NNG+에/JKB
주로	주로/MAG
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.278.10.3
지진에는 강하지만 화재에 취약하다는 게 이 공법의 최대 단점인데 이번 화재로 이런 우려가 현실로 나타났다.

지진에는	지진/NNG+에/JKB+는/JX
강하지만	강하/VA+지만/EC
화재에	화재/NNG+에/JKB
취약하다는	취약/NNG+하/XSA+다는/ETM
게	거/NNB+이/JKS
이	이/MMD
공법의	공법/NNG+의/JKG
최대	최대/NNG
단점인데	단점/NNG+이/VCP+ㄴ데/EC
이번	이번/NNG
화재로	화재/NNG+로/JKB
이런	이런/MMD
우려가	우려/NNG+가/JKS
현실로	현실/NNG+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.10.4
우신골든스위트는 알루미늄 패널 안쪽에 단열 효과가 높은 유리섬유를 붙였고 인화성 물질인 폴리염화비닐 접착제를 사용해 패널을 외벽에 고정했다.

우신골든스위트는	우신골든스위트/NNP+는/JX
알루미늄	알루미늄/NNG
패널	패널/NNG
안쪽에	안쪽/NNG+에/JKB
단열	단열/NNG
효과가	효과/NNG+가/JKS
높은	높/VA+은/ETM
유리섬유를	유리/NNG+섬유/NNG+를/JKO
붙였고	붙이/VV+었/EP+고/EC
인화성	인화/NNG+성/XSN
물질인	물질/NNG+이/VCP+ㄴ/ETM
폴리염화비닐	폴리/NNG+염화/NNG+비닐/NNG
접착제를	접착제/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
패널을	패널/NNG+을/JKO
외벽에	외벽/NNG+에/JKB
고정했다.	고정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.11.1
부산시소방본부 김준규 예방대응과장은 “외벽에 인화성 물질이 있었다.

부산시소방본부	부산시소방본부/NNP
김준규	김준규/NNP
예방대응과장은	예방/NNG+대응과장/NNG+은/JX
“외벽에	“/SS+외벽/NNG+에/JKB
인화성	인화/NNG+성/XSN
물질이	물질/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.278.11.2
바람까지 부는 바람에 불길이 건물 위쪽으로 급속하게 번졌다”고 말했다.

바람까지	바람/NNG+까지/JX
부는	불/VV+는/ETM
바람에	바람/NNB+에/JKB
불길이	불길/NNG+이/JKS
건물	건물/NNG
위쪽으로	위쪽/NNG+으로/JKB
급속하게	급속/NNG+하/XSA+게/EC
번졌다”고	번지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.11.3
또 알루미늄 패널은 바깥부분을 특수페인트로 칠해 색을 내는데, 이 페인트가 불길을 옮기는 작용을 한 것 같다고 한 건설업계 관계자는 전했다.

또	또/MAG
알루미늄	알루미늄/NNG
패널은	패널/NNG+은/JX
바깥부분을	바깥/NNG+부분/NNG+을/JKO
특수페인트로	특수/NNG+페인트/NNG+로/JKB
칠해	칠/NNG+하/XSV+아/EC
색을	색/NNG+을/JKO
내는데,	내/VV+는데/EC+,/SP
이	이/MMD
페인트가	페인트/NNG+가/JKS
불길을	불길/NNG+을/JKO
옮기는	옮기/VV+는/ETM
작용을	작용/NNG+을/JKO
한	하/VV+ㄴ/ETM
것	것/NNB
같다고	같/VA+다고/EC
건설업계	건설업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.12.1
소방관들이 건물 내부 구조를 제대로 파악하지 않은 채 출동하는 등 초기 대응이 미흡했다는 지적도 나왔다.

소방관들이	소방관/NNG+들/XSN+이/JKS
건물	건물/NNG
내부	내부/NNG
구조를	구조/NNG+를/JKO
제대로	제대로/MAG
파악하지	파악/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
출동하는	출동/NNG+하/XSV+는/ETM
등	등/NNB
초기	초기/NNG
대응이	대응/NNG+이/JKS
미흡했다는	미흡/NNG+하/XSA+았/EP+다는/ETM
지적도	지적/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.12.2
입주민 대표 김성진 씨는 “화재 쫃기 소방차가 여러 대 출동했는데도 즉시 물을 뿌리기 시작한 것은 한 대뿐”이라고 전했다.

입주민	입주민/NNG
대표	대표/NNG
김성진	김성진/NNP
씨는	씨/NNB+는/JX
“화재	“/SS+화재/NNG
쫃기	쫃기/NF
소방차가	소방차/NNG+가/JKS
여러	여러/MMN
대	대/NNB
출동했는데도	출동/NNG+하/XSV+았/EP+는데/EC+도/JX
즉시	즉시/MAG
물을	물/NNG+을/JKO
뿌리기	뿌리/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
한	한/MMN
대뿐”이라고	대/NNB+뿐/JX+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.12.3
이에 대해 소방당국은 “인화성 물질을 외장재로 사용한 건물 특성 때문에 불이 옮아붙는 속도가 빨랐을 뿐 초기 대처가 늦었다는 주장을 받아들이기 어렵다”고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
소방당국은	소방/NNG+당국/NNG+은/JX
“인화성	“/SS+인화/NNG+성/XSN
물질을	물질/NNG+을/JKO
외장재로	외장재/NNG+로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
건물	건물/NNG
특성	특성/NNG
때문에	때문/NNB+에/JKB
불이	불/NNG+이/JKS
옮아붙는	옮/VV+아/EC+붙/VV+는/ETM
속도가	속도/NNG+가/JKS
빨랐을	빠르/VA+았/EP+을/ETM
뿐	뿐/NNB
초기	초기/NNG
대처가	대처/NNG+가/JKS
늦었다는	늦/VA+었/EP+다는/ETM
주장을	주장/NNG+을/JKO
받아들이기	받아들이/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.12.4
한편 최초 발화지점인 미화원 작업장에는 스프링클러조차 설치되지 않은 것으로 나타났다.

한편	한편/MAG
최초	최초/NNG
발화지점인	발화/NNG+지점/NNG+이/VCP+ㄴ/ETM
미화원	미화원/NNG
작업장에는	작업장/NNG+에/JKB+는/JX
스프링클러조차	스프링클러/NNG+조차/JX
설치되지	설치/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.12.5
이곳에서 일부 주민이 쓰레기를 태우기도 했으나 관리사무소에서 아무런 제지를 하지 않았다고 주민들은 주장했다.

이곳에서	이곳/NP+에서/JKB
일부	일부/NNG
주민이	주민/NNG+이/JKS
쓰레기를	쓰레기/NNG+를/JKO
태우기도	태우/VV+기/ETN+도/JX
했으나	하/VX+았/EP+으나/EC
관리사무소에서	관리/NNG+사무소/NNG+에서/JKB
아무런	아무런/MMD
제지를	제지/NNG+를/JKO
하지	하/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
주민들은	주민/NNG+들/XSN+은/JX
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.13.1
■기적같이 적었던 인명피해… 들여다보면 가까스로 모면한 대형 참사

■기적같이	■/SW+기적/NNG+같이/JKB
적었던	적/VA+었/EP+던/ETM
인명피해…	인명/NNG+피해/NNG+…/SE
들여다보면	들여다보/VV+면/EC
가까스로	가까스로/MAG
모면한	모면/NNG+하/XSV+ㄴ/ETM
대형	대형/NNG
참사	참사/NNG


# id : NWRW1800000025.278.14.1
소방서 멀었다면… 車로 2분 거리라 바로 출동

소방서	소방서/NNG
멀었다면…	멀/VA+었/EP+다면/EC+…/SE
車로	車/SH+로/JKB
2분	2/SN+분/NNB
거리라	거리/NNG+이/VCP+라/EC
바로	바로/MAG
출동	출동/NNG


# id : NWRW1800000025.278.15.1
한밤에 불났다면… 낮이라 입주민 대부분 출근

한밤에	한/XPN+밤/NNG+에/JKB
불났다면…	불나/VV+았/EP+다면/EC+…/SE
낮이라	낮/NNG+이/VCP+라/EC
입주민	입주민/NNG
대부분	대/XPN+부분/NNG
출근	출근/NNG


# id : NWRW1800000025.278.16.1
내부로 번졌다면… 불길 통로 타고 외벽만 번져

내부로	내부/NNG+로/JKB
번졌다면…	번지/VV+었/EP+다면/EC+…/SE
불길	불길/NNG
통로	통로/NNG
타고	타/VV+고/EC
외벽만	외벽/NNG+만/JX
번져	번지/VV+어/EF


# id : NWRW1800000025.278.17.1
