# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.167
metadata : {}


# id : NWRW1800000022.167.1.1
[인천·부천] 관절염 수술 노인 무릎에 카네이션;한화·힘찬병원 '이색 효도 행사'… 무료 수술 신청받아

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
동안	동안/NNG
관절염을	관절염/NNG+을/JKO
앓았다는	앓/VV+았/EP+다는/ETM
최영자씨는	최영자/NNP+씨/NNB+는/JX
"수술	"/SS+수술/NNG
후	후/NNG
다리가	다리/NNG+가/JKS
곧게	곧/VA+게/EC
펴지고	펴지/VV+고/EC
회복도	회복/NNG+도/JX
빨라	빠르/VA+아/EC
정상인처럼	정상인/NNG+처럼/JKB
걸을	걷/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
들뜬	들뜨/VV+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
한동안	한/XPN+동안/NNG
모래사장을	모래사장/NNG+을/JKO
걸었다"면서	걷/VV+었/EP+다/EF+"/SS+면서/EC
"무료	"/SS+무료/NNG
수술을	수술/NNG+을/JKO
신청해	신청/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
뒤	뒤/NNG
교통사고로	교통사고/NNG+로/JKB
갑자기	갑자기/MAG
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
동생이	동생/NNG+이/JKS
하늘에서라도	하늘/NNG+에서/JKB+이/VCP+라도/EC
내	나/NP+의/JKG
모습을	모습/NNG+을/JKO
보았으면	보/VV+았/EP+으면/EC
좋겠다"라고	좋/VA+겠/EP+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.167.4.3
이성숙씨는 "아버지가 당뇨병이 있어 인공관절 수술을 받았는데 결과가 좋았다"면서 "수술해 준 것도 고마운데 가족끼리 여행까지 할 수 있게 되어 아버지가 너무나 좋아하신다"고 말했다.

이성숙씨는	이성숙/NNP+씨/NNB+는/JX
"아버지가	"/SS+아버지/NNG+가/JKS
당뇨병이	당뇨병/NNG+이/JKS
있어	있/VA+어/EC
인공관절	인공/NNG+관절/NNG
수술을	수술/NNG+을/JKO
받았는데	받/VV+았/EP+는데/EC
결과가	결과/NNG+가/JKS
좋았다"면서	좋/VA+았/EP+다/EF+"/SS+면서/EC
"수술해	"/SS+수술/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
것도	것/NNB+도/JX
고마운데	고맙/VA+ㄴ데/EC
가족끼리	가족/NNG+끼리/XSN
여행까지	여행/NNG+까지/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되어	되/VV+어/EC
아버지가	아버지/NNG+가/JKS
너무나	너무나/MAG
좋아하신다"고	좋아하/VV+시/EP+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.167.5.1
노인들과 가족들은 OX퀴즈를 통해 관절염 예방과 치료에 대한 상식을 키웠으며 레크리에이션 등으로 즐거운 시간을 보냈다.

노인들과	노인/NNG+들/XSN+과/JC
가족들은	가족/NNG+들/XSN+은/JX
OX퀴즈를	OX/SL+퀴즈/NNG+를/JKO
통해	통하/VV+아/EC
관절염	관절염/NNG
예방과	예방/NNG+과/JC
치료에	치료/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
상식을	상식/NNG+을/JKO
키웠으며	키우/VV+었/EP+으며/EC
레크리에이션	레크리에이션/NNG
등으로	등/NNB+으로/JKB
즐거운	즐겁/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.167.5.2
재활 교육 시간에는 의사들로부터 수술 직후의 무릎관리, 찜질법, 인공관절 주변이 굳지 않도록 하기 위한 운동법 등에 대해 강의를 들었다.

재활	재활/NNG
교육	교육/NNG
시간에는	시간/NNG+에/JKB+는/JX
의사들로부터	의사/NNG+들/XSN+로부터/JKB
수술	수술/NNG
직후의	직후/NNG+의/JKG
무릎관리,	무릎/NNG+관리/NNG+,/SP
찜질법,	찜질법/NNG+,/SP
인공관절	인공/NNG+관절/NNG
주변이	주변/NNG+이/JKS
굳지	굳/VA+지/EC
않도록	않/VX+도록/EC
하기	하/VX+기/ETN
위한	위하/VV+ㄴ/ETM
운동법	운동법/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
강의를	강의/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.167.6.1
힘찬병원 이수찬 대표원장은 "어르신들이 수술 후 잘 걸어다니시는 모습을 보니 마음이 뿌듯하다"면서 "노인들이 경제적 여건과 상관없이 관절염에서 해방되도록 사회적인 차원의 관심과 제도 마련이 필요하다"고 말했다.

힘찬병원	힘찬병원/NNP
이수찬	이수찬/NNP
대표원장은	대표/NNG+원장/NNG+은/JX
"어르신들이	"/SS+어르신/NNG+들/XSN+이/JKS
수술	수술/NNG
후	후/NNG
잘	잘/MAG
걸어다니시는	걷/VV+어/EC+다니/VV+시/EP+는/ETM
모습을	모습/NNG+을/JKO
보니	보/VV+니/EC
마음이	마음/NNG+이/JKS
뿌듯하다"면서	뿌듯하/VA+다/EF+"/SS+면서/EC
"노인들이	"/SS+노인/NNG+들/XSN+이/JKS
경제적	경제/NNG+적/XSN
여건과	여건/NNG+과/JKB
상관없이	상관없이/MAG
관절염에서	관절염/NNG+에서/JKB
해방되도록	해방/NNG+되/XSV+도록/EC
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
차원의	차원/NNG+의/JKG
관심과	관심/NNG+과/JC
제도	제도/NNG
마련이	마련/NNG+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.167.7.1
한화의 후원으로 힘찬병원에서 시행하는 무료 관절 수술은 지난 3월부터 시작되었으며 12월까지 계속된다.

한화의	한화/NNP+의/JKG
후원으로	후원/NNG+으로/JKB
힘찬병원에서	힘찬병원/NNP+에서/JKB
시행하는	시행/NNG+하/XSV+는/ETM
무료	무료/NNG
관절	관절/NNG
수술은	수술/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
시작되었으며	시작/NNG+되/XSV+었/EP+으며/EC
12월까지	12/SN+월/NNB+까지/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.167.7.2
저소득층 환자이거나 독거노인 등 형편이 어려운 환자이면 누구나 신청할 수 있다.

저소득층	저/XPN+소득/NNG+층/XSN
환자이거나	환자/NNG+이/VCP+거나/EC
독거노인	독거노인/NNG
등	등/NNB
형편이	형편/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
환자이면	환자/NNG+이/VCP+면/EC
누구나	누구/NP+나/JX
신청할	신청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.167.7.3
☎1588-7320

☎1588-7320	☎/SW+1588/SN+-/SO+7320/SN


