# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.64
metadata : {}


# id : NWRW1800000025.64.1.1
초중생 상반기중 ‘게임중독’ 검사…일정시간 넘으면 게임이용 차단

초중생	초중생/NNG
약	약/MMA
400만	400/SN+만/NR
명인	명/NNB+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
10%에	10/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.64.3.1
문화부는 이날 한국게임산업협회와 성인들을 대상으로 게임중독에 대한 상담과 치료 서비스를 제공하고 장시간 게임을 못 하게 하는 등 대책도 발표했다.

문화부는	문화부/NNG+는/JX
이날	이날/NNG
한국게임산업협회와	한국게임산업협회/NNP+와/JC
성인들을	성인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
게임중독에	게임/NNG+중독/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
상담과	상담/NNG+과/JC
치료	치료/NNG
서비스를	서비스/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
장시간	장시간/NNG
게임을	게임/NNG+을/JKO
못	못/MAG
하게	하/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
대책도	대책/NNG+도/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.64.3.2
지금까지 게임중독에 대한 상담이나 대책은 10대 청소년이 중심이었다.

지금까지	지금/NNG+까지/JX
게임중독에	게임/NNG+중독/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
상담이나	상담/NNG+이나/JC
대책은	대책/NNG+은/JX
10대	10/SN+대/NNB
청소년이	청소년/NNG+이/JKS
중심이었다.	중심/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.64.3.3
하지만 최근 게임중독으로 부모가 아이를 굶겨 죽이거나, 게임만 한다고 나무라는 부모를 살해한 20대가 나오는 등 성인들도 게임 관련 사회적 문제를 일으키고 있기 때문이다.

하지만	하지만/MAJ
최근	최근/NNG
게임중독으로	게임/NNG+중독/NNG+으로/JKB
부모가	부모/NNG+가/JKS
아이를	아이/NNG+를/JKO
굶겨	굶기/VV+어/EC
죽이거나,	죽이/VV+거나/EC+,/SP
게임만	게임/NNG+만/JX
한다고	하/VV+ㄴ다고/EC
나무라는	나무라/VV+는/ETM
부모를	부모/NNG+를/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
20대가	20/SN+대/NNB+가/JKS
나오는	나오/VV+는/ETM
등	등/NNB
성인들도	성인/NNG+들/XSN+도/JX
게임	게임/NNG
관련	관련/NNG
사회적	사회/NNG+적/XSN
문제를	문제/NNG+를/JKO
일으키고	일으키/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.64.4.1
○ 게임중독 관련 첫 조사

○	○/SW
게임중독	게임/NNG+중독/NNG
관련	관련/NNG
첫	첫/MMN
조사	조사/NNG


# id : NWRW1800000025.64.5.1
문화부는 지난해 12월 말부터 게임중독에 대한 진단 척도를 준비해 왔다.

문화부는	문화부/NNG+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
말부터	말/NNB+부터/JX
게임중독에	게임/NNG+중독/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진단	진단/NNG
척도를	척도/NNG+를/JKO
준비해	준비/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.64.5.2
총 42개 문항으로 이뤄진 게임중독 척도는 세계보건기구(WHO)와 미국정신의학회가 정한 약물중독에 관한 7가지 주요 증상 항목을 참고해 만들었다.

총	총/MMA
42개	42/SN+개/NNB
문항으로	문항/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
게임중독	게임/NNG+중독/NNG
척도는	척도/NNG+는/JX
세계보건기구(WHO)와	세계보건기구/NNP+(/SS+WHO/SL+)/SS+와/JC
미국정신의학회가	미국정신의학회/NNP+가/JKS
정한	정하/VV+ㄴ/ETM
약물중독에	약물/NNG+중독/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
7가지	7/SN+가지/NNB
주요	주요/NNG
증상	증상/NNG
항목을	항목/NNG+을/JKO
참고해	참고/NNG+하/XSV+아/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.5.3
질문 내용은 크게 게임으로 도움이 되는 부분과 나쁜 부분으로 나뉜다.

질문	질문/NNG
내용은	내용/NNG+은/JX
크게	크/VA+게/EC
게임으로	게임/NNG+으로/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
부분과	부분/NNG+과/JC
나쁜	나쁘/VA+ㄴ/ETM
부분으로	부분/NNG+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.64.5.4
도움이 되는 면에는 △생활에 활기가 생긴다 △스트레스가 해소된다 △사회적 활동을 지지해준다 등이며, 나쁜 면은 △게임을 하지 않으면 ‘금단’ 현상이 생긴다 △게임으로 인해 강박증이 생긴다 △일상생활에 지장이 있다 등의 내용이 담겨 있다.

도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
면에는	면/NNG+에/JKB+는/JX
△생활에	△/SW+생활/NNG+에/JKB
활기가	활기/NNG+가/JKS
생긴다	생기/VV+ㄴ다/EF
△스트레스가	△/SW+스트레스/NNG+가/JKS
해소된다	해소/NNG+되/XSV+ㄴ다/EF
△사회적	△/SW+사회/NNG+적/XSN
활동을	활동/NNG+을/JKO
지지해준다	지지/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF
등이며,	등/NNB+이/VCP+며/EC+,/SP
나쁜	나쁘/VA+ㄴ/ETM
면은	면/NNG+은/JX
△게임을	△/SW+게임/NNG+을/JKO
하지	하/VV+지/EC
않으면	않/VX+으면/EC
‘금단’	‘/SS+금단/NNG+’/SS
현상이	현상/NNG+이/JKS
△게임으로	△/SW+게임/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
강박증이	강박증/NNG+이/JKS
△일상생활에	△/SW+일상생활/NNG+에/JKB
지장이	지장/NNG+이/JKS
있다	있/VA+다/EF
등의	등/NNB+의/JKG
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.64.6.1
진단 척도에 대한 연구는 성균관대 심리학과 최훈석 교수가 연구책임자로 참여했으며 관련 내용이 최근 한국심리학회 학회지에 소개됐다.

진단	진단/NNG
척도에	척도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연구는	연구/NNG+는/JX
성균관대	성균관대/NNP
심리학과	심리학과/NNG
최훈석	최훈석/NNP
교수가	교수/NNG+가/JKS
연구책임자로	연구/NNG+책임자/NNG+로/JKB
참여했으며	참여/NNG+하/XSV+았/EP+으며/EC
관련	관련/NNG
내용이	내용/NNG+이/JKS
최근	최근/NNG
한국심리학회	한국심리학회/NNP
학회지에	학회지/NNG+에/JKB
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.6.2
문화부 게임콘텐츠산업과 이영아 사무관은 “상반기에 전국 초등학생과 중학생을 대상으로 실태 조사가 이뤄지면 그 결과를 가지고 개인별 특성에 맞게 게임중독 예방 방안을 마련할 수 있을 것”이라고 말했다.

문화부	문화부/NNG
게임콘텐츠산업과	게임/NNG+콘텐츠/NNG+산업과/NNG
이영아	이영아/NNP
사무관은	사무관/NNG+은/JX
“상반기에	“/SS+상반기/NNG+에/JKB
전국	전국/NNG
초등학생과	초등학생/NNG+과/JC
중학생을	중학/NNG+생/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
실태	실태/NNG
조사가	조사/NNG+가/JKS
이뤄지면	이뤄지/VV+면/EC
그	그/MMD
결과를	결과/NNG+를/JKO
가지고	가지/VV+고/EC
개인별	개인/NNG+별/XSN
특성에	특성/NNG+에/JKB
맞게	맞/VV+게/EC
게임중독	게임/NNG+중독/NNG
예방	예방/NNG
방안을	방안/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.64.7.1
○ 게임업계 “책임 통감한다”

○	○/SW
게임업계	게임업/NNG+계/XSN
“책임	“/SS+책임/NNG
통감한다”	통감/NNG+하/XSV+ㄴ다/EF+”/SS


# id : NWRW1800000025.64.8.1
성인을 대상으로 한 게임 과몰입 대책 중에는 ‘피로도 시스템’ 도입이 대표적이다.

성인을	성인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
게임	게임/NNG
과몰입	과/XPN+몰입/NNG
대책	대책/NNG
중에는	중/NNB+에/JKB+는/JX
‘피로도	‘/SS+피로도/NNG
시스템’	시스템/NNG+’/SS
도입이	도입/NNG+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.64.8.2
이는 일정 시간을 넘겨 게임을 하면 게임 속 캐릭터의 성장 속도를 오히려 느리게 하는 등의 방법으로 오랜 시간 게임을 못 하게 하는 프로그램이다.

이는	이/NP+는/JX
일정	일정/NNG
시간을	시간/NNG+을/JKO
넘겨	넘기/VV+어/EC
게임을	게임/NNG+을/JKO
하면	하/VV+면/EC
게임	게임/NNG
속	속/NNG
캐릭터의	캐릭터/NNG+의/JKG
성장	성장/NNG
속도를	속도/NNG+를/JKO
오히려	오히려/MAG
느리게	느리/VA+게/EC
하는	하/VX+는/ETM
등의	등/NNB+의/JKG
방법으로	방법/NNG+으로/JKB
오랜	오랜/MMA
시간	시간/NNG
못	못/MAG
하게	하/VV+게/EC
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.64.8.3
이미 몇몇 게임업체가 다중접속온라인게임(MMORPG) 같은 몰입도가 높은 게임에 도입했다.

이미	이미/MAG
몇몇	몇몇/NR
게임업체가	게임업체/NNG+가/JKS
다중접속온라인게임(MMORPG)	다중/NNG+접속/NNG+온라인/NNG+게임/NNG+(/SS+MMORPG/SL+)/SS
같은	같/VA+은/ETM
몰입도가	몰입도/NNG+가/JKS
높은	높/VA+은/ETM
게임에	게임/NNG+에/JKB
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.64.9.1
문화부는 올해 게임중독 대응 사업 예산으로 책정된 5억2000만 원을 앞으로 50억 원까지 늘리겠다고 밝혔다.

문화부는	문화부/NNG+는/JX
올해	올해/NNG
게임중독	게임/NNG+중독/NNG
대응	대응/NNG
사업	사업/NNG
예산으로	예산/NNG+으로/JKB
책정된	책정/NNG+되/XSV+ㄴ/ETM
5억2000만	5/SN+억/NR+2000/SN+만/NR
원을	원/NNB+을/JKO
앞으로	앞/NNG+으로/JKB
50억	50/SN+억/NR
원까지	원/NNB+까지/JX
늘리겠다고	늘리/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.9.2
문화부 관계자는 “기존 예산으론 전국 10%도 안 되는 청소년들만 혜택을 받는 수준”이라며 “국회를 비롯해 보건복지가족부 및 행정안전부와도 대책을 논의하겠다”고 밝혔다.

문화부	문화부/NNG
관계자는	관계자/NNG+는/JX
“기존	“/SS+기존/NNG
예산으론	예산/NNG+으로/JKB+ㄴ/JX
전국	전국/NNG
10%도	10/SN+%/SW+도/JX
안	안/MAG
되는	되/VV+는/ETM
청소년들만	청소년/NNG+들/XSN+만/JX
혜택을	혜택/NNG+을/JKO
받는	받/VV+는/ETM
수준”이라며	수준/NNG+”/SS+이/VCP+라며/EC
“국회를	“/SS+국회/NNG+를/JKO
비롯해	비롯하/VV+아/EC
보건복지가족부	보건/NNG+복지/NNG+가족부/NNG
및	및/MAG
행정안전부와도	행정/NNG+안전부/NNG+와/JKB+도/JX
대책을	대책/NNG+을/JKO
논의하겠다”고	논의/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.10.1
국내 게임업계도 정부 방침에 동참할 뜻을 밝혔다.

국내	국내/NNG
게임업계도	게임업/NNG+계/XSN+도/JX
정부	정부/NNG
방침에	방침/NNG+에/JKB
동참할	동참/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.10.2
엔씨소프트는 이날 성인들에게 일정 시간 이상 게임을 못 하게 하는 ‘릴랙스 시스템’(가칭) 도입을 검토하고 있다고 밝혔다.

엔씨소프트는	엔씨소프트/NNP+는/JX
이날	이날/NNG
성인들에게	성인/NNG+들/XSN+에게/JKB
일정	일정/NNG
시간	시간/NNG
이상	이상/NNG
게임을	게임/NNG+을/JKO
못	못/MAG
하게	하/VV+게/EC
하는	하/VX+는/ETM
‘릴랙스	‘/SS+릴랙스/NNG
시스템’(가칭)	시스템/NNG+’/SS+(/SS+가칭/NNG+)/SS
도입을	도입/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.11.1
NHN의 게임포털 사업부인 한게임도 포커 고스톱 등 사행성이 짙은 ‘웹보드’ 게임을 대상으로 만든 ‘이용자 보호 프로그램(UPP)’을 다른 장르에도 적용하겠다고 밝혔다.

NHN의	NHN/SL+의/JKG
게임포털	게임/NNG+포털/NNG
사업부인	사업부/NNG+이/VCP+ㄴ/ETM
한게임도	한게임/NNP+도/JX
포커	포커/NNG
고스톱	고스톱/NNG
등	등/NNB
사행성이	사행/NNG+성/XSN+이/JKS
짙은	짙/VA+은/ETM
‘웹보드’	‘/SS+웹보드/NNG+’/SS
게임을	게임/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
‘이용자	‘/SS+이용자/NNG
보호	보호/NNG
프로그램(UPP)’을	프로그램/NNG+(/SS+UPP/SL+)/SS+’/SS+을/JKO
다른	다른/MMD
장르에도	장르/NNG+에/JKB+도/JX
적용하겠다고	적용/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.11.2
한게임의 정욱 대표대행은 “그간 국내 게임회사 사이에서 사용자가 게임에 몰입하도록 하기 위해 의도적으로 연출한 부분이 있었다”며 “이에 대해선 게임회사들이 책임을 져야 할 것”이라고 말했다.

한게임의	한게임/NNP+의/JKG
정욱	정욱/NNP
대표대행은	대표/NNG+대행/NNG+은/JX
“그간	“/SS+그/NP+간/XSN
국내	국내/NNG
게임회사	게임/NNG+회사/NNG
사이에서	사이/NNG+에서/JKB
사용자가	사용자/NNG+가/JKS
게임에	게임/NNG+에/JKB
몰입하도록	몰입/NNG+하/XSV+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
의도적으로	의도/NNG+적/XSN+으로/JKB
연출한	연출/NNG+하/XSV+ㄴ/ETM
부분이	부분/NNG+이/JKS
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“이에	“/SS+이/NP+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
게임회사들이	게임/NNG+회사/NNG+들/XSN+이/JKS
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


