# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.212
metadata : {}


# id : NWRW1800000053.212.1.1
강정호-류현진 ‘위기의 남자’

강정호-류현진	강정호/NNP+-/SO+류현진/NNP
플로리다	플로리다/NNP
주	주/NNG
브레이든턴에서	브레이든턴/NNP+에서/JKB
스프링캠프를	스프링캠프/NNG+를/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.212.5.2
26일부터는 시범경기도 시작된다.

26일부터는	26/SN+일/NNB+부터/JX+는/JX
시범경기도	시범/NNG+경기/NNG+도/JX
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.212.5.3
하지만 2009년과 2011년에 이어 세 번째 음주운전이 적발된 강정호는 22일 서울중앙지법에서 정식 재판을 받는다.

하지만	하지만/MAJ
2009년과	2009/SN+년/NNB+과/JC
2011년에	2011/SN+년/NNB+에/JKB
이어	잇/VV+어/EC
세	세/MMN
번째	번/NNB+째/XSN
음주운전이	음주/NNG+운전/NNG+이/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
강정호는	강정호/NNP+는/JX
22일	22/SN+일/NNB
서울중앙지법에서	서울중앙지법/NNP+에서/JKB
정식	정식/NNG
재판을	재판/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000053.212.5.4
스프링캠프 초반은 물론이고 재판 결과에 따라 시범경기 출전에도 지장을 받을 수 있다.

스프링캠프	스프링캠프/NNG
초반은	초반/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
재판	재판/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
시범경기	시범/NNG+경기/NNG
출전에도	출전/NNG+에/JKB+도/JX
지장을	지장/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.212.5.5
재판으로 사건이 종결되는 것도 아니다.

재판으로	재판/NNG+으로/JKB
사건이	사건/NNG+이/JKS
종결되는	종결/NNG+되/XSV+는/ETM
것도	것/NNB+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.212.5.6
강정호는 미국에서 알코올 치료 프로그램을 이수하기로 했다.

강정호는	강정호/NNP+는/JX
미국에서	미국/NNP+에서/JKB
알코올	알코올/NNG
치료	치료/NNG
프로그램을	프로그램/NNG+을/JKO
이수하기로	이수/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.212.5.7
재판 결과에 따라 팀 내 자체 징계도 내려진다.

재판	재판/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
팀	팀/NNG
내	내/NNB
자체	자체/NNG
징계도	징계/NNG+도/JX
내려진다.	내려지/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.212.5.8
강정호가 빠진 3루수 자리는 일단 데이비드 프리즈가 차지하게 될 것으로 보인다.

강정호가	강정호/NNP+가/JKS
빠진	빠지/VV+ㄴ/ETM
3루수	3루수/NNG
자리는	자리/NNG+는/JX
일단	일단/MAG
데이비드	데이비드/NNP
프리즈가	프리즈/NNP+가/JKS
차지하게	차지/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.212.6.1
왼쪽 어깨와 팔꿈치 수술을 연달아 받으며 지난 2년을 허무하게 보낸 투수 류현진 앞에는 치열한 경쟁이 기다리고 있다.

왼쪽	왼쪽/NNG
어깨와	어깨/NNG+와/JC
팔꿈치	팔꿈치/NNG
수술을	수술/NNG+을/JKO
연달아	연달/VV+아/EC
받으며	받/VV+으며/EC
지난	지나/VV+ㄴ/ETM
2년을	2/SN+년/NNB+을/JKO
허무하게	허무/NNG+하/XSA+게/EC
보낸	보내/VV+ㄴ/ETM
투수	투수/NNG
류현진	류현진/NNP
앞에는	앞/NNG+에/JKB+는/JX
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁이	경쟁/NNG+이/JKS
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.212.6.2
LA타임스는 최근 마지막 남은 5선발 자리를 놓고 류현진을 포함한 6명이 경쟁을 벌일 것이라고 전했다.

LA타임스는	LA타임스/NNP+는/JX
최근	최근/MAG
마지막	마지막/NNG
남은	남/VV+은/ETM
5선발	5/SN+선발/NNG
자리를	자리/NNG+를/JKO
놓고	놓/VV+고/EC
류현진을	류현진/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
6명이	6/SN+명/NNB+이/JKS
경쟁을	경쟁/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


