# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.345
metadata : {}


# id : NWRW1800000049.345.1.1
“누진제 폭탄 겁나 에어컨 못켜요”

“누진제	“/SS+누진/NNG+제/XSN
켰더니	켜/VV+었/EP+더니/EC
평소	평소/NNG
한	한/MMN
달	달/NNB
3만	3/SN+만/NR
원	원/NNB
안팎이던	안팎/NNG+이/VCP+던/ETM
전기요금이	전기/NNG+요금/NNG+이/JKS
15만	15/SN+만/NR
넘게	넘/VV+게/EC
나왔다”며	나오/VV+았/EP+다/EF+”/SS+며/EC
“전기요금이	“/SS+전기/NNG+요금/NNG+이/JKS
무서워	무섭/VA+어/EC
웬만하면	웬만하/VA+면/EC
부채와	부채/NNG+와/JC
선풍기로	선풍기/NNG+로/JKB
버티고	버티/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.345.4.1
연일 30도가 넘는 찜통더위가 이어지고 있지만 일반 가정에선 누진제가 적용되는 전기요금이 무서워 에어컨마저 쉽게 틀지 못하고 있다.

연일	연일/MAG
30도가	30/SN+도/NNB+가/JKS
넘는	넘/VV+는/ETM
찜통더위가	찜통더위/NNG+가/JKS
이어지고	이어지/VV+고/EC
있지만	있/VX+지만/EC
일반	일반/NNG
가정에선	가정/NNG+에서/JKB+ㄴ/JX
누진제가	누진/NNG+제/XSN+가/JKS
적용되는	적용/NNG+되/XSV+는/ETM
전기요금이	전기/NNG+요금/NNG+이/JKS
무서워	무섭/VA+어/EC
에어컨마저	에어컨/NNG+마저/JX
쉽게	쉽/VA+게/EC
틀지	틀/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.345.4.2
더위에 지친 시민들 사이에선 “전기 절약을 유도하는 건 좋지만 ‘징벌적 누진제’는 바꿔야 한다”는 목소리가 커지고 있다.

더위에	더위/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
시민들	시민/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
“전기	“/SS+전기/NNG
절약을	절약/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
좋지만	좋/VA+지만/EC
‘징벌적	‘/SS+징벌/NNG+적/XSN
누진제’는	누진/NNG+제/XSN+’/SS+는/JX
바꿔야	바꾸/VV+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
목소리가	목소리/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.345.5.1
5일 전력거래소에 따르면 이날 피크시간대(오후 2∼3시) 전력 소비량은 7781만 kW를 기록했으며 운영 예비율은 11.9%로 집계됐다.

5일	5/SN+일/NNB
전력거래소에	전력/NNG+거래소/NNG+에/JKB
따르면	따르/VV+면/EC
이날	이날/NNG
피크시간대(오후	피크/NNG+시간대/NNG+(/SS+오후/NNG
2∼3시)	2/SN+∼/SO+3/SN+시/NNB+)/SS
전력	전력/NNG
소비량은	소비량/NNG+은/JX
7781만	7781/SN+만/NR
kW를	kW/SW+를/JKO
기록했으며	기록/NNG+하/XSV+았/EP+으며/EC
운영	운영/NNG
예비율은	예비/NNG+율/XSN+은/JX
11.9%로	11/SN+./SP+9/SN+%/SW+로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.345.5.2
이익종 전력거래소 수급운영팀장은 “산업용 소비가 전체 전력 사용량의 52%를 차지하는데 산업체의 휴가 기간이라 전력 소비가 전체적으로 줄었다”며 “1200만 kW 이상 전력 공급 여유가 있다”고 말했다.

이익종	이익종/NNP
전력거래소	전력/NNG+거래소/NNG
수급운영팀장은	수급/NNG+운영/NNG+팀장/NNG+은/JX
“산업용	“/SS+산업/NNG+용/XSN
소비가	소비/NNG+가/JKS
전체	전체/NNG
전력	전력/NNG
사용량의	사용량/NNG+의/JKG
52%를	52/SN+%/SW+를/JKO
차지하는데	차지/NNG+하/XSV+는데/EC
산업체의	산업체/NNG+의/JKG
휴가	휴가/NNG
기간이라	기간/NNG+이/VCP+라/EC
전체적으로	전체/NNG+적/XSN+으로/JKB
줄었다”며	줄/VV+었/EP+다/EF+”/SS+며/EC
“1200만	“/SS+1200/SN+만/NR
kW	kW/SW
이상	이상/NNG
공급	공급/NNG
여유가	여유/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.345.6.1
전력이 남아돌아도 일반 가정의 전기요금 걱정은 크다.

전력이	전력/NNG+이/JKS
남아돌아도	남아돌/VV+아도/EC
일반	일반/NNG
가정의	가정/NNG+의/JKG
전기요금	전기/NNG+요금/NNG
걱정은	걱정/NNG+은/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000049.345.6.2
가구당 6단계로 구성된 누진제가 적용돼 사용량이 많을수록 요금이 급등하기 때문이다.

가구당	가구/NNG+당/XSN
6단계로	6/SN+단계/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
누진제가	누진/NNG+제/XSN+가/JKS
적용돼	적용/NNG+되/XSV+어/EC
사용량이	사용량/NNG+이/JKS
많을수록	많/VA+을수록/EC
요금이	요금/NNG+이/JKS
급등하기	급등/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.345.6.3
여름(6∼8월) 기준 산업용 전기요금은 사용량에 관계없이 kWh당 81원이다.

여름(6∼8월)	여름/NNG+(/SS+6/SN+∼/SO+8/SN+월/NNB+)/SS
기준	기준/NNG
산업용	산업/NNG+용/XSN
전기요금은	전기/NNG+요금/NNG+은/JX
사용량에	사용량/NNG+에/JKB
관계없이	관계없이/MAG
kWh당	kWh/SW+당/XSN
81원이다.	81/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.345.6.4
가정용은 100kWh 이하를 사용할 땐 kWh당 60.7원, 500kWh를 초과하면 산업용의 약 8.8배(kWh당 709.5원)를 내야 한다.

가정용은	가정/NNG+용/XSN+은/JX
100kWh	100/SN+kWh/SW
이하를	이하/NNG+를/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
kWh당	kWh/SW+당/XSN
60.7원,	60/SN+./SP+7/SN+원/NNB+,/SP
500kWh를	500/SN+kWh/SW+를/JKO
초과하면	초과/NNG+하/XSV+면/EC
산업용의	산업/NNG+용/XSN+의/JKG
약	약/MMA
8.8배(kWh당	8/SN+./SP+8/SN+배/NNG+(/SS+kWh/SW+당/XSN
709.5원)를	709/SN+./SP+5/SN+원/NNB+)/SS+를/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.345.7.1
예를 들어 한 달에 2만5000원가량 전기요금(전력 사용량 200kWh 초반)을 내는 가정이 하루 8시간 에어컨을 쓰면 전력 소비량은 약 3배(600kWh 중반) 정도 늘어나지만, 요금은 무려 10배(25만 원 이상)로 뛴다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
한	한/MMN
달에	달/NNB+에/JKB
2만5000원가량	2/SN+만/NR+5000/SN+원/NNB+가량/XSN
전기요금(전력	전기/NNG+요금/NNG+(/SS+전력/NNG
사용량	사용량/NNG
200kWh	200/SN+kWh/SW
초반)을	초반/NNG+)/SS+을/JKO
내는	내/VV+는/ETM
가정이	가정/NNG+이/JKS
하루	하루/NNG
8시간	8/SN+시간/NNB
에어컨을	에어컨/NNG+을/JKO
쓰면	쓰/VV+면/EC
전력	전력/NNG
소비량은	소비량/NNG+은/JX
약	약/MMA
3배(600kWh	3/SN+배/NNG+(/SS+600/SN+kWh/SW
중반)	중반/NNG+)/SS
정도	정도/NNG
늘어나지만,	늘어나/VV+지만/EC+,/SP
요금은	요금/NNG+은/JX
무려	무려/MAG
10배(25만	10/SN+배/NNG+(/SS+25/SN+만/NR
원	원/NNB
이상)로	이상/NNG+)/SS+로/JKB
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.345.8.1
전문가들은 1970년대 오일쇼크 당시 도입한 현행 가정용 전기요금 누진체계를 손질해야 한다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
1970년대	1970/SN+년대/NNB
오일쇼크	오일/NNG+쇼크/NNG
당시	당시/NNG
도입한	도입/NNG+하/XSV+ㄴ/ETM
현행	현행/NNG
가정용	가정/NNG+용/XSN
전기요금	전기/NNG+요금/NNG
누진체계를	누진/NNG+체계/NNG+를/JKO
손질해야	손질/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.345.8.2
한국의 1인당 가정용 전기 소비량은 2012년 기준 1278kWh로 경제협력개발기구(OECD) 회원국 중에서도 낮은 축에 속한다.

한국의	한국/NNP+의/JKG
1인당	1/SN+인/NNG+당/XSN
가정용	가정/NNG+용/XSN
전기	전기/NNG
소비량은	소비량/NNG+은/JX
2012년	2012/SN+년/NNB
기준	기준/NNG
1278kWh로	1278/SN+kWh/SW+로/JKB
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
중에서도	중/NNB+에서/JKB+도/JX
낮은	낮/VA+은/ETM
축에	축/NNB+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.345.8.3
손양훈 인천대 교수(경제학)는 “가정용 전력 소비에 징벌적 요금을 매기는 것은 ‘몸에 맞지 않은 옷’을 입고 있는 격”이라며 “중산층이 과도하게 높은 요금을 내야 하는 요금체계를 바꿀 필요가 있다”고 말했다.

손양훈	손양훈/NNP
인천대	인천대/NNP
교수(경제학)는	교수/NNG+(/SS+경제학/NNG+)/SS+는/JX
“가정용	“/SS+가정/NNG+용/XSN
전력	전력/NNG
소비에	소비/NNG+에/JKB
징벌적	징벌/NNG+적/XSN
요금을	요금/NNG+을/JKO
매기는	매기/VV+는/ETM
것은	것/NNB+은/JX
‘몸에	‘/SS+몸/NNG+에/JKB
맞지	맞/VV+지/EC
않은	않/VX+은/ETM
옷’을	옷/NNG+’/SS+을/JKO
입고	입/VV+고/EC
있는	있/VX+는/ETM
격”이라며	격/NNB+”/SS+이/VCP+라며/EC
“중산층이	“/SS+중산/NNG+층/XSN+이/JKS
과도하게	과도/NNG+하/XSA+게/EC
높은	높/VA+은/ETM
내야	내/VV+어야/EC
하는	하/VX+는/ETM
요금체계를	요금/NNG+체계/NNG+를/JKO
바꿀	바꾸/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VV+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.345.9.1
전력 당국은 에너지 사용 효율을 높이기 위해서라도 현행 누진제를 계속 적용해야 한다는 입장이다.

전력	전력/NNG
당국은	당국/NNG+은/JX
에너지	에너지/NNG
사용	사용/NNG
효율을	효율/NNG+을/JKO
높이기	높이/VV+기/ETN
위해서라도	위하/VV+아서/EC+라도/EC
현행	현행/NNG
누진제를	누진/NNG+제/XSN+를/JKO
계속	계속/MAG
적용해야	적용/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.345.9.2
우태희 산업통상자원부 2차관은 이날 국회 산업통상자원위원회 전체회의에서 “지금 누진제를 흔들면 (사용량이 늘어) 수요 관리에 큰 영향을 미치고 누군가 전기요금을 더 부담해야 할 가능성이 있다”고 말했다.

우태희	우태희/NNP
산업통상자원부	산업/NNG+통상/NNG+자원부/NNG
2차관은	2/SN+차관/NNG+은/JX
이날	이날/NNG
국회	국회/NNG
산업통상자원위원회	산업/NNG+통상/NNG+자원/NNG+위원회/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
“지금	“/SS+지금/MAG
누진제를	누진/NNG+제/XSN+를/JKO
흔들면	흔들/VV+면/EC
(사용량이	(/SS+사용량/NNG+이/JKS
늘어)	늘/VV+어/EC+)/SS
수요	수요/NNG
관리에	관리/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치고	미치/VV+고/EC
누군가	누구/NP+이/VCP+ㄴ가/EF
전기요금을	전기/NNG+요금/NNG+을/JKO
더	더/MAG
부담해야	부담/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


