# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.302
metadata : {}


# id : NWRW1800000052.302.1.1
[한겨레 프리즘] 새누리당과 비밀의 방 / 김남일

[한겨레	[/SS+한겨레/NNP
# id : NWRW1800000052.302.3.4
당직자들에게 떼어올 것을 지시한 윤 전 대변인은 소주 몇 잔 걸친 뒤 패널을 ‘그랩’, 집으로 돌아갔다고 한다.

당직자들에게	당직자/NNG+들/XSN+에게/JKB
떼어올	떼/VV+어/EC+오/VX+ㄹ/ETM
것을	것/NNB+을/JKO
지시한	지시/NNG+하/XSV+ㄴ/ETM
윤	윤/NNP
전	전/MMD
대변인은	대변인/NNG+은/JX
소주	소주/NNG
몇	몇/NR
잔	잔/NNG
걸친	걸치/VV+ㄴ/ETM
뒤	뒤/NNG
패널을	패널/NNG+을/JKO
‘그랩’,	‘/SS+그랩/NNG+’/SS+,/SP
집으로	집/NNG+으로/JKB
돌아갔다고	돌아가/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.302.4.1
#2. 대선자금 수사에서 차떼기를 통한 불법 정치자금 수수가 들통난 한나라당은 탄핵 역풍까지 맞으며 휘청였다.

#2.	#/SW+2/SN+./SF
대선자금	대선/NNG+자금/NNG
수사에서	수사/NNG+에서/JKB
차떼기를	차떼기/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
수수가	수수/NNG+가/JKS
들통난	들통나/VV+ㄴ/ETM
한나라당은	한나라당/NNP+은/JX
탄핵	탄핵/NNG
역풍까지	역풍/NNG+까지/JX
맞으며	맞/VV+으며/EC
휘청였다.	휘청이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.302.4.2
2004년 3월 박근혜 대표는 400억원짜리 서울 여의도 당사를 팔고 여의도 중소기업종합전시장 흙바닥에 천막을 쳤다.

2004년	2004/SN+년/NNB
3월	3/SN+월/NNB
박근혜	박근혜/NNP
대표는	대표/NNG+는/JX
400억원짜리	400/SN+억/NR+원/NNB+짜리/XSN
서울	서울/NNP
여의도	여의도/NNP
당사를	당사/NNG+를/JKO
팔고	팔/VV+고/EC
중소기업종합전시장	중소기업종합전시장/NNP
흙바닥에	흙바닥/NNG+에/JKB
천막을	천막/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.302.4.3
천막 당사로 이름붙여진 이곳에서 풍찬노숙 끝에 17대 총선에서 121석을 얻으며 기사회생했다.

천막	천막/NNG
당사로	당사/NNG+로/JKB
이름붙여진	이름/NNG+붙이/VV+어/EC+지/VX+ㄴ/ETM
이곳에서	이곳/NP+에서/JKB
풍찬노숙	풍찬노숙/NNG
끝에	끝/NNG+에/JKB
17대	17/SN+대/NNB
총선에서	총선/NNG+에서/JKB
121석을	121/SN+석/NNB+을/JKO
얻으며	얻/VV+으며/EC
기사회생했다.	기사회생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.302.4.4
84일 만에 천막을 걷고 강서구 염창동 당사로 이사갈 수 있었다.

84일	84/SN+일/NNB
만에	만/NNB+에/JKB
천막을	천막/NNG+을/JKO
걷고	걷/VV+고/EC
강서구	강서구/NNP
염창동	염창동/NNP
당사로	당사/NNG+로/JKB
이사갈	이사/NNG+가/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.302.4.5
문제는 이 과정에서 당의 ‘역사’가 상당 부분 사라졌다는 것이다.

문제는	문제/NNG+는/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
당의	당/NNG+의/JKG
‘역사’가	‘/SS+역사/NNG+’/SS+가/JKS
상당	상당/NNG
부분	부분/NNG
사라졌다는	사라지/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.4.6
당직자와 기자들만으로도 벅찬 천막 당사로 이사하며 오래된 기록과 민감한 내용들이 적힌 서류들은 양천 소각장으로 보내져 불살라졌다.

당직자와	당직자/NNG+와/JC
기자들만으로도	기자/NNG+들/XSN+만/JX+으로/JKB+도/JX
벅찬	벅차/VA+ㄴ/ETM
천막	천막/NNG
당사로	당사/NNG+로/JKB
이사하며	이사/NNG+하/XSV+며/EC
오래된	오래/MAG+되/XSA+ㄴ/ETM
기록과	기록/NNG+과/JC
민감한	민감/NNG+하/XSA+ㄴ/ETM
내용들이	내용/NNG+들/XSN+이/JKS
적힌	적히/VV+ㄴ/ETM
서류들은	서류/NNG+들/XSN+은/JX
양천	양천/NNP
소각장으로	소각장/NNG+으로/JKB
보내져	보내/VV+어/EC+지/VX+어/EC
불살라졌다.	불사르/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.302.4.7
가뜩이나 공식 기록이 부족한 한국 정당사에서 보수 여당을 입체적으로 보여줄 자료는 그만큼 줄어들게 됐다.

가뜩이나	가뜩이나/MAG
공식	공식/NNG
기록이	기록/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
한국	한국/NNP
정당사에서	정당사/NNG+에서/JKB
보수	보수/NNG
여당을	여당/NNG+을/JKO
입체적으로	입체/NNG+적/XSN+으로/JKB
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
자료는	자료/NNG+는/JX
그만큼	그만큼/MAG
줄어들게	줄어들/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.302.5.1
#3. 새누리당의 20대 총선 공천 기록은 남아 있지 않다.

#3.	#/SW+3/SN+./SF
새누리당의	새누리당/NNP+의/JKG
20대	20/SN+대/NNB
총선	총선/NNG
공천	공천/NNG
기록은	기록/NNG+은/JX
남아	남/VV+아/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000052.302.5.2
정확히 말하면 회의록이 없다고 한다.

정확히	정확히/MAG
말하면	말/NNG+하/XSV+면/EC
회의록이	회의록/NNG+이/JKS
없다고	없/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.302.5.3
심사장 밖에서 이한구 공천관리위원장이 쏟아낸 모진 말들만이 둥둥 떠다닌다.

심사장	심사장/NNG
밖에서	밖/NNG+에서/JKB
이한구	이한구/NNP
공천관리위원장이	공천/NNG+관리/NNG+위원장/NNG+이/JKS
쏟아낸	쏟/VV+아/EC+내/VX+ㄴ/ETM
모진	모질/VA+ㄴ/ETM
말들만이	말/NNG+들/XSN+만/JX+이/JKS
둥둥	둥둥/MAG
떠다닌다.	떠다니/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.302.5.4
“하늘에서 떨어졌다”는 외부 공천관리위원들이 어떻게 선임됐는지도 미스터리다.

“하늘에서	“/SS+하늘/NNG+에서/JKB
떨어졌다”는	떨어지/VV+었/EP+다/EF+”/SS+는/ETM
외부	외부/NNG
공천관리위원들이	공천/NNG+관리/NNG+위원/NNG+들/XSN+이/JKS
어떻게	어떻/VA+게/EC
선임됐는지도	선임/NNG+되/XSV+었/EP+는지/EF+도/JX
미스터리다.	미스터리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.5.5
공천 심사 공정성을 의심하게 만든 여의도연구원 여론조사 유출 사건의 검찰 수사자료만이 공식 기록으로 남을 처지다.

공천	공천/NNG
심사	심사/NNG
공정성을	공정/NNG+성/XSN+을/JKO
의심하게	의심/NNG+하/XSV+게/EC
만든	만들/VV+ㄴ/ETM
여의도연구원	여의도연구원/NNP
여론조사	여론/NNG+조사/NNG
유출	유출/NNG
사건의	사건/NNG+의/JKG
검찰	검찰/NNG
수사자료만이	수사/NNG+자료/NNG+만/JX+이/JKS
공식	공식/NNG
기록으로	기록/NNG+으로/JKB
남을	남/VV+을/ETM
처지다.	처지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.5.6
18대 총선까지만 해도 당에서 공천 심사 기록을 남겼다고 한다.

18대	18/SN+대/NNB
총선까지만	총선/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
당에서	당/NNG+에서/JKB
공천	공천/NNG
심사	심사/NNG
기록을	기록/NNG+을/JKO
남겼다고	남기/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.302.5.7
공개는 안 해도 적어두기는 했다는 것이다.

공개는	공개/NNG+는/JX
안	안/MAG
해도	하/VV+아도/EC
적어두기는	적/VV+어/EC+두/VX+기/ETN+는/JX
했다는	하/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.5.8
18·19대 공천 과정을 잘 아는 새누리당 한 의원은 “19대 총선부터 공천 회의록이 사라졌다”고 했다.

18·19대	18/SN+·/SP+19/SN+대/NNB
공천	공천/NNG
과정을	과정/NNG+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
새누리당	새누리당/NNP
한	한/MMN
의원은	의원/NNG+은/JX
“19대	“/SS+19/SN+대/NNB
총선부터	총선/NNG+부터/JX
회의록이	회의록/NNG+이/JKS
사라졌다”고	사라지/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.302.5.9
19대 총선은 박근혜 비상대책위원장과 친박계가 주도했다.

19대	19/SN+대/NNB
총선은	총선/NNG+은/JX
박근혜	박근혜/NNP
비상대책위원장과	비상/NNG+대책/NNG+위원장/NNG+과/JC
친박계가	친/XPN+박/NNP+계/XSN+가/JKS
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.302.6.1
#4. “국민이 우리에게 121석이라는 큰 지지를 보내준 것은 거듭나서 잘하라는 마지막 기회를 주신 것이다.

#4.	#/SW+4/SN+./SF
“국민이	“/SS+국민/NNG+이/JKS
우리에게	우리/NP+에게/JKB
121석이라는	121/SN+석/NNB+이/VCP+라는/ETM
큰	크/VA+ㄴ/ETM
지지를	지지/NNG+를/JKO
보내준	보내/VV+어/EC+주/VX+ㄴ/ETM
것은	것/NNB+은/JX
거듭나서	거듭나/VV+아서/EC
잘하라는	잘/MAG+하/XSV+라는/ETM
마지막	마지막/NNG
기회를	기회/NNG+를/JKO
주신	주/VV+시/EP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.6.2
이 마지막 기회를 살리지 못하면 (한나라당은) 역사에서 소멸할 것이다.”

이	이/MMD
마지막	마지막/NNG
기회를	기회/NNG+를/JKO
살리지	살리/VV+지/EC
못하면	못하/VX+면/EC
(한나라당은)	(/SS+한나라당/NNP+은/JX+)/SS
역사에서	역사/NNG+에서/JKB
소멸할	소멸/NNG+하/XSV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000052.302.6.3
박근혜 한나라당 대표는 지는 것이 당연하다는 17대 총선에서 참패를 면한 뒤 이렇게 말했다.

박근혜	박근혜/NNP
한나라당	한나라당/NNP
대표는	대표/NNG+는/JX
지는	지/VV+는/ETM
것이	것/NNB+이/JKS
당연하다는	당연/NNG+하/XSA+다는/ETM
17대	17/SN+대/NNB
총선에서	총선/NNG+에서/JKB
참패를	참패/NNG+를/JKO
면한	면하/VV+ㄴ/ETM
뒤	뒤/NNG
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.302.6.4
역사는 두 번 온다.

역사는	역사/NNG+는/JX
두	두/MMN
번	번/NNB
온다.	오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.302.6.5
지는 것이 불가능하다던 20대 총선에서 새누리당은 122석을 얻었다.

지는	지/VV+는/ETM
것이	것/NNB+이/JKS
불가능하다던	불/XPN+가능/NNG+하/XSA+다던/ETM
20대	20/SN+대/NNB
총선에서	총선/NNG+에서/JKB
새누리당은	새누리당/NNP+은/JX
122석을	122/SN+석/NNB+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.302.6.6
당 쇄신이 없다면 ‘영남 자민련’으로 소멸하게 될 것이라는 경고를 받고 있다.

당	당/NNG
쇄신이	쇄신/NNG+이/JKS
없다면	없/VA+다면/EC
‘영남	‘/SS+영남/NNP
자민련’으로	자민련/NNP+’/SS+으로/JKB
소멸하게	소멸/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
경고를	경고/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.302.6.7
“국민이 원하는 것과 정반대로 갔으면서 지금 와서 ‘내가 무엇을 잘못했느냐’고 항변하고 있다.

“국민이	“/SS+국민/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
정반대로	정반대/NNG+로/JKB
갔으면서	가/VV+았/EP+으면서/EC
지금	지금/MAG
와서	오/VV+아서/EC
‘내가	‘/SS+내/NP+가/JKS
무엇을	무엇/NP+을/JKO
잘못했느냐’고	잘못/MAG+하/XSV+았/EP+느냐/EF+’/SS+고/JKQ
항변하고	항변/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.302.6.8
… 대통령이란 자리는 가문의 영광을 위해 있는 자리가 아니다.”

…	…/SE
대통령이란	대통령/NNG+이/VCP+란/ETM
자리는	자리/NNG+는/JX
가문의	가문/NNG+의/JKG
영광을	영광/NNG+을/JKO
위해	위하/VV+아/EC
있는	있/VX+는/ETM
자리가	자리/NNG+가/JKC
아니다.”	아니/VCN+다/EF+./SF+”/SS


# id : NWRW1800000052.302.6.9
2006년 12월, 임기 1년을 남겨둔 노무현 대통령에게 박근혜 의원이 한 말이다.

2006년	2006/SN+년/NNB
12월,	12/SN+월/NNB+,/SP
임기	임기/NNG
1년을	1/SN+년/NNB+을/JKO
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
노무현	노무현/NNP
대통령에게	대통령/NNG+에게/JKB
박근혜	박근혜/NNP
의원이	의원/NNG+이/JKS
한	하/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.6.10
박 대통령은 10년 전 자신이 했던 말을 전혀 기억 못하는 것 같다.

박	박/NNP
대통령은	대통령/NNG+은/JX
10년	10/SN+년/NNB
전	전/NNG
자신이	자신/NNG+이/JKS
했던	하/VV+았/EP+던/ETM
말을	말/NNG+을/JKO
전혀	전혀/MAG
기억	기억/NNG
못하는	못/MAG+하/VV+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000052.302.6.11
그가 지나간 자리마다 기록은 폐허다.

그가	그/NP+가/JKS
지나간	지나가/VV+ㄴ/ETM
자리마다	자리/NNG+마다/JX
기록은	기록/NNG+은/JX
폐허다.	폐허/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.7.1
#5. 2007년부터 쓰고 있는 지금의 새누리당 당사 5층에는 ‘비밀의 방’이 있다.

#5.	#/SW+5/SN+./SF
2007년부터	2007/SN+년/NNB+부터/JX
쓰고	쓰/VV+고/EC
있는	있/VX+는/ETM
지금의	지금/NNG+의/JKG
새누리당	새누리당/NNP
당사	당사/NNG
5층에는	5/SN+층/NNG+에/JKB+는/JX
‘비밀의	‘/SS+비밀/NNG+의/JKG
방’이	방/NNG+’/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.302.7.2
당직자들도 잘 모르는 이곳에는 천막 당사로 떠날 때, 그리고 천막 당사를 떠날 때 피란지의 상징이었던 묵직한 한나라당 현판이 보관돼 있다고 한다.

당직자들도	당직자/NNG+들/XSN+도/JX
잘	잘/MAG
모르는	모르/VV+는/ETM
이곳에는	이곳/NP+에/JKB+는/JX
천막	천막/NNG
당사로	당사/NNG+로/JKB
떠날	떠나/VV+ㄹ/ETM
때,	때/NNG+,/SP
그리고	그리고/MAJ
당사를	당사/NNG+를/JKO
때	때/NNG
피란지의	피란지/NNG+의/JKG
상징이었던	상징/NNG+이/VCP+었/EP+던/ETM
묵직한	묵직하/VA+ㄴ/ETM
한나라당	한나라당/NNP
현판이	현판/NNG+이/JKS
보관돼	보관/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.302.7.3
일종의 수장고인 셈이다.

일종의	일종/NNG+의/JKG
수장고인	수장고/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.7.4
4·13 총선 참패 뒤 당내에서는 “천막 당사 정신을 되새기자”는 말이 쏟아지고 있다.

4·13	4/SN+·/SP+13/SN
총선	총선/NNG
참패	참패/NNG
뒤	뒤/NNG
당내에서는	당내/NNG+에서/JKB+는/JX
“천막	“/SS+천막/NNG
당사	당사/NNG
정신을	정신/NNG+을/JKO
되새기자”는	되새기/VV+자/EF+”/SS+는/JX
말이	말/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.302.7.5
이참에 수장고라도 열어 유물 전시회라도 해보자.

이참에	이참/NNG+에/JKB
수장고라도	수장고/NNG+이/VCP+라도/EC
열어	열/VV+어/EC
유물	유물/NNG
전시회라도	전시회/NNG+이/VCP+라도/EC
해보자.	하/VV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000052.302.7.6
12년 전 흰 장갑 끼고 한나라당 현판을 날랐던 박 대통령은 필참이다.

12년	12/SN+년/NNB
전	전/NNG
흰	희/VA+ㄴ/ETM
장갑	장갑/NNG
끼고	끼/VV+고/EC
한나라당	한나라당/NNP
현판을	현판/NNG+을/JKO
날랐던	나르/VV+았/EP+던/ETM
박	박/NNP
대통령은	대통령/NNG+은/JX
필참이다.	필참/NNG+이/VCP+다/EF+./SF


