# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.251
metadata : {}


# id : NWRW1800000036.251.1.1
내년 대입 특별전형 요건 강화

내년	내년/NNG
외국에서 초·중·고 12년 이상의 학교 교육과정을 수료한 경우에는 대입 지원자격을 얻는 데 문제가 없으나, 같은 학년을 중복 수료한 기간과 외국의 검정고시, 홈스쿨링, 사이버학습 등은 학력으로 인정하지 않기로 했다.

외국에서	외국/NNG+에서/JKB
초·중·고	초·중·고/NNG
12년	12/SN+년/NNB
이상의	이상/NNG+의/JKG
학교	학교/NNG
교육과정을	교육/NNG+과정/NNG+을/JKO
수료한	수료/NNG+하/XSV+ㄴ/ETM
경우에는	경우/NNG+에/JKB+는/JX
대입	대입/NNG
지원자격을	지원/NNG+자격/NNG+을/JKO
얻는	얻/VV+는/ETM
데	데/NNB
문제가	문제/NNG+가/JKS
없으나,	없/VA+으나/EC+,/SP
같은	같/VA+은/ETM
학년을	학년/NNG+을/JKO
중복	중복/NNG
기간과	기간/NNG+과/JC
외국의	외국/NNG+의/JKG
검정고시,	검정고시/NNG+,/SP
홈스쿨링,	홈스쿨링/NNG+,/SP
사이버학습	사이버/NNG+학습/NNG
등은	등/NNB+은/JX
학력으로	학력/NNG+으로/JKB
인정하지	인정/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.251.7.1
선발고사의 성격으로 대학마다 실시하는 논술의 경우에는 문제와 해설을 공개하는 한편, 논술문제 출제 때 고등학교 교사에게 문항에 대한 자문을 받도록 권장해 교육과정 범위를 벗어난 문제가 출제되지 않도록 하겠다는 방안도 포함됐다.

선발고사의	선발/NNG+고사/NNG+의/JKG
성격으로	성격/NNG+으로/JKB
대학마다	대학/NNG+마다/JX
실시하는	실시/NNG+하/XSV+는/ETM
논술의	논술/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
문제와	문제/NNG+와/JC
해설을	해설/NNG+을/JKO
공개하는	공개/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
논술문제	논술/NNG+문제/NNG
출제	출제/NNG
때	때/NNG
고등학교	고등학교/NNG
교사에게	교사/NNG+에게/JKB
문항에	문항/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자문을	자문/NNG+을/JKO
받도록	받/VV+도록/EC
권장해	권장/NNG+하/XSV+아/EC
교육과정	교육/NNG+과정/NNG
범위를	범위/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
문제가	문제/NNG+가/JKS
출제되지	출제/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
하겠다는	하/VV+겠/EP+다는/ETM
방안도	방안/NNG+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.251.7.2
대교협은 앞으로 의견수렴 과정을 거친 뒤 이달 안에 최종 확정된 안을 발표할 계획이다.

대교협은	대교협/NNP+은/JX
앞으로	앞/NNG+으로/JKB
의견수렴	의견/NNG+수렴/NNG
과정을	과정/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
이달	이달/NNG
안에	안/NNG+에/JKB
최종	최종/NNG
확정된	확정/NNG+되/XSV+ㄴ/ETM
안을	안/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.251.8.1
하지만 이번 공청회는 대교협 누리집에조차 관련 정보가 올라와 있지 않는 등 사전 예고가 불충분했다는 지적을 받았다.

하지만	하지만/MAJ
이번	이번/NNG
공청회는	공청회/NNG+는/JX
대교협	대교협/NNP
누리집에조차	누리집/NNG+에/JKB+조차/JX
관련	관련/NNG
정보가	정보/NNG+가/JKS
올라와	올라오/VV+아/EC
있지	있/VX+지/EC
않는	않/VX+는/ETM
등	등/NNB
사전	사전/NNG
예고가	예고/NNG+가/JKS
불충분했다는	불충분/NNG+하/XSA+았/EP+다는/ETM
지적을	지적/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.251.8.2
1318대학진학연구소의 유성룡 소장은 “수시모집 지원 6회 제한 제도는 올해 처음 도입돼 아직 시행조차 되지 않았기 때문에 실제 시행 뒤 대학들의 다양한 요구를 담아 내년에도 지속할지 여부를 고민하면 되는데 정권 말기임을 의식해 미리 못박으려 한다”고 비판했다.

1318대학진학연구소의	1318대학진학연구소/NNP+의/JKG
유성룡	유성룡/NNP
소장은	소장/NNG+은/JX
“수시모집	“/SS+수시/NNG+모집/NNG
지원	지원/NNG
6회	6/SN+회/NNB
제한	제한/NNG
제도는	제도/NNG+는/JX
올해	올해/NNG
처음	처음/NNG
도입돼	도입/NNG+되/XSV+어/EC
아직	아직/MAG
시행조차	시행/NNG+조차/JX
되지	되/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
실제	실제/NNG
시행	시행/NNG
뒤	뒤/NNG
대학들의	대학/NNG+들/XSN+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
요구를	요구/NNG+를/JKO
담아	담/VV+아/EC
내년에도	내년/NNG+에/JKB+도/JX
지속할지	지속/NNG+하/XSV+ㄹ지/EF
여부를	여부/NNG+를/JKO
고민하면	고민/NNG+하/XSV+면/EC
되는데	되/VV+는데/EC
정권	정권/NNG
말기임을	말기/NNG+이/VCP+ㅁ/ETN+을/JKO
의식해	의식/NNG+하/XSV+아/EC
미리	미리/MAG
못박으려	못/NNG+박/VV+으려/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


