# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.170
metadata : {}


# id : NWRW1800000029.170.1.1
책의 향기 / 서재에 꽂힌 그들만의 취향속에서 우리시대 지식인 맨얼굴을 만나다

책의	책/NNG+의/JKG
밤하늘의	밤하늘/NNG+의/JKG
별처럼	별/NNG+처럼/JKB
박히는	박히/VV+는/ETM
거잖아요.”	거/NNB+이/VCP+잖아/EF+요/JX+./SF+”/SS


# id : NWRW1800000029.170.5.2
이효재의 말.

이효재의	이효재/NNP+의/JKG
말.	말/NNG+./SF


# id : NWRW1800000029.170.5.3
그의 서재엔 ‘열혈강호’, ‘캔디캔디’, ‘베르사이유의 장미’, ‘천재 유교수의 생활’ 등 만화책만 수천 권이다.

그의	그/NP+의/JKG
서재엔	서재/NNG+에/JKB+ㄴ/JX
‘열혈강호’,	‘/SS+열혈강호/NNP+’/SS+,/SP
‘캔디캔디’,	‘/SS+캔디캔디/NNP+’/SS+,/SP
‘베르사이유의	‘/SS+베르사이유/NNP+의/JKG
장미’,	장미/NNG+’/SS+,/SP
‘천재	‘/SS+천재/NNG
유교수의	유/NNP+교수/NNG+의/JKG
생활’	생활/NNG+’/SS
등	등/NNB
만화책만	만화책/NNG+만/JX
수천	수천/NR
권이다.	권/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.170.5.4
만화를 통해 기발한 상상력을 배운다는 그에게 만화책은 ‘화살처럼 꽂히는 무언가’다.

만화를	만화/NNG+를/JKO
통해	통하/VV+아/EC
기발한	기발하/VA+ㄴ/ETM
상상력을	상상력/NNG+을/JKO
배운다는	배우/VV+ㄴ다는/ETM
그에게	그/NP+에게/JKB
만화책은	만화책/NNG+은/JX
‘화살처럼	‘/SS+화살/NNG+처럼/JKB
꽂히는	꽂히/VV+는/ETM
무언가’다.	무어/NP+이/VCP+ㄴ가/EF+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.170.5.5
책을 분류할 때도 만화책이냐, 아니냐로 분류한다.

책을	책/NNG+을/JKO
분류할	분류/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
만화책이냐,	만화책/NNG+이/VCP+냐/EF+,/SP
아니냐로	아니/VCN+냐/EF+로/JKB
분류한다.	분류/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.170.5.6
한 번 살 때는 트렁크 캐리어를 들고 가서 한 가득 사온다.

한	한/NA
번	번/NNB
살	살/VV+ㄹ/ETM
때는	때/NNG+는/JX
트렁크	트렁크/NNG
캐리어를	캐리어/NNG+를/JKO
들고	들/VV+고/EC
가서	가/VV+아서/EC
가득	가득/MAG
사온다.	사/VV+아/EC+오/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.170.5.7
애도 아니고 왜 이토록 만화책을 좋아할까.

애도	애/NNG+도/JX
아니고	아니/VCN+고/EC
왜	왜/MAG
이토록	이토록/MAG
만화책을	만화책/NNG+을/JKO
좋아할까.	좋아하/VV+ㄹ까/EF+./SF


# id : NWRW1800000029.170.5.8
만화나 동화를 볼 때면 ‘국물을 마신 것처럼 개운해진다’는 것이 이유다.

만화나	만화/NNG+나/JC
동화를	동화/NNG+를/JKO
볼	보/VV+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
‘국물을	‘/SS+국물/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
개운해진다’는	개운하/VA+아/EC+지/VX+ㄴ다/EF+’/SS+는/ETM
것이	것/NNB+이/JKS
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.170.5.9
추천도서 목록에 직접 서평도 썼다.

추천도서	추천/NNG+도서/NNG
목록에	목록/NNG+에/JKB
직접	직접/MAG
서평도	서평/NNG+도/JX
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.170.5.10
“지금 읽어도 젊었을 때 봤을 때와 또 다르게 감동스러워요.

“지금	“/SS+지금/MAG
읽어도	읽/VV+어도/EC
젊었을	젊/VA+었/EP+을/ETM
때	때/NNG
봤을	보/VV+았/EP+을/ETM
때와	때/NNG+와/JKB
또	또/MAG
다르게	다르/VA+게/EC
감동스러워요.	감동/NNG+스럽/XSA+어요/EF+./SF


# id : NWRW1800000029.170.5.11
내용이 너무 훌륭하잖아요.”

내용이	내용/NNG+이/JKS
너무	너무/MAG
훌륭하잖아요.”	훌륭하/VA+잖아/EF+요/JX+./SF+”/SS


# id : NWRW1800000029.170.5.12
역시나, 만화책 ‘캔디캔디’를 추천했다.

역시나,	역시/MAG+나/JX+,/SP
만화책	만화책/NNG
‘캔디캔디’를	‘/SS+캔디캔디/NNP+’/SS+를/JKO
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.170.6.1
예술마을 촌장 이안수의 게스트하우스 서재.

예술마을	예술/NNG+마을/NNG
촌장	촌장/NNG
이안수의	이안수/NNP+의/JKG
게스트하우스	게스트하우스/NNG
서재.	서재/NNG+./SF


# id : NWRW1800000029.170.6.2
모닥불에 4년 치 일기장을 태우고 싶다던 젊은 여자 객은 한 장의 쪽지를 남기고 다음 날 아침 사라졌다.

모닥불에	모닥불/NNG+에/JKB
4년	4/SN+년/NNB
치	치/XSN
일기장을	일기장/NNG+을/JKO
태우고	태우/VV+고/EC
싶다던	싶/VX+다던/ETM
젊은	젊/VA+은/ETM
여자	여자/NNG
객은	객/NNG+은/JX
한	한/MMN
장의	장/NNB+의/JKG
쪽지를	쪽지/NNG+를/JKO
남기고	남기/VV+고/EC
다음	다음/NNG
날	날/NNG
아침	아침/NNG
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.170.6.3
“제 일기장을 이곳에 두고 갑니다.

“제	“/SS+저/NP+의/JKG
일기장을	일기장/NNG+을/JKO
이곳에	이곳/NP+에/JKB
두고	두/VV+고/EC
갑니다.	가/VV+ㅂ니다/EF+./SF


# id : NWRW1800000029.170.6.4
서재 어딘가에 아무도 모르게 숨겨 놓았습니다.

서재	서재/NNG
어딘가에	어디/NP+이/VCP+ㄴ가/EF+에/JKB
아무도	아무/NP+도/JX
모르게	모르/VV+게/EC
숨겨	숨기/VV+어/EC
놓았습니다.	놓/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000029.170.6.5
어쩌면 누군가에게 힘이 될지도….”

어쩌면	어쩌면/MAG
누군가에게	누구/NP+이/VCP+ㄴ가/EF+에게/JKB
힘이	힘/NNG+이/JKC
될지도….”	되/VV+ㄹ지/EC+도/JX+…/SE+./SF+”/SS


# id : NWRW1800000029.170.6.6
어떤 이는 숙박료 대신 책을 보내온다.

어떤	어떤/MMD
이는	이/NP+는/JX
숙박료	숙박료/NNG
대신	대신/NNG
책을	책/NNG+을/JKO
보내온다.	보내오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.170.6.7
이안수에게 명작은 ‘한 사람의 인생을 보는 것’이다.

이안수에게	이안수/NNP+에게/JKB
명작은	명작/NNG+은/JX
‘한	‘/SS+한/MMN
사람의	사람/NNG+의/JKG
인생을	인생/NNG+을/JKO
보는	보/VV+는/ETM
것’이다.	것/NNB+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.170.6.8
누군가가 우연히 발견하게 될 낯선 이의 일기장, 누군가의 손때 묻은 책 한 권으로 그의 서재는 채워진다.

누군가가	누구/NP+이/VCP+ㄴ가/EF+가/JKS
우연히	우연히/MAG
발견하게	발견/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
낯선	낯설/VA+ㄴ/ETM
이의	이/NP+의/JKG
일기장,	일기장/NNG+,/SP
누군가의	누구/NP+이/VCP+ㄴ가/EF+의/JKG
손때	손때/NNG
묻은	묻/VV+은/ETM
책	책/NNG
한	한/MMN
권으로	권/NNB+으로/JKB
그의	그/NP+의/JKG
서재는	서재/NNG+는/JX
채워진다.	채우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.170.6.9
책은 누구의 것도 아니라는 그는 추천도서 목록에 둘째 딸의 서평을 실었다.

책은	책/NNG+은/JX
누구의	누구/NP+의/JKG
것도	것/NNB+도/JX
아니라는	아니/VCN+라는/ETM
그는	그/NP+는/JX
추천도서	추천/NNG+도서/NNG
목록에	목록/NNG+에/JKB
둘째	둘째/NR
딸의	딸/NNG+의/JKG
서평을	서평/NNG+을/JKO
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.170.6.10
“수능 보기 전에 읽은 책.

“수능	“/SS+수능/NNG
보기	보/VV+기/ETN
전에	전/NNG+에/JKB
읽은	읽/VV+은/ETM
책.	책/NNG+./SF


# id : NWRW1800000029.170.6.11
이스마엘 베아의 삶을 안 후부터 나에겐 더 이상 수능이 문제가 아니었다.”

이스마엘	이스마엘/NNP
베아의	베아/NNP+의/JKG
삶을	삶/NNG+을/JKO
안	알/VV+ㄴ/ETM
후부터	후/NNG+부터/JX
나에겐	나/NP+에게/JKB+ㄴ/JX
더	더/MAG
이상	이상/NNG
수능이	수능/NNG+이/JKS
문제가	문제/NNG+가/JKC
아니었다.”	아니/VCN+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000029.170.6.12
아프리카의 소년병이 전쟁의 참상을 겪는 과정을 그린 소설 ‘집으로 가는 길’이다.

아프리카의	아프리카/NNP+의/JKG
소년병이	소년/NNG+병/NNG+이/JKS
전쟁의	전쟁/NNG+의/JKG
참상을	참상/NNG+을/JKO
겪는	겪/VV+는/ETM
과정을	과정/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
소설	소설/NNG
‘집으로	‘/SS+집/NNG+으로/JKB
가는	가/VV+는/ETM
길’이다.	길/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.170.7.1
존 스튜어트 밀의 ‘자유론’, 박노해의 ‘그러니 그대 사라지지 말아라’, 김두식의 ‘불편해도 괜찮아’, 인권, 자유, 투쟁을 말하는 추천도서 목록.

존	존/NNP
스튜어트	스튜어트/NNP
밀의	밀/NNP+의/JKG
‘자유론’,	‘/SS+자유/NNG+론/XSN+’/SS+,/SP
박노해의	박노해/NNP+의/JKG
‘그러니	‘/SS+그러니/MAJ
그대	그대/NP
사라지지	사라지/VV+지/EC
말아라’,	말/VX+아라/EF+’/SS+,/SP
김두식의	김두식/NNP+의/JKG
‘불편해도	‘/SS+불편/NNG+하/XSA+아도/EC
괜찮아’,	괜찮/VA+아/EF+’/SS+,/SP
인권,	인권/NNG+,/SP
자유,	자유/NNG+,/SP
투쟁을	투쟁/NNG+을/JKO
말하는	말/NNG+하/XSV+는/ETM
추천도서	추천/NNG+도서/NNG
목록.	목록/NNG+./SF


# id : NWRW1800000029.170.7.2
조국 교수의 서재다.

조국	조국/NNP
교수의	교수/NNG+의/JKG
서재다.	서재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.170.7.3
“모든 인간은 껍질과 벽이 있어요.

“모든	“/SS+모든/MMN
인간은	인간/NNG+은/JX
껍질과	껍질/NNG+과/JC
벽이	벽/NNG+이/JKS
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000029.170.7.4
이를 깰 때에만 소통이 되고 변화가 되며 생존이 가능하죠.

이를	이/NP+를/JKO
깰	깨/VV+ㄹ/ETM
때에만	때/NNG+에/JKB+만/JX
소통이	소통/NNG+이/JKC
되고	되/VV+고/EC
변화가	변화/NNG+가/JKC
되며	되/VV+며/EC
생존이	생존/NNG+이/JKS
가능하죠.	가능/NNG+하/XSA+죠/EF+./SF


# id : NWRW1800000029.170.7.5
다른 사람의 글, 책을 볼 때 껍질이 비로소 부드러워집니다.”

다른	다른/MMD
사람의	사람/NNG+의/JKG
글,	글/NNG+,/SP
책을	책/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
껍질이	껍질/NNG+이/JKS
비로소	비로소/MAG
부드러워집니다.”	부드럽/VA+어/EC+지/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000029.170.7.6
그의 서재엔 개혁을 논하는 좌파 도서뿐 아니라 시집도 많았다.

그의	그/NP+의/JKG
서재엔	서재/NNG+에/JKB+ㄴ/JX
개혁을	개혁/NNG+을/JKO
논하는	논하/VV+는/ETM
좌파	좌파/NNG
도서뿐	도서/NNG+뿐/JX
아니라	아니/VCN+라/EC
시집도	시집/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.170.7.7
책 지식인의 서재는 이처럼 명사의 ‘의외’의 모습과 진솔한 이야기가 많다.

책	책/NNG
지식인의	지식인/NNG+의/JKG
서재는	서재/NNG+는/JX
이처럼	이/NP+처럼/JKB
명사의	명사/NNG+의/JKG
‘의외’의	‘/SS+의외/NNG+’/SS+의/JKG
모습과	모습/NNG+과/JC
진솔한	진솔하/VA+ㄴ/ETM
이야기가	이야기/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.170.7.8
직접 쓴 서평도 참신하다.

직접	직접/MAG
쓴	쓰/VV+ㄴ/ETM
서평도	서평/NNG+도/JX
참신하다.	참신하/VA+다/EF+./SF


# id : NWRW1800000029.170.7.9
다만 인물을 논할 때 저자가 좀 더 담담하게 썼더라면 하는 아쉬움.

다만	다만/MAG
인물을	인물/NNG+을/JKO
논할	논하/VV+ㄹ/ETM
때	때/NNG
저자가	저자/NNG+가/JKS
좀	좀/MAG
더	더/MAG
담담하게	담담하/VA+게/EC
썼더라면	쓰/VV+었/EP+더라면/EC
하는	하/VV+는/ETM
아쉬움.	아쉬움/NNG+./SF


# id : NWRW1800000029.170.7.10
“법학자로서의 중심을 잃지 않으면서 권위주의에 맞서 싸우고…시민운동과 인권운동을 통해…도회적인 외모 안에…푸근한 정서가 있고…이목을 잡아끄는 매력이….”

“법학자로서의	“/SS+법학자/NNG+로서/JKB+의/JKG
중심을	중심/NNG+을/JKO
잃지	잃/VV+지/EC
않으면서	않/VX+으면서/EC
권위주의에	권위주의/NNG+에/JKB
맞서	맞서/VV+어/EC
싸우고…시민운동과	싸우/VV+고/EC+…/SE+시민운동/NNG+과/JC
인권운동을	인권/NNG+운동/NNG+을/JKO
통해…도회적인	통하/VV+아/EC+…/SE+도회/NNG+적/XSN+이/VCP+ㄴ/ETM
외모	외모/NNG
안에…푸근한	안/NNG+에/JKB+…/SE+푸근하/VA+ㄴ/ETM
정서가	정서/NNG+가/JKS
있고…이목을	있/VA+고/EC+…/SE+이목/NNG+을/JKO
잡아끄는	잡아끌/VV+는/ETM
매력이….”	매력/NNG+이/JKS+…/SE+./SF+”/SS


# id : NWRW1800000029.170.7.11
거의 한 문단을 넘긴다.

거의	거의/MAG
한	한/MMN
문단을	문단/NNG+을/JKO
넘긴다.	넘기/VV+ㄴ다/EF+./SF


