# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.131
metadata : {}


# id : NWRW1800000022.131.1.1
백상어에겐 너무 잔인했던 마스터스;그렉 노먼 세번이나 쓴맛 1996년엔 6타 앞서다 4R서 6오버파로 자멸도

백상어에겐	백상어/NNG+에게/JKB+ㄴ/JX
백상어의 '마스터스 잔혹사'가 시작된 것은 1986년.

백상어의	백상어/NNG+의/JKG
'마스터스	'/SS+마스터스/NNG
잔혹사'가	잔혹사/NNG+'/SS+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
1986년.	1986/SN+년/NNB+./SF


# id : NWRW1800000022.131.5.2
3라운드까지 선두였던 노먼은 전반에 선두를 빼앗겼다가, 후반 14~17번 홀에서 4연속 버디를 잡으며 잭 니클라우스를 따라잡았다.

3라운드까지	3/SN+라운드/NNG+까지/JX
선두였던	선두/NNG+이/VCP+었/EP+던/ETM
노먼은	노먼/NNP+은/JX
전반에	전반/NNG+에/JKB
선두를	선두/NNG+를/JKO
빼앗겼다가,	빼앗기/VV+었/EP+다가/EC+,/SP
후반	후반/NNG
14~17번	14/SN+~/SO+17/SN+번/NNB
홀에서	홀/NNG+에서/JKB
4연속	4/SN+연속/NNG
버디를	버디/NNG+를/JKO
잡으며	잡/VV+으며/EC
잭	잭/NNP
니클라우스를	니클라우스/NNP+를/JKO
따라잡았다.	따라잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.131.5.3
18번 홀에서 파만 잡으면 연장에 돌입할 수 있었으나, 결국 보기를 하며 46세의 '황금 곰' 니클라우스에게 메이저 대회 최고령 우승의 영예를 헌납했다.

18번	18/SN+번/NNB
홀에서	홀/NNG+에서/JKB
파만	파/NNG+만/JX
잡으면	잡/VV+으면/EC
연장에	연장/NNG+에/JKB
돌입할	돌입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었으나,	있/VA+었/EP+으나/EC+,/SP
결국	결국/MAG
보기를	보기/NNG+를/JKO
하며	하/VV+며/EC
46세의	46/SN+세/NNB+의/JKG
'황금	'/SS+황금/NNG
곰'	곰/NNG+'/SS
니클라우스에게	니클라우스/NNP+에게/JKB
메이저	메이저/NNG
대회	대회/NNG
최고령	최/XPN+고령/NNG
우승의	우승/NNG+의/JKG
영예를	영예/NNG+를/JKO
헌납했다.	헌납/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.131.5.4
1년 뒤인 1987년에는 오거스타 출신인 래리 마이즈에게 연장 두 번째 홀에서 45야드짜리 칩 샷을 얻어맞고 땅을 쳐야 했다.

1년	1/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1987년에는	1987/SN+년/NNB+에/JKB+는/JX
오거스타	오거스타/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
래리	래리/NNP
마이즈에게	마이즈/NNP+에게/JKB
연장	연장/NNG
두	두/MMN
번째	번/NNB+째/XSN
홀에서	홀/NNG+에서/JKB
45야드짜리	45/SN+야드/NNB+짜리/XSN
칩	칩/NNG
샷을	샷/NNG+을/JKO
얻어맞고	얻어맞/VV+고/EC
땅을	땅/NNG+을/JKO
쳐야	치/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.131.6.1
마스터스 최대의 역전극은 1996년에 벌어졌다.

마스터스	마스터스/NNG
최대의	최대/NNG+의/JKG
역전극은	역전극/NNG+은/JX
1996년에	1996/SN+년/NNB+에/JKB
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.6.2
노먼은 1라운드에서 코스 기록인 9언더파 63타를 치는 등 3라운드까지 6타 앞선 단독 선두를 달렸다.

노먼은	노먼/NNP+은/JX
1라운드에서	1/SN+라운드/NNG+에서/JKB
코스	코스/NNG
기록인	기록/NNG+이/VCP+ㄴ/ETM
9언더파	9/SN+언더/NNG+파/NNG
63타를	63/SN+타/NNG+를/JKO
치는	치/VV+는/ETM
등	등/NNB
3라운드까지	3/SN+라운드/NNG+까지/JX
6타	6/SN+타/NNG
앞선	앞서/VV+ㄴ/ETM
단독	단독/NNG
선두를	선두/NNG+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.6.3
하지만 백상어는 마지막 라운드에서 스스로 무너졌다.

하지만	하지만/MAJ
백상어는	백상어/NNG+는/JX
마지막	마지막/NNG
라운드에서	라운드/NNG+에서/JKB
스스로	스스로/MAG
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.6.4
무려 6오버파 78타를 쳐, 5언더파 67타를 친 '스윙 머신' 닉 팔도(잉글랜드)에게 오히려 5타 뒤진 2위로 대회를 끝냈다.

무려	무려/MAG
6오버파	6/SN+오버파/NNG
78타를	78/SN+타/NNG+를/JKO
쳐,	치/VV+어/EC+,/SP
5언더파	5/SN+언더/NNG+파/NNG
67타를	67/SN+타/NNG+를/JKO
친	치/VV+ㄴ/ETM
'스윙	'/SS+스윙/NNG
머신'	머신/NNG+'/SS
닉	닉/NNP
팔도(잉글랜드)에게	팔도/NNP+(/SS+잉글랜드/NNP+)/SS+에게/JKB
오히려	오히려/MAG
5타	5/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
2위로	2/SN+위/NNB+로/JKB
대회를	대회/NNG+를/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.6.5
노먼의 슬픈 표정에 호주 국민들까지 엄청난 충격에 빠졌던 경기였다.

노먼의	노먼/NNP+의/JKG
슬픈	슬프/VA+ㄴ/ETM
표정에	표정/NNG+에/JKB
호주	호주/NNP
국민들까지	국민/NNG+들/XSN+까지/JX
엄청난	엄청나/VA+ㄴ/ETM
충격에	충격/NNG+에/JKB
빠졌던	빠지/VV+었/EP+던/ETM
경기였다.	경기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.131.7.1
'오거스타 신'이 외면한 골퍼들은 또 있었다.

'오거스타	'/SS+오거스타/NNP
신'이	신/NNG+'/SS+이/JKS
외면한	외면/NNG+하/XSV+ㄴ/ETM
골퍼들은	골퍼/NNG+들/XSN+은/JX
또	또/MAG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.131.7.2
1979년 미국의 에드 스니드는 마지막 3홀을 남기고 3타차로 앞서고 있었다.

1979년	1979/SN+년/NNB
미국의	미국/NNP+의/JKG
에드	에드/NNP
스니드는	스니드/NNP+는/JX
마지막	마지막/NNG
3홀을	3/SN+홀/NNG+을/JKO
남기고	남기/VV+고/EC
3타차로	3/SN+타/NNG+차/NNG+로/JKB
앞서고	앞서/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.131.7.3
하지만 내리 3개의 보기를 적어내며 탐 왓슨과 퍼지 죌러에게 공동 선두를 허용했고, 연장 두 번째 홀에서 결국 죌러에게 패하고 말았다.

하지만	하지만/MAJ
내리	내리/MAG
3개의	3/SN+개/NNB+의/JKG
보기를	보기/NNG+를/JKO
적어내며	적/VV+어/EC+내/VX+며/EC
탐	탐/NNP
왓슨과	왓슨/NNP+과/JC
퍼지	퍼지/NNP
죌러에게	죌러/NNP+에게/JKB
공동	공동/NNG
선두를	선두/NNG+를/JKO
허용했고,	허용/NNG+하/XSV+았/EP+고/EC+,/SP
연장	연장/NNG
두	두/MMN
번째	번/NNB+째/XSN
홀에서	홀/NNG+에서/JKB
결국	결국/MAG
패하고	패/NNG+하/XSV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.131.7.4
PGA투어 통산 16승을 기록한 탐 웨이스코프는 1969년, 1972년, 1974년, 1975년 등 4차례나 2위를 차지했지만 결국 우승은 해보지 못한 채 필드를 떠났다.

PGA투어	PGA/SL+투어/NNG
통산	통산/NNG
16승을	16/SN+승/NNB+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
탐	탐/NNP
웨이스코프는	웨이스코프/NNP+는/JX
1969년,	1969/SN+년/NNB+,/SP
1972년,	1972/SN+년/NNB+,/SP
1974년,	1974/SN+년/NNB+,/SP
1975년	1975/SN+년/NNB
등	등/NNB
4차례나	4/SN+차례/NNG+나/JX
2위를	2/SN+위/NNB+를/JKO
차지했지만	차지/NNG+하/XSV+았/EP+지만/EC
결국	결국/MAG
우승은	우승/NNG+은/JX
해보지	하/VV+아/EC+보/VX+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
필드를	필드/NNG+를/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.131.8.1
오랜 기다림 끝에 보상을 받은 골퍼도 있었다.

오랜	오랜/MMA
기다림	기다리/VV+ㅁ/ETN
끝에	끝/NNG+에/JKB
보상을	보상/NNG+을/JKO
받은	받/VV+은/ETM
골퍼도	골퍼/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.131.8.2
마크 오메라는 14번 도전해서 톱 10에 딱 한 차례만 들 정도로 마스터스와 인연이 없었다.

마크	마크/NNP
오메라는	오메라/NNP+는/JX
14번	14/SN+번/NNB
도전해서	도전/NNG+하/XSV+아서/EC
톱	톱/NNG
10에	10/SN+에/JKB
딱	딱/MAG
한	한/MMN
차례만	차례/NNG+만/JX
들	들/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
마스터스와	마스터스/NNG+와/JKB
인연이	인연/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.131.8.3
하지만 1998년 절친한 사이인 우즈가 전년도 우승자로서 입혀주는 그린 재킷을 몸에 두르며 함박웃음을 터뜨렸다.

하지만	하지만/MAJ
1998년	1998/SN+년/NNB
절친한	절친하/VA+ㄴ/ETM
사이인	사이/NNG+이/VCP+ㄴ/ETM
우즈가	우즈/NNP+가/JKS
전년도	전년도/NNG
우승자로서	우승자/NNG+로서/JKB
입혀주는	입히/VV+어/EC+주/VX+는/ETM
그린	그린/NNG
재킷을	재킷/NNG+을/JKO
몸에	몸/NNG+에/JKB
두르며	두르/VV+며/EC
함박웃음을	함박웃음/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.9.1
2009년 미PGA투어 첫 번째 메이저 대회인 제73회 마스터스가 9일 밤(한국시각) 아널드 파머의 티샷과 함께 드디어 막을 올렸다.

2009년	2009/SN+년/NNB
미PGA투어	미/NNP+PGA/SL+투어/NNG
첫	첫/MMN
번째	번/NNB+째/XSN
메이저	메이저/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
제73회	제/XPN+73/SN+회/NNB
마스터스가	마스터스/NNG+가/JKS
9일	9/SN+일/NNB
밤(한국시각)	밤/NNG+(/SS+한국/NNP+시각/NNG+)/SS
아널드	아널드/NNP
파머의	파머/NNP+의/JKG
티샷과	티/NNG+샷/NNG+과/JKB
함께	함께/MAG
드디어	드디어/MAG
막을	막/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.9.2
비운의 주인공이었던 노먼은 1번홀(파4·455야드)에서 파를 잡으며 스물세 번째 도전을 시작했다.

비운의	비운/NNG+의/JKG
주인공이었던	주인공/NNG+이/VCP+었/EP+던/ETM
노먼은	노먼/NNP+은/JX
1번홀(파4·455야드)에서	1/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+·/SP+455/SN+야드/NNB+)/SS+에서/JKB
파를	파/NNG+를/JKO
잡으며	잡/VV+으며/EC
스물세	스물세/MMN
번째	번/NNB+째/XSN
도전을	도전/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.131.10.1
올해는 '오거스타의 신(神)'이 누구를 향해 미소 지을까.

올해는	올해/NNG+는/JX
'오거스타의	'/SS+오거스타/NNP+의/JKG
신(神)'이	신/NNG+(/SS+神/SH+)/SS+'/SS+이/JKS
누구를	누구/NP+를/JKO
향해	향하/VV+아/EC
미소	미소/NNG
지을까.	짓/VV+을까/EF+./SF


