# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.1
metadata : {}


# id : NWRW1800000038.1.1.1
목 아픈 구글 CEO의 외침 "세상에 없는 걸 만들어라"

목	목/NNG
걸렸다는	걸리/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.1.4.3
목에 병이 있는 사람이 긴 시간 말을 해야 하는 무대에 오르리라고는 예상치 못했다.

목에	목/NNG+에/JKB
병이	병/NNG+이/JKS
있는	있/VA+는/ETM
사람이	사람/NNG+이/JKS
긴	길/VA+ㄴ/ETM
시간	시간/NNG
말을	말/NNG+을/JKO
해야	하/VV+아야/EC
하는	하/VX+는/ETM
무대에	무대/NNG+에/JKB
오르리라고는	오르/VV+리라고/EC+는/JX
예상치	예상/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.1.4.4
페이지는 45분간에 걸쳐 발표와 질의응답을 이어갔다.

페이지는	페이지/NNP+는/JX
45분간에	45/SN+분/NNB+간/XSN+에/JKB
걸쳐	걸치/VV+어/EC
발표와	발표/NNG+와/JC
질의응답을	질의응답/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.1.4.5
그는 "구글은 미친 짓처럼 보이는 아이디어를 바탕으로 위대한 성과를 이루고 진보해 왔다"며 "우리는 담대하게 행동해 왔지만 지금껏 성취한 것은 우리가 이뤄낼 수 있는 것의 1% 수준"이라고 말했다.

그는	그/NP+는/JX
"구글은	"/SS+구글/NNP+은/JX
미친	미치/VV+ㄴ/ETM
짓처럼	짓/NNG+처럼/JKB
보이는	보이/VV+는/ETM
아이디어를	아이디어/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
위대한	위대하/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
이루고	이루/VV+고/EC
진보해	진보/NNG+하/XSV+아/EC
왔다"며	오/VX+았/EP+다/EF+"/SS+며/EC
"우리는	"/SS+우리/NP+는/JX
담대하게	담대/NNG+하/XSA+게/EC
행동해	행동/NNG+하/XSV+아/EC
왔지만	오/VX+았/EP+지만/EC
지금껏	지금껏/MAG
성취한	성취/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
우리가	우리/NP+가/JKS
이뤄낼	이루/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것의	것/NNB+의/JKG
1%	1/SN+%/SW
수준"이라고	수준/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.1.5.1
"다른 회사와의 경쟁 얘기에는 별 관심이 없다.

"다른	"/SS+다른/MMD
회사와의	회사/NNG+와/JKB+의/JKG
경쟁	경쟁/NNG
얘기에는	얘기/NNG+에/JKB+는/JX
별	별/MMA
관심이	관심/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.1.5.2
우리(구글을 비롯한 IT 업계)는 기존 제품의 개선품이 아닌, 세상에 존재하지 않는 것을 만들어야 한다.

우리(구글을	우리/NP+(/SS+구글/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
IT	IT/SL
업계)는	업계/NNG+)/SS+는/JX
기존	기존/NNG
제품의	제품/NNG+의/JKG
개선품이	개선품/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
세상에	세상/NNG+에/JKB
존재하지	존재/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것을	것/NNB+을/JKO
만들어야	만들/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.1.5.3
비관적인 태도는 진보를 낳지 못한다.

비관적인	비관/NNG+적/XSN+이/VCP+ㄴ/ETM
태도는	태도/NNG+는/JX
진보를	진보/NNG+를/JKO
낳지	낳/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.1.5.4
신기술은 (새로운 시장을 성장시키는 것이지) 기존 시장을 나눠 먹는 제로섬이 아니다."

신기술은	신/XPN+기술/NNG+은/JX
(새로운	(/SS+새롭/VA+ㄴ/ETM
시장을	시장/NNG+을/JKO
성장시키는	성장/NNG+시키/XSV+는/ETM
것이지)	것/NNB+이/VCP+지/EC+)/SS
기존	기존/NNG
나눠	나누/VV+어/EC
먹는	먹/VV+는/ETM
제로섬이	제로섬/NNG+이/JKC
아니다."	아니/VCN+다/EF+./SF+"/SS


