# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.393
metadata : {}


# id : NWRW1800000048.393.1.1
“이적단체 해산명령하게 보안법 개정”

“이적단체	“/SS+이적/NNG+단체/NNG
누리집	누리집/NNG
모니터링도	모니터링/NNG+도/JX
강화하겠다고	강화/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.393.4.5
통합진보당 해산에 이어 ‘친북’ 또는 ‘종북’ 활동에 대한 단속과 처벌의 고삐를 죄겠다는 뜻이다.

통합진보당	통합진보당/NNP
해산에	해산/NNG+에/JKB
이어	잇/VV+어/EC
‘친북’	‘/SS+친북/NNG+’/SS
또는	또는/MAG
‘종북’	‘/SS+종북/NNG+’/SS
활동에	활동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단속과	단속/NNG+과/JC
처벌의	처벌/NNG+의/JKG
고삐를	고삐/NNG+를/JKO
죄겠다는	죄/VV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.393.5.1
‘공안드라이브 강화’ 방침 천명

‘공안드라이브	‘/SS+공안/NNG+드라이브/NNG
강화’	강화/NNG+’/SS
방침	방침/NNG
천명	천명/NNG


# id : NWRW1800000048.393.6.1
친북 누리집 모니터링도 고삐

친북	친북/NNG
누리집	누리집/NNG
모니터링도	모니터링/NNG+도/JX
고삐	고삐/NNG


# id : NWRW1800000048.393.7.1
공안수사 조직강화도 밝혀

공안수사	공안/NNG+수사/NNG
조직강화도	조직/NNG+강화/NNG+도/JX
밝혀	밝히/VV+어/EF


# id : NWRW1800000048.393.8.1
박대통령 “엄중한 법집행” 두둔

박대통령	박/NNP+대통령/NNG
“엄중한	“/SS+엄중/NNG+하/XSA+ㄴ/ETM
법집행”	법/NNG+집행/NNG+”/SS
두둔	두둔/NNG


# id : NWRW1800000048.393.9.1
법무부는 공안수사의 물적·인적 인프라도 강화하겠다고 보고했다.

법무부는	법무부/NNG+는/JX
공안수사의	공안/NNG+수사/NNG+의/JKG
물적·인적	물/NNG+적/XSN+·/SP+인/NNG+적/XSN
인프라도	인프라/NNG+도/JX
강화하겠다고	강화/NNG+하/XSV+겠/EP+다고/EC
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.393.9.2
공안사건에 대한 법원의 증거 판단이 엄격해지는 추세를 반영해 공안검사와 수사관을 전문화하고, 특별수사 영역에서 주로 쓰는 디지털포렌식기법도 공안수사에 확대 도입하겠다는 방침이다.

공안사건에	공안/NNG+사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법원의	법원/NNG+의/JKG
증거	증거/NNG
판단이	판단/NNG+이/JKS
엄격해지는	엄격/NNG+하/XSA+아/EC+지/VX+는/ETM
추세를	추세/NNG+를/JKO
반영해	반영/NNG+하/XSV+아/EC
공안검사와	공안/NNG+검사/NNG+와/JC
수사관을	수사관/NNG+을/JKO
전문화하고,	전문/NNG+화/XSN+하/XSV+고/EC+,/SP
특별수사	특별/NNG+수사/NNG
영역에서	영역/NNG+에서/JKB
주로	주로/MAG
쓰는	쓰/VV+는/ETM
디지털포렌식기법도	디지털포렌식/NNG+기법/NNG+도/JX
공안수사에	공안/NNG+수사/NNG+에/JKB
확대	확대/NNG
도입하겠다는	도입/NNG+하/XSV+겠/EP+다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.393.9.3
검찰 공안부서의 한 관계자는 “공안부의 전문성 강화를 위해 인사·조직·교육 등 여러 계획을 마련하고 있다”고 말했다.

검찰	검찰/NNG
공안부서의	공안/NNG+부서/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“공안부의	“/SS+공안부/NNG+의/JKG
전문성	전문/NNG+성/XSN
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
인사·조직·교육	인사/NNG+·/SP+조직/NNG+·/SP+교육/NNG
등	등/NNB
여러	여러/MMN
계획을	계획/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.393.9.4
곧 있을 검찰 인사에서도 공안부 조직의 강화가 예상된다.

곧	곧/MAG
있을	있/VV+을/ETM
검찰	검찰/NNG
인사에서도	인사/NNG+에서/JKB+도/JX
공안부	공안부/NNG
조직의	조직/NNG+의/JKG
강화가	강화/NNG+가/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.393.10.1
법무부는 또 교육부와 협조해 초등학교 교과서를 이용한 헌법 교육을 강화하겠다고 밝혔다.

법무부는	법무부/NNG+는/JX
또	또/MAG
교육부와	교육부/NNG+와/JKB
협조해	협조/NNG+하/XSV+아/EC
초등학교	초등학교/NNG
교과서를	교과서/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
헌법	헌법/NNG
교육을	교육/NNG+을/JKO
강화하겠다고	강화/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.393.10.2
김현웅 법무부 차관은 업무보고 내용에 대한 브리핑에서 “헌법가치 수호와 국가 정체성 확립을 위해 각종 대책 마련에 나서겠다”며 “특히 공직자들이 헌법적 가치관을 가질 수 있도록 공무원을 대상으로 한 헌법 교육도 실시하겠다”고 말했다.

김현웅	김현웅/NNP
법무부	법무부/NNG
차관은	차관/NNG+은/JX
업무보고	업무/NNG+보고/NNG
내용에	내용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
브리핑에서	브리핑/NNG+에서/JKB
“헌법가치	“/SS+헌법/NNG+가치/NNG
수호와	수호/NNG+와/JC
국가	국가/NNG
정체성	정체/NNG+성/XSN
확립을	확립/NNG+을/JKO
위해	위하/VV+아/EC
각종	각종/NNG
대책	대책/NNG
마련에	마련/NNG+에/JKB
나서겠다”며	나서/VV+겠/EP+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
공직자들이	공직자/NNG+들/XSN+이/JKS
헌법적	헌법/NNG+적/XSN
가치관을	가치관/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
공무원을	공무원/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
헌법	헌법/NNG
교육도	교육/NNG+도/JX
실시하겠다”고	실시/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.393.11.1
박 대통령은 이런 보고를 받고 “법질서와 헌법 가치의 중요성에 대한 국민적 인식이 확고히 자리잡을 수 있도록 하는 제도적 뒷받침이 중요하다”고 밝혔다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이런	이런/MMD
보고를	보고/NNG+를/JKO
받고	받/VV+고/EC
“법질서와	“/SS+법질서/NNG+와/JC
헌법	헌법/NNG
가치의	가치/NNG+의/JKG
중요성에	중요/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
국민적	국민/NNG+적/XSN
인식이	인식/NNG+이/JKS
확고히	확고히/MAG
자리잡을	자리/NNG+잡/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
제도적	제도/NNG+적/XSN
뒷받침이	뒷받침/NNG+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.393.11.2
또 “법을 무시하는 행위에 대해서는 법과 원칙에 따른 엄중한 법집행이 이뤄져야 한다”고 강조했다고 청와대가 밝혔다.

또	또/MAG
“법을	“/SS+법/NNG+을/JKO
무시하는	무시/NNG+하/XSV+는/ETM
행위에	행위/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
법과	법/NNG+과/JC
원칙에	원칙/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
법집행이	법/NNG+집행/NNG+이/JKS
이뤄져야	이뤄지/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다고	강조/NNG+하/XSV+았/EP+다고/EC
청와대가	청와대/NNP+가/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


