# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.196
metadata : {}


# id : NWRW1800000033.196.1.1
“생글생글 서빙하던 사장이 내 딸 죽인 악마라니…”

“생글생글	“/SS+생글생글/MAG
이 씨 부부는 딸의 장례를 치른 13일 피의자 안모 씨가 운영하는 피자가게를 부쉈다.

이	이/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
딸의	딸/NNG+의/JKG
장례를	장례/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
13일	13/SN+일/NNB
피의자	피의자/NNG
안모	안/NNP+모/NP
씨가	씨/NNB+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
피자가게를	피자/NNG+가게/NNG+를/JKO
부쉈다.	부수/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.196.11.1
“제가 다 부쉈어요.

“제가	“/SS+제/NP+가/JKS
다	다/MAG
부쉈어요.	부수/VV+었/EP+어요/EF+./SF


# id : NWRW1800000033.196.11.2
법이 참 우습더라고요.

법이	법/NNG+이/JKS
참	참/MAG
우습더라고요.	우습/VA+더라고/EF+요/JX+./SF


# id : NWRW1800000033.196.11.3
6개월이면 감옥 다 살고 나온다는 거예요.

6개월이면	6/SN+개월/NNB+이/VCP+면/EC
감옥	감옥/NNG
다	다/MAG
살고	살/VV+고/EC
나온다는	나오/VV+ㄴ다는/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000033.196.11.4
짐승만도 못한 놈이 운영하는 가게가 계속 영업하게 할 수는 없는 것 아닙니까.”

짐승만도	짐승/NNG+만/JX+도/JX
못한	못/MAG+하/XSA+ㄴ/ETM
놈이	놈/NNB+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
가게가	가게/NNG+가/JKS
계속	계속/MAG
영업하게	영업/NNG+하/XSV+게/EC
할	하/VX+ㄹ/ETM
수는	수/NNB+는/JX
없는	없/VA+는/ETM
것	것/NNB
아닙니까.”	아니/VCN+ㅂ니까/EF+./SF+”/SS


# id : NWRW1800000033.196.12.1
이 씨 부부는 2남 1녀를 뒀지만 큰아들을 7년 전 사고로 잃고 이번에 딸마저 잃어 7세짜리 늦둥이 아들만 남았다.

이	이/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
2남	2/SN+남/NNG
1녀를	1/SN+녀/NNG+를/JKO
뒀지만	두/VV+었/EP+지만/EC
큰아들을	큰아들/NNG+을/JKO
7년	7/SN+년/NNB
전	전/NNG
사고로	사고/NNG+로/JKB
잃고	잃/VV+고/EC
이번에	이번/NNG+에/JKB
딸마저	딸/NNG+마저/JX
잃어	잃/VV+어/EC
7세짜리	7/SN+세/NNB+짜리/XSN
늦둥이	늦둥이/NNG
아들만	아들/NNG+만/JX
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.13.1
“꼬맹이(막내아들)의 심적 충격이 커서 심리치료를 두 번이나 했고 다음 주부터 병원에 다녀야 해요.”

“꼬맹이(막내아들)의	“/SS+꼬맹이/NNG+(/SS+막내아들/NNG+)/SS+의/JKG
심적	심적/MMA
충격이	충격/NNG+이/JKS
커서	크/VA+어서/EC
심리치료를	심리/NNG+치료/NNG+를/JKO
두	두/MMN
번이나	번/NNB+이나/JX
했고	하/VV+았/EP+고/EC
다음	다음/NNG
주부터	주/NNG+부터/JX
병원에	병원/NNG+에/JKB
다녀야	다니/VV+어야/EC
해요.”	하/VX+아요/EF+./SF+”/SS


# id : NWRW1800000033.196.13.2
부부는 땅이 무너지듯 깊은 한숨만 내쉬었다.

부부는	부부/NNG+는/JX
땅이	땅/NNG+이/JKS
무너지듯	무너지/VV+듯/EC
깊은	깊/VA+은/ETM
한숨만	한/XPN+숨/NNG+만/JX
내쉬었다.	내쉬/VV+었/EP+다/EF+./SF


