# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.343
metadata : {}


# id : NWRW1800000033.343.1.1
“한국인을 뽑고 싶어요”

“한국인을	“/SS+한국인/NNG+을/JKO
이 회사가 한국 인재 채용에 나선 이유는 한국에 지사가 있어서도 아니고 한국 시장을 겨냥해서도 아니다.

이	이/MMD
회사가	회사/NNG+가/JKS
한국	한국/NNP
인재	인재/NNG
채용에	채용/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
한국에	한국/NNP+에/JKB
지사가	지사/NNG+가/JKS
있어서도	있/VA+어서/EC+도/JX
아니고	아니/VCN+고/EC
시장을	시장/NNG+을/JKO
겨냥해서도	겨냥/NNG+하/XSV+아서/EC+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.343.5.5
IHI 관계자는 “다양한 글로벌 인재를 통해 회사의 경쟁력을 높이는 동시에 일본 청년들과는 달리 열정적이고 적극적인 한국 인재의 매력 덕분”이라고 설명했다.

IHI	IHI/SL
관계자는	관계자/NNG+는/JX
“다양한	“/SS+다양/NNG+하/XSA+ㄴ/ETM
글로벌	글로벌/NNG
인재를	인재/NNG+를/JKO
통해	통하/VV+아/EC
회사의	회사/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높이는	높이/VV+는/ETM
동시에	동시/NNG+에/JKB
일본	일본/NNP
청년들과는	청년/NNG+들/XSN+과/JKB+는/JX
달리	달리/MAG
열정적이고	열정/NNG+적/XSN+이/VCP+고/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
한국	한국/NNP
인재의	인재/NNG+의/JKG
매력	매력/NNG
덕분”이라고	덕분/NNG+”/SS+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.343.6.1
일본의 대표적 모바일 회사인 디엔에이(DeNA)는 한국 대졸 구직자를 대상으로 엔지니어를 뽑고 있다.

일본의	일본/NNP+의/JKG
대표적	대표/NNG+적/XSN
모바일	모바일/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
디엔에이(DeNA)는	디엔에이/NNP+(/SS+DeNA/SL+)/SS+는/JX
한국	한국/NNP
대졸	대졸/NNG
구직자를	구직자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
엔지니어를	엔지니어/NNG+를/JKO
뽑고	뽑/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.343.6.2
컴퓨터 부품회사인 히타치 역시 일본 내 숙박을 제공하며 한국 인재 모시기에 나섰다.

컴퓨터	컴퓨터/NNG
부품회사인	부품/NNG+회사/NNG+이/VCP+ㄴ/ETM
히타치	히타치/NNP
역시	역시/MAG
일본	일본/NNP
내	내/NNB
숙박을	숙박/NNG+을/JKO
제공하며	제공/NNG+하/XSV+며/EC
한국	한국/NNP
인재	인재/NNG
모시기에	모시/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.343.6.3
22일 경기 고양시 킨텍스에서는 일본 대기업들이 참가해 한국 청년을 선발하는 ‘저팬 커리어 프로젝트 2012’ 행사가 열린다.

22일	22/SN+일/NNB
경기	경기/NNP
고양시	고양시/NNP
킨텍스에서는	킨텍스/NNP+에서/JKB+는/JX
일본	일본/NNP
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
참가해	참가/NNG+하/XSV+아/EC
한국	한국/NNP
청년을	청년/NNG+을/JKO
선발하는	선발/NNG+하/XSV+는/ETM
‘저팬	‘/SS+저팬/NNP
커리어	커리어/NNG
프로젝트	프로젝트/NNG
2012’	2012/SN+’/SS
행사가	행사/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.343.7.1
정보기술(IT) 분야뿐만 아니라 아시아 지역을 중심으로 전 세계에 퍼진 한류 열풍은 한국 인재의 장점을 부각하는 기폭제 역할을 하고 있다.

정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
분야뿐만	분야/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
아시아	아시아/NNP
지역을	지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
전	전/MMN
세계에	세계/NNG+에/JKB
퍼진	퍼지/VV+ㄴ/ETM
한류	한류/NNG
열풍은	열풍/NNG+은/JX
한국	한국/NNP
인재의	인재/NNG+의/JKG
장점을	장점/NNG+을/JKO
부각하는	부각/NNG+하/XSV+는/ETM
기폭제	기폭제/NNG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.343.7.2
과거 산업인력공단에 접수된 해외 구인은 건설이나 토목 분야에 집중됐다.

과거	과거/NNG
산업인력공단에	산업인력공단/NNP+에/JKB
접수된	접수/NNG+되/XSV+ㄴ/ETM
해외	해외/NNG
구인은	구인/NNG+은/JX
건설이나	건설/NNG+이나/JC
토목	토목/NNG
분야에	분야/NNG+에/JKB
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.343.7.3
그러나 올해는 한식요리사나 뷰티전문가, 상품기획자, 디자이너 등 서비스업 관련 직종이 전체 구인의 85%를 차지할 정도로 달라졌다.

그러나	그러나/MAJ
올해는	올해/NNG+는/JX
한식요리사나	한식/NNG+요리사/NNG+나/JC
뷰티전문가,	뷰티/NNG+전문가/NNG+,/SP
상품기획자,	상품/NNG+기획자/NNG+,/SP
디자이너	디자이너/NNG
등	등/NNB
서비스업	서비스업/NNG
관련	관련/NNG
직종이	직종/NNG+이/JKS
전체	전체/NNG
구인의	구인/NNG+의/JKG
85%를	85/SN+%/SW+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.343.7.4
서비스업과 관련된 구인이 많다 보니 여성의 해외취업은 갈수록 늘어나는 추세를 보인다.

서비스업과	서비스업/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
구인이	구인/NNG+이/JKS
많다	많/VA+다/EC
보니	보/VX+니/EC
여성의	여성/NNG+의/JKG
해외취업은	해외/NNG+취업/NNG+은/JX
갈수록	갈수록/MAG
늘어나는	늘어나/VV+는/ETM
추세를	추세/NNG+를/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.343.7.5
2008년 691명이던 여성의 해외취업건수는 지난해 2258명으로 226% 늘어난 데 비해 남성의 해외취업건수는 같은 기간 743명에서 1799명으로 142% 늘어나는 데 그쳤다.

2008년	2008/SN+년/NNB
691명이던	691/SN+명/NNB+이/VCP+던/ETM
여성의	여성/NNG+의/JKG
해외취업건수는	해외/NNG+취업/NNG+건수/NNG+는/JX
지난해	지난해/NNG
2258명으로	2258/SN+명/NNB+으로/JKB
226%	226/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
남성의	남성/NNG+의/JKG
같은	같/VA+은/ETM
기간	기간/NNG
743명에서	743/SN+명/NNB+에서/JKB
1799명으로	1799/SN+명/NNB+으로/JKB
142%	142/SN+%/SW
늘어나는	늘어나/VV+는/ETM
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.343.8.1
예전에는 한국인만의 성실성, 근면성을 봤다면 요즘 해외 취업은 열정과 전문성에 초점을 맞추고 있다.

예전에는	예전/NNG+에/JKB+는/JX
한국인만의	한국인/NNG+만/JX+의/JKG
성실성,	성실/NNG+성/XSN+,/SP
근면성을	근면/NNG+성/XSN+을/JKO
봤다면	보/VV+았/EP+다면/EC
요즘	요즘/NNG
해외	해외/NNG
취업은	취업/NNG+은/JX
열정과	열정/NNG+과/JC
전문성에	전문/NNG+성/XSN+에/JKB
초점을	초점/NNG+을/JKO
맞추고	맞추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.343.8.2
한류 열풍은 인재상에서도 ‘코리안 스탠더드’를 형성해 한국 청년들의 일자리 영토를 넓혔다는 분석이 나온다.

한류	한류/NNG
열풍은	열풍/NNG+은/JX
인재상에서도	인재상/NNG+에서/JKB+도/JX
‘코리안	‘/SS+코리안/NNP
스탠더드’를	스탠더드/NNG+’/SS+를/JKO
형성해	형성/NNG+하/XSV+아/EC
한국	한국/NNP
청년들의	청년/NNG+들/XSN+의/JKG
일자리	일자리/NNG
영토를	영토/NNG+를/JKO
넓혔다는	넓히/VV+었/EP+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.343.8.3
황선길 잡코리아 이사는 “한국 기업들이 세계가 주목하는 1등 제품을 만들어 내면서 해외에서 한국 인재를 바라보는 눈도 달라졌다”며 “케이팝(K-pop·한국 대중가요)에서 보여준 창의력과 센스, 개인보다는 조직을 우선하는 리더십, IT 제품 개발에서 입증된 스피드가 한국 인재의 장점”이라고 설명했다.

황선길	황선길/NNP
잡코리아	잡코리아/NNP
이사는	이사/NNG+는/JX
“한국	“/SS+한국/NNP
기업들이	기업/NNG+들/XSN+이/JKS
세계가	세계/NNG+가/JKS
주목하는	주목/NNG+하/XSV+는/ETM
1등	1/SN+등/NNB
제품을	제품/NNG+을/JKO
만들어	만들/VV+어/EC
내면서	내/VX+면서/EC
해외에서	해외/NNG+에서/JKB
한국	한국/NNP
인재를	인재/NNG+를/JKO
바라보는	바라보/VV+는/ETM
눈도	눈/NNG+도/JX
달라졌다”며	달라지/VV+었/EP+다/EF+”/SS+며/EC
“케이팝(K-pop·한국	“/SS+케이팝/NNG+(/SS+K/SL+-/SO+pop/SL+·/SP+한국/NNP
대중가요)에서	대중가요/NNG+)/SS+에서/JKB
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
창의력과	창의력/NNG+과/JC
센스,	센스/NNG+,/SP
개인보다는	개인/NNG+보다/JKB+는/JX
조직을	조직/NNG+을/JKO
우선하는	우선/NNG+하/XSV+는/ETM
리더십,	리더십/NNG+,/SP
IT	IT/SL
제품	제품/NNG
개발에서	개발/NNG+에서/JKB
입증된	입증/NNG+되/XSV+ㄴ/ETM
스피드가	스피드/NNG+가/JKS
인재의	인재/NNG+의/JKG
장점”이라고	장점/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.343.8.4
산업인력공단은 해외 취업에 대한 국내외 관심을 반영해 다음 달 23일 서울 강남구 삼성동 코엑스에서 해외취업박람회를 연다.

산업인력공단은	산업인력공단/NNP+은/JX
해외	해외/NNG
취업에	취업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국내외	국내외/NNG
관심을	관심/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
다음	다음/NNG
달	달/NNG
23일	23/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
코엑스에서	코엑스/NNP+에서/JKB
해외취업박람회를	해외/NNG+취업/NNG+박람회/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


