# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.42
metadata : {}


# id : NWRW1800000038.42.1.1
日도쿄도의회 선거 自民黨 압승… 후보 전원 당선

日도쿄도의회	日/SH+도쿄도의회/NNP
운영에	운영/NNG+에/JKB
탄력을	탄력/NNG+을/JKO
받을	받/VV+을/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.42.5.3
아베 총리는 이날 밤 선거 결과가 나온 후 가진 기자회견에서 "반년 간 자민당이 펼친 경제·안보·외교 정책에 대해 국민이 내린 평가가 반영된 선거 결과"라고 밝혔다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
밤	밤/NNG
선거	선거/NNG
결과가	결과/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
후	후/NNG
가진	가지/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"반년	"/SS+반년/NNG
간	간/XSN
자민당이	자민당/NNP+이/JKS
펼친	펼치/VV+ㄴ/ETM
경제·안보·외교	경제/NNG+·/SP+안보/NNG+·/SP+외교/NNG
정책에	정책/NNG+에/JKB
대해	대하/VV+아/EC
국민이	국민/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
평가가	평가/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
결과"라고	결과/NNG+"/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.42.5.4
NHK는 "아베노믹스를 전면에 내세운 자민당이 압승한 데 반해 아베노믹스를 집중 공격했던 민주당이 참패함에 따라 향후 민주당의 참의원 선거 전략에 변화가 불가피해졌다"고 전망했다.

NHK는	NHK/SL+는/JX
"아베노믹스를	"/SS+아베노믹스/NNG+를/JKO
전면에	전면/NNG+에/JKB
내세운	내세우/VV+ㄴ/ETM
자민당이	자민당/NNP+이/JKS
압승한	압승/NNG+하/XSV+ㄴ/ETM
데	데/NNB
반해	반하/VV+아/EC
아베노믹스를	아베노믹스/NNG+를/JKO
집중	집중/NNG
공격했던	공격/NNG+하/XSV+았/EP+던/ETM
민주당이	민주당/NNP+이/JKS
참패함에	참패/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
향후	향후/NNG
민주당의	민주당/NNP+의/JKG
참의원	참의원/NNG
선거	선거/NNG
전략에	전략/NNG+에/JKB
변화가	변화/NNG+가/JKS
불가피해졌다"고	불가피하/VA+아/EC+지/VX+었/EP+다/EF+"/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.42.6.1
작년 중의원 선거에서 제3당으로 급부상했던 일본유신회는 하시모토 도루(橋下徹)공동대표가 일본군위안부 관련 망언을 남발하면서 지지율이 급락해 이번 선거에서 기존의 3석도 지키지 못하는 패배를 당했다.

작년	작년/NNG
중의원	중의원/NNG
선거에서	선거/NNG+에서/JKB
제3당으로	제/XPN+3/SN+당/NNG+으로/JKB
급부상했던	급부상/NNG+하/XSV+았/EP+던/ETM
일본유신회는	일본유신회/NNP+는/JX
하시모토	하시모토/NNP
도루(橋下徹)공동대표가	도루/NNP+(/SS+橋下徹/SH+)/SS+공동/NNG+대표/NNG+가/JKS
일본군위안부	일본군/NNG+위안부/NNG
관련	관련/NNG
망언을	망언/NNG+을/JKO
남발하면서	남발/NNG+하/XSV+면서/EC
지지율이	지지/NNG+율/XSN+이/JKS
급락해	급락/NNG+하/XSV+아/EC
이번	이번/NNG
기존의	기존/NNG+의/JKG
3석도	3/SN+석/NNB+도/JX
지키지	지키/VV+지/EC
못하는	못하/VX+는/ETM
패배를	패배/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.42.6.2
이에 따라 일본유신회 내에선 선거 참패와 관련한 책임 논란이 가속화될 전망이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
일본유신회	일본유신회/NNP
내에선	내/NNB+에서/JKB+ㄴ/JX
선거	선거/NNG
참패와	참패/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
책임	책임/NNG
논란이	논란/NNG+이/JKS
가속화될	가속/NNG+화/XSN+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.42.6.3
하시모토 공동대표는 도의원 선거 결과에 따라 대표직을 사퇴할 가능성도 시사한 바 있다.

하시모토	하시모토/NNP
공동대표는	공동/NNG+대표/NNG+는/JX
도의원	도/NNG+의원/NNG
선거	선거/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
대표직을	대표직/NNG+을/JKO
사퇴할	사퇴/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
시사한	시사/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.42.7.1
일본유신회의 참패와 공명당의 약진이 자민당의 평화헌법 개정 움직임에 제동을 걸 수도 있다는 분석이 나온다.

일본유신회의	일본유신회/NNP+의/JKG
참패와	참패/NNG+와/JC
공명당의	공명당/NNP+의/JKG
약진이	약진/NNG+이/JKS
자민당의	자민당/NNP+의/JKG
평화헌법	평화/NNG+헌법/NNG
개정	개정/NNG
움직임에	움직임/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸	걸/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.42.7.2
평화헌법 개정을 주장해온 일본유신회가 도의원 선거에서 참패함에 따라 향후 참의원 선거 전망도 밝지 않기 때문이다.

평화헌법	평화/NNG+헌법/NNG
개정을	개정/NNG+을/JKO
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
일본유신회가	일본유신회/NNP+가/JKS
도의원	도/NNG+의원/NNG
선거에서	선거/NNG+에서/JKB
참패함에	참패/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
향후	향후/NNG
참의원	참의원/NNG
선거	선거/NNG
전망도	전망/NNG+도/JX
밝지	밝/VA+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.42.7.3
반면 평화헌법의 개정에 반대하는 공명당은 출마자 전원 당선으로 향후 자민당과의 관계에서 목소리가 커질 전망이다.

반면	반면/NNG
평화헌법의	평화/NNG+헌법/NNG+의/JKG
개정에	개정/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
공명당은	공명당/NNP+은/JX
출마자	출마자/NNG
전원	전원/NNG
당선으로	당선/NNG+으로/JKB
향후	향후/NNG
자민당과의	자민당/NNP+과/JKB+의/JKG
관계에서	관계/NNG+에서/JKB
목소리가	목소리/NNG+가/JKS
커질	커지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.42.8.1
이번 투표율은 43.5%로 지난 선거 때보다 11%포인트 정도가 낮았다.

이번	이번/NNG
투표율은	투표/NNG+율/XSN+은/JX
43.5%로	43/SN+./SP+5/SN+%/SW+로/JKB
지난	지나/VV+ㄴ/ETM
선거	선거/NNG
때보다	때/NNG+보다/JKB
11%포인트	11/SN+%포인트/NNG
정도가	정도/NNG+가/JKS
낮았다.	낮/VA+았/EP+다/EF+./SF


