# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.118
metadata : {}


# id : NWRW1800000053.118.1.1
[단독]단숨에 쓴 ‘王’… 세살배기 사도세자 글씨 발견

[단독]단숨에	[/SS+단독/NNG+]/SS+단숨에/MAG
사도세자를	사도/NNP+세자/NNG+를/JKO
뒤주에	뒤주/NNG+에/JKB
가둬	가두/VV+어/EC
죽인	죽이/VV+ㄴ/ETM
일)을	일/NNG+)/SS+을/JKO
전혀	전혀/MAG
알지	알/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
품	품/NNG
안의	안/NNG+의/JKG
자식	자식/NNG
자랑에	자랑/NNG+에/JKB
바쁜	바쁘/VA+ㄴ/ETM
평범한	평범하/VA+ㄴ/ETM
아버지	아버지/NNG
영조의	영조/NNP+의/JKG
모습이	모습/NNG+이/JKS
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.118.5.1
사도세자가 3세 때인 1738년의 어느 날 경종의 장인 어유구(魚有龜·1675∼1740)가 입궐했다.

사도세자가	사도/NNP+세자/NNG+가/JKS
3세	3/SN+세/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
1738년의	1738/SN+년/NNB+의/JKG
어느	어느/MMD
날	날/NNG
경종의	경종/NNP+의/JKG
장인	장인/NNG
어유구(魚有龜·1675∼1740)가	어유구/NNP+(/SS+魚有龜/SH+·/SP+1675/SN+∼/SO+1740/SN+)/SS+가/JKS
입궐했다.	입궐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.118.5.2
영조는 사도세자를 안고 있었다.

영조는	영조/NNP+는/JX
사도세자를	사도/NNP+세자/NNG+를/JKO
안고	안/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.118.5.3
두 해 전 생후 13개월 만에 전례 없이 세자로 책봉하면서 영조는 이렇게 썼다.

두	두/MMN
해	해/NNB
전	전/NNG
생후	생후/NNG
13개월	13/SN+개월/NNB
만에	만/NNB+에/JKB
전례	전례/NNG
없이	없이/MAG
세자로	세자/NNG+로/JKB
책봉하면서	책봉/NNG+하/XSV+면서/EC
영조는	영조/NNP+는/JX
이렇게	이렇/VA+게/EC
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.5.4
“너(사도세자)는 내가 늦게 얻었지만 하늘이 특이한 자질을 부여했다.

“너(사도세자)는	“/SS+너/NP+(/SS+사도/NNP+세자/NNG+)/SS+는/JX
내가	내/NP+가/JKS
늦게	늦/VA+게/EC
얻었지만	얻/VV+었/EP+지만/EC
하늘이	하늘/NNG+이/JKS
특이한	특이/NNG+하/XSA+ㄴ/ETM
자질을	자질/NNG+을/JKO
부여했다.	부여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.118.5.5
…똑똑하고 침착하기가 남달라서 자라서 총명하고 어질며 효성스러울 것임을 확신할 수 있다.”(‘사도세자 이선’·수원화성박물관 엮음)

…똑똑하고	…/SE+똑똑하/VA+고/EC
침착하기가	침착/NNG+하/XSA+기/ETN+가/JKS
남달라서	남다르/VA+아서/EC
자라서	자라/VV+아서/EC
총명하고	총명/NNG+하/XSA+고/EC
어질며	어질/VA+며/EC
효성스러울	효성/NNG+스럽/XSA+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
확신할	확신/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.”(‘사도세자	있/VA+다/EF+./SF+”/SS+(/SS+‘/SS+사도/NNP+세자/NNG
이선’·수원화성박물관	이선/NNP+’/SS+·/SP+수원화성박물관/NNP
엮음)	엮/VV+음/ETN+)/SS


# id : NWRW1800000053.118.6.1
영조실록 등에 따르면 사도세자는 불과 돌 무렵에 병풍의 ‘왕(王)’자를 보고 영조를, ‘세자(世子)’라는 글씨를 보고 자신을 가리켰다.

영조실록	영조실록/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
사도세자는	사도/NNP+세자/NNG+는/JX
불과	불과/MAG
돌	돌/NNG
무렵에	무렵/NNB+에/JKB
병풍의	병풍/NNG+의/JKG
‘왕(王)’자를	‘/SS+왕/NNG+(/SS+王/SH+)/SS+’/SS+자/NNG+를/JKO
보고	보/VV+고/EC
영조를,	영조/NNP+를/JKO+,/SP
‘세자(世子)’라는	‘/SS+세자/NNG+(/SS+世子/SH+)/SS+’/SS+이/VCP+라는/ETM
글씨를	글씨/NNG+를/JKO
자신을	자신/NNG+을/JKO
가리켰다.	가리키/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.6.2
세자에게 ‘팔괘(八卦) 떡’을 주자 “팔괘를 어떻게 먹느냐”며 먹지 않았다.

세자에게	세자/NNG+에게/JKB
‘팔괘(八卦)	‘/SS+팔괘/NNG+(/SS+八卦/SH+)/SS
떡’을	떡/NNG+’/SS+을/JKO
주자	주/VV+자/EC
“팔괘를	“/SS+팔괘/NNG+를/JKO
어떻게	어떻/VA+게/EC
먹느냐”며	먹/VV+느냐/EF+”/SS+며/EC
먹지	먹/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.118.7.1
어유구 앞에서 세자가 붓을 잡는다.

어유구	어유구/NNP
앞에서	앞/NNG+에서/JKB
세자가	세자/NNG+가/JKS
붓을	붓/NNG+을/JKO
잡는다.	잡/VV+는다/EF+./SF


# id : NWRW1800000053.118.7.2
‘석(石)’ ‘하(下)’ ‘춘(春)’ ‘왕(王)’….

‘석(石)’	‘/SS+석/NNG+(/SS+石/SH+)/SS+’/SS
‘하(下)’	‘/SS+하/NNG+(/SS+下/SH+)/SS+’/SS
‘춘(春)’	‘/SS+춘/NNG+(/SS+春/SH+)/SS+’/SS
‘왕(王)’….	‘/SS+왕/NNG+(/SS+王/SH+)/SS+’/SS+…/SE+./SF


# id : NWRW1800000053.118.7.3
‘왕’과 ‘춘’은 세자가 한 해 전에도 썼던 글자다.

‘왕’과	‘/SS+왕/NNG+’/SS+과/JC
‘춘’은	‘/SS+춘/NNG+’/SS+은/JX
세자가	세자/NNG+가/JKS
한	한/MMN
해	해/NNB
전에도	전/NNG+에/JKB+도/JX
썼던	쓰/VV+었/EP+던/ETM
글자다.	글자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.118.7.4
세자는 2세 때 큰 붓을 잡더니 ‘온 세상이 임금의 은택을 입은 봄이라는 뜻’의 ‘천지왕춘(天地王春)’이라고 썼다.

세자는	세자/NNG+는/JX
2세	2/SN+세/NNB
때	때/NNG
큰	크/VA+ㄴ/ETM
붓을	붓/NNG+을/JKO
잡더니	잡/VV+더니/EC
‘온	‘/SS+온/MMN
세상이	세상/NNG+이/JKS
임금의	임금/NNG+의/JKG
은택을	은택/NNG+을/JKO
입은	입/VV+은/ETM
봄이라는	봄/NNG+이/VCP+라는/ETM
뜻’의	뜻/NNG+’/SS+의/JKG
‘천지왕춘(天地王春)’이라고	‘/SS+천지왕춘/NNG+(/SS+天地王春/SH+)/SS+’/SS+이라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.7.5
신하들이 앞다퉈 글씨를 하사해 달라고 청했다.

신하들이	신하/NNG+들/XSN+이/JKS
앞다퉈	앞다투/VV+어/EC
글씨를	글씨/NNG+를/JKO
하사해	하사/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
청했다.	청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.118.8.1
나머지 한 자는 ‘사(士)’를 쓰고 실수로 한 획을 더했거나 ‘길(吉)’자를 쓰다 미처 마치지 못한 것으로 보인다.

나머지	나머지/NNG
한	한/MMN
자는	자/NNG+는/JX
‘사(士)’를	‘/SS+사/NNG+(/SS+士/SH+)/SS+’/SS+를/JKO
쓰고	쓰/VV+고/EC
실수로	실수/NNG+로/JKB
획을	획/NNG+을/JKO
더했거나	더/MAG+하/XSV+았/EP+거나/EC
‘길(吉)’자를	‘/SS+길/NNG+(/SS+吉/SH+)/SS+’/SS+자/NNG+를/JKO
쓰다	쓰/VV+다/EC
미처	미처/MAG
마치지	마치/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.118.8.2
무슨 자를 쓰려 했든지 간에 영조는 세자의 운명이 길(吉)하기만을 바랐을 것이다.

무슨	무슨/MMD
자를	자/NNG+를/JKO
쓰려	쓰/VV+려/EC
했든지	하/VX+았/EP+든지/EC
간에	간/NNB+에/JKB
영조는	영조/NNP+는/JX
세자의	세자/NNG+의/JKG
운명이	운명/NNG+이/JKS
길(吉)하기만을	길/NNG+(/SS+吉/SH+)/SS+하/XSA+기/ETN+만/JX+을/JKO
바랐을	바라/VV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.118.9.1
영조는 사도세자가 이렇게 쓴 글씨를 어유구에게 줬다.

영조는	영조/NNP+는/JX
사도세자가	사도/NNP+세자/NNG+가/JKS
이렇게	이렇/VA+게/EC
쓴	쓰/VV+ㄴ/ETM
글씨를	글씨/NNG+를/JKO
어유구에게	어유구/NNP+에게/JKB
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.9.2
어유구의 아들 어석정(魚錫定·1731∼1793)이 글씨를 표구하고, 후기와 함께 서첩으로 만들어 집안 대대로 간직하도록 했다.

어유구의	어유구/NNP+의/JKG
아들	아들/NNG
어석정(魚錫定·1731∼1793)이	어석정/NNP+(/SS+魚錫定/SH+·/SP+1731/SN+∼/SO+1793/SN+)/SS+이/JKS
글씨를	글씨/NNG+를/JKO
표구하고,	표구/NNG+하/XSV+고/EC+,/SP
후기와	후기/NNG+와/JKB
함께	함께/MAG
서첩으로	서첩/NNG+으로/JKB
만들어	만들/VV+어/EC
집안	집안/NNG
대대로	대대로/MAG
간직하도록	간직/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.118.9.3
사도세자가 7세 때 쓴 서첩 ‘동국보묵’ 등이 전해지지만 이렇게 어릴 적 글씨는 이 서첩이 유일하다.

사도세자가	사도/NNP+세자/NNG+가/JKS
7세	7/SN+세/NNB
때	때/NNG
쓴	쓰/VV+ㄴ/ETM
서첩	서첩/NNG
‘동국보묵’	‘/SS+동국보묵/NNP+’/SS
등이	등/NNB+이/JKS
전해지지만	전하/VV+아/EC+지/VX+지만/EC
이렇게	이렇/VA+게/EC
어릴	어리/VA+ㄹ/ETM
적	적/NNB
글씨는	글씨/NNG+는/JX
이	이/MMD
서첩이	서첩/NNG+이/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.118.9.4
어유구의 8대 후손인 어환 교수는 한국고전번역원장을 지낸 이명학 성균관대 한문학과 교수 등의 도움을 받아 최근 서첩의 내용과 사연을 알게 됐다.

어유구의	어유구/NNP+의/JKG
8대	8/SN+대/NNB
후손인	후손/NNG+이/VCP+ㄴ/ETM
어환	어환/NNP
교수는	교수/NNG+는/JX
한국고전번역원장을	한국고전번역원장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
이명학	이명학/NNP
성균관대	성균관대/NNP
한문학과	한문학과/NNG
교수	교수/NNG
등의	등/NNB+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
최근	최근/NNG
서첩의	서첩/NNG+의/JKG
내용과	내용/NNG+과/JC
사연을	사연/NNG+을/JKO
알게	알/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.10.1
본보는 사도세자의 글씨라는 것을 알리지 않고 서예가인 김병기 전북대 교수에게 글씨를 보였다.

본보는	본보/NNG+는/JX
사도세자의	사도/NNP+세자/NNG+의/JKG
글씨라는	글씨/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
알리지	알리/VV+지/EC
않고	않/VX+고/EC
서예가인	서예가/NNG+이/VCP+ㄴ/ETM
김병기	김병기/NNP
전북대	전북대/NNP
교수에게	교수/NNG+에게/JKB
글씨를	글씨/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.10.2
“이게 세 살짜리 글씨라고요?

“이게	“/SS+이거/NP+이/JKS
세	세/MMN
살짜리	살/NNB+짜리/XSN
글씨라고요?	글씨/NNG+이/VCP+라고/EF+요/JX+?/SF


# id : NWRW1800000053.118.10.3
붓을 들고 단숨에 글자를 완성했습니다.

붓을	붓/NNG+을/JKO
들고	들/VV+고/EC
단숨에	단숨에/MAG
글자를	글자/NNG+를/JKO
완성했습니다.	완성/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000053.118.10.4
붓을 누르는 힘(필압·筆壓) 조절이나 획이 꺾이는 부분 등을 자세히 보면 모양만 따라 그린 게 아니라 서예 교육을 아주 제대로 받은 글씨입니다.

붓을	붓/NNG+을/JKO
누르는	누르/VV+는/ETM
힘(필압·筆壓)	힘/NNG+(/SS+필압/NNG+·/SP+筆壓/SH+)/SS
조절이나	조절/NNG+이나/JC
획이	획/NNG+이/JKS
꺾이는	꺾이/VV+는/ETM
부분	부분/NNG
등을	등/NNB+을/JKO
자세히	자세히/MAG
보면	보/VV+면/EC
모양만	모양/NNG+만/JX
따라	따르/VV+아/EC
그린	그리/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
서예	서예/NNG
교육을	교육/NNG+을/JKO
아주	아주/MAG
제대로	제대로/MAG
받은	받/VV+은/ETM
글씨입니다.	글씨/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000053.118.10.5
글 쓴 아이의 성격은 진중하다기보다 활달할 것 같습니다.”(김 교수)

글	글/NNG
쓴	쓰/VV+ㄴ/ETM
아이의	아이/NNG+의/JKG
성격은	성격/NNG+은/JX
진중하다기보다	진중하/VA+다기/ETN+보다/JKB
활달할	활달하/VA+ㄹ/ETM
것	것/NNB
같습니다.”(김	같/VA+습니다/EF+./SF+”/SS+(/SS+김/NNP
교수)	교수/NNG+)/SS


# id : NWRW1800000053.118.11.1
사도세자의 글씨가 담긴 이 서첩의 사연에 관해서는 27일 오전 11시 방영되는 KBS1TV ‘TV쇼! 진품명품’에서도 볼 수 있다.

사도세자의	사도/NNP+세자/NNG+의/JKG
글씨가	글씨/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
이	이/MMD
서첩의	서첩/NNG+의/JKG
사연에	사연/NNG+에/JKB
관해서는	관하/VV+아서/EC+는/JX
27일	27/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
방영되는	방영/NNG+되/XSV+는/ETM
KBS1TV	KBS/SL+1/SN+TV/SL
‘TV쇼!	‘/SS+TV/SL+쇼/NNG+!/SF
진품명품’에서도	진품/NNG+명품/NNG+’/SS+에서/JKB+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


