# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.347
metadata : {}


# id : NWRW1800000053.347.1.1
국정기획위, 자사고-외고 일괄전환 아닌 ‘단계적 폐지’ 가닥

국정기획위,	국정/NNG+기획위/NNG+,/SP
일반고에	일반고/NNG+에/JKB
배정될	배정/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커지기	커지/VV+기/ETN
때문에	때문/NNB+에/JKB
쏠림	쏠리/VV+ㅁ/ETN
현상이	현상/NNG+이/JKS
완화될	완화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.347.8.1
이런 가운데 조희연 서울시교육감은 한 인터뷰에서 자사고·외고 폐지에 따른 ‘강남 8학군’(현재 명칭은 강남학교군) 쏠림 우려에 대해 “통합학교군제를 활용하는 등 다양한 정책을 통해 문제를 최소화할 수 있다”고 말했다.

이런	이런/MMD
가운데	가운데/NNG
조희연	조희연/NNP
서울시교육감은	서울시/NNP+교육감/NNG+은/JX
한	한/MMN
인터뷰에서	인터뷰/NNG+에서/JKB
자사고·외고	자사고/NNG+·/SP+외고/NNG
폐지에	폐지/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
‘강남	‘/SS+강남/NNP
8학군’(현재	8/SN+학군/NNG+’/SS+(/SS+현재/MAG
명칭은	명칭/NNG+은/JX
강남학교군)	강남/NNP+학교군/NNG+)/SS
쏠림	쏠리/VV+ㅁ/ETN
우려에	우려/NNG+에/JKB
대해	대하/VV+아/EC
“통합학교군제를	“/SS+통합/NNG+학교군/NNG+제/XSN+를/JKO
활용하는	활용/NNG+하/XSV+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
정책을	정책/NNG+을/JKO
통해	통하/VV+아/EC
문제를	문제/NNG+를/JKO
최소화할	최소/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.347.9.1
서울시교육청이 운영하는 단계별 고교 선택제는 학생이 1단계(통합학교군)에서 서울지역 전체 고교 중 2곳, 2단계(거주지학교군)에서 거주지학교군 내 학교 2곳에 지원하면 시교육청이 배정하는 식이다.

서울시교육청이	서울시교육청/NNP+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
단계별	단계/NNG+별/XSN
고교	고교/NNG
선택제는	선택/NNG+제/XSN+는/JX
학생이	학생/NNG+이/JKS
1단계(통합학교군)에서	1/SN+단계/NNG+(/SS+통합/NNG+학교군/NNG+)/SS+에서/JKB
서울지역	서울지역/NNP
전체	전체/NNG
중	중/NNB
2곳,	2/SN+곳/NNG+,/SP
2단계(거주지학교군)에서	2/SN+단계/NNG+(/SS+거주지/NNG+학교군/NNG+)/SS+에서/JKB
거주지학교군	거주지/NNG+학교군/NNG
내	내/NNB
학교	학교/NNG
2곳에	2/SN+곳/NNG+에/JKB
지원하면	지원/NNG+하/XSV+면/EC
시교육청이	시/NNG+교육청/NNG+이/JKS
배정하는	배정/NNG+하/XSV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.347.9.2
2단계까지 학교 배정이 안 되면 거주지학교군과 인접학교군 내 고교로 배치된다.

2단계까지	2/SN+단계/NNG+까지/JX
학교	학교/NNG
배정이	배정/NNG+이/JKC
안	안/MAG
되면	되/VV+면/EC
거주지학교군과	거주지/NNG+학교군/NNG+과/JC
인접학교군	인접/NNG+학교군/NNG
내	내/NNB
고교로	고교/NNG+로/JKB
배치된다.	배치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.347.9.3
배정 비율은 1단계 20%(단, 용산구 종로구 중구는 40%), 2단계 40%, 3단계 40%다.

배정	배정/NNG
비율은	비율/NNG+은/JX
1단계	1/SN+단계/NNG
20%(단,	20/SN+%/SW+(/SS+단/MAJ+,/SP
용산구	용산구/NNP
종로구	종로구/NNP
중구는	중구/NNP+는/JX
40%),	40/SN+%/SW+)/SS+,/SP
2단계	2/SN+단계/NNG
40%,	40/SN+%/SW+,/SP
3단계	3/SN+단계/NNG
40%다.	40/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000053.347.10.1
조 교육감의 제안은 1단계 통합학교군 선발 비율을 높여 강남구 서초구에 거주하지 않아도 8학군 내 고교에 입학할 가능성을 높이겠다는 구상이다.

조	조/NNP
교육감의	교육감/NNG+의/JKG
제안은	제안/NNG+은/JX
1단계	1/SN+단계/NNG
통합학교군	통합/NNG+학교군/NNG
선발	선발/NNG
비율을	비율/NNG+을/JKO
높여	높이/VV+어/EC
강남구	강남구/NNP
서초구에	서초구/NNP+에/JKB
거주하지	거주/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
8학군	8/SN+학군/NNG
내	내/NNB
고교에	고교/NNG+에/JKB
입학할	입학/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
높이겠다는	높이/VV+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.347.10.2
조 교육감은 현재 20%인 통합학교군 선발 비중을 40%까지 높이는 것을 검토하고 있다.

조	조/NNP
교육감은	교육감/NNG+은/JX
현재	현재/MAG
20%인	20/SN+%/SW+이/VCP+ㄴ/ETM
통합학교군	통합/NNG+학교군/NNG
선발	선발/NNG
비중을	비중/NNG+을/JKO
40%까지	40/SN+%/SW+까지/JX
높이는	높이/VV+는/ETM
것을	것/NNB+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.347.10.3
통합학교군 선발을 강남 지역으로 확대할 경우 학교군이 좋은 지역으로 이사하는 현상은 다소 완화될 것으로 보인다.

통합학교군	통합/NNG+학교군/NNG
선발을	선발/NNG+을/JKO
강남	강남/NNP
지역으로	지역/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
학교군이	학교군/NNG+이/JKS
좋은	좋/VA+은/ETM
이사하는	이사/NNG+하/XSV+는/ETM
현상은	현상/NNG+은/JX
다소	다소/MAG
완화될	완화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.347.11.1
한편 오세목 서울자사고교장협의회 회장(중동고 교장)은 이날 바른사회시민회의·국가교육국민감시단 공동 주최로 열린 토론회에서 “자사고 폐지론자들이 자사고에 고교 서열화 등 누명을 씌워 마녀사냥식 여론몰이를 하고 있다”며 “자사고 폐지 정책은 시대착오적 교육 역주행”이라고 주장했다.

한편	한편/MAG
오세목	오세목/NNP
서울자사고교장협의회	서울자사고교장협의회/NNP
회장(중동고	회장/NNG+(/SS+중동고/NNP
교장)은	교장/NNG+)/SS+은/JX
이날	이날/NNG
바른사회시민회의·국가교육국민감시단	바른사회시민회의/NNP+·/SP+국가교육국민감시단/NNP
공동	공동/NNG
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
토론회에서	토론회/NNG+에서/JKB
“자사고	“/SS+자사고/NNG
폐지론자들이	폐지론자/NNG+들/XSN+이/JKS
자사고에	자사고/NNG+에/JKB
고교	고교/NNG
서열화	서열/NNG+화/XSN
등	등/NNB
누명을	누명/NNG+을/JKO
씌워	씌우/VV+어/EC
마녀사냥식	마녀사냥식/NNG
여론몰이를	여론/NNG+몰이/NNG+를/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
폐지	폐지/NNG
정책은	정책/NNG+은/JX
시대착오적	시대착오/NNG+적/XSN
교육	교육/NNG
역주행”이라고	역주행/NNG+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


