# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.198
metadata : {}


# id : NWRW1800000046.198.1.1
오만 뚫어라, 슈틸리케 웃게한 이 드리블로

오만	오만/NNP
아시안컵은 9일 오후 6시(이하 한국 시각) 호주 멜버른에서 호주―쿠웨이트의 개막전으로 막을 올린다.

아시안컵은	아시안/NNP+컵/NNG+은/JX
9일	9/SN+일/NNB
오후	오후/NNG
6시(이하	6/SN+시/NNB+(/SS+이하/NNG
한국	한국/NNP
시각)	시각/NNG+)/SS
호주	호주/NNP
멜버른에서	멜버른/NNP+에서/JKB
호주―쿠웨이트의	호주/NNP+―/SS+쿠웨이트/NNP+의/JKG
개막전으로	개막전/NNG+으로/JKB
막을	막/NNG+을/JKO
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.198.5.1
◇남태희의 드리블은 한국의 무기

◇남태희의	◇/SW+남태희/NNP+의/JKG
드리블은	드리블/NNG+은/JX
한국의	한국/NNP+의/JKG
무기	무기/NNG


# id : NWRW1800000046.198.6.1
최근 한국 축구의 10번은 주로 박주영(30·알샤밥)이었다.

최근	최근/NNG
한국	한국/NNP
축구의	축구/NNG+의/JKG
10번은	10/SN+번/NNB+은/JX
주로	주로/MAG
박주영(30·알샤밥)이었다.	박주영/NNP+(/SS+30/SN+·/SP+알샤밥/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.198.6.2
박주영은 2006·2010·2014 월드컵에서 잇달아 10번을 달았다.

박주영은	박주영/NNP+은/JX
2006·2010·2014	2006/SN+·/SP+2010/SN+·/SP+2014/SN
월드컵에서	월드컵/NNG+에서/JKB
잇달아	잇달/VV+아/EC
10번을	10/SN+번/NNB+을/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.198.6.3
박주영을 아시안컵 최종 명단에서 제외한 울리 슈틸리케(61·독일) 대표팀 감독은 새로운 10번의 주인공으로 남태희를 낙점했다.

박주영을	박주영/NNP+을/JKO
아시안컵	아시안/NNP+컵/NNG
최종	최종/NNG
명단에서	명단/NNG+에서/JKB
제외한	제외/NNG+하/XSV+ㄴ/ETM
울리	울리/NNP
슈틸리케(61·독일)	슈틸리케/NNP+(/SS+61/SN+·/SP+독일/NNP+)/SS
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
10번의	10/SN+번/NNB+의/JKG
주인공으로	주인공/NNG+으로/JKB
남태희를	남태희/NNP+를/JKO
낙점했다.	낙점/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.198.7.1
지난 4일 사우디아라비아와 벌인 평가전은 남태희가 10번을 달 자격이 있음을 보여준 경기였다.

지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
사우디아라비아와	사우디아라비아/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
평가전은	평가전/NNG+은/JX
남태희가	남태희/NNP+가/JKS
10번을	10/SN+번/NNB+을/JKO
달	달/VV+ㄹ/ETM
자격이	자격/NNG+이/JKS
있음을	있/VA+음/ETN+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
경기였다.	경기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.198.7.2
전반 한국은 느린 템포로 일관하며 상대에 주도권을 내줬다.

전반	전반/NNG
한국은	한국/NNP+은/JX
느린	느리/VA+ㄴ/ETM
템포로	템포/NNG+로/JKB
일관하며	일관/NNG+하/XSV+며/EC
상대에	상대/NNG+에/JKB
주도권을	주도/NNG+권/XSN+을/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.198.7.3
슈틸리케 감독은 후반 들어 남태희를 포함해 4명을 교체했고, 흐름은 다시 한국으로 넘어왔다.

슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
후반	후반/NNG
들어	들/VV+어/EC
남태희를	남태희/NNP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
4명을	4/SN+명/NNB+을/JKO
교체했고,	교체/NNG+하/XSV+았/EP+고/EC+,/SP
흐름은	흐름/NNG+은/JX
다시	다시/MAG
한국으로	한국/NNP+으로/JKB
넘어왔다.	넘어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.198.8.1
패스 타이밍이 빠르고 스피드가 뛰어난 남태희가 공격형 미드필더로 들어오면서 한국의 공격 속도는 빨라졌다.

패스	패스/NNG
타이밍이	타이밍/NNG+이/JKS
빠르고	빠르/VA+고/EC
스피드가	스피드/NNG+가/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
남태희가	남태희/NNP+가/JKS
공격형	공격/NNG+형/XSN
미드필더로	미드필더/NNG+로/JKB
들어오면서	들어오/VV+면서/EC
한국의	한국/NNP+의/JKG
공격	공격/NNG
속도는	속도/NNG+는/JX
빨라졌다.	빠르/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.198.8.2
남태희는 이날 자신의 주특기인 드리블 실력도 유감없이 보여줬다.

남태희는	남태희/NNP+는/JX
이날	이날/NNG
자신의	자신/NNG+의/JKG
주특기인	주특기/NNG+이/VCP+ㄴ/ETM
드리블	드리블/NNG
실력도	실력/NNG+도/JX
유감없이	유감없이/MAG
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.198.9.1
후반 추가 시간 페널티 지역 왼쪽 바깥에 있던 남태희는 절묘한 드리블로 상대 수비를 제친 뒤 정확한 크로스를 올렸다.

후반	후반/NNG
추가	추가/NNG
시간	시간/NNG
페널티	페널티/NNG
지역	지역/NNG
왼쪽	왼쪽/NNG
바깥에	바깥/NNG+에/JKB
있던	있/VA+던/ETM
남태희는	남태희/NNP+는/JX
절묘한	절묘하/VA+ㄴ/ETM
드리블로	드리블/NNG+로/JKB
상대	상대/NNG
수비를	수비/NNG+를/JKO
제친	제치/VV+ㄴ/ETM
뒤	뒤/NNG
정확한	정확/NNG+하/XSA+ㄴ/ETM
크로스를	크로스/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.198.9.2
이는 김창수를 거쳐 이정협의 쐐기골로 연결됐다.

이는	이/NP+는/JX
김창수를	김창수/NNP+를/JKO
거쳐	거치/VV+어/EC
이정협의	이정협/NNP+의/JKG
쐐기골로	쐐기/NNG+골/NNG+로/JKB
연결됐다.	연결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.198.9.3
'카타르 리그의 메시'라는 별명이 절로 떠오를 만큼 완벽한 개인기였다.

'카타르	'/SS+카타르/NNP
리그의	리그/NNG+의/JKG
메시'라는	메시/NNP+'/SS+이/VCP+라는/ETM
별명이	별명/NNG+이/JKS
절로	절로/MAG
떠오를	떠오르/VV+ㄹ/ETM
만큼	만큼/NNB
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
개인기였다.	개인기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.198.10.1
세계 강호들과 맞대결하는 월드컵과 달리 아시안컵은 대부분 경기에서 한국이 공격을 주도하고, 상대는 수비에 치중할 가능성이 크다.

세계	세계/NNG
강호들과	강호/NNG+들/XSN+과/JKB
맞대결하는	맞대결/NNG+하/XSV+는/ETM
월드컵과	월드컵/NNG+과/JKB
달리	달리/MAG
아시안컵은	아시안/NNP+컵/NNG+은/JX
대부분	대/XPN+부분/NNG
경기에서	경기/NNG+에서/JKB
한국이	한국/NNP+이/JKS
공격을	공격/NNG+을/JKO
주도하고,	주도/NNG+하/XSV+고/EC+,/SP
상대는	상대/NNG+는/JX
수비에	수비/NNG+에/JKB
치중할	치중/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000046.198.10.2
이런 상황에서 좁은 공간에서의 드리블에 능한 남태희의 존재감은 더욱 커진다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
좁은	좁/VA+은/ETM
공간에서의	공간/NNG+에서/JKB+의/JKG
드리블에	드리블/NNG+에/JKB
능한	능하/VA+ㄴ/ETM
남태희의	남태희/NNP+의/JKG
존재감은	존재감/NNG+은/JX
더욱	더욱/MAG
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.198.10.3
밀집 수비를 당해 공격 전개가 어려울 때 남태희가 순간적인 드리블 돌파로 상대 수비에 균열을 낼 수 있기 때문이다.

밀집	밀집/NNG
수비를	수비/NNG+를/JKO
당해	당하/VV+아/EC
공격	공격/NNG
전개가	전개/NNG+가/JKS
어려울	어렵/VA+ㄹ/ETM
때	때/NNG
남태희가	남태희/NNP+가/JKS
순간적인	순간/NNG+적/XSN+이/VCP+ㄴ/ETM
드리블	드리블/NNG
돌파로	돌파/NNG+로/JKB
상대	상대/NNG
수비에	수비/NNG+에/JKB
균열을	균열/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.198.11.1
카타르 리그에서 4시즌째 뛰는 남태희의 경험도 중동팀을 자주 상대해야 하는 한국으로선 큰 자산이 될 수 있다.

카타르	카타르/NNP
리그에서	리그/NNG+에서/JKB
4시즌째	4/SN+시즌/NNG+째/XSN
뛰는	뛰/VV+는/ETM
남태희의	남태희/NNP+의/JKG
경험도	경험/NNG+도/JX
중동팀을	중동/NNP+팀/NNG+을/JKO
자주	자주/MAG
상대해야	상대/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
한국으로선	한국/NNP+으로서/JKB+ㄴ/JX
큰	크/VA+ㄴ/ETM
자산이	자산/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.198.11.2
남태희는 지난 시즌 16골을 터뜨리며 소속팀 레퀴야의 정규리그 우승을 이끄는 등 카타르 리그 최고 선수로 활약 중이다.

남태희는	남태희/NNP+는/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
16골을	16/SN+골/NNG+을/JKO
터뜨리며	터뜨리/VV+며/EC
소속팀	소속/NNG+팀/NNG
레퀴야의	레퀴야/NNP+의/JKG
정규리그	정규/NNG+리그/NNG
우승을	우승/NNG+을/JKO
이끄는	이끌/VV+는/ETM
등	등/NNB
카타르	카타르/NNP
리그	리그/NNG
최고	최고/NNG
선수로	선수/NNG+로/JKB
활약	활약/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.198.12.1
◇월드컵 아픔 딛고 아시안컵을 기다렸다

◇월드컵	◇/SW+월드컵/NNG
아픔	아픔/NNG
딛고	딛/VV+고/EC
아시안컵을	아시안/NNP+컵/NNG+을/JKO
기다렸다	기다리/VV+었/EP+다/EF


# id : NWRW1800000046.198.13.1
지난 10월 슈틸리케 감독이 한국 대표팀의 지휘봉을 잡은 뒤 남태희에겐 새 별명이 생겼다.

지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
슈틸리케	슈틸리케/NNP
감독이	감독/NNG+이/JKS
한국	한국/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
뒤	뒤/NNG
남태희에겐	남태희/NNP+에게/JKB+ㄴ/JX
새	새/MMA
별명이	별명/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.198.13.2
'슈틸리케의 황태자'다.

'슈틸리케의	'/SS+슈틸리케/NNP+의/JKG
황태자'다.	황태자/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.198.13.3
남태희는 슈틸리케 감독 부임 이후 한국이 치른 5경기에 모두 출전했다.

남태희는	남태희/NNP+는/JX
슈틸리케	슈틸리케/NNP
감독	감독/NNG
부임	부임/NNG
이후	이후/NNG
한국이	한국/NNP+이/JKS
치른	치르/VV+ㄴ/ETM
5경기에	5/SN+경기/NNG+에/JKB
모두	모두/MAG
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.198.14.1
처음부터 슈틸리케 감독이 남태희를 마음에 들어 한 것은 아니었다고 한다.

처음부터	처음/NNG+부터/JX
슈틸리케	슈틸리케/NNP
감독이	감독/NNG+이/JKS
남태희를	남태희/NNP+를/JKO
마음에	마음/NNG+에/JKB
들어	들/VV+어/EC
한	하/VX+ㄴ/ETM
것은	것/NNB+은/JX
아니었다고	아니/VCN+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.198.14.2
대한축구협회 관계자는 "카타르 리그에서 오래 지도자 생활을 하면서 승리보다는 연봉에 가치를 두는 선수를 자주 봐온 슈틸리케 감독이 남태희 역시 그런 선수일 수 있다는 생각에 처음에는 다소 차가운 시선으로 그를 지켜봤다"고 말했다.

대한축구협회	대한축구협회/NNP
관계자는	관계자/NNG+는/JX
"카타르	"/SS+카타르/NNP
리그에서	리그/NNG+에서/JKB
오래	오래/MAG
지도자	지도자/NNG
생활을	생활/NNG+을/JKO
하면서	하/VV+면서/EC
승리보다는	승리/NNG+보다/JKB+는/JX
연봉에	연봉/NNG+에/JKB
가치를	가치/NNG+를/JKO
두는	두/VV+는/ETM
선수를	선수/NNG+를/JKO
자주	자주/MAG
봐온	보/VV+아/EC+오/VX+ㄴ/ETM
슈틸리케	슈틸리케/NNP
감독이	감독/NNG+이/JKS
남태희	남태희/NNP
역시	역시/MAG
그런	그런/MMD
선수일	선수/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각에	생각/NNG+에/JKB
처음에는	처음/NNG+에/JKB+는/JX
다소	다소/MAG
차가운	차갑/VA+ㄴ/ETM
시선으로	시선/NNG+으로/JKB
그를	그/NP+를/JKO
지켜봤다"고	지켜보/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.198.14.3
하지만 기회가 될 때마다 열정과 근성을 강조한 슈틸리케 감독에게 성실한 훈련 태도로 정평이 나 있는 남태희는 매력적인 선수일 수밖에 없었다.

하지만	하지만/MAJ
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
열정과	열정/NNG+과/JC
근성을	근성/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
슈틸리케	슈틸리케/NNP
감독에게	감독/NNG+에게/JKB
성실한	성실/NNG+하/XSA+ㄴ/ETM
훈련	훈련/NNG
태도로	태도/NNG+로/JKB
정평이	정평/NNG+이/JKS
나	나/VV+아/EC
있는	있/VX+는/ETM
남태희는	남태희/NNP+는/JX
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
선수일	선수/NNG+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.198.15.1
남태희는 10일 오후 2시 호주 캔버라에서 열리는 아시안컵 조별리그 1차전 오만전에 선발 출격할 전망이다.

남태희는	남태희/NNP+는/JX
10일	10/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
호주	호주/NNP
캔버라에서	캔버라/NNP+에서/JKB
열리는	열리/VV+는/ETM
아시안컵	아시안/NNP+컵/NNG
조별리그	조별/NNG+리그/NNG
1차전	1/SN+차전/NNB
오만전에	오만전/NNG+에/JKB
선발	선발/NNG
출격할	출격/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.198.15.2
그는 2012년 2월 오만과 벌인 런던올림픽 아시아 최종 예선에서 경기 시작 1분 만에 선제골을 터뜨린 좋은 기억이 있다.

그는	그/NP+는/JX
2012년	2012/SN+년/NNB
2월	2/SN+월/NNB
오만과	오만/NNP+과/JKB
벌인	벌이/VV+ㄴ/ETM
런던올림픽	런던/NNP+올림픽/NNG
아시아	아시아/NNP
최종	최종/NNG
예선에서	예선/NNG+에서/JKB
경기	경기/NNG
시작	시작/NNG
1분	1/SN+분/NNB
만에	만/NNB+에/JKB
선제골을	선제골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
좋은	좋/VA+은/ETM
기억이	기억/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.198.15.3
남태희는 AFC(아시아축구연맹) 홈페이지 인터뷰에서 "오만은 빠른 선수가 많아 경계해야 할 팀"이라며 "첫 경기가 중요한 만큼 최대한 집중하겠다"고 말했다.

남태희는	남태희/NNP+는/JX
AFC(아시아축구연맹)	AFC/SL+(/SS+아시아축구연맹/NNP+)/SS
홈페이지	홈페이지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"오만은	"/SS+오만/NNP+은/JX
빠른	빠르/VA+ㄴ/ETM
선수가	선수/NNG+가/JKS
많아	많/VA+아/EC
경계해야	경계/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
팀"이라며	팀/NNG+"/SS+이/VCP+라며/EC
"첫	"/SS+첫/MMN
경기가	경기/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
만큼	만큼/NNB
최대한	최대한/MAG
집중하겠다"고	집중/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


