# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.185
metadata : {}


# id : NWRW1800000048.185.1.1
일본서 돌아온 고구려 기와…모양이 신비롭네

일본서	일본/NNP+서/JKB
신령한	신령하/VA+ㄴ/ETM
동물로	동물/NNG+로/JKB
숭배되었고,	숭배/NNG+되/XSV+었/EP+고/EC+,/SP
고구려	고구려/NNP
벽화에도	벽화/NNG+에/JKB+도/JX
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.185.6.7
그런데 이 두꺼비에 도깨비가 올라탔다는 것은 또 무슨 곡절을 갖는 걸까.

그런데	그런데/MAJ
이	이/MMD
두꺼비에	두꺼비/NNG+에/JKB
도깨비가	도깨비/NNG+가/JKS
올라탔다는	올라타/VV+았/EP+다는/ETM
것은	것/NNB+은/JX
또	또/MAG
무슨	무슨/MMD
곡절을	곡절/NNG+을/JKO
갖는	갖/VV+는/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000048.185.6.8
눈이 부리부리한 성난 도깨비 귀면상의 고구려 기와도 그냥 슥 지나치기가 아쉽다.

눈이	눈/NNG+이/JKS
부리부리한	부리부리/MAG+하/XSA+ㄴ/ETM
성난	성나/VV+ㄴ/ETM
도깨비	도깨비/NNG
귀면상의	귀면상/NNG+의/JKG
고구려	고구려/NNP
기와도	기와/NNG+도/JX
그냥	그냥/MAG
슥	슥/MAG
지나치기가	지나치/VV+기/ETN+가/JKS
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000048.185.6.9
우리는 도깨비 기와를 통일신라 사천왕사 터를 비롯한 신라 명찰 터의 대표 유물처럼 생각하지만, 그 원류도 알고보면 왕방울 눈과 사나운 선의 서기 어린 얼굴로 강렬한 기운을 안겨주는 고구려 기와의 스타일이다.

우리는	우리/NP+는/JX
도깨비	도깨비/NNG
기와를	기와/NNG+를/JKO
통일신라	통일신라/NNP
사천왕사	사천왕사/NNP
터를	터/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
신라	신라/NNP
명찰	명찰/NNG
터의	터/NNG+의/JKG
대표	대표/NNG
유물처럼	유물/NNG+처럼/JKB
생각하지만,	생각/NNG+하/XSV+지만/EC+,/SP
그	그/MMD
원류도	원류/NNG+도/JX
알고보면	알/VV+고/EC+보/VX+면/EC
왕방울	왕방울/NNG
눈과	눈/NNG+과/JC
사나운	사납/VA+ㄴ/ETM
선의	선/NNG+의/JKG
서기	서기/NNG
어린	어리/VV+ㄴ/ETM
얼굴로	얼굴/NNG+로/JKB
강렬한	강렬하/VA+ㄴ/ETM
기운을	기운/NNG+을/JKO
안겨주는	안기/VV+어/EC+주/VX+는/ETM
고구려	고구려/NNP
기와의	기와/NNG+의/JKG
스타일이다.	스타일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.185.6.10
평양 안학궁 터에서 출토됐다는 고려시대 연꽃무늬 기와도 보이는데, 북한 학자들은 출토지 성격상 고구려 것이라고 간주하고 있어 또다른 논란거리를 품은 유물이다.

평양	평양/NNP
안학궁	안학궁/NNP
터에서	터/NNG+에서/JKB
출토됐다는	출토/NNG+되/XSV+었/EP+다는/ETM
고려시대	고려/NNP+시대/NNG
연꽃무늬	연꽃무늬/NNG
기와도	기와/NNG+도/JX
보이는데,	보이/VV+는데/EC+,/SP
북한	북한/NNP
학자들은	학자/NNG+들/XSN+은/JX
출토지	출토지/NNG
성격상	성격/NNG+상/XSN
고구려	고구려/NNP
것이라고	것/NNB+이/VCP+라고/EC
간주하고	간주/NNG+하/XSV+고/EC
있어	있/VX+어/EC
또다른	또/MAG+다른/MMD
논란거리를	논란거리/NNG+를/JKO
품은	품/VV+은/ETM
유물이다.	유물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.185.7.1
이우치 컬렉션의 고갱이는 희귀 문양의 고구려 기와류지만, 기와의 품격과 미학으로 말하면 통일신라의 기와, 전돌이 단연 우뚝하다.

이우치	이우치/NNP
컬렉션의	컬렉션/NNG+의/JKG
고갱이는	고갱이/NNG+는/JX
희귀	희귀/NNG
문양의	문양/NNG+의/JKG
고구려	고구려/NNP
기와류지만,	기와/NNG+류/XSN+이/VCP+지만/EC+,/SP
기와의	기와/NNG+의/JKG
품격과	품격/NNG+과/JC
미학으로	미학/NNG+으로/JKB
말하면	말/NNG+하/XSV+면/EC
통일신라의	통일신라/NNP+의/JKG
기와,	기와/NNG+,/SP
전돌이	전돌/NNG+이/JKS
단연	단연/MAG
우뚝하다.	우뚝/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000048.185.7.2
저 유명한 보상화문과 정교한 용이나 수호신처럼 모양새를 묘사한 귀면문 기와, 두마리 새가 대칭을 이룬 쌍조문, 그리고 천의자락 흩날리며 극락정토의 하늘을 떠도는 비천문 무늬를 새긴 평와당의 고고하면서도 현란한 자태가 신라 기와를 눈여겨 보고 사랑하지 않을 수 없게 한다.

저	저/MMD
유명한	유명/NNG+하/XSA+ㄴ/ETM
보상화문과	보상화문/NNG+과/JC
정교한	정교하/VA+ㄴ/ETM
용이나	용/NNG+이나/JC
수호신처럼	수호신/NNG+처럼/JKB
모양새를	모양새/NNG+를/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
귀면문	귀면문/NNG
기와,	기와/NNG+,/SP
두마리	두/MMN+마리/NNB
새가	새/NNG+가/JKS
대칭을	대칭/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
쌍조문,	쌍조문/NNG+,/SP
그리고	그리고/MAJ
천의자락	천의/NNG+자락/NNG
흩날리며	흩날리/VV+며/EC
극락정토의	극락정토/NNG+의/JKG
하늘을	하늘/NNG+을/JKO
떠도는	떠돌/VV+는/ETM
비천문	비천문/NNG
무늬를	무늬/NNG+를/JKO
새긴	새기/VV+ㄴ/ETM
평와당의	평와당/NNG+의/JKG
고고하면서도	고고하/VA+면서/EC+도/JX
현란한	현란/NNG+하/XSA+ㄴ/ETM
자태가	자태/NNG+가/JKS
신라	신라/NNP
기와를	기와/NNG+를/JKO
눈여겨	눈여기/VV+어/EC
보고	보/VV+고/EC
사랑하지	사랑/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없게	없/VA+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.185.7.3
일제 강점기 이토 쇼베의 컬렉션을 거액을 들여 인수한 이우치의 각별한 우리 기와 사랑과 말년의 국립중앙박물관 작품 기증, 검사 출신인 유창종 관장이 그의 나머지 컬렉션을 인수한 사연 등을 담은, 전시회와 같은 제목의 단행본도 국외 소재 문화재단에서 나왔다.

일제	일제/NNG
강점기	강점기/NNG
이토	이토/NNP
쇼베의	쇼베/NNP+의/JKG
컬렉션을	컬렉션/NNG+을/JKO
거액을	거액/NNG+을/JKO
들여	들이/VV+어/EC
인수한	인수/NNG+하/XSV+ㄴ/ETM
이우치의	이우치/NNP+의/JKG
각별한	각별/NNG+하/XSA+ㄴ/ETM
우리	우리/NP
기와	기와/NNG
사랑과	사랑/NNG+과/JC
말년의	말년/NNG+의/JKG
국립중앙박물관	국립중앙박물관/NNP
작품	작품/NNG
기증,	기증/NNG+,/SP
검사	검사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
유창종	유창종/NNP
관장이	관장/NNG+이/JKS
그의	그/NP+의/JKG
나머지	나머지/NNG
사연	사연/NNG
등을	등/NNB+을/JKO
담은,	담/VV+은/ETM+,/SP
전시회와	전시회/NNG+와/JKB
같은	같/VA+은/ETM
제목의	제목/NNG+의/JKG
단행본도	단행본/NNG+도/JX
국외	국외/NNG
소재	소재/NNG
문화재단에서	문화/NNG+재단/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


