# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.210
metadata : {}


# id : NWRW1800000037.210.1.1
연천 GOP초소서 수류탄 폭발… 신병 1명 숨지고 소대장 부상

연천	연천/NNP
부위에	부위/NNG+에/JKB
파편상을	파편상/NNG+을/JKO
입은	입/VV+은/ETM
박	박/NNP
소위는	소위/NNG+는/JX
인근	인근/NNG
병원으로	병원/NNG+으로/JKB
옮겨져	옮기/VV+어/EC+지/VX+어/EC
응급수술을	응급/NNG+수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.210.4.1
군 당국은 현장 감식 결과 숨진 최 이병의 손에 본인이 휴대하고 있던 수류탄 봉인함의 스카치테이프가 묻어 있고 안전핀이 뽑힌 정황 등으로 볼 때 최 이병의 자살 가능성에 무게를 두고 있다.

군	군/NNG
당국은	당국/NNG+은/JX
현장	현장/NNG
감식	감식/NNG
결과	결과/NNG
숨진	숨지/VV+ㄴ/ETM
최	최/NNP
이병의	이병/NNG+의/JKG
손에	손/NNG+에/JKB
본인이	본인/NNG+이/JKS
휴대하고	휴대/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
수류탄	수류탄/NNG
봉인함의	봉인/NNG+함/NNG+의/JKG
스카치테이프가	스카치테이프/NNG+가/JKS
묻어	묻/VV+어/EC
있고	있/VX+고/EC
안전핀이	안전핀/NNG+이/JKS
뽑힌	뽑히/VV+ㄴ/ETM
정황	정황/NNG
등으로	등/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
자살	자살/NNG
가능성에	가능/NNG+성/XSN+에/JKB
무게를	무게/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.210.4.2
하지만 최 이병의 유족이 자살에 이의를 제기하는 한편 유서가 발견되지 않은 점으로 미뤄 수류탄을 잘못 다루다 발생한 안전사고일 가능성도 배제하지 않고 있다.

하지만	하지만/MAJ
최	최/NNP
이병의	이병/NNG+의/JKG
유족이	유족/NNG+이/JKS
자살에	자살/NNG+에/JKB
이의를	이의/NNG+를/JKO
제기하는	제기/NNG+하/XSV+는/ETM
한편	한편/NNG
유서가	유서/NNG+가/JKS
발견되지	발견/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
점으로	점/NNG+으로/JKB
미뤄	미루/VV+어/EC
수류탄을	수류탄/NNG+을/JKO
잘못	잘못/MAG
다루다	다루/VV+다/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
안전사고일	안전사고/NNG+이/VCP+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제하지	배제/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.210.4.3
최 이병은 신병교육을 끝내고 지난달 29일 이 부대에 배치돼 소대장과 동행하며 부대 적응교육을 받고 있었다.

최	최/NNP
이병은	이병/NNG+은/JX
신병교육을	신병/NNG+교육/NNG+을/JKO
끝내고	끝내/VV+고/EC
지난달	지난달/NNG
29일	29/SN+일/NNB
이	이/MMD
부대에	부대/NNG+에/JKB
배치돼	배치/NNG+되/XSV+어/EC
소대장과	소대장/NNG+과/JKB
동행하며	동행/NNG+하/XSV+며/EC
부대	부대/NNG
적응교육을	적응/NNG+교육/NNG+을/JKO
받고	받/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.210.5.1
앞서 지난달 6일에도 강원 양구의 육군 모 부대 GOP 초소 인근에서 한모 일병(22)이 갖고 있던 수류탄을 터뜨려 스스로 목숨을 끊는 사건이 발생했다.

앞서	앞서/MAG
지난달	지난달/NNG
6일에도	6/SN+일/NNB+에/JKB+도/JX
강원	강원/NNP
양구의	양구/NNP+의/JKG
육군	육군/NNG
모	모/MMD
부대	부대/NNG
GOP	GOP/SL
초소	초소/NNG
인근에서	인근/NNG+에서/JKB
한모	한/NNP+모/NP
일병(22)이	일병/NNG+(/SS+22/SN+)/SS+이/JKS
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
수류탄을	수류탄/NNG+을/JKO
터뜨려	터뜨리/VV+어/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊는	끊/VV+는/ETM
사건이	사건/NNG+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.210.5.2
최전방 부대에서 수류탄 폭발사건이 잇따르자 군 안팎에서 사고 예방대책을 강화해야 한다는 지적이 나온다.

최전방	최/XPN+전방/NNG
부대에서	부대/NNG+에서/JKB
수류탄	수류탄/NNG
폭발사건이	폭발/NNG+사건/NNG+이/JKS
잇따르자	잇따르/VV+자/EC
군	군/NNG
안팎에서	안팎/NNG+에서/JKB
사고	사고/NNG
예방대책을	예방/NNG+대책/NNG+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


