# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.133
metadata : {}


# id : NWRW1800000028.133.1.1
여당·보수쪽 ‘강경론-신중론’ 혼재

여당·보수쪽	여당/NNG+·/SP+보수/NNG+쪽/NNB
인양	인양/NNG
후	후/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
파손된	파손/NNG+되/XSV+ㄴ/ETM
부분을	부분/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
결과	결과/NNG
침몰	침몰/NNG
원인이	원인/NNG+이/JKS
외부	외부/NNG
피격에	피격/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
발표가	발표/NNG+가/JKS
있었다”면서도	있/VA+었/EP+다/EF+”/SS+면서/EC+도/JX
“남북관계를	“/SS+남북/NNP+관계/NNG+를/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
천안함	천안함/NNP
침몰사건의	침몰/NNG+사건/NNG+의/JKG
원인을	원인/NNG+을/JKO
북한과	북한/NNP+과/JKB
연결하는	연결/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
최종	최종/NNG
분석	분석/NNG
결과가	결과/NNG+가/JKS
있을	있/VA+을/ETM
때까지	때/NNG+까지/JX
신중할	신중/NNG+하/XSA+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.133.3.2
또 “현 단계에서는 진실을 확인할 증거를 찾는 게 중요하며 이런 작업을 위해서는 국제사회의 협조가 필요하다”고 덧붙였다.

또	또/MAG
“현	“/SS+현/MMD
단계에서는	단계/NNG+에서/JKB+는/JX
진실을	진실/NNG+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
증거를	증거/NNG+를/JKO
찾는	찾/VV+는/ETM
게	거/NNB+이/JKS
중요하며	중요/NNG+하/XSA+며/EC
이런	이런/MMD
작업을	작업/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
국제사회의	국제/NNG+사회/NNG+의/JKG
협조가	협조/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.133.3.3
정 대표의 이런 발언은 불과 사흘 전 일본 방문 당시의 대북 강경 기조에 비해 상당히 누그러진 것이다.

정	정/NNP
대표의	대표/NNG+의/JKG
이런	이런/MMD
발언은	발언/NNG+은/JX
불과	불과/MAG
사흘	사흘/NNG
전	전/NNG
일본	일본/NNP
방문	방문/NNG
당시의	당시/NNG+의/JKG
대북	대북/NNG
강경	강경/NNG
기조에	기조/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
상당히	상당히/MAG
누그러진	누그러지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.133.3.4
정 대표는 당시 오자와 이치로 민주당 간사장 등과 만나 “만약 북한의 관여 사실이 드러난다면 한국도 중대한 결단을 하지 않으면 안 된다”고 밝혔다.

정	정/NNP
대표는	대표/NNG+는/JX
당시	당시/NNG
오자와	오자와/NNP
이치로	이치로/NNP
민주당	민주당/NNP
간사장	간사장/NNG
등과	등/NNB+과/JKB
만나	만나/VV+아/EC
“만약	“/SS+만약/MAG
북한의	북한/NNP+의/JKG
관여	관여/NNG
사실이	사실/NNG+이/JKS
드러난다면	드러나/VV+ㄴ다면/EC
한국도	한국/NNP+도/JX
중대한	중대/NNG+하/XSA+ㄴ/ETM
결단을	결단/NNG+을/JKO
하지	하/VV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.133.4.1
정 대표가 신중론으로 돌아선 것은 섣부른 대북 강경론이 지방선거에 ‘북풍’을 이용하려 한다는 역풍으로 번질 것을 우려했기 때문으로 보인다.

정	정/NNP
대표가	대표/NNG+가/JKS
신중론으로	신중/NNG+론/XSN+으로/JKB
돌아선	돌아서/VV+ㄴ/ETM
것은	것/NNB+은/JX
섣부른	섣부르/VA+ㄴ/ETM
대북	대북/NNG
강경론이	강경/NNG+론/XSN+이/JKS
지방선거에	지방/NNG+선거/NNG+에/JKB
‘북풍’을	‘/SS+북풍/NNG+’/SS+을/JKO
이용하려	이용/NNG+하/XSV+려/EC
한다는	하/VX+ㄴ다는/ETM
역풍으로	역풍/NNG+으로/JKB
번질	번지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려했기	우려/NNG+하/XSV+았/EP+기/ETN
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.133.4.2
북한 연루설을 입증할 만한 물증이 없다는 점도 정 대표로선 부담일 수밖에 없다.

북한	북한/NNP
연루설을	연루설/NNG+을/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
물증이	물증/NNG+이/JKS
없다는	없/VA+다는/ETM
점도	점/NNG+도/JX
정	정/NNP
대표로선	대표/NNG+로서/JKB+ㄴ/JX
부담일	부담/NNG+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.133.4.3
조해진 대변인은 “정 대표의 기본 입장은 달라진 게 없다”며 “북한 연루설이 사실로 드러났을 경우 철저하게 대응하겠지만 북의 관련성을 입증할 증거가 나올 때까지는 신중하자는 원론적 얘기”라고 말했다.

조해진	조해진/NNP
대변인은	대변인/NNG+은/JX
“정	“/SS+정/NNP
대표의	대표/NNG+의/JKG
기본	기본/NNG
입장은	입장/NNG+은/JX
달라진	달라지/VV+ㄴ/ETM
게	거/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“북한	“/SS+북한/NNP
연루설이	연루설/NNG+이/JKS
사실로	사실/NNG+로/JKB
드러났을	드러나/VV+았/EP+을/ETM
경우	경우/NNG
철저하게	철저/NNG+하/XSA+게/EC
대응하겠지만	대응/NNG+하/XSV+겠/EP+지만/EC
북의	북/NNP+의/JKG
관련성을	관련/NNG+성/XSN+을/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
증거가	증거/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
때까지는	때/NNG+까지/JX+는/JX
신중하자는	신중/NNG+하/XSA+자는/ETM
원론적	원론/NNG+적/XSN
얘기”라고	얘기/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.133.5.1
정 대표와 달리 통일·국방 분야를 담당하는 황진하 제2정조위원장은 이날 라디오 방송과의 인터뷰에서 “북한의 개입이 확실하다면 군사적 방법이든 비군사적 방법이든 모든 대응을 강구해야 한다”고 말했다.

정	정/NNP
대표와	대표/NNG+와/JKB
달리	달리/MAG
통일·국방	통일/NNG+·/SP+국방/NNG
분야를	분야/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
황진하	황진하/NNP
제2정조위원장은	제/XPN+2/SN+정조위원장/NNG+은/JX
이날	이날/NNG
라디오	라디오/NNG
방송과의	방송/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“북한의	“/SS+북한/NNP+의/JKG
개입이	개입/NNG+이/JKS
확실하다면	확실하/VA+다면/EC
군사적	군사/NNG+적/XSN
방법이든	방법/NNG+이든/JX
비군사적	비/XPN+군사/NNG+적/XSN
모든	모든/MMN
대응을	대응/NNG+을/JKO
강구해야	강구/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.133.5.2
비록 가정법의 형태지만 ‘군사적 대응’을 거론한 점이 눈에 띈다.

비록	비록/MAG
가정법의	가정법/NNG+의/JKG
형태지만	형태/NNG+이/VCP+지만/EC
‘군사적	‘/SS+군사/NNG+적/XSN
대응’을	대응/NNG+’/SS+을/JKO
거론한	거론/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.133.5.3
정병국 사무총장도 전날 북한 연루 가능성이 크다며 “명백한 범죄행위로 단호하게 대응해야 한다”고 말했다.

정병국	정병국/NNP
사무총장도	사무총장/NNG+도/JX
전날	전날/NNG
북한	북한/NNP
연루	연루/NNG
가능성이	가능/NNG+성/XSN+이/JKS
크다며	크/VA+다며/EC
“명백한	“/SS+명백하/VA+ㄴ/ETM
범죄행위로	범죄/NNG+행위/NNG+로/JKB
단호하게	단호하/VA+게/EC
대응해야	대응/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.133.5.4
정 대표와 달리 사무총장과 제2정조위원장이 강경론을 주장하는 것은 지방선거를 앞둔 상황에서 보수층 결집을 꾀하려는 측면이 있는 것 같다.

정	정/NNP
대표와	대표/NNG+와/JKB
달리	달리/MAG
사무총장과	사무총장/NNG+과/JC
제2정조위원장이	제/XPN+2/SN+정조위원장/NNG+이/JKS
강경론을	강경/NNG+론/XSN+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
지방선거를	지방/NNG+선거/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
보수층	보수/NNG+층/XSN
결집을	결집/NNG+을/JKO
꾀하려는	꾀하/VV+려는/ETM
측면이	측면/NNG+이/JKS
있는	있/VA+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000028.133.5.5
일종의 ‘역할분담’인 셈이다.

일종의	일종/NNG+의/JKG
‘역할분담’인	‘/SS+역할/NNG+분담/NNG+’/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.133.5.6
동시에 ‘안보 무능정권’이라고 비판하는 야당의 공세를 돌리려는 전략적 고려도 담겨 있는 것으로 보인다.

동시에	동시/NNG+에/JKB
‘안보	‘/SS+안보/NNG
무능정권’이라고	무능/NNG+정권/NNG+’/SS+이라고/JKQ
비판하는	비판/NNG+하/XSV+는/ETM
야당의	야당/NNG+의/JKG
공세를	공세/NNG+를/JKO
돌리려는	돌리/VV+려는/ETM
전략적	전략/NNG+적/XSN
고려도	고려/NNG+도/JX
담겨	담기/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.133.6.1
보수 언론들은 ‘북한 소행’에 무게를 실으며 연일 강경론을 쏟아내고 있다.

보수	보수/NNG
언론들은	언론/NNG+들/XSN+은/JX
‘북한	‘/SS+북한/NNP
소행’에	소행/NNG+’/SS+에/JKB
무게를	무게/NNG+를/JKO
실으며	싣/VV+으며/EC
연일	연일/MAG
강경론을	강경/NNG+론/XSN+을/JKO
쏟아내고	쏟/VV+아/EC+내/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.133.6.2
국민행동본부 등 일부 보수단체들은 ‘이스라엘식 보복공격’을 촉구하며 “차제에 김정일 정권을 끝장내자”고까지 주장하고 있다.

국민행동본부	국민/NNG+행동/NNG+본부/NNG
등	등/NNB
일부	일부/NNG
보수단체들은	보수/NNG+단체/NNG+들/XSN+은/JX
‘이스라엘식	‘/SS+이스라엘식/NNG
보복공격’을	보복/NNG+공격/NNG+’/SS+을/JKO
촉구하며	촉구/NNG+하/XSV+며/EC
“차제에	“/SS+차제/NNG+에/JKB
김정일	김정일/NNP
정권을	정권/NNG+을/JKO
끝장내자”고까지	끝장내/VV+자/EF+”/SS+고/JKQ+까지/JX
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


