# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.116
metadata : {}


# id : NWRW1800000037.116.1.1
WCC공동선언문 뭐길래… 10월 부산총회 앞두고 개신교계 파장 일으키나

WCC공동선언문	WCC/SL+공동/NNG+선언문/NNG
않겠다”며	않/VX+겠/EP+다/EF+”/SS+며/EC
“한국준비위원회,	“/SS+한국준비위원회/NNP+,/SP
한국	한국/NNP
교회들과	교회/NNG+들/XSN+과/JKB
협력해	협력/NNG+하/XSV+아/EC
대회가	대회/NNG+가/JKS
원만하게	원만하/VA+게/EC
치러지도록	치르/VV+어/EC+지/VX+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.116.8.1
선언문에 합의한 김영주 총무는 동아일보와의 통화에서 “단합된 모습을 보이려고 노력했는데 저쪽(한기총)에서 지나치게 많은 걸 요구했다”며 “개인적 불찰이다.

선언문에	선언문/NNG+에/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
김영주	김영주/NNP
총무는	총무/NNG+는/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“단합된	“/SS+단합/NNG+되/XSV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이려고	보이/VV+려고/EC
노력했는데	노력/NNG+하/XSV+았/EP+는데/EC
저쪽(한기총)에서	저쪽/NP+(/SS+한기총/NNP+)/SS+에서/JKB
지나치게	지나치/VA+게/EC
많은	많/VA+은/ETM
걸	거/NNB+ㄹ/JKO
요구했다”며	요구/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“개인적	“/SS+개인/NNG+적/XSN
불찰이다.	불찰/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.116.8.2
선언문의 효력이 발생하려면 NCCK 실행위원회를 거쳐야 하는데 그러지 못해 의미가 없다”고 밝혔다.

선언문의	선언문/NNG+의/JKG
효력이	효력/NNG+이/JKS
발생하려면	발생/NNG+하/XSV+려면/EC
NCCK	NCCK/SL
실행위원회를	실행/NNG+위원회/NNG+를/JKO
거쳐야	거치/VV+어야/EC
하는데	하/VX+는데/EC
그러지	그러/VV+지/EC
못해	못하/VX+아/EC
의미가	의미/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.116.8.3
책임 문제와 관련해서는 “(사퇴 같은) 그런 수준의 문제는 아니라고 본다”고 선을 그었다.

책임	책임/NNG
문제와	문제/NNG+와/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
“(사퇴	“/SS+(/SS+사퇴/NNG
같은)	같/VA+은/ETM+)/SS
그런	그런/MMD
수준의	수준/NNG+의/JKG
문제는	문제/NNG+는/JX
아니라고	아니/VCN+라고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.116.9.1
보수적 개신교 단체들은 “NCCK 내부 갈등이야말로 공산주의와 동성애 등을 용인하는 WCC의 반(反)복음주의적 실체를 보여준다”고 주장했다.

보수적	보수/NNG+적/XSN
개신교	개신교/NNG
단체들은	단체/NNG+들/XSN+은/JX
“NCCK	“/SS+NCCK/SL
내부	내부/NNG
갈등이야말로	갈등/NNG+이야말로/JX
공산주의와	공산주의/NNG+와/JC
동성애	동성애/NNG
등을	등/NNB+을/JKO
용인하는	용인/NNG+하/XSV+는/ETM
WCC의	WCC/SL+의/JKG
반(反)복음주의적	반/XPN+(/SS+反/SH+)/SS+복음주의/NNG+적/XSN
실체를	실체/NNG+를/JKO
보여준다”고	보이/VV+어/EC+주/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.116.9.2
이번 파문으로 WCC와 WEA 대회에서 양측이 협력할 가능성은 더욱 낮아졌다는 분석도 나온다.

이번	이번/NNG
파문으로	파문/NNG+으로/JKB
WCC와	WCC/SL+와/JC
WEA	WEA/SL
대회에서	대회/NNG+에서/JKB
양측이	양측/NNG+이/JKS
협력할	협력/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
더욱	더욱/MAG
낮아졌다는	낮/VA+아/EC+지/VX+었/EP+다는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.116.9.3
홍재철 한기총 대표회장도 본보와의 통화에서 “우리가 납득할 수 있는 조치가 취해지지 않는다면 WCC 총회에 반대하는 부산 지역 교회들의 집단적인 반발도 배제할 수 없다”며 “최근 상황에 대한 의견을 모으겠다”고 말했다.

홍재철	홍재철/NNP
한기총	한기총/NNP
대표회장도	대표/NNG+회장/NNG+도/JX
본보와의	본보/NNG+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“우리가	“/SS+우리/NP+가/JKS
납득할	납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조치가	조치/NNG+가/JKS
취해지지	취하/VV+아/EC+지/VX+지/EC
않는다면	않/VX+는다면/EC
WCC	WCC/SL
총회에	총회/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
부산	부산/NNP
지역	지역/NNG
교회들의	교회/NNG+들/XSN+의/JKG
집단적인	집단/NNG+적/XSN+이/VCP+ㄴ/ETM
반발도	반발/NNG+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
없다”며	없/VA+다/EF+”/SS+며/EC
“최근	“/SS+최근/NNG
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
모으겠다”고	모으/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


