# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.27
metadata : {}


# id : NWRW1800000030.27.1.1
中, 몽골족 숨지게 한 漢族 기사 사형 선고

中,	中/SH+,/SP
네이멍구자치구 정부는 재판 결과가 나온 직후 전 주민의 휴대폰으로 재판 결과를 담은 문자 메시지를 보내기도 했다.

네이멍구자치구	네이멍구자치구/NNP
정부는	정부/NNG+는/JX
재판	재판/NNG
결과가	결과/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
직후	직후/NNG
전	전/MMN
주민의	주민/NNG+의/JKG
휴대폰으로	휴대폰/NNG+으로/JKB
결과를	결과/NNG+를/JKO
담은	담/VV+은/ETM
문자	문자/NNG
메시지를	메시지/NNG+를/JKO
보내기도	보내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.27.5.4
베이징 외교가의 한 분석가는 "엄중한 처벌을 통해 몽골족 주민의 분노를 누그러뜨리고, 네이멍구가 티베트나 신장(新疆)처럼 고질적인 소수민족 분쟁지역으로 가는 것을 막겠다는 뜻"이라고 말했다.

베이징	베이징/NNP
외교가의	외교가/NNG+의/JKG
한	한/MMN
분석가는	분석가/NNG+는/JX
"엄중한	"/SS+엄중/NNG+하/XSA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
통해	통하/VV+아/EC
몽골족	몽골족/NNP
주민의	주민/NNG+의/JKG
분노를	분노/NNG+를/JKO
누그러뜨리고,	누그러뜨리/VV+고/EC+,/SP
네이멍구가	네이멍구/NNP+가/JKS
티베트나	티베트/NNP+나/JC
신장(新疆)처럼	신장/NNP+(/SS+新疆/SH+)/SS+처럼/JKB
고질적인	고질/NNG+적/XSN+이/VCP+ㄴ/ETM
소수민족	소수/NNG+민족/NNG
분쟁지역으로	분쟁/NNG+지역/NNG+으로/JKB
가는	가/VV+는/ETM
것을	것/NNB+을/JKO
막겠다는	막/VV+겠/EP+다는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.27.5.5
리린둥과 루샹둥은 지난 5월 10일 오후 11시쯤 시린궈러멍 시우치(西烏旗) 부근 석탄광산에서 석탄을 싣고 나오다 인근 지역 유목민 20여명이 초원을 가로질러 운행하는 것을 막아서자, 그대로 돌진해 그중 유목민 메르겐을 숨지게 한 혐의이다.

리린둥과	리린둥/NNP+과/JKB
루샹둥은	루샹둥/NNP+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
10일	10/SN+일/NNB
오후	오후/NNG
11시쯤	11/SN+시/NNB+쯤/XSN
시린궈러멍	시린궈러멍/NNP
시우치(西烏旗)	시우치/NNP+(/SS+西烏旗/SH+)/SS
부근	부근/NNG
석탄광산에서	석탄/NNG+광산/NNG+에서/JKB
석탄을	석탄/NNG+을/JKO
싣고	싣/VV+고/EC
나오다	나오/VV+다/EC
인근	인근/NNG
지역	지역/NNG
유목민	유목민/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
초원을	초원/NNG+을/JKO
가로질러	가로지르/VV+어/EC
운행하는	운행/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
막아서자,	막/VV+아서/EC+자/EC+,/SP
그대로	그대로/MAG
돌진해	돌진/NNG+하/XSV+아/EC
그중	그중/NNG
메르겐을	메르겐/NNP+을/JKO
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
혐의이다.	혐의/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.27.5.6
메르겐은 트럭에 치인 뒤 150m가량을 끌려가다 현장에서 즉사했다고 중국 공안당국이 밝혔다.

메르겐은	메르겐/NNP+은/JX
트럭에	트럭/NNG+에/JKB
치인	치이/VV+ㄴ/ETM
뒤	뒤/NNG
150m가량을	150/SN+m/SW+가량/XSN+을/JKO
끌려가다	끌려가/VV+다/EC
현장에서	현장/NNG+에서/JKB
즉사했다고	즉사/NNG+하/XSV+았/EP+다고/EC
중국	중국/NNP
공안당국이	공안/NNG+당국/NNG+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


