# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.93
metadata : {}


# id : NWRW1800000052.93.1.1
샌더스가 꾸린 ‘우리의 혁명’ 첫발부터 ‘삐걱’

샌더스가	샌더스/NNP+가/JKS
함께할	함께/MAG+하/XSV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
이	이/MMD
사람들은	사람/NNG+들/XSN+은/JX
지역의	지역/NNG+의/JKG
학교위원회에서부터	학교/NNG+위원회/NNG+에서부터/JKB
시의회,	시/NNG+의회/NNG+,/SP
워싱턴	워싱턴/NNP
정치까지	정치/NNG+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
변화를	변화/NNG+를/JKO
이뤄낼	이루/VV+어/EC+내/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.93.6.1
샌더스 의원은 지난 민주당 경선에서의 경험을 언급하며 ‘우리의 혁명’이 정치에서 갖는 중요성을 강조했다.

샌더스	샌더스/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
민주당	민주당/NNP
경선에서의	경선/NNG+에서/JKB+의/JKG
경험을	경험/NNG+을/JKO
언급하며	언급/NNG+하/XSV+며/EC
‘우리의	‘/SS+우리/NP+의/JKG
혁명’이	혁명/NNG+’/SS+이/JKS
정치에서	정치/NNG+에서/JKB
갖는	갖/VV+는/ETM
중요성을	중요/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.93.6.2
그는 “진짜 변화는 누군가가 법안에 서명하는 것처럼 위에서 아래로 일어나는 게 아니다”라며 “수백만명의 사람들이 함께 근본적인 변화를 요구하는 것처럼, 아래서부터 위로 일어나는 것이 진짜 변화”라고 강조했다.

그는	그/NP+는/JX
“진짜	“/SS+진짜/NNG
변화는	변화/NNG+는/JX
누군가가	누구/NP+이/VCP+ㄴ가/EF+가/JKS
법안에	법안/NNG+에/JKB
서명하는	서명/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
위에서	위/NNG+에서/JKB
아래로	아래/NNG+로/JKB
일어나는	일어나/VV+는/ETM
게	거/NNB+이/JKC
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
“수백만명의	“/SS+수백만/NR+명/NNB+의/JKG
사람들이	사람/NNG+들/XSN+이/JKS
함께	함께/MAG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
변화를	변화/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
것처럼,	것/NNB+처럼/JKB+,/SP
아래서부터	아래/NNG+서부터/JKB
위로	위/NNG+로/JKB
것이	것/NNB+이/JKS
진짜	진짜/NNG
변화”라고	변화/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.93.6.3
‘우리의 혁명’은 국가가 운영하는 단일의료보험체제를 포함해 노동, 젠더 등 7개의 주요 의제에 집중할 예정이다.

‘우리의	‘/SS+우리/NP+의/JKG
혁명’은	혁명/NNG+’/SS+은/JX
국가가	국가/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
단일의료보험체제를	단일/NNG+의료/NNG+보험/NNG+체제/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
노동,	노동/NNG+,/SP
젠더	젠더/NNG
등	등/NNB
7개의	7/SN+개/NNB+의/JKG
주요	주요/NNG
의제에	의제/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.93.7.1
‘우리의 혁명’이 이처럼 많은 이들의 주목을 끌며 공식 출범했지만, 내부적으론 주요 간부들이 줄줄이 사퇴하는 등 내홍을 겪고 있다.

‘우리의	‘/SS+우리/NP+의/JKG
혁명’이	혁명/NNG+’/SS+이/JKS
이처럼	이/NP+처럼/JKB
많은	많/VA+은/ETM
이들의	이/NNB+들/XSN+의/JKG
주목을	주목/NNG+을/JKO
끌며	끌/VV+며/EC
공식	공식/NNG
출범했지만,	출범/NNG+하/XSV+았/EP+지만/EC+,/SP
내부적으론	내부/NNG+적/XSN+으로/JKB+ㄴ/JX
주요	주요/NNG
간부들이	간부/NNG+들/XSN+이/JKS
줄줄이	줄줄이/MAG
사퇴하는	사퇴/NNG+하/XSV+는/ETM
등	등/NNB
내홍을	내홍/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.93.7.2
이들은 샌더스 캠프 선대본부장이던 제프 위버가 이 단체의 회장으로 임명된 것과, 익명으로 대규모 기부를 받을 수 있게 한 단체의 정관에 반대하며 사표를 던졌다.

이들은	이/NP+들/XSN+은/JX
샌더스	샌더스/NNP
캠프	캠프/NNG
선대본부장이던	선대/NNG+본부장/NNG+이/VCP+던/ETM
제프	제프/NNP
위버가	위버/NNP+가/JKS
이	이/MMD
단체의	단체/NNG+의/JKG
회장으로	회장/NNG+으로/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
것과,	것/NNB+과/JC+,/SP
익명으로	익명/NNG+으로/JKB
대규모	대/XPN+규모/NNG
기부를	기부/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
한	하/VX+ㄴ/ETM
정관에	정관/NNG+에/JKB
반대하며	반대/NNG+하/XSV+며/EC
사표를	사표/NNG+를/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.93.7.3
정치전문매체 <폴리티코>는 23일 ‘우리의 혁명’ 관계자의 말을 인용해 “제프 위버는 경선 기간 동안 텔레비전 광고로 자금을 낭비하고, 인원을 적재적소에 활용하지 못했다는 등의 이유로 같이 일했던 간부들 사이에서 불신이 높아진 상태”라고 전했다.

정치전문매체	정치/NNG+전문/NNG+매체/NNG
<폴리티코>는	</SS+폴리티코/NNP+>/SS+는/JX
23일	23/SN+일/NNB
‘우리의	‘/SS+우리/NP+의/JKG
혁명’	혁명/NNG+’/SS
관계자의	관계자/NNG+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
“제프	“/SS+제프/NNP
위버는	위버/NNP+는/JX
경선	경선/NNG
기간	기간/NNG
동안	동안/NNG
텔레비전	텔레비전/NNG
광고로	광고/NNG+로/JKB
자금을	자금/NNG+을/JKO
낭비하고,	낭비/NNG+하/XSV+고/EC+,/SP
인원을	인원/NNG+을/JKO
적재적소에	적재적소/NNG+에/JKB
활용하지	활용/NNG+하/XSV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
같이	같이/MAG
일했던	일/NNG+하/XSV+았/EP+던/ETM
간부들	간부/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
불신이	불신/NNG+이/JKS
높아진	높아지/VV+ㄴ/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.93.7.4
‘우리의 혁명’에서 조직국장을 담당했다 사퇴한 클레어 샌드버그 역시 “제프 위버는 백만장자에게 거액의 기부를 받는 것을 허용함으로써, 소액 기부에 의존한다는 단체의 핵심 목표를 배신했다”고 강하게 비판했다.

‘우리의	‘/SS+우리/NP+의/JKG
혁명’에서	혁명/NNG+’/SS+에서/JKB
조직국장을	조직국장/NNG+을/JKO
담당했다	담당/NNG+하/XSV+았/EP+다/EC
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
클레어	클레어/NNP
샌드버그	샌드버그/NNP
역시	역시/MAG
“제프	“/SS+제프/NNP
위버는	위버/NNP+는/JX
백만장자에게	백만장자/NNG+에게/JKB
거액의	거액/NNG+의/JKG
기부를	기부/NNG+를/JKO
받는	받/VV+는/ETM
것을	것/NNB+을/JKO
허용함으로써,	허용/NNG+하/XSV+ㅁ/ETN+으로써/JKB+,/SP
소액	소액/NNG
기부에	기부/NNG+에/JKB
의존한다는	의존/NNG+하/XSV+ㄴ다는/ETM
단체의	단체/NNG+의/JKG
핵심	핵심/NNG
목표를	목표/NNG+를/JKO
배신했다”고	배신/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
강하게	강하/VA+게/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.93.8.1
지금까지 사의를 표명한 간부는 모두 15명이며, 이 중 핵심 관계자는 8명에 이른다.

지금까지	지금/NNG+까지/JX
사의를	사의/NNG+를/JKO
표명한	표명/NNG+하/XSV+ㄴ/ETM
간부는	간부/NNG+는/JX
모두	모두/MAG
15명이며,	15/SN+명/NNB+이/VCP+며/EC+,/SP
이	이/NP
중	중/NNB
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
8명에	8/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.93.8.2
샌더스는 사임 의사를 밝힌 간부들에게 직접 연락해 재고를 요청했으나, 이들은 샌더스의 요청을 거절한 것으로 알려졌다.

샌더스는	샌더스/NNP+는/JX
사임	사임/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
간부들에게	간부/NNG+들/XSN+에게/JKB
직접	직접/MAG
연락해	연락/NNG+하/XSV+아/EC
재고를	재고/NNG+를/JKO
요청했으나,	요청/NNG+하/XSV+았/EP+으나/EC+,/SP
이들은	이/NP+들/XSN+은/JX
샌더스의	샌더스/NNP+의/JKG
요청을	요청/NNG+을/JKO
거절한	거절/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.93.8.3
<뉴욕 타임스>는 “많은 사람들이 ‘우리의 혁명’의 출범을 학수고대해 왔지만, 이 단체는 기대와 동시에 많은 비판과 논란에 직면했다”고 전했다.

<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
“많은	“/SS+많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
‘우리의	‘/SS+우리/NP+의/JKG
혁명’의	혁명/NNG+’/SS+의/JKG
출범을	출범/NNG+을/JKO
학수고대해	학수고대/NNG+하/XSV+아/EC
왔지만,	오/VX+았/EP+지만/EC+,/SP
이	이/MMD
단체는	단체/NNG+는/JX
기대와	기대/NNG+와/JKB
동시에	동시/NNG+에/JKB
많은	많/VA+은/ETM
비판과	비판/NNG+과/JC
논란에	논란/NNG+에/JKB
직면했다”고	직면/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


