# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.130
metadata : {}


# id : NWRW1800000037.130.1.1
[문학예술]110년 전의 비엔나로 시간여행

[문학예술]110년	[/SS+문학예술/NNG+]/SS+110/SN+년/NNB
# id : NWRW1800000037.130.6.2
음악가 구스타프 말러, 아널드 쇤베르크, 화가 구스타프 클림트, 에곤 실레, 건축가 오토 바그너, 요제프 호프만, 아돌프 로스, 문인 카를 크라우스, 후고 폰 호프만슈탈, 아르투어 슈니츨러, 정신분석의 창시자 지크문트 프로이트, 철학자 루트비히 비트겐슈타인….

음악가	음악가/NNG
구스타프	구스타프/NNP
말러,	말러/NNP+,/SP
아널드	아널드/NNP
쇤베르크,	쇤베르크/NNP+,/SP
화가	화가/NNG
클림트,	클림트/NNP+,/SP
에곤	에곤/NNP
실레,	실레/NNP+,/SP
건축가	건축가/NNG
오토	오토/NNP
바그너,	바그너/NNP+,/SP
요제프	요제프/NNP
호프만,	호프만/NNP+,/SP
아돌프	아돌프/NNP
로스,	로스/NNP+,/SP
문인	문인/NNG
카를	카를/NNP
크라우스,	크라우스/NNP+,/SP
후고	후고/NNP
폰	폰/NNP
호프만슈탈,	호프만슈탈/NNP+,/SP
아르투어	아르투어/NNP
슈니츨러,	슈니츨러/NNP+,/SP
정신분석의	정신/NNG+분석/NNG+의/JKG
창시자	창시자/NNG
지크문트	지크문트/NNP
프로이트,	프로이트/NNP+,/SP
철학자	철학자/NNG
루트비히	루트비히/NNP
비트겐슈타인….	비트겐슈타인/NNP+…/SE+./SF


# id : NWRW1800000037.130.7.1
세기 전환기의 오스트리아 예술계에서 중요한 이정표가 된 것은 1897년 클림트를 회장으로 한 ‘분리파’의 결성이었다.

세기	세기/NNG
전환기의	전환기/NNG+의/JKG
오스트리아	오스트리아/NNP
예술계에서	예술/NNG+계/XSN+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
이정표가	이정표/NNG+가/JKC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
1897년	1897/SN+년/NNB
클림트를	클림트/NNP+를/JKO
회장으로	회장/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘분리파’의	‘/SS+분리파/NNG+’/SS+의/JKG
결성이었다.	결성/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.130.7.2
보수적인 기존 예술가 집단에서 분리해 나와 자유로운 표현을 추구했던 이 모임의 성격은 분리파 기관지인 ‘성스러운 봄’의 1898년 창간호 글귀에서 분명히 드러난다.

보수적인	보수/NNG+적/XSN+이/VCP+ㄴ/ETM
기존	기존/NNG
예술가	예술가/NNG
집단에서	집단/NNG+에서/JKB
분리해	분리/NNG+하/XSV+아/EC
나와	나오/VV+아/EC
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
표현을	표현/NNG+을/JKO
추구했던	추구/NNG+하/XSV+았/EP+던/ETM
이	이/MMD
모임의	모임/NNG+의/JKG
성격은	성격/NNG+은/JX
분리파	분리파/NNG
기관지인	기관지/NNG+이/VCP+ㄴ/ETM
‘성스러운	‘/SS+성/NNG+스럽/XSA+ㄴ/ETM
봄’의	봄/NNG+’/SS+의/JKG
1898년	1898/SN+년/NNB
창간호	창간호/NNG
글귀에서	글귀/NNG+에서/JKB
분명히	분명히/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.130.7.3
“채색화와 데생을 통해 자기 영혼을 드러내기를 바라는 사람은 누구나 자동으로 협회의 일원이다.”

“채색화와	“/SS+채색화/NNG+와/JC
데생을	데생/NNG+을/JKO
통해	통하/VV+아/EC
자기	자기/NNG
영혼을	영혼/NNG+을/JKO
드러내기를	드러내/VV+기/ETN+를/JKO
바라는	바라/VV+는/ETM
사람은	사람/NNG+은/JX
누구나	누구/NP+나/JX
자동으로	자동/NNG+으로/JKB
협회의	협회/NNG+의/JKG
일원이다.”	일원/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000037.130.7.4
당시 빈에 꽃피운 화려한 예술세계를 단적으로 드러내는 것이 1908년 빈 예술전람회에 선보여 극찬을 받은 클림트의 작품 ‘키스’다.

당시	당시/NNG
빈에	빈/NNP+에/JKB
꽃피운	꽃피우/VV+ㄴ/ETM
화려한	화려하/VA+ㄴ/ETM
예술세계를	예술/NNG+세계/NNG+를/JKO
단적으로	단적/NNG+으로/JKB
드러내는	드러내/VV+는/ETM
것이	것/NNB+이/JKS
1908년	1908/SN+년/NNB
빈	빈/NNP
예술전람회에	예술/NNG+전람회/NNG+에/JKB
선보여	선보이/VV+어/EC
극찬을	극찬/NNG+을/JKO
받은	받/VV+은/ETM
클림트의	클림트/NNP+의/JKG
작품	작품/NNG
‘키스’다.	‘/SS+키스/NNP+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.130.8.1
저자들은 ‘빈의 황금기’에 활동한 예술가들을 조명하고 그들의 교류상을 보여 주는 데서 나아가 당시 사회상을 극장과 카바레, 카페, 문학, 음악, 정신분석학, 철학과 과학으로 나누어 설명한다.

저자들은	저자/NNG+들/XSN+은/JX
‘빈의	‘/SS+빈/NNP+의/JKG
황금기’에	황금기/NNG+’/SS+에/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
예술가들을	예술가/NNG+들/XSN+을/JKO
조명하고	조명/NNG+하/XSV+고/EC
그들의	그/NP+들/XSN+의/JKG
교류상을	교류/NNG+상/NNG+을/JKO
보여	보이/VV+어/EC
주는	주/VX+는/ETM
데서	데/NNB+서/JKB
나아가	나아가/VV+아/EC
당시	당시/NNG
사회상을	사회상/NNG+을/JKO
극장과	극장/NNG+과/JC
카바레,	카바레/NNG+,/SP
카페,	카페/NNG+,/SP
문학,	문학/NNG+,/SP
음악,	음악/NNG+,/SP
정신분석학,	정신/NNG+분석학/NNG+,/SP
철학과	철학/NNG+과/JC
과학으로	과학/NNG+으로/JKB
나누어	나누/VV+어/EC
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.130.8.2
특히 1900년 빈 구석구석을 차지한 600여 개의 카페는 새로운 양식의 미술 음악 건축 문학이 태동하고 정치와 과학이 논의되는 공간이었다.

특히	특히/MAG
1900년	1900/SN+년/NNB
빈	빈/NNP
구석구석을	구석구석/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
600여	600/SN+여/XSN
개의	개/NNB+의/JKG
카페는	카페/NNG+는/JX
새로운	새롭/VA+ㄴ/ETM
양식의	양식/NNG+의/JKG
미술	미술/NNG
음악	음악/NNG
건축	건축/NNG
문학이	문학/NNG+이/JKS
태동하고	태동/NNG+하/XSV+고/EC
정치와	정치/NNG+와/JC
과학이	과학/NNG+이/JKS
논의되는	논의/NNG+되/XSV+는/ETM
공간이었다.	공간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.130.8.3
그중 이름을 떨친 카페 첸트랄의 손님 명단은 페터 알텐베르크부터 슈테판 츠바이크까지 온갖 문학운동 세력을 망라한 빈 문학계의 안내서와도 같았다.

그중	그중/NNG
이름을	이름/NNG+을/JKO
떨친	떨치/VV+ㄴ/ETM
카페	카페/NNG
첸트랄의	첸트랄/NNP+의/JKG
손님	손/NNG+님/XSN
명단은	명단/NNG+은/JX
페터	페터/NNP
알텐베르크부터	알텐베르크/NNP+부터/JX
슈테판	슈테판/NNP
츠바이크까지	츠바이크/NNP+까지/JX
온갖	온갖/MMN
문학운동	문학/NNG+운동/NNG
세력을	세력/NNG+을/JKO
망라한	망라/NNG+하/XSV+ㄴ/ETM
빈	빈/NNP
문학계의	문학/NNG+계/XSN+의/JKG
안내서와도	안내서/NNG+와/JKB+도/JX
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.130.8.4
알텐베르크는 카페 첸트랄을 본인의 주소로 사용할 정도였다.

알텐베르크는	알텐베르크/NNP+는/JX
카페	카페/NNG
첸트랄을	첸트랄/NNP+을/JKO
본인의	본인/NNG+의/JKG
주소로	주소/NNG+로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.130.9.1
이 책은 결코 만만한 문화개론서나 가이드북이 아니다.

이	이/MMD
책은	책/NNG+은/JX
결코	결코/MAG
만만한	만만하/VA+ㄴ/ETM
문화개론서나	문화/NNG+개론서/NNG+나/JC
가이드북이	가이드북/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.130.9.2
당시 유럽의 문화 전반에 대한 배경지식이 있어야 이를 총체적으로 직조해 놓은 저자들의 분석을 따라갈 수 있다.

당시	당시/NNG
유럽의	유럽/NNP+의/JKG
문화	문화/NNG
전반에	전반/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
배경지식이	배경지식/NNG+이/JKS
있어야	있/VA+어야/EC
이를	이/NP+를/JKO
총체적으로	총체/NNG+적/XSN+으로/JKB
직조해	직조/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
저자들의	저자/NNG+들/XSN+의/JKG
분석을	분석/NNG+을/JKO
따라갈	따라가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.130.9.3
컬러 도판 700여 점이 실려 있어 110여 년 전 빈으로의 시간여행이 더욱 생생하다.

컬러	컬러/NNG
도판	도판/NNG
700여	700/SN+여/XSN
점이	점/NNB+이/JKS
실려	실리/VV+어/EC
있어	있/VX+어/EC
110여	110/SN+여/XSN
년	년/NNB
전	전/NNG
빈으로의	빈/NNP+으로/JKB+의/JKG
시간여행이	시간/NNG+여행/NNG+이/JKS
더욱	더욱/MAG
생생하다.	생생하/VA+다/EF+./SF


