# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.4
metadata : {}


# id : NWRW1800000032.4.1.1
빚내서 주식투자 ‘위험수위’

빚내서	빚내/VV+어서/EC
사상	사상/NNG
최고치에	최고/NNG+치/XSN+에/JKB
근접한	근접/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000032.4.5.2
이날 코스피 지수는 외국인이 4일 만에 매수로 돌아서면서 4.51(0.22%) 오른 2086.67로 장을 마쳤으나 외국인의 순매수 규모는 706억원에 불과했다.

이날	이날/NNG
코스피	코스피/NNP
지수는	지수/NNG+는/JX
외국인이	외국인/NNG+이/JKS
4일	4/SN+일/NNB
만에	만/NNB+에/JKB
매수로	매수/NNG+로/JKB
돌아서면서	돌아서/VV+면서/EC
4.51(0.22%)	4/SN+./SP+51/SN+(/SS+0/SN+./SP+22/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
2086.67로	2086/SN+./SP+67/SN+로/JKB
장을	장/NNG+을/JKO
마쳤으나	마치/VV+었/EP+으나/EC
외국인의	외국인/NNG+의/JKG
순매수	순/MMA+매수/NNG
규모는	규모/NNG+는/JX
706억원에	706/SN+억/NR+원/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000032.4.6.1
그러나 전문가들은 신용융자 잔고만으로 2007년과 단순 비교하기는 어렵다는 분석을 내놓고 있다.

그러나	그러나/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
신용융자	신용/NNG+융자/NNG
잔고만으로	잔고/NNG+만/JX+으로/JKB
2007년과	2007/SN+년/NNB+과/JKB
단순	단순/NNG
비교하기는	비교/NNG+하/XSV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
분석을	분석/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.4.6.2
일반적으로 시가총액이 늘어나면 신용융자 잔고도 늘어나므로 시가총액·고객예탁금 등과 비교해봐야 한다는 것이다.

일반적으로	일반/NNG+적/XSN+으로/JKB
시가총액이	시가/NNG+총액/NNG+이/JKS
늘어나면	늘어나/VV+면/EC
신용융자	신용/NNG+융자/NNG
잔고도	잔고/NNG+도/JX
늘어나므로	늘어나/VV+므로/EC
시가총액·고객예탁금	시가/NNG+총액/NNG+·/SP+고객/NNG+예탁금/NNG
등과	등/NNB+과/JKB
비교해봐야	비교/NNG+하/XSV+아/EC+보/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.4.6.3
시가총액은 당시보다 커졌으며 고객예탁금은 당시와 비슷한 수준이다.

시가총액은	시가/NNG+총액/NNG+은/JX
당시보다	당시/NNG+보다/JKB
커졌으며	커지/VV+었/EP+으며/EC
고객예탁금은	고객/NNG+예탁금/NNG+은/JX
당시와	당시/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.4.6.4
신용 잔고율(상장주식 수 대비 현재 신용으로 매수한 주식의 비율)도 2007년 6월 말 1.65%에 비해 24일 현재 1.11%로 비중이 낮은 편이다.

신용	신용/NNG
잔고율(상장주식	잔고/NNG+율/XSN+(/SS+상장/NNG+주식/NNG
수	수/NNG
대비	대비/NNG
현재	현재/MAG
신용으로	신용/NNG+으로/JKB
매수한	매수/NNG+하/XSV+ㄴ/ETM
주식의	주식/NNG+의/JKG
비율)도	비율/NNG+)/SS+도/JX
2007년	2007/SN+년/NNB
6월	6/SN+월/NNB
말	말/NNB
1.65%에	1/SN+./SP+65/SN+%/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
24일	24/SN+일/NNB
1.11%로	1/SN+./SP+11/SN+%/SW+로/JKB
비중이	비중/NNG+이/JKS
낮은	낮/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.4.6.5
김주형 동양종금증권 투자전략팀장은 “현재 신용융자 수준은 예전처럼 과열 수준은 아니지만 평균은 넘었다고 볼 수 있다”며 “수급상으로 주가에 큰 변동을 일으킬 만한 요인은 아니지만 신용융자 잔고가 사상최고치에 육박하고 있으므로 냉정한 판단이 필요하다”고 말했다.

김주형	김주형/NNP
동양종금증권	동양종금증권/NNP
투자전략팀장은	투자/NNG+전략/NNG+팀장/NNG+은/JX
“현재	“/SS+현재/MAG
신용융자	신용/NNG+융자/NNG
수준은	수준/NNG+은/JX
예전처럼	예전/NNG+처럼/JKB
과열	과열/NNG
아니지만	아니/VCN+지만/EC
평균은	평균/NNG+은/JX
넘었다고	넘/VV+었/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“수급상으로	“/SS+수급/NNG+상/XSN+으로/JKB
주가에	주가/NNG+에/JKB
큰	크/VA+ㄴ/ETM
변동을	변동/NNG+을/JKO
일으킬	일으키/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
요인은	요인/NNG+은/JX
잔고가	잔고/NNG+가/JKS
사상최고치에	사상/NNG+최고/NNG+치/XSN+에/JKB
육박하고	육박/NNG+하/XSV+고/EC
있으므로	있/VX+으므로/EC
냉정한	냉정/NNG+하/XSA+ㄴ/ETM
판단이	판단/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


