# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.193
metadata : {}


# id : NWRW1800000056.193.1.1
홍준표, 18일 대구 서문시장서 대선 출마 선언

홍준표,	홍준표/NNP+,/SP
출마선언	출마/NNG+선언/NNG
장소로	장소/NNG+로/JKB
정했다”고	정하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.193.5.3
홍 지사는 대구에서 초등학교 2·3학년, 중학교(영남중), 고등학교(영남고)를 다녔다.

홍	홍/NNP
지사는	지사/NNG+는/JX
대구에서	대구/NNP+에서/JKB
초등학교	초등학교/NNG
2·3학년,	2/SN+·/SP+3/SN+학년/NNG+,/SP
중학교(영남중),	중학교/NNG+(/SS+영남중/NNP+)/SS+,/SP
고등학교(영남고)를	고등학교/NNG+(/SS+영남고/NNP+)/SS+를/JKO
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.193.5.4
따라서 자신의 마음의 고향이자, 보수진영의 중심지인 대구를 대선 출마의 출발지로 삼은 것으로 보인다.

따라서	따라서/MAJ
자신의	자신/NNG+의/JKG
마음의	마음/NNG+의/JKG
고향이자,	고향/NNG+이/VCP+자/EC+,/SP
보수진영의	보수/NNG+진영/NNG+의/JKG
중심지인	중심지/NNG+이/VCP+ㄴ/ETM
대구를	대구/NNP+를/JKO
대선	대선/NNG
출마의	출마/NNG+의/JKG
출발지로	출발지/NNG+로/JKB
삼은	삼/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.193.6.1
앞서 지난 13일 홍 지사는 경남도 출입기자단과 기자간담회를 열어 “상가집 상주가 될 생각은 없다.

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
홍	홍/NNP
지사는	지사/NNG+는/JX
경남도	경남도/NNP
출입기자단과	출입/NNG+기자단/NNG+과/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“상가집	“/SS+상가집/NNG
상주가	상주/NNG+가/JKS
될	되/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.193.6.2
정권을 가져올 수 있겠다는 자신이 서면 좌고우면하지 않고 용맹하게 앞장서 나갈 것”이라고 밝힌 바 있다.

정권을	정권/NNG+을/JKO
가져올	가져오/VV+ㄹ/ETM
수	수/NNB
있겠다는	있/VA+겠/EP+다는/ETM
자신이	자신/NNG+이/JKS
서면	서/VV+면/EC
좌고우면하지	좌고우면/NNG+하/XSV+지/EC
않고	않/VX+고/EC
용맹하게	용맹/NNG+하/XSA+게/EC
앞장서	앞장서/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


