# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.266
metadata : {}


# id : NWRW1800000040.266.1.1
한전, 태풍 북상중인데도 밀양 송전탑 공사 강행

한전,	한전/NNP+,/SP
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.6.1
송전탑 건설을 반대하는 주민들은 경찰이 지키는 송전탑 공사 현장 앞에 10~50여명씩 모여 “송전탑 공사 중단” 등의 구호를 외치며 농성을 이어갔다.

송전탑	송전탑/NNG
건설을	건설/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
주민들은	주민/NNG+들/XSN+은/JX
경찰이	경찰/NNG+이/JKS
지키는	지키/VV+는/ETM
공사	공사/NNG
현장	현장/NNG
앞에	앞/NNG+에/JKB
10~50여명씩	10/SN+~/SO+50/SN+여/XSN+명/NNB+씩/XSN
모여	모이/VV+어/EC
“송전탑	“/SS+송전탑/NNG
중단”	중단/NNG+”/SS
등의	등/NNB+의/JKG
구호를	구호/NNG+를/JKO
외치며	외치/VV+며/EC
농성을	농성/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.266.6.2
주민들은 이날 ‘밀양 765㎸ 송전탑 반대대책위원회’가 마련한 저녁식사를 함께 하며 송전탑 공사 재개 일주일째에 접어들며 지친 몸을 가누고 서로 격려했다.

주민들은	주민/NNG+들/XSN+은/JX
이날	이날/NNG
‘밀양	‘/SS+밀양/NNP
765㎸	765/SN+㎸/SW
송전탑	송전탑/NNG
반대대책위원회’가	반대/NNG+대책/NNG+위원회/NNG+’/SS+가/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
저녁식사를	저녁/NNG+식사/NNG+를/JKO
함께	함께/MAG
하며	하/VV+며/EC
공사	공사/NNG
재개	재개/NNG
일주일째에	일주일/NNG+째/XSN+에/JKB
접어들며	접어들/VV+며/EC
지친	지치/VV+ㄴ/ETM
몸을	몸/NNG+을/JKO
가누고	가누/VV+고/EC
서로	서로/MAG
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.6.3
주민 8명은 강풍에 무너질지 모르는 천막에서 나와 몸을 비닐로 감싸 비를 피하며 농성장을 지키다 저녁 8시30분께 대책위의 설득으로 내려왔다.

주민	주민/NNG
8명은	8/SN+명/NNB+은/JX
강풍에	강풍/NNG+에/JKB
무너질지	무너지/VV+ㄹ지/EF
모르는	모르/VV+는/ETM
천막에서	천막/NNG+에서/JKB
나와	나오/VV+아/EC
몸을	몸/NNG+을/JKO
비닐로	비닐/NNG+로/JKB
감싸	감싸/VV+아/EC
비를	비/NNG+를/JKO
피하며	피하/VV+며/EC
농성장을	농성장/NNG+을/JKO
지키다	지키/VV+다/EC
저녁	저녁/NNG
8시30분께	8/SN+시/NNB+30/SN+분/NNB+께/XSN
대책위의	대책위/NNG+의/JKG
설득으로	설득/NNG+으로/JKB
내려왔다.	내려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.7.1
천주교 정의구현 전국사제단과 수녀들은 전날에 이어 이날 오전엔 부북면 평밭마을 129번 송전탑 건설 현장 앞에서 ‘일방적인 송전탑 공사의 중단과 평화적인 해결’을 염원하는 미사를 드렸다.

천주교	천주교/NNG
정의구현	정의/NNG+구현/NNG
전국사제단과	전국/NNG+사제단/NNG+과/JC
수녀들은	수녀/NNG+들/XSN+은/JX
전날에	전날/NNG+에/JKB
이어	잇/VV+어/EC
이날	이날/NNG
오전엔	오전/NNG+에/JKB+ㄴ/JX
부북면	부북면/NNP
평밭마을	평밭마을/NNP
129번	129/SN+번/NNB
송전탑	송전탑/NNG
건설	건설/NNG
현장	현장/NNG
앞에서	앞/NNG+에서/JKB
‘일방적인	‘/SS+일방/NNG+적/XSN+이/VCP+ㄴ/ETM
공사의	공사/NNG+의/JKG
중단과	중단/NNG+과/JC
평화적인	평화/NNG+적/XSN+이/VCP+ㄴ/ETM
해결’을	해결/NNG+’/SS+을/JKO
염원하는	염원/NNG+하/XSV+는/ETM
미사를	미사/NNG+를/JKO
드렸다.	드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.266.7.2
인권단체 국제앰네스티의 한국지부 조사원 3명은 농성 주민들을 만나 공권력에 인권 침해를 당했는지 조사를 벌였다.

인권단체	인권/NNG+단체/NNG
국제앰네스티의	국제앰네스티/NNP+의/JKG
한국지부	한국/NNP+지부/NNG
조사원	조사원/NNG
3명은	3/SN+명/NNB+은/JX
농성	농성/NNG
주민들을	주민/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
공권력에	공권력/NNG+에/JKB
인권	인권/NNG
침해를	침해/NNG+를/JKO
당했는지	당하/VV+았/EP+는지/EC
조사를	조사/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.266.8.1
홍준표 경남지사는 경남도민, 밀양시민에게 보내는 글에서 “생존의 문제를 이념투쟁의 수단으로 변질시키는 사람들이 어르신들에게 쇠사슬을 채우고 구덩이로 밀어넣고 있다.

홍준표	홍준표/NNP
경남지사는	경남/NNP+지사/NNG+는/JX
경남도민,	경남/NNP+도민/NNG+,/SP
밀양시민에게	밀양/NNP+시민/NNG+에게/JKB
보내는	보내/VV+는/ETM
글에서	글/NNG+에서/JKB
“생존의	“/SS+생존/NNG+의/JKG
문제를	문제/NNG+를/JKO
이념투쟁의	이념/NNG+투쟁/NNG+의/JKG
수단으로	수단/NNG+으로/JKB
변질시키는	변질/NNG+시키/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
어르신들에게	어르신/NNG+들/XSN+에게/JKB
쇠사슬을	쇠사슬/NNG+을/JKO
채우고	채우/VV+고/EC
구덩이로	구덩이/NNG+로/JKB
밀어넣고	밀/VV+어/EC+넣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.266.8.2
밀양과 아무런 관계도 없는 사람들이 밀양의 생존권을 위협하고 있다.

밀양과	밀양/NNP+과/JKB
아무런	아무런/MMD
관계도	관계/NNG+도/JX
없는	없/VA+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
밀양의	밀양/NNP+의/JKG
생존권을	생존/NNG+권/XSN+을/JKO
위협하고	위협/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.266.8.3
외부세력은 지금 당장 추방돼야 한다”고 주장했다.

외부세력은	외부/NNG+세력/NNG+은/JX
지금	지금/MAG
당장	당장/NNG
추방돼야	추방/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.9.1
밀양 송전탑 반대대책위 쪽은 “홍 지사는 지난해 12월 도지사 선거 땐 ‘밀양 송전탑 문제 중재에 나설 용의가 있다’고 밝혔지만 지금까지 중재 노력을 하지 않았고 송전탑 경유지를 찾아가 피해 주민들과 대화를 한 적도 없다.

밀양	밀양/NNP
송전탑	송전탑/NNG
반대대책위	반대/NNG+대책위/NNG
쪽은	쪽/NNB+은/JX
“홍	“/SS+홍/NNP
지사는	지사/NNG+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
도지사	도지사/NNG
선거	선거/NNG
땐	때/NNG+ㄴ/JX
‘밀양	‘/SS+밀양/NNP
문제	문제/NNG
중재에	중재/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다’고	있/VA+다/EF+’/SS+고/JKQ
밝혔지만	밝히/VV+었/EP+지만/EC
지금까지	지금/NNG+까지/JX
중재	중재/NNG
노력을	노력/NNG+을/JKO
하지	하/VV+지/EC
않았고	않/VX+았/EP+고/EC
경유지를	경유지/NNG+를/JKO
찾아가	찾아가/VV+아/EC
피해	피해/NNG
주민들과	주민/NNG+들/XSN+과/JKB
대화를	대화/NNG+를/JKO
한	하/VV+ㄴ/ETM
적도	적/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.266.9.2
밀양 송전탑 갈등이 공사 강행으로 치달은 지금 무슨 자격으로 외부세력 운운하는지 알 수 없다”고 반박했다.

밀양	밀양/NNP
송전탑	송전탑/NNG
갈등이	갈등/NNG+이/JKS
공사	공사/NNG
강행으로	강행/NNG+으로/JKB
치달은	치닫/VV+은/ETM
지금	지금/MAG
무슨	무슨/MMD
자격으로	자격/NNG+으로/JKB
외부세력	외부/NNG+세력/NNG
운운하는지	운운/NNG+하/XSV+는지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.10.1
한편 창원지법 밀양지원 민사부(재판장 백태균 지원장)는 이날 한전이 주민과 대책위 관계자 등 25명을 상대로 낸 공사방해금지 가처분 신청에서 ‘송전탑 공사는 공익사업이며 완공하지 못할 경우 전력 수급에 차질이 우려된다’며 한전의 손을 들어줬다.

한편	한편/MAG
창원지법	창원지법/NNP
밀양지원	밀양/NNP+지원/NNG
민사부(재판장	민사부/NNG+(/SS+재판장/NNG
백태균	백태균/NNP
지원장)는	지원장/NNG+)/SS+는/JX
이날	이날/NNG
한전이	한전/NNP+이/JKS
주민과	주민/NNG+과/JC
대책위	대책위/NNG
관계자	관계자/NNG
등	등/NNB
25명을	25/SN+명/NNB+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
공사방해금지	공사/NNG+방해/NNG+금지/NNG
가처분	가/XPN+처분/NNG
신청에서	신청/NNG+에서/JKB
‘송전탑	‘/SS+송전탑/NNG
공사는	공사/NNG+는/JX
공익사업이며	공익사업/NNG+이/VCP+며/EC
완공하지	완공/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
전력	전력/NNG
수급에	수급/NNG+에/JKB
차질이	차질/NNG+이/JKS
우려된다’며	우려/NNG+되/XSV+ㄴ다/EF+’/SS+며/EC
한전의	한전/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.266.10.2
하지만 재판부는 공사를 방해한 주민에게 1인당 하루 100만원씩 청구하겠다는 한전의 간접강제금 신청은 기각했다.

하지만	하지만/MAJ
재판부는	재판부/NNG+는/JX
공사를	공사/NNG+를/JKO
방해한	방해/NNG+하/XSV+ㄴ/ETM
주민에게	주민/NNG+에게/JKB
1인당	1/SN+인/NNG+당/XSN
하루	하루/NNG
100만원씩	100/SN+만/NR+원/NNB+씩/XSN
청구하겠다는	청구/NNG+하/XSV+겠/EP+다는/ETM
한전의	한전/NNP+의/JKG
간접강제금	간접/NNG+강제금/NNG
신청은	신청/NNG+은/JX
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.10.3
대책위는 “법원의 결정에도 반대 활동을 포기할 수 없다”고 밝혔다.

대책위는	대책위/NNG+는/JX
“법원의	“/SS+법원/NNG+의/JKG
결정에도	결정/NNG+에/JKB+도/JX
반대	반대/NNG
활동을	활동/NNG+을/JKO
포기할	포기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


