# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.324
metadata : {}


# id : NWRW1800000049.324.1.1
[산업 대개조/이제는실행이다]“조선 빅3, 추가 감원 등 고강도 자구책 내라”

[산업	[/SS+산업/NNG
‘제3차	‘/SS+제/XPN+3/SN+차/NNB
경쟁력	경쟁력/NNG
강화	강화/NNG
및	및/MAG
구조조정협의체’	구조/NNG+조정/NNG+협의체/NNG+’/SS
회의를	회의/NNG+를/JKO
열고	열/VV+고/EC
이	이/NP
같은	같/VA+은/ETM
계획을	계획/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.5.1
정부는 기존의 5대 취약 업종(조선, 해운, 건설, 철강, 석유화학) 중 78조 원의 빚더미에 눌린 조선과 해운업을 수술이 시급한 ‘경기민감업종’으로 지정해 집중 관리하기로 했다.

정부는	정부/NNG+는/JX
기존의	기존/NNG+의/JKG
5대	5/SN+대/NNG
취약	취약/NNG
업종(조선,	업종/NNG+(/SS+조선/NNG+,/SP
해운,	해운/NNG+,/SP
건설,	건설/NNG+,/SP
철강,	철강/NNG+,/SP
석유화학)	석유/NNG+화학/NNG+)/SS
중	중/NNB
78조	78/SN+조/NR
원의	원/NNB+의/JKG
빚더미에	빚더미/NNG+에/JKB
눌린	눌리/VV+ㄴ/ETM
조선과	조선/NNG+과/JC
해운업을	해운업/NNG+을/JKO
수술이	수술/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
‘경기민감업종’으로	‘/SS+경기/NNG+민감/NNG+업종/NNG+’/SS+으로/JKB
지정해	지정/NNG+하/XSV+아/EC
집중	집중/NNG
관리하기로	관리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.5.2
이에 따라 대형 조선사들은 감원, 임금 삭감 등의 고강도 자구 계획을 추가로 이행해야 한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
대형	대형/NNG
조선사들은	조선사/NNG+들/XSN+은/JX
감원,	감원/NNG+,/SP
임금	임금/NNG
삭감	삭감/NNG
등의	등/NNB+의/JKG
고강도	고/XPN+강도/NNG
자구	자구/NNG
계획을	계획/NNG+을/JKO
추가로	추가/NNG+로/JKB
이행해야	이행/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.324.5.3
정부는 현대상선과 해외 선주들 간의 용선료 인하 협상 시한을 다음 달 20일로 잡고 구조조정 속도를 높이기로 했다.

정부는	정부/NNG+는/JX
현대상선과	현대상선/NNP+과/JC
해외	해외/NNG
선주들	선주/NNG+들/XSN
간의	간/NNB+의/JKG
용선료	용선료/NNG
인하	인하/NNG
협상	협상/NNG
시한을	시한/NNG+을/JKO
다음	다음/NNG
달	달/NNG
20일로	20/SN+일/NNB+로/JKB
잡고	잡/VV+고/EC
구조조정	구조/NNG+조정/NNG
속도를	속도/NNG+를/JKO
높이기로	높이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.5.4
시한까지 협상 성과가 없으면 현대상선은 법정관리에 들어간다.

시한까지	시한/NNG+까지/JX
협상	협상/NNG
성과가	성과/NNG+가/JKS
없으면	없/VA+으면/EC
현대상선은	현대상선/NNP+은/JX
법정관리에	법정/NNG+관리/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.324.6.1
다만 정부는 양대 선사의 강제 합병이나 조선 3사의 ‘빅딜’은 추진하지 않기로 했다.

다만	다만/MAG
정부는	정부/NNG+는/JX
양대	양대/MMA
선사의	선사/NNG+의/JKG
강제	강제/NNG
합병이나	합병/NNG+이나/JC
조선	조선/NNG
3사의	3사/NNG+의/JKG
‘빅딜’은	‘/SS+빅딜/NNG+’/SS+은/JX
추진하지	추진/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.6.2
임 위원장은 “소유주가 있는 기업의 합병 및 사업부문 통폐합을 민간 자율이 아닌 정부 주도로 추진하는 것은 가능하지도, 바람직하지도 않다”고 말했다.

임	임/NNP
위원장은	위원장/NNG+은/JX
“소유주가	“/SS+소유주/NNG+가/JKS
있는	있/VA+는/ETM
기업의	기업/NNG+의/JKG
합병	합병/NNG
및	및/MAG
사업부문	사업/NNG+부문/NNG
통폐합을	통폐합/NNG+을/JKO
민간	민간/NNG
자율이	자율/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
정부	정부/NNG
주도로	주도/NNG+로/JKB
추진하는	추진/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
가능하지도,	가능/NNG+하/XSA+지/EC+도/JX+,/SP
바람직하지도	바람직하/VA+지/EC+도/JX
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.7.1
상대적으로 사정이 괜찮은 철강과 석유화학은 ‘공급과잉업종’으로 지정됐다.

상대적으로	상대/NNG+적/XSN+으로/JKB
사정이	사정/NNG+이/JKS
괜찮은	괜찮/VA+은/ETM
철강과	철강/NNG+과/JC
석유화학은	석유/NNG+화학/NNG+은/JX
‘공급과잉업종’으로	‘/SS+공급/NNG+과잉/NNG+업종/NNG+’/SS+으로/JKB
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.324.7.2
8월 시행될 기업활력제고법(원샷법)에 따라 업계가 자발적으로 인수합병(M&A), 설비 감축 등을 추진하면 정부가 이를 지원하기로 했다.

8월	8/SN+월/NNB
시행될	시행/NNG+되/XSV+ㄹ/ETM
기업활력제고법(원샷법)에	기업/NNG+활력/NNG+제고/NNG+법/NNG+(/SS+원샷법/NNG+)/SS+에/JKB
따라	따르/VV+아/EC
업계가	업계/NNG+가/JKS
자발적으로	자발/NNG+적/XSN+으로/JKB
인수합병(M&A),	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+,/SP
설비	설비/NNG
감축	감축/NNG
등을	등/NNB+을/JKO
추진하면	추진/NNG+하/XSV+면/EC
정부가	정부/NNG+가/JKS
이를	이/NP+를/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.8.1
정부는 또 기획재정부와 한국은행의 출자를 통해 구조조정을 주도하는 산업은행과 수출입은행의 자본을 확충하기로 했다.

정부는	정부/NNG+는/JX
또	또/MAG
기획재정부와	기획/NNG+재정부/NNG+와/JC
한국은행의	한국은행/NNP+의/JKG
출자를	출자/NNG+를/JKO
통해	통하/VV+아/EC
구조조정을	구조/NNG+조정/NNG+을/JKO
주도하는	주도/NNG+하/XSV+는/ETM
산업은행과	산업은행/NNP+과/JC
수출입은행의	수출입은행/NNP+의/JKG
자본을	자본/NNG+을/JKO
확충하기로	확충/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.8.2
구조조정 과정에서 대량 실업이 우려되는 업종을 ‘특별고용지원업종’으로 지정하는 등 고용 대책도 마련된다.

구조조정	구조/NNG+조정/NNG
과정에서	과정/NNG+에서/JKB
대량	대량/NNG
실업이	실업/NNG+이/JKS
우려되는	우려/NNG+되/XSV+는/ETM
업종을	업종/NNG+을/JKO
‘특별고용지원업종’으로	‘/SS+특별/NNG+고용/NNG+지원/NNG+업종/NNG+’/SS+으로/JKB
지정하는	지정/NNG+하/XSV+는/ETM
등	등/NNB
고용	고용/NNG
대책도	대책/NNG+도/JX
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.324.8.3
임 위원장은 “사즉생(死則生)의 각오로 신속하게 구조조정을 추진하겠다”고 말했다.

임	임/NNP
위원장은	위원장/NNG+은/JX
“사즉생(死則生)의	“/SS+사즉생/NNG+(/SS+死則生/SH+)/SS+의/JKG
각오로	각오/NNG+로/JKB
신속하게	신속/NNG+하/XSA+게/EC
구조조정을	구조/NNG+조정/NNG+을/JKO
추진하겠다”고	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


