# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.92
metadata : {}


# id : NWRW1800000056.92.1.1
“우린 탁구뿐 아니라 문화와 인생도 공유했다”

“우린	“/SS+우리/NP+ㄴ/JX
베이징을	베이징/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
대표단으로	대표단/NNG+으로/JKB
기록됐다.	기록/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.92.8.1
미국 대표팀이었던 코니 스위리스는 당시를 돌이켜, “그때 중국에 대해 아는 것이 아무것도 없었기 때문에 굉장히 흥분해 있었다.

미국	미국/NNP
대표팀이었던	대표/NNG+팀/NNG+이/VCP+었/EP+던/ETM
코니	코니/NNP
스위리스는	스위리스/NNP+는/JX
당시를	당시/NNG+를/JKO
돌이켜,	돌이키/VV+어/EC+,/SP
“그때	“/SS+그때/NNG
중국에	중국/NNP+에/JKB
대해	대하/VV+아/EC
아는	알/VV+는/ETM
것이	것/NNB+이/JKS
아무것도	아무것/NNG+도/JX
없었기	없/VA+었/EP+기/ETN
때문에	때문/NNB+에/JKB
굉장히	굉장히/MAG
흥분해	흥분/NNG+하/XSV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.92.8.2
중국 선수들과 중국인들은 매우 우호적으로 우리를 환대했다”고 말했다.

중국	중국/NNP
선수들과	선수/NNG+들/XSN+과/JKB
중국인들은	중국인/NNG+들/XSN+은/JX
매우	매우/MAG
우호적으로	우호/NNG+적/XSN+으로/JKB
우리를	우리/NP+를/JKO
환대했다”고	환대/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.92.8.3
그의 남편 델 스위리스는 “우리는 탁구 경기를 공유했을 뿐 아니라 문화와 인생도 공유했다”고 말했다.

그의	그/NP+의/JKG
남편	남편/NNG
델	델/NNP
스위리스는	스위리스/NNP+는/JX
“우리는	“/SS+우리/NP+는/JX
탁구	탁구/NNG
경기를	경기/NNG+를/JKO
공유했을	공유/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
문화와	문화/NNG+와/JC
인생도	인생/NNG+도/JX
공유했다”고	공유/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.92.8.4
중국 대표팀이었던 량거량은 “오늘 이곳에 와서 오랜 친구들을 만나게 돼 너무나 흥분되고 즐겁다”며 “핑퐁 외교가 두 나라의 얼음을 깨지 않았다면, 중-미 사이에 지금 같은 규모의 교류와 소통은 없었을 것”이라고 말했다.

중국	중국/NNP
대표팀이었던	대표/NNG+팀/NNG+이/VCP+었/EP+던/ETM
량거량은	량거량/NNP+은/JX
“오늘	“/SS+오늘/MAG
이곳에	이곳/NP+에/JKB
와서	오/VV+아서/EC
오랜	오랜/MMA
친구들을	친구/NNG+들/XSN+을/JKO
만나게	만나/VV+게/EC
돼	되/VV+어/EC
너무나	너무나/MAG
흥분되고	흥분/NNG+되/XSV+고/EC
즐겁다”며	즐겁/VA+다/EF+”/SS+며/EC
“핑퐁	“/SS+핑퐁/NNG
외교가	외교/NNG+가/JKS
두	두/MMN
나라의	나라/NNG+의/JKG
얼음을	얼음/NNG+을/JKO
깨지	깨/VV+지/EC
않았다면,	않/VX+았/EP+다면/EC+,/SP
중-미	중/NNP+-/SO+미/NNP
사이에	사이/NNG+에/JKB
지금	지금/MAG
같은	같/VA+은/ETM
규모의	규모/NNG+의/JKG
교류와	교류/NNG+와/JC
소통은	소통/NNG+은/JX
없었을	없/VA+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.92.9.1
‘핑퐁 외교’의 수확은 컸다.

‘핑퐁	‘/SS+핑퐁/NNG
외교’의	외교/NNG+’/SS+의/JKG
수확은	수확/NNG+은/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.92.9.2
첫번째 ‘핑퐁 외교’ 두달 뒤 미국은 중국 제재를 해제했고, 1972년 2월 리처드 닉슨 미국 대통령이 중국을 방문해 수교 논의가 본격 시작됐다.

첫번째	첫/MMN+번/NNB+째/XSN
‘핑퐁	‘/SS+핑퐁/NNG
외교’	외교/NNG+’/SS
두달	두/MMN+달/NNB
뒤	뒤/NNG
미국은	미국/NNP+은/JX
중국	중국/NNP
제재를	제재/NNG+를/JKO
해제했고,	해제/NNG+하/XSV+았/EP+고/EC+,/SP
1972년	1972/SN+년/NNB
2월	2/SN+월/NNB
리처드	리처드/NNP
닉슨	닉슨/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
중국을	중국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
수교	수교/NNG
논의가	논의/NNG+가/JKS
본격	본격/NNG
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.92.9.3
같은 해 이번엔 중국 대표팀이 미국을 방문했고, 1979년 미국은 중국과 수교하면서 대만(중화민국)과 단교했다.

같은	같/VA+은/ETM
해	해/NNG
이번엔	이번/NNG+에/JKB+ㄴ/JX
중국	중국/NNP
대표팀이	대표/NNG+팀/NNG+이/JKS
미국을	미국/NNP+을/JKO
방문했고,	방문/NNG+하/XSV+았/EP+고/EC+,/SP
1979년	1979/SN+년/NNB
미국은	미국/NNP+은/JX
중국과	중국/NNP+과/JKB
수교하면서	수교/NNG+하/XSV+면서/EC
대만(중화민국)과	대만/NNP+(/SS+중화민국/NNP+)/SS+과/JKB
단교했다.	단교/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.92.10.1
올해 행사의 공동 주최 쪽인 쑹칭링기금회의 주석 자격으로 참석한 왕자루이 전국정치협상회의 부주석은 “중-미 관계는 지금도 여러가지 도전적 요소가 있지만, 45년 전 핑퐁 외교와 같은 문화적, 정치적, 경제적 교류를 앞으로 더 많이 이룩해서 상호 존중과 이익에 기반해 양국 관계가 발전하기를 바란다”고 말했다.

올해	올해/NNG
행사의	행사/NNG+의/JKG
공동	공동/NNG
주최	주최/NNG
쪽인	쪽/NNB+이/VCP+ㄴ/ETM
쑹칭링기금회의	쑹칭링기금회/NNP+의/JKG
주석	주석/NNG
자격으로	자격/NNG+으로/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
왕자루이	왕자루이/NNP
전국정치협상회의	전국/NNG+정치/NNG+협상/NNG+회의/NNG
부주석은	부주석/NNG+은/JX
“중-미	“/SS+중/NNP+-/SO+미/NNP
관계는	관계/NNG+는/JX
지금도	지금/NNG+도/JX
여러가지	여러/MMN+가지/NNB
도전적	도전/NNG+적/XSN
요소가	요소/NNG+가/JKS
있지만,	있/VA+지만/EC+,/SP
45년	45/SN+년/NNB
전	전/NNG
핑퐁	핑퐁/NNG
외교와	외교/NNG+와/JKB
같은	같/VA+은/ETM
문화적,	문화/NNG+적/XSN+,/SP
정치적,	정치/NNG+적/XSN+,/SP
경제적	경제/NNG+적/XSN
교류를	교류/NNG+를/JKO
앞으로	앞/NNG+으로/JKB
더	더/MAG
많이	많이/MAG
이룩해서	이룩하/VV+아서/EC
상호	상호/NNG
존중과	존중/NNG+과/JC
이익에	이익/NNG+에/JKB
기반해	기반/NNG+하/XSV+아/EC
양국	양국/NNG
관계가	관계/NNG+가/JKS
발전하기를	발전/NNG+하/XSV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.92.10.2
이 행사는 쑹칭링기금회와 함께 미시간대와 중국탁구협회가 공동으로 개최했으며, 앞서 중국 대표단은 미국 뉴욕의 유엔본부를 방문했다.

이	이/MMD
행사는	행사/NNG+는/JX
쑹칭링기금회와	쑹칭링기금회/NNP+와/JKB
함께	함께/MAG
미시간대와	미시간대/NNP+와/JC
중국탁구협회가	중국탁구협회/NNP+가/JKS
공동으로	공동/NNG+으로/JKB
개최했으며,	개최/NNG+하/XSV+았/EP+으며/EC+,/SP
앞서	앞서/MAG
중국	중국/NNP
대표단은	대표단/NNG+은/JX
미국	미국/NNP
뉴욕의	뉴욕/NNP+의/JKG
유엔본부를	유엔/NNP+본부/NNG+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


