# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.169
metadata : {}


# id : NWRW1800000022.169.1.1
강북의 봄날 간다?

강북의	강북/NNP+의/JKG
11일 부동산정보업체 '닥터아파트'에 따르면 최근 들어 경기 남부지역 아파트값이 두드러진 상승세를 보이고 있다.

11일	11/SN+일/NNB
부동산정보업체	부동산/NNG+정보업체/NNG
'닥터아파트'에	'/SS+닥터아파트/NNP+'/SS+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
들어	들/VV+어/EC
경기	경기/NNP
남부지역	남부/NNG+지역/NNG
아파트값이	아파트값/NNG+이/JKS
두드러진	두드러지/VV+ㄴ/ETM
상승세를	상승세/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.169.3.2
지난 1월 1.66% 하락했던 용인시는 지난 4월, 올 들어 처음으로 0.15% 올랐고, 5월에는 0.28%로 상승폭이 커졌다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
1.66%	1/SN+./SP+66/SN+%/SW
하락했던	하락/NNG+하/XSV+았/EP+던/ETM
용인시는	용인시/NNP+는/JX
4월,	4/SN+월/NNB+,/SP
올	올/NNG
들어	들/VV+어/EC
처음으로	처음/NNG+으로/JKB
0.15%	0/SN+./SP+15/SN+%/SW
올랐고,	오르/VV+았/EP+고/EC+,/SP
5월에는	5/SN+월/NNB+에/JKB+는/JX
0.28%로	0/SN+./SP+28/SN+%/SW+로/JKB
상승폭이	상승/NNG+폭/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.169.3.3
지난 1월에 1.64% 떨어졌던 성남시도 4월 들어 상승세(0.33%)로 전환한 뒤 5월에 0.15% 올랐다.

지난	지나/VV+ㄴ/ETM
1월에	1/SN+월/NNB+에/JKB
1.64%	1/SN+./SP+64/SN+%/SW
떨어졌던	떨어지/VV+었/EP+던/ETM
성남시도	성남시/NNP+도/JX
4월	4/SN+월/NNB
들어	들/VV+어/EC
상승세(0.33%)로	상승세/NNG+(/SS+0/SN+./SP+33/SN+%/SW+)/SS+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
5월에	5/SN+월/NNB+에/JKB
0.15%	0/SN+./SP+15/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.169.3.4
지난해 집값이 큰 폭으로 떨어진 과천시 역시 3월 0.92%, 4월 2.78%, 5월 0.67%씩 오르는 등 강세를 이어가고 있다.

지난해	지난해/NNG
집값이	집값/NNG+이/JKS
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
떨어진	떨어지/VV+ㄴ/ETM
과천시	과천시/NNP
역시	역시/MAG
3월	3/SN+월/NNB
0.92%,	0/SN+./SP+92/SN+%/SW+,/SP
4월	4/SN+월/NNB
2.78%,	2/SN+./SP+78/SN+%/SW+,/SP
5월	5/SN+월/NNB
0.67%씩	0/SN+./SP+67/SN+%/SW+씩/XSN
오르는	오르/VV+는/ETM
등	등/NNB
강세를	강세/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.169.3.5
실제 경기도 과천시 '주공4단지'(92㎡)는 올해 초 5억3500만원에서 5억7500만원으로 4000만원 상승했고 용인시 상현동 '성원2차'(106㎡)는 같은 기간 2억7500만원에서 2억9000만원으로 올랐다.

실제	실제/NNG
경기도	경기도/NNP
과천시	과천시/NNP
'주공4단지'(92㎡)는	'/SS+주공/NNP+4/SN+단지/NNG+'/SS+(/SS+92/SN+㎡/SW+)/SS+는/JX
올해	올해/NNG
초	초/NNB
5억3500만원에서	5/SN+억/NR+3500/SN+만/NR+원/NNB+에서/JKB
5억7500만원으로	5/SN+억/NR+7500/SN+만/NR+원/NNB+으로/JKB
4000만원	4000/SN+만/NR+원/NNB
상승했고	상승/NNG+하/XSV+았/EP+고/EC
용인시	용인시/NNP
상현동	상현동/NNP
'성원2차'(106㎡)는	'/SS+성원/NNP+2/SN+차/NNB+'/SS+(/SS+106/SN+㎡/SW+)/SS+는/JX
같은	같/VA+은/ETM
기간	기간/NNG
2억7500만원에서	2/SN+억/NR+7500/SN+만/NR+원/NNB+에서/JKB
2억9000만원으로	2/SN+억/NR+9000/SN+만/NR+원/NNB+으로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.169.3.6
이에 비해 경기 북부권 아파트값은 상대적으로 회복 속도가 더딘 모습이다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
경기	경기/NNP
북부권	북부/NNG+권/XSN
아파트값은	아파트값/NNG+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
회복	회복/NNG
속도가	속도/NNG+가/JKS
더딘	더디/VA+ㄴ/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.169.3.7
양주·남양주·동두천시와 양평군 아파트값은 보합 또는 내림세를 면치 못하고 있다.

양주·남양주·동두천시와	양주/NNP+·/SP+남양주/NNP+·/SP+동두천시/NNP+와/JC
양평군	양평군/NNP
아파트값은	아파트값/NNG+은/JX
보합	보합/NNG
또는	또는/MAG
내림세를	내림세/NNG+를/JKO
면치	면하/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.169.4.1
이에 따라 경기 남부 19개 시·군의 평균 아파트값 변동률은 지난 1월 -1.1%에서 4월 0.1%, 5월 0.13%로 상승했지만 경기 북부 11개 시·군은 1월 -0.57%에 이어 4월(-0.06%)과 5월(-0.03%)에도 하락세가 지속되고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
경기	경기/NNP
남부	남부/NNG
19개	19/SN+개/NNB
시·군의	시/NNG+·/SP+군/NNG+의/JKG
평균	평균/NNG
아파트값	아파트값/NNG
변동률은	변동/NNG+률/XSN+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
-1.1%에서	-/SO+1/SN+./SP+1/SN+%/SW+에서/JKB
4월	4/SN+월/NNB
0.1%,	0/SN+./SP+1/SN+%/SW+,/SP
5월	5/SN+월/NNB
0.13%로	0/SN+./SP+13/SN+%/SW+로/JKB
상승했지만	상승/NNG+하/XSV+았/EP+지만/EC
북부	북부/NNG
11개	11/SN+개/NNB
시·군은	시/NNG+·/SP+군/NNG+은/JX
-0.57%에	-/SO+0/SN+./SP+57/SN+%/SW+에/JKB
이어	잇/VV+어/EC
4월(-0.06%)과	4/SN+월/NNB+(/SS+-/SO+0/SN+./SP+06/SN+%/SW+)/SS+과/JC
5월(-0.03%)에도	5/SN+월/NNB+(/SS+-/SO+0/SN+./SP+03/SN+%/SW+)/SS+에/JKB+도/JX
하락세가	하락세/NNG+가/JKS
지속되고	지속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.169.5.1
경기 남부권 아파트값이 상대적으로 강세를 보이는 것은 지난해 금융위기가 발생한 이후 집값이 급락하면서 '바닥'이라는 인식이 확산됐기 때문이다.

경기	경기/NNP
남부권	남부/NNG+권/XSN
아파트값이	아파트값/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
강세를	강세/NNG+를/JKO
보이는	보이/VV+는/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
금융위기가	금융/NNG+위기/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
집값이	집값/NNG+이/JKS
급락하면서	급락/NNG+하/XSV+면서/EC
'바닥'이라는	'/SS+바닥/NNG+'/SS+이/VCP+라는/ETM
인식이	인식/NNG+이/JKS
확산됐기	확산/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.169.5.2
특히 강남권 아파트값이 단기간에 급반등한 이후 과천·용인·성남시 등 낙폭 과대지역을 중심으로 급매물을 찾는 수요가 늘면서 호가가 올랐다는 분석이다.

특히	특히/MAG
강남권	강남/NNP+권/XSN
아파트값이	아파트값/NNG+이/JKS
단기간에	단기간/NNG+에/JKB
급반등한	급반등/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
과천·용인·성남시	과천/NNP+·/SP+용인/NNP+·/SP+성남시/NNP
등	등/NNB
낙폭	낙폭/NNG
과대지역을	과대/NNG+지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
급매물을	급매물/NNG+을/JKO
찾는	찾/VV+는/ETM
수요가	수요/NNG+가/JKS
늘면서	늘/VV+면서/EC
호가가	호가/NNG+가/JKS
올랐다는	오르/VV+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.169.5.3
닥터아파트 이영진 리서치연구소장은 "강남권을 비롯한 버블세븐 지역의 상승세가 최근 경기 남부권까지 확산되는 양상"이라며 "하지만 실물 경기 회복이 더디고, 입주 물량이 하반기에 집중될 예정이어서 수도권 남부지역의 상승세가 지속될지는 미지수"라고 말했다.

닥터아파트	닥터아파트/NNP
이영진	이영진/NNP
리서치연구소장은	리서치/NNG+연구소장/NNG+은/JX
"강남권을	"/SS+강남/NNP+권/XSN+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
버블세븐	버블/NNG+세븐/NNG
지역의	지역/NNG+의/JKG
상승세가	상승세/NNG+가/JKS
최근	최근/MAG
경기	경기/NNG
남부권까지	남부/NNG+권/XSN+까지/JX
확산되는	확산/NNG+되/XSV+는/ETM
양상"이라며	양상/NNG+"/SS+이/VCP+라며/EC
"하지만	"/SS+하지만/MAJ
실물	실물/NNG
회복이	회복/NNG+이/JKS
더디고,	더디/VA+고/EC+,/SP
입주	입주/NNG
물량이	물량/NNG+이/JKS
하반기에	하반기/NNG+에/JKB
집중될	집중/NNG+되/XSV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
수도권	수도/NNG+권/XSN
남부지역의	남부/NNG+지역/NNG+의/JKG
지속될지는	지속/NNG+되/XSV+ㄹ지/EF+는/JX
미지수"라고	미지수/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


