# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.66
metadata : {}


# id : NWRW1800000032.66.1.1
치아보험 ‘덥석’ 들었다간 낭패

치아보험	치아/NNG+보험/NNG
라이나생명과	라이나생명/NNP+과/JC
에이아이에이생명의	에이아이에이생명/NNP+의/JKG
상품은	상품/NNG+은/JX
국민건강보험에서	국민/NNG+건강/NNG+보험/NNG+에서/JKB
보장해주지	보장/NNG+하/XSV+아/EC+주/VX+지/EC
않는	않/VX+는/ETM
임플란트나	임플란트/NNG+나/JC
브리지(치아를	브리지/NNG+(/SS+치아/NNG+를/JKO
뽑은	뽑/VV+은/ETM
뒤	뒤/NNG
양옆	양옆/NNG
치아에	치아/NNG+에/JKB
구조물을	구조물/NNG+을/JKO
연결해	연결/NNG+하/XSV+아/EC
인공치아를	인공/NNG+치아/NNG+를/JKO
고정시키는	고정/NNG+시키/XSV+는/ETM
것),	것/NNB+)/SS+,/SP
틀니	틀니/NNG
등의	등/NNB+의/JKG
치료비를	치료비/NNG+를/JKO
보장해준다.	보장/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.66.6.1
라이나생명의 상품은 또 치아 손상부분을 제거하고 합금으로 채워넣는 충전 치료비, 손상된 치아를 감싸 씌우는 크라운 치료비 등을 포함해 치아를 연간 3개까지 보장해준다.

라이나생명의	라이나생명/NNP+의/JKG
상품은	상품/NNG+은/JX
또	또/MAG
치아	치아/NNG
손상부분을	손상/NNG+부분/NNG+을/JKO
제거하고	제거/NNG+하/XSV+고/EC
합금으로	합금/NNG+으로/JKB
채워넣는	채우/VV+어/EC+넣/VV+는/ETM
충전	충전/NNG
치료비,	치료비/NNG+,/SP
손상된	손상/NNG+되/XSV+ㄴ/ETM
치아를	치아/NNG+를/JKO
감싸	감싸/VV+아/EC
씌우는	씌우/VV+는/ETM
크라운	크라운/NNG
치료비	치료비/NNG
등을	등/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
연간	연간/NNG
3개까지	3/SN+개/NNB+까지/JX
보장해준다.	보장/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.66.6.2
30살 기준으로 남성의 경우 1만7850원, 여성 1만6650원의 월 보험료로 임플란트, 브리지, 틀니 치료에 대해 각각 100만원, 50만원, 100만원을 보장한다.

30살	30/SN+살/NNB
기준으로	기준/NNG+으로/JKB
남성의	남성/NNG+의/JKG
경우	경우/NNG
1만7850원,	1/SN+만/NR+7850/SN+원/NNB+,/SP
여성	여성/NNG
1만6650원의	1/SN+만/NR+6650/SN+원/NNB+의/JKG
월	월/NNG
보험료로	보험료/NNG+로/JKB
임플란트,	임플란트/NNG+,/SP
브리지,	브리지/NNG+,/SP
틀니	틀니/NNG
치료에	치료/NNG+에/JKB
대해	대하/VV+아/EC
각각	각각/MAG
100만원,	100/SN+만/NR+원/NNB+,/SP
50만원,	50/SN+만/NR+원/NNB+,/SP
100만원을	100/SN+만/NR+원/NNB+을/JKO
보장한다.	보장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.66.7.1
에이아이에이생명의 상품은 충전 치료나 크라운 치료는 보장해주지 않지만, 임플란트와 브리지의 경우 치아당 70만원씩 보장해주고 연간 개수 제한이 없다.

에이아이에이생명의	에이아이에이생명/NNP+의/JKG
상품은	상품/NNG+은/JX
충전	충전/NNG
치료나	치료/NNG+나/JC
크라운	크라운/NNG
치료는	치료/NNG+는/JX
보장해주지	보장/NNG+하/XSV+아/EC+주/VX+지/EC
않지만,	않/VX+지만/EC+,/SP
임플란트와	임플란트/NNG+와/JC
브리지의	브리지/NNG+의/JKG
경우	경우/NNG
치아당	치아/NNG+당/XSN
70만원씩	70/SN+만/NR+원/NNB+씩/XSN
보장해주고	보장/NNG+하/XSV+아/EC+주/VX+고/EC
연간	연간/NNG
개수	개수/NNG
제한이	제한/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000032.66.7.2
가입 가능 연령은 만 15~50살이며, 40살 기준 월 보험료는 남성 1만2580원(순수보장형), 여성 9780원(순수보장형)이다.

가입	가입/NNG
가능	가능/NNG
연령은	연령/NNG+은/JX
만	만/MMA
15~50살이며,	15/SN+~/SO+50/SN+살/NNB+이/VCP+며/EC+,/SP
40살	40/SN+살/NNB
기준	기준/NNG
월	월/NNG
보험료는	보험료/NNG+는/JX
남성	남성/NNG
1만2580원(순수보장형),	1/SN+만/NR+2580/SN+원/NNB+(/SS+순수/NNG+보장/NNG+형/XSN+)/SS+,/SP
여성	여성/NNG
9780원(순수보장형)이다.	9780/SN+원/NNG+(/SS+순수/NNG+보장/NNG+형/XSN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000032.66.8.1
에이스손해보험의 상품은 임플란트와 브리지 치료비를 연간 치아 3개 한도로 치아당 20만원씩, 틀니 치료비는 연간 1개 한도로 20만원을 보장해준다.

에이스손해보험의	에이스손해보험/NNP+의/JKG
상품은	상품/NNG+은/JX
임플란트와	임플란트/NNG+와/JC
브리지	브리지/NNG
치료비를	치료비/NNG+를/JKO
연간	연간/NNG
치아	치아/NNG
3개	3/SN+개/NNB
한도로	한도/NNG+로/JKB
치아당	치아/NNG+당/XSN
20만원씩,	20/SN+만/NR+원/NNB+씩/XSN+,/SP
틀니	틀니/NNG
치료비는	치료비/NNG+는/JX
1개	1/SN+개/NNB
20만원을	20/SN+만/NR+원/NNB+을/JKO
보장해준다.	보장/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.66.8.2
연간 보장 총액은 140만원까지다.

연간	연간/NNG
보장	보장/NNG
총액은	총액/NNG+은/JX
140만원까지다.	140/SN+만/NR+원/NNB+까지/JX+이/VCP+다/EF+./SF


# id : NWRW1800000032.66.9.1
치아보험을 들 때는 보장내용을 꼼꼼히 따져봐야 한다.

치아보험을	치아/NNG+보험/NNG+을/JKO
들	들/VV+ㄹ/ETM
때는	때/NNG+는/JX
보장내용을	보장/NNG+내용/NNG+을/JKO
꼼꼼히	꼼꼼히/MAG
따져봐야	따지/VV+어/EC+보/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.66.9.2
치아 전용보험이라도 치과 진료 전부를 무조건 보장해주지는 않는다.

치아	치아/NNG
전용보험이라도	전용/NNG+보험/NNG+이/VCP+라도/EC
치과	치과/NNG
진료	진료/NNG
전부를	전부/NNG+를/JKO
무조건	무조건/MAG
보장해주지는	보장/NNG+하/XSV+아/EC+주/VX+지/EC+는/JX
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000032.66.9.3
가입일 이후 일정 기간 안에는 진단비가 50%밖에 지급되지 않는다거나 미용 목적의 시술, 상해에 따른 치아 파손 등은 보장해주지 않는다.

가입일	가입일/NNG
이후	이후/NNG
일정	일정/NNG
기간	기간/NNG
안에는	안/NNG+에/JKB+는/JX
진단비가	진단비/NNG+가/JKS
50%밖에	50/SN+%/SW+밖에/JX
지급되지	지급/NNG+되/XSV+지/EC
않는다거나	않/VX+는다거나/EC
미용	미용/NNG
목적의	목적/NNG+의/JKG
시술,	시술/NNG+,/SP
상해에	상해/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
치아	치아/NNG
파손	파손/NNG
등은	등/NNB+은/JX
보장해주지	보장/NNG+하/XSV+아/EC+주/VX+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000032.66.9.4
교통사고 등으로 치아가 손상됐을 경우 보험금을 받지 못한다.

교통사고	교통사고/NNG
등으로	등/NNB+으로/JKB
치아가	치아/NNG+가/JKS
손상됐을	손상/NNG+되/XSV+었/EP+을/ETM
경우	경우/NNG
보험금을	보험금/NNG+을/JKO
받지	받/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.66.9.5
가입 당시 앓고 있던 충치도 보장 대상에서 제외된다.

가입	가입/NNG
당시	당시/NNG
앓고	앓/VV+고/EC
있던	있/VX+던/ETM
충치도	충치/NNG+도/JX
보장	보장/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


