# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.417
metadata : {}


# id : NWRW1800000024.417.1.1
국가기관도 김성수<동아일보 창업주>·방응모<조선일보 전 사장> ‘친일’ 인정

국가기관도	국가/NNG+기관/NNG+도/JX
11일	11/SN+일/NNB
반민규명위	반민/NNG+규명위/NNG
안팎의	안팎/NNG+의/JKG
관계자들	관계자/NNG+들/XSN
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
김성수는	김성수/NNP+는/JX
일제	일제/NNG
통치기구의	통치/NNG+기구/NNG+의/JKG
주요	주요/NNG
외곽단체	외곽/NNG+단체/NNG
간부로서	간부/NNG+로서/JKB
침략전쟁에	침략/NNG+전쟁/NNG+에/JKB
적극	적극/NNG
협력하고	협력/NNG+하/XSV+고/EC
징병·징용	징병/NNG+·/SP+징용/NNG
선전	선전/NNG
등을	등/NNB+을/JKO
한	하/VV+ㄴ/ETM
행위가	행위/NNG+가/JKS
인정됐다.	인정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.417.3.2
방응모는 방송국 시국강연 등을 통해 일제의 침략전쟁에 적극 협력하고, 전쟁 수행을 돕는 군수품 제조업체를 운영한 행위 등이 인정됐다.

방응모는	방응모/NNP+는/JX
방송국	방송국/NNG
시국강연	시국/NNG+강연/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
일제의	일제/NNG+의/JKG
침략전쟁에	침략/NNG+전쟁/NNG+에/JKB
적극	적극/NNG
협력하고,	협력/NNG+하/XSV+고/EC+,/SP
전쟁	전쟁/NNG
수행을	수행/NNG+을/JKO
돕는	돕/VV+는/ETM
군수품	군수품/NNG
제조업체를	제조업체/NNG+를/JKO
운영한	운영/NNG+하/XSV+ㄴ/ETM
행위	행위/NNG
등이	등/NNB+이/JKS
인정됐다.	인정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.417.4.1
반민규명위는 오는 30일 활동 종료를 앞두고 25일께 이들을 비롯해 ‘친일 반민족 행위자’로 결정된 705명의 명단을 새로 발표할 예정이다.

반민규명위는	반민/NNG+규명위/NNG+는/JX
오는	오/VV+는/ETM
30일	30/SN+일/NNB
활동	활동/NNG
종료를	종료/NNG+를/JKO
앞두고	앞두/VV+고/EC
25일께	25/SN+일/NNB+께/XSN
이들을	이/NP+들/XSN+을/JKO
비롯해	비롯하/VV+아/EC
‘친일	‘/SS+친일/NNG
반민족	반/XPN+민족/NNG
행위자’로	행위자/NNG+’/SS+로/JKB
결정된	결정/NNG+되/XSV+ㄴ/ETM
705명의	705/SN+명/NNB+의/JKG
명단을	명단/NNG+을/JKO
새로	새로/MAG
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.417.4.2
이에 따라 반민규명위는 기존 발표자까지 포함해 친일 반민족 행위자로 모두 1006명을 확정했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
반민규명위는	반민/NNG+규명위/NNG+는/JX
기존	기존/NNG
발표자까지	발표자/NNG+까지/JX
포함해	포함/NNG+하/XSV+아/EC
친일	친일/NNG
반민족	반/XPN+민족/NNG
행위자로	행위자/NNG+로/JKB
모두	모두/MAG
1006명을	1006/SN+명/NNB+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.417.5.1
구체적으로, 김성수는 1943년 8월5일치 <매일신보>에 기고한 글에서 “징병제 실시로 비로소 조선인이 명실상부한 황국의 신민으로 되었다”고 주장하는 등 여러 차례 학병 지원을 독려했다.

구체적으로,	구체/NNG+적/XSN+으로/JKB+,/SP
김성수는	김성수/NNP+는/JX
1943년	1943/SN+년/NNB
8월5일치	8/SN+월/NNB+5/SN+일/NNB+치/NNB
<매일신보>에	</SS+매일신보/NNP+>/SS+에/JKB
기고한	기고/NNG+하/XSV+ㄴ/ETM
글에서	글/NNG+에서/JKB
“징병제	“/SS+징병/NNG+제/XSN
실시로	실시/NNG+로/JKB
비로소	비로소/MAG
조선인이	조선인/NNG+이/JKS
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
황국의	황국/NNG+의/JKG
신민으로	신민/NNG+으로/JKB
되었다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
주장하는	주장/NNG+하/XSV+는/ETM
등	등/NNB
여러	여러/MMN
차례	차례/NNG
학병	학병/NNG
지원을	지원/NNG+을/JKO
독려했다.	독려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.417.5.2
또 일본이 전시총동원 체제에 맞춰 1938년 관변기구 등을 망라해 만든 ‘국민정신총동원 조선연맹’ 등의 이사로 활동한 점도 친일행위로 인정됐다.

또	또/MAG
일본이	일본/NNP+이/JKS
전시총동원	전시/NNG+총동원/NNG
체제에	체제/NNG+에/JKB
맞춰	맞추/VV+어/EC
1938년	1938/SN+년/NNB
관변기구	관변/NNG+기구/NNG
등을	등/NNB+을/JKO
망라해	망라/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
‘국민정신총동원	‘/SS+국민정신/NNG+총동원/NNG
조선연맹’	조선/NNP+연맹/NNG+’/SS
등의	등/NNB+의/JKG
이사로	이사/NNG+로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
점도	점/NNG+도/JX
친일행위로	친일/NNG+행위/NNG+로/JKB
인정됐다.	인정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.417.6.1
방응모는 1937년 8월 경성방송국 시국강연에서 “일본제국은 지나(중국)의 배일을 절멸케 하여 극동 평화를 확립시키려 한다”고 말하는 등 침략 정책에 협력한 점이 확인됐다.

방응모는	방응모/NNP+는/JX
1937년	1937/SN+년/NNB
8월	8/SN+월/NNB
경성방송국	경성방송국/NNP
시국강연에서	시국/NNG+강연/NNG+에서/JKB
“일본제국은	“/SS+일본제국/NNP+은/JX
지나(중국)의	지나/NNP+(/SS+중국/NNP+)/SS+의/JKG
배일을	배일/NNG+을/JKO
절멸케	절멸/NNG+하/XSV+게/EC
하여	하/VX+아/EC
극동	극동/NNG
평화를	평화/NNG+를/JKO
확립시키려	확립/NNG+시키/XSV+려/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
등	등/NNB
침략	침략/NNG
정책에	정책/NNG+에/JKB
협력한	협력/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.417.6.2
특히 그는 1944년 비행기를 헌납할 목적으로 만들어진 ‘조선항공공업주식회사’의 창립 발기인 등으로 활동해 일제의 전쟁에 적극 협력했다.

특히	특히/MAG
그는	그/NP+는/JX
1944년	1944/SN+년/NNB
비행기를	비행기/NNG+를/JKO
헌납할	헌납/NNG+하/XSV+ㄹ/ETM
목적으로	목적/NNG+으로/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
‘조선항공공업주식회사’의	‘/SS+조선항공공업주식회사/NNP+’/SS+의/JKG
창립	창립/NNG
발기인	발기인/NNG
등으로	등/NNB+으로/JKB
활동해	활동/NNG+하/XSV+아/EC
일제의	일제/NNG+의/JKG
전쟁에	전쟁/NNG+에/JKB
적극	적극/NNG
협력했다.	협력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.417.7.1
반면, ‘친일 혈서’ 논란과 함께 <친일인명사전>에 이름이 올랐던 박정희 전 대통령의 경우, 반민규명위는 “구체적인 행위가 없었다”며 애초 조사 대상자로 선정하지 않았다.

반면,	반면/NNG+,/SP
‘친일	‘/SS+친일/NNG
혈서’	혈서/NNG+’/SS
논란과	논란/NNG+과/JKB
함께	함께/MAG
<친일인명사전>에	</SS+친일/NNG+인명사전/NNG+>/SS+에/JKB
이름이	이름/NNG+이/JKS
올랐던	오르/VV+았/EP+던/ETM
박정희	박정희/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
경우,	경우/NNG+,/SP
반민규명위는	반민/NNG+규명위/NNG+는/JX
“구체적인	“/SS+구체/NNG+적/XSN+이/VCP+ㄴ/ETM
행위가	행위/NNG+가/JKS
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
애초	애초/NNG
조사	조사/NNG
대상자로	대상자/NNG+로/JKB
선정하지	선정/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


