# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.226
metadata : {}


# id : NWRW1800000045.226.1.1
원 없이 던지는 한화 불펜, 이상 신호?

원	원/NNG
권혁(32)이다.	권혁/NNP+(/SS+32/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000045.226.4.3
경기 마지막에 등판하는 불펜 투수인 권혁이 규정 이닝을 채우고 있기 때문만은 아니다.

경기	경기/NNG
마지막에	마지막/NNG+에/JKB
등판하는	등판/NNG+하/XSV+는/ETM
불펜	불펜/NNG
투수인	투수/NNG+이/VCP+ㄴ/ETM
권혁이	권혁/NNP+이/JKS
규정	규정/NNG
이닝을	이닝/NNG+을/JKO
채우고	채우/VV+고/EC
있기	있/VX+기/ETN
때문만은	때문/NNB+만/JX+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.226.4.4
권혁은 올해 3월 두 경기를 포함해 4월 한 달 동안 총 401구를 던졌다.

권혁은	권혁/NNP+은/JX
올해	올해/NNG
3월	3/SN+월/NNB
두	두/MMN
경기를	경기/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
4월	4/SN+월/NNB
한	한/MMN
달	달/NNB
동안	동안/NNG
총	총/MMA
401구를	401/SN+구/NNG+를/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.226.4.5
구원 투수가 3, 4월에 400구 이상 던진 건 2005년 SK 위재영(43) 이후 10년 만에 처음이다.

구원	구원/NNG
투수가	투수/NNG+가/JKS
3,	3/SN+,/SP
4월에	4/SN+월/NNB+에/JKB
400구	400/SN+구/NNG
이상	이상/NNG
던진	던지/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
2005년	2005/SN+년/NNB
SK	SK/SL
위재영(43)	위재영/NNP+(/SS+43/SN+)/SS
이후	이후/NNG
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.226.5.1
권혁은 자신에 대해 혹사 논란이 불거질 때마다 “원 없이 던지는 게 소원이었다”고 말한다.

권혁은	권혁/NNP+은/JX
자신에	자신/NNG+에/JKB
대해	대하/VV+아/EC
혹사	혹사/NNG
논란이	논란/NNG+이/JKS
불거질	불거지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
“원	“/SS+원/NNG
없이	없이/MAG
던지는	던지/VV+는/ETM
게	거/NNB+이/JKS
소원이었다”고	소원/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.226.5.2
권혁은 5월에도 127개를 더 던져 올 시즌 총 투구 수 528개를 기록하고 있다.

권혁은	권혁/NNP+은/JX
5월에도	5/SN+월/NNB+에/JKB+도/JX
127개를	127/SN+개/NNB+를/JKO
더	더/MAG
던져	던지/VV+어/EC
올	올/NNG
시즌	시즌/NNG
총	총/MMA
투구	투구/NNG
수	수/NNG
528개를	528/SN+개/NNB+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.226.5.3
경기당 평균 25.1개를 던지고 있어 한 경기만 더 나오면 지난해(553개) 자신의 전체 투구 수와 어깨를 나란히 하게 된다.

경기당	경기/NNG+당/XSN
평균	평균/NNG
25.1개를	25/SN+./SP+1/SN+개/NNB+를/JKO
던지고	던지/VV+고/EC
있어	있/VX+어/EC
한	한/MMN
경기만	경기/NNG+만/JX
더	더/MAG
나오면	나오/VV+면/EC
지난해(553개)	지난해/NNG+(/SS+553/SN+개/NNB+)/SS
자신의	자신/NNG+의/JKG
전체	전체/NNG
투구	투구/NNG
수와	수/NNG+와/JKB
어깨를	어깨/NNG+를/JKO
나란히	나란히/MAG
하게	하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.226.5.4
지난주 2패를 당한 게 무리한 등판 때문 아니냐는 의견이 설득력을 얻고 있는 이유다.

지난주	지난주/NNG
2패를	2/SN+패/NNB+를/JKO
당한	당하/VV+ㄴ/ETM
게	거/NNB+이/JKS
무리한	무리/NNG+하/XSV+ㄴ/ETM
등판	등판/NNG
때문	때문/NNB
아니냐는	아니/VCN+냐는/ETM
의견이	의견/NNG+이/JKS
설득력을	설득력/NNG+을/JKO
얻고	얻/VV+고/EC
있는	있/VX+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.226.6.1
나머지 두 투수도 비슷한 사정이다.

나머지	나머지/NNG
두	두/MMN
투수도	투수/NNG+도/JX
비슷한	비슷하/VA+ㄴ/ETM
사정이다.	사정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.226.6.2
지난해 29이닝을 소화한 송창식(30)은 개막 두 달이 지나기도 전에 23과 3분의 2이닝을 던졌고, 박정진(39) 역시 지난해(49와 3분의 1이닝) 절반 수준인 24와 3분의 2이닝을 소화했다.

지난해	지난해/NNG
29이닝을	29/SN+이닝/NNG+을/JKO
소화한	소화/NNG+하/XSV+ㄴ/ETM
송창식(30)은	송창식/NNP+(/SS+30/SN+)/SS+은/JX
개막	개막/NNG
두	두/MMN
달이	달/NNB+이/JKS
지나기도	지나/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
23과	23/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
2이닝을	2/SN+이닝/NNG+을/JKO
던졌고,	던지/VV+었/EP+고/EC+,/SP
박정진(39)	박정진/NNP+(/SS+39/SN+)/SS
역시	역시/MAG
지난해(49와	지난해/NNG+(/SS+49/SN+와/JC
1이닝)	1/SN+이닝/NNG+)/SS
절반	절반/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
24와	24/SN+와/JC
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.226.6.3
이들이 버텨준 덕에 한화는 2점 이내 승부에서 11승 5패(승률 0.688·1위)를 기록하고 있다.

이들이	이/NP+들/XSN+이/JKS
버텨준	버티/VV+어/EC+주/VX+ㄴ/ETM
덕에	덕/NNG+에/JKB
한화는	한화/NNP+는/JX
2점	2/SN+점/NNB
이내	이내/MAG
승부에서	승부/NNG+에서/JKB
11승	11/SN+승/NNB
5패(승률	5/SN+패/NNB+(/SS+승률/NNG
0.688·1위)를	0/SN+./SP+688/SN+·/SP+1/SN+위/NNB+)/SS+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.226.6.4
하지만 거꾸로 언제 탈이 나도 이상하지 않은 분위기다.

하지만	하지만/MAJ
거꾸로	거꾸로/MAG
언제	언제/MAG
탈이	탈/NNG+이/JKS
나도	나/NP+도/JX
이상하지	이상/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.226.7.1
김성근 한화 감독 역시 이런 사정을 모르지 않는다.

김성근	김성근/NNP
한화	한화/NNP
감독	감독/NNG
역시	역시/MAG
이런	이런/MMD
사정을	사정/NNG+을/JKO
모르지	모르/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.226.7.2
김 감독은 “(원래 올 시즌 마무리 투수로 낙점했던) 윤규진(31)이 올라와야 한다”면서도 “서두르지는 않겠다”고 말했다.

김	김/NNP
감독은	감독/NNG+은/JX
“(원래	“/SS+(/SS+원래/MAG
올	올/NNG
시즌	시즌/NNG
마무리	마무리/NNG
투수로	투수/NNG+로/JKB
낙점했던)	낙점/NNG+하/XSV+았/EP+던/ETM+)/SS
윤규진(31)이	윤규진/NNP+(/SS+31/SN+)/SS+이/JKS
올라와야	올라오/VV+아야/EC
한다”면서도	하/VX+ㄴ다/EF+”/SS+면서/EC+도/JX
“서두르지는	“/SS+서두르/VV+지/EC+는/JX
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.226.7.3
윤규진은 10일 경기 전 잠실구장에서 불펜 피칭을 소화했다.

윤규진은	윤규진/NNP+은/JX
10일	10/SN+일/NNB
경기	경기/NNG
전	전/NNG
잠실구장에서	잠실구장/NNP+에서/JKB
불펜	불펜/NNG
피칭을	피칭/NNG+을/JKO
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


