# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.243
metadata : {}


# id : NWRW1800000056.243.1.1
서울시, 종로·을지로 ‘오래가게’ 39곳 소개

서울시,	서울시/NNP+,/SP
회사의	회사/NNG+의/JKG
브랜드	브랜드/NNG
상징)와	상징/NNG+)/SS+와/JC
이야기책,	이야기책/NNG+,/SP
탐방	탐방/NNG
여행기	여행기/NNG
영상물	영상물/NNG
등을	등/NNB+을/JKO
제작해	제작/NNG+하/XSV+아/EC
배포할	배포/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.243.8.1
안준호 서울시 관광체육국장은 “오래가게를 발굴하는 데 그치지 않고 서울만의 개성을 알려, 세계의 관광객들이 찾아올 수 있도록 홍보를 계속해나갈 것”이라고 말했다.

안준호	안준호/NNP
서울시	서울시/NNP
관광체육국장은	관광/NNG+체육국장/NNG+은/JX
“오래가게를	“/SS+오래가게/NNG+를/JKO
발굴하는	발굴/NNG+하/XSV+는/ETM
데	데/NNB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
서울만의	서울/NNP+만/JX+의/JKG
개성을	개성/NNG+을/JKO
알려,	알리/VV+어/EC+,/SP
세계의	세계/NNG+의/JKG
관광객들이	관광객/NNG+들/XSN+이/JKS
찾아올	찾아오/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
홍보를	홍보/NNG+를/JKO
계속해나갈	계속/NNG+하/XSV+아/EC+나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


