# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.70
metadata : {}


# id : NWRW1800000033.70.1.1
롬니, 상처 안은 2연승

롬니,	롬니/NNP+,/SP
41%의	41/SN+%/SW+의/JKG
지지를	지지/NNG+를/JKO
얻어	얻/VV+어/EC
릭	릭/NNP
샌토럼	샌토럼/NNP
후보(38%)를	후보/NNG+(/SS+38/SN+%/SW+)/SS+를/JKO
가까스로	가까스로/MAG
제친	제치/VV+ㄴ/ETM
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.70.4.3
같은 날 실시된 애리조나 주 프라이머리에선 롬니 후보가 47%, 샌토럼 후보(27%)를 압도적으로 이겼다.

같은	같/VA+은/ETM
날	날/NNG
실시된	실시/NNG+되/XSV+ㄴ/ETM
애리조나	애리조나/NNP
주	주/NNG
프라이머리에선	프라이머리/NNG+에서/JKB+ㄴ/JX
롬니	롬니/NNP
후보가	후보/NNG+가/JKS
47%,	47/SN+%/SW+,/SP
샌토럼	샌토럼/NNP
후보(27%)를	후보/NNG+(/SS+27/SN+%/SW+)/SS+를/JKO
압도적으로	압도/NNG+적/XSN+으로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.70.4.4
애리조나 주는 모르몬교도가 많이 사는 지역이어서 일찌감치 롬니 후보의 압승이 예고된 곳이다.

애리조나	애리조나/NNP
주는	주/NNG+는/JX
모르몬교도가	모르몬교도/NNG+가/JKS
많이	많이/MAG
사는	살/VV+는/ETM
지역이어서	지역/NNG+이/VCP+어서/EC
일찌감치	일찌감치/MAG
롬니	롬니/NNP
후보의	후보/NNG+의/JKG
압승이	압승/NNG+이/JKS
예고된	예고/NNG+되/XSV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.70.5.1
롬니 후보가 이날 미시간과 애리조나에서 모두 승리함에 따라 그동안 주춤했던 ‘롬니 대세론’이 다시 탄력을 받게 됐다.

롬니	롬니/NNP
후보가	후보/NNG+가/JKS
이날	이날/NNG
미시간과	미시간/NNP+과/JC
애리조나에서	애리조나/NNP+에서/JKB
모두	모두/MAG
승리함에	승리/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
그동안	그동안/NNG
주춤했던	주춤/MAG+하/XSV+았/EP+던/ETM
‘롬니	‘/SS+롬니/NNP
대세론’이	대세/NNG+론/XSN+’/SS+이/JKS
다시	다시/MAG
탄력을	탄력/NNG+을/JKO
받게	받/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.70.5.2
하지만 롬니 후보의 2연승은 상처를 안은 영광이었다.

하지만	하지만/MAJ
롬니	롬니/NNP
후보의	후보/NNG+의/JKG
2연승은	2/SN+연승/NNG+은/JX
상처를	상처/NNG+를/JKO
안은	안/VV+은/ETM
영광이었다.	영광/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.70.6.1
미시간 주는 롬니 후보가 태어난 고향인 데다 부친이 주지사를 지낸 곳으로 압승이 예상됐지만 샌토럼 후보가 바짝 추격하면서 겨우 3%포인트 표차로 승리하는 데 그쳤다.

미시간	미시간/NNP
주는	주/NNG+는/JX
롬니	롬니/NNP
후보가	후보/NNG+가/JKS
태어난	태어나/VV+ㄴ/ETM
고향인	고향/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
부친이	부친/NNG+이/JKS
주지사를	주지사/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
압승이	압승/NNG+이/JKS
예상됐지만	예상/NNG+되/XSV+었/EP+지만/EC
샌토럼	샌토럼/NNP
바짝	바짝/MAG
추격하면서	추격/NNG+하/XSV+면서/EC
겨우	겨우/MAG
3%포인트	3/SN+%포인트/NNG
표차로	표/NNG+차/NNG+로/JKB
승리하는	승리/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.70.7.1
샌토럼 후보는 만족스러운 표정이었다.

샌토럼	샌토럼/NNP
후보는	후보/NNG+는/JX
만족스러운	만족/NNG+스럽/XSA+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.70.7.2
그는 “한 달 전까지만 해도 이곳 사람들은 우리를 몰랐다.

그는	그/NP+는/JX
“한	“/SS+한/MMN
달	달/NNB
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
이곳	이곳/NP
사람들은	사람/NNG+들/XSN+은/JX
우리를	우리/NP+를/JKO
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.70.7.3
지금은 후보의 마음을 모두 꿰뚫고 있다”고 말했다.

지금은	지금/NNG+은/JX
후보의	후보/NNG+의/JKG
마음을	마음/NNG+을/JKO
모두	모두/MAG
꿰뚫고	꿰뚫/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.70.8.1
지금까지 확보한 대의원 수는 롬니 후보 165석, 샌토럼 후보 44석, 뉴트 깅리치 후보 38석, 론 폴 후보 27석 순이다.

지금까지	지금/NNG+까지/JX
확보한	확보/NNG+하/XSV+ㄴ/ETM
대의원	대의원/NNG
수는	수/NNG+는/JX
롬니	롬니/NNP
후보	후보/NNG
165석,	165/SN+석/NNB+,/SP
샌토럼	샌토럼/NNP
44석,	44/SN+석/NNB+,/SP
뉴트	뉴트/NNP
깅리치	깅리치/NNP
38석,	38/SN+석/NNB+,/SP
론	론/NNP
폴	폴/NNP
27석	27/SN+석/NNB
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.70.8.2
롬니 후보는 11일 메인 주 코커스에 이어 이날 2연승을 기록하면서 미주리 주와 미네소타 주, 콜로라도 주에서 샌토럼 후보에게 뒤진 설욕을 했지만 아직 공화당원들이 마음을 파고들지 못하고 있다고 워싱턴포스트는 분석했다.

롬니	롬니/NNP
후보는	후보/NNG+는/JX
11일	11/SN+일/NNB
메인	메인/NNG
주	주/NNG
코커스에	코커스/NNG+에/JKB
이어	잇/VV+어/EC
이날	이날/NNG
2연승을	2/SN+연승/NNG+을/JKO
기록하면서	기록/NNG+하/XSV+면서/EC
미주리	미주리/NNP
주와	주/NNG+와/JC
미네소타	미네소타/NNP
주,	주/NNG+,/SP
콜로라도	콜로라도/NNP
주에서	주/NNG+에서/JKB
샌토럼	샌토럼/NNP
후보에게	후보/NNG+에게/JKB
뒤진	뒤지/VV+ㄴ/ETM
설욕을	설욕/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
아직	아직/MAG
공화당원들이	공화당원/NNG+들/XSN+이/JKS
마음을	마음/NNG+을/JKO
파고들지	파고들/VV+지/EC
못하고	못하/VX+고/EC
있다고	있/VX+다고/EC
워싱턴포스트는	워싱턴포스트/NNP+는/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.70.9.1
롬니 후보와 샌토럼 후보는 6일 조지아 주와 오하이오 주, 테네시 주 등 10개 주에서 동시에 열리는 ‘슈퍼 화요일’에 승부를 걸겠다며 벼르고 있다.

롬니	롬니/NNP
후보와	후보/NNG+와/JC
샌토럼	샌토럼/NNP
후보는	후보/NNG+는/JX
6일	6/SN+일/NNB
조지아	조지아/NNP
주와	주/NNG+와/JC
오하이오	오하이오/NNP
주,	주/NNG+,/SP
테네시	테네시/NNP
주	주/NNG
등	등/NNB
10개	10/SN+개/NNB
주에서	주/NNG+에서/JKB
동시에	동시/NNG+에/JKB
열리는	열리/VV+는/ETM
‘슈퍼	‘/SS+슈퍼/NNG
화요일’에	화요일/NNG+’/SS+에/JKB
승부를	승부/NNG+를/JKO
걸겠다며	걸/VV+겠/EP+다며/EC
벼르고	벼르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.70.9.2
이날 하루에 모두 437명의 대의원이 걸려 있다.

이날	이날/NNG
하루에	하루/NNG+에/JKB
모두	모두/MAG
437명의	437/SN+명/NNB+의/JKG
대의원이	대의원/NNG+이/JKS
걸려	걸리/VV+어/EC
있다.	있/VX+다/EF+./SF


