# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.120
metadata : {}


# id : NWRW1800000022.120.1.1
"세이브 인터넷(인터넷을 구하자)으로 미래 여는 정론 펼 것";인터넷 신문 '뉴데일리' 인보길 사장

"세이브	"/SS+세이브/NNG
재창간	재/XPN+창간/NNG
선포식은	선포식/NNG+은/JX
오는	오/VV+는/ETM
16일	16/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


