# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.17
metadata : {}


# id : NWRW1800000046.17.1.1
[깨알지식] 日외무성, 靑書 발표… 白書와 어떻게 다른가

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS

한국의	한국/NNP+의/JKG
외교	외교/NNG
백서(白書)	백서/NNG+(/SS+白書/SH+)/SS
격이다.	격/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.17.3.3
그런데 일본에서도 다른 부처는 경제 백서, 방위 백서 등 청서가 아니라 '백서'를 발행한다.

그런데	그런데/MAJ
일본에서도	일본/NNP+에서/JKB+도/JX
다른	다른/MMD
부처는	부처/NNG+는/JX
경제	경제/NNG
백서,	백서/NNG+,/SP
방위	방위/NNG
백서	백서/NNG
등	등/NNB
청서가	청서/NNG+가/JKC
아니라	아니/VCN+라/EC
'백서'를	'/SS+백서/NNG+'/SS+를/JKO
발행한다.	발행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.17.3.4
왜 외무성만 청서라고 하는 것일까?

왜	왜/MAG
외무성만	외무성/NNG+만/JX
청서라고	청서/NNG+이/VCP+라고/EC
하는	하/VV+는/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000046.17.4.1
이는 1957년 일본이 외교 청서를 처음 발행하기 시작했을 때 영국 의회의 외교위원회가 작성한 '블루 북(blue book·청서)'을 참고했기 때문이다.

이는	이/NP+는/JX
1957년	1957/SN+년/NNB
일본이	일본/NNP+이/JKS
외교	외교/NNG
청서를	청서/NNG+를/JKO
처음	처음/NNG
발행하기	발행/NNG+하/XSV+기/ETN
시작했을	시작/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
영국	영국/NNP
의회의	의회/NNG+의/JKG
외교위원회가	외교/NNG+위원회/NNG+가/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
'블루	'/SS+블루/NNG
북(blue	북/NNG+(/SS+blue/SL
book·청서)'을	book/SL+·/SP+청서/NNG+)/SS+'/SS+을/JKO
참고했기	참고/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.17.4.2
영국은 15세기부터 의회에서 소관 업무에 대한 조사 내용과 통계 등을 실은 연례 보고서를 간행했는데, 표지가 푸른색 벨벳으로 돼 있었다.

영국은	영국/NNP+은/JX
15세기부터	15/SN+세기/NNG+부터/JX
의회에서	의회/NNG+에서/JKB
소관	소관/NNG
업무에	업무/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사	조사/NNG
내용과	내용/NNG+과/JC
통계	통계/NNG
등을	등/NNB+을/JKO
실은	싣/VV+은/ETM
연례	연례/NNG
보고서를	보고서/NNG+를/JKO
간행했는데,	간행/NNG+하/XSV+았/EP+는데/EC+,/SP
표지가	표지/NNG+가/JKS
푸른색	푸른색/NNG
벨벳으로	벨벳/NNG+으로/JKB
돼	되/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.17.4.3
이 블루 북을 참고한 일본 외무성도 연례 보고서를 청서라는 이름으로 현재까지 내고 있는 것이다.

이	이/MMD
블루	블루/NNG
북을	북/NNG+을/JKO
참고한	참고/NNG+하/XSV+ㄴ/ETM
일본	일본/NNP
외무성도	외무성/NNG+도/JX
연례	연례/NNG
보고서를	보고서/NNG+를/JKO
청서라는	청서/NNG+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
현재까지	현재/NNG+까지/JX
내고	내/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.17.5.1
백서의 등장은 청서보다 한참 늦다.

백서의	백서/NNG+의/JKG
등장은	등장/NNG+은/JX
청서보다	청서/NNG+보다/JKB
한참	한참/MAG
늦다.	늦/VA+다/EF+./SF


# id : NWRW1800000046.17.5.2
17세기 무렵 영국은 정부 연례 보고서를 내기 시작했는데, 의회 보고서인 청서와 구분하기 위해 표지를 흰색으로 만들고 '화이트 페이퍼(white paper·백서)'라 명명했다.

17세기	17/SN+세기/NNG
무렵	무렵/NNB
영국은	영국/NNP+은/JX
정부	정부/NNG
연례	연례/NNG
보고서를	보고서/NNG+를/JKO
내기	내/VV+기/ETN
시작했는데,	시작/NNG+하/XSV+았/EP+는데/EC+,/SP
의회	의회/NNG
보고서인	보고서/NNG+이/VCP+ㄴ/ETM
청서와	청서/NNG+와/JKB
구분하기	구분/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
표지를	표지/NNG+를/JKO
흰색으로	흰색/NNG+으로/JKB
만들고	만들/VV+고/EC
'화이트	'/SS+화이트/NNG
페이퍼(white	페이퍼/NNG+(/SS+white/SL
paper·백서)'라	paper/SL+·/SP+백서/NNG+)/SS+'/SS+라/JKQ
명명했다.	명명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.17.5.3
이 구분에 따르면 정부 보고서는 백서, 의회 보고서는 청서인 셈이지만, 일본 외교 청서의 경우 정부(외무성) 간행물임에도 관례적으로 청서로 불리고 있다.

이	이/MMD
구분에	구분/NNG+에/JKB
따르면	따르/VV+면/EC
정부	정부/NNG
보고서는	보고서/NNG+는/JX
백서,	백서/NNG+,/SP
의회	의회/NNG
청서인	청서/NNG+이/VCP+ㄴ/ETM
셈이지만,	셈/NNB+이/VCP+지만/EC+,/SP
일본	일본/NNP
외교	외교/NNG
청서의	청서/NNG+의/JKG
경우	경우/NNG
정부(외무성)	정부/NNG+(/SS+외무성/NNG+)/SS
간행물임에도	간행물/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
관례적으로	관례/NNG+적/XSN+으로/JKB
청서로	청서/NNG+로/JKB
불리고	불리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.17.6.1
영국의 백서에서 유래해 우리나라와 미국·독일·포르투갈, 외무성을 제외한 일본 등에서도 정부 보고서를 백서라 부른다.

영국의	영국/NNP+의/JKG
백서에서	백서/NNG+에서/JKB
유래해	유래/NNG+하/XSV+아/EC
우리나라와	우리나라/NNG+와/JC
미국·독일·포르투갈,	미국/NNP+·/SP+독일/NNP+·/SP+포르투갈/NNP+,/SP
외무성을	외무성/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
일본	일본/NNP
등에서도	등/NNB+에서/JKB+도/JX
정부	정부/NNG
보고서를	보고서/NNG+를/JKO
백서라	백서/NNG+이/VCP+라/EC
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.17.6.2
그 밖에 표지 색깔에 따라 프랑스의 황서(黃書), 이탈리아의 녹서(綠書) 등도 존재한다.

그	그/NP
밖에	밖/NNG+에/JKB
표지	표지/NNG
색깔에	색깔/NNG+에/JKB
따라	따르/VV+아/EC
프랑스의	프랑스/NNP+의/JKG
황서(黃書),	황서/NNG+(/SS+黃書/SH+)/SS+,/SP
이탈리아의	이탈리아/NNP+의/JKG
녹서(綠書)	녹서/NNG+(/SS+綠書/SH+)/SS
등도	등/NNB+도/JX
존재한다.	존재/NNG+하/XSV+ㄴ다/EF+./SF


