# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.341
metadata : {}


# id : NWRW1800000046.341.1.1
['성완종 리스트' 파문] "주머니 메모(與핵심 8인과 돈 액수)는 일도 아니다"… 성완종 X파일 있나

['성완종	[/SS+'/SS+성완종/NNP
이 자리에는 성 전 회장의 친지 한 명도 함께했다고 한다.

이	이/MMD
자리에는	자리/NNG+에/JKB+는/JX
성	성/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
친지	친지/NNG
한	한/MMN
명도	명/NNB+도/JX
함께했다고	함께/MAG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.341.4.3
이날은 성 전 회장이 해외 자원 개발 비리와 관련해 지난 3일 검찰에 소환돼 조사를 받은 이튿날이다.

이날은	이날/NNG+은/JX
성	성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
해외	해외/NNG
자원	자원/NNG
개발	개발/NNG
비리와	비리/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
검찰에	검찰/NNG+에/JKB
소환돼	소환/NNG+되/XSV+어/EC
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
이튿날이다.	이튿날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.341.5.1
성 전 회장은 이 자리에서 A씨에게 자신에 대한 검찰 수사와 관련해 억울함을 호소했다고 한다.

성	성/NNP
전	전/MMD
회장은	회장/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
A씨에게	A/SL+씨/NNB+에게/JKB
자신에	자신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검찰	검찰/NNG
수사와	수사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
억울함을	억울/NNG+하/XSA+ㅁ/ETN+을/JKO
호소했다고	호소/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.341.5.2
그러면서 그는 자신이 그동안 여야 정치권 인사들에게 제공한 정치자금 문제에 대해 언급한 것으로 전해졌다.

그러면서	그러/VV+면서/EC
그는	그/NP+는/JX
자신이	자신/NNG+이/JKS
그동안	그동안/NNG
여야	여야/NNG
정치권	정치/NNG+권/XSN
인사들에게	인사/NNG+들/XSN+에게/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
정치자금	정치/NNG+자금/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
언급한	언급/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.341.5.3
여권 관계자는 "성 전 회장이 그동안 자신에게 (정치자금 등) 신세를 지고도 구명 요청에 '나 몰라라' 하는 정치권 인사들에 대한 분노와 배신감을 A씨에게 토로한 것으로 안다"고 했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
"성	"/SS+성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
그동안	그동안/NNG
자신에게	자신/NNG+에게/JKB
(정치자금	(/SS+정치/NNG+자금/NNG
등)	등/NNB+)/SS
신세를	신세/NNG+를/JKO
지고도	지/VV+고/EC+도/JX
구명	구명/NNG
요청에	요청/NNG+에/JKB
'나	'/SS+나/NP
몰라라'	모르/VV+아라/EF+'/SS
하는	하/VV+는/ETM
정치권	정치/NNG+권/XSN
인사들에	인사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
분노와	분노/NNG+와/JC
배신감을	배신감/NNG+을/JKO
A씨에게	A/SL+씨/NNB+에게/JKB
토로한	토로/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.341.6.1
특히 성 전 회장은 A씨를 만난 자리에서 이완구 총리와 이병기 청와대 비서실장에 대해 강한 서운함을 나타냈다고 한다.

특히	특히/MAG
성	성/NNP
전	전/MMD
회장은	회장/NNG+은/JX
A씨를	A/SL+씨/NNB+를/JKO
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
이완구	이완구/NNP
총리와	총리/NNG+와/JC
이병기	이병기/NNP
청와대	청와대/NNP
비서실장에	비서실장/NNG+에/JKB
대해	대하/VV+아/EC
강한	강하/VA+ㄴ/ETM
서운함을	서운하/VA+ㅁ/ETN+을/JKO
나타냈다고	나타내/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.341.6.2
"성 전 회장이 이완구 총리와 이병기 실장에 대해 언급하면서 얼마나 흥분했던지 함께한 친지가 목을 축이라며 계속 오렌지주스를 사올 정도였다고 A씨가 말하더라"고 A씨의 지인은 전했다.

"성	"/SS+성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
이완구	이완구/NNP
총리와	총리/NNG+와/JC
이병기	이병기/NNP
실장에	실장/NNG+에/JKB
대해	대하/VV+아/EC
언급하면서	언급/NNG+하/XSV+면서/EC
얼마나	얼마나/MAG
흥분했던지	흥분/NNG+하/XSV+았/EP+던지/EC
함께한	함께/MAG+하/XSV+ㄴ/ETM
친지가	친지/NNG+가/JKS
목을	목/NNG+을/JKO
축이라며	축이/VV+라며/EC
계속	계속/MAG
오렌지주스를	오렌지주스/NNG+를/JKO
사올	사/VV+아/EC+오/VV+ㄹ/ETM
정도였다고	정도/NNG+이/VCP+었/EP+다고/EC
A씨가	A/SL+씨/NNB+가/JKS
말하더라"고	말/NNG+하/XSV+더라/EF+"/SS+고/JKQ
A씨의	A/SL+씨/NNB+의/JKG
지인은	지인/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.341.6.3
성 전 회장이 이 자리에서 이 총리와 이 실장에 대해 금품을 제공했다고 주장했는지는 확인되지 않았다.

성	성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
이	이/NNP
자리에서	자리/NNG+에서/JKB
총리와	총리/NNG+와/JC
실장에	실장/NNG+에/JKB
대해	대하/VV+아/EC
금품을	금품/NNG+을/JKO
제공했다고	제공/NNG+하/XSV+았/EP+다고/EC
주장했는지는	주장/NNG+하/XSV+았/EP+는지/EF+는/JX
확인되지	확인/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.341.7.1
이와 관련, 이 총리와 이 실장은 성 전 회장이 전화를 걸어 "도와달라"고 요청한 적은 있지만 '검찰 수사를 잘 받으라'는 식으로 선을 그었다고 얘기하고 있다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
이	이/NNP
총리와	총리/NNG+와/JC
실장은	실장/NNG+은/JX
성	성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
"도와달라"고	"/SS+돕/VV+아/EC+달/VX+라/EF+"/SS+고/JKQ
요청한	요청/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
있지만	있/VA+지만/EC
'검찰	'/SS+검찰/NNG
수사를	수사/NNG+를/JKO
잘	잘/MAG
받으라'는	받/VV+으라/EF+'/SS+는/ETM
식으로	식/NNB+으로/JKB
선을	선/NNG+을/JKO
그었다고	긋/VV+었/EP+다고/EC
얘기하고	얘기/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.341.7.2
하지만 성 전 회장이 두 사람에 대해 자신이 입을 열면 뭔가 정치적 파문이 일 수 있음을 암시하는 말까지 했다는 얘기가 나오고 있다.

하지만	하지만/MAJ
성	성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
두	두/MMN
사람에	사람/NNG+에/JKB
대해	대하/VV+아/EC
자신이	자신/NNG+이/JKS
입을	입/NNG+을/JKO
열면	열/VV+면/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
정치적	정치/NNG+적/XSN
파문이	파문/NNG+이/JKS
일	일/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
암시하는	암시/NNG+하/XSV+는/ETM
말까지	말/NNG+까지/JX
했다는	하/VV+았/EP+다는/ETM
얘기가	얘기/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.341.8.1
성 전 회장의 한 지인은 "성 전 회장이 A씨 등을 만나면서 데리고 나온 친지를 주목할 필요가 있다"고 했다.

성	성/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
한	한/MMN
지인은	지인/NNG+은/JX
"성	"/SS+성/NNP
회장이	회장/NNG+이/JKS
A씨	A/SL+씨/NNB
등을	등/NNB+을/JKO
만나면서	만나/VV+면서/EC
데리고	데리/VV+고/EC
나온	나오/VV+ㄴ/ETM
친지를	친지/NNG+를/JKO
주목할	주목/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.341.8.2
실제 성 전 회장은 자살하기 하루 전인 지난 8일 검찰 수사에 대비하기 위해 자신의 변호사를 외부에서 만난 자리에도 이 친지와 함께 나온 것으로 알려졌다.

실제	실제/MAG
성	성/NNP
전	전/MMD
회장은	회장/NNG+은/JX
자살하기	자살/NNG+하/XSV+기/ETN
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
대비하기	대비/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자신의	자신/NNG+의/JKG
변호사를	변호사/NNG+를/JKO
외부에서	외부/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
자리에도	자리/NNG+에/JKB+도/JX
이	이/MMD
친지와	친지/NNG+와/JKB
함께	함께/MAG
나온	나오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.341.8.3
여권 관계자는 "이 친지가 성 전 회장이 남긴 메모를 뒷받침할 자료를 갖고 있을 수 있다"고 했다.

여권	여권/NNG
관계자는	관계자/NNG+는/JX
"이	"/SS+이/MMD
친지가	친지/NNG+가/JKS
성	성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
남긴	남기/VV+ㄴ/ETM
메모를	메모/NNG+를/JKO
뒷받침할	뒷받침/NNG+하/XSV+ㄹ/ETM
자료를	자료/NNG+를/JKO
갖고	갖/VV+고/EC
있을	있/VX+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.341.9.1
한편 성 전 회장은 A씨를 만날 때까지만 해도 검찰 수사에 대비해 탈출구를 찾아보려 했던 것으로 보인다.

한편	한편/MAG
성	성/NNP
전	전/MMD
회장은	회장/NNG+은/JX
A씨를	A/SL+씨/NNB+를/JKO
만날	만나/VV+ㄹ/ETM
때까지만	때/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
탈출구를	탈출구/NNG+를/JKO
찾아보려	찾/VV+아/EC+보/VX+려/EC
했던	하/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.341.9.2
다른 여권 관계자는 "성 전 회장이 친분이 있는 인사들에게 자신의 억울함을 검찰 수사 라인에 비공식적으로 전해줄 수 있는 사람을 찾아줄 수 있는지 타진한 것으로 안다"며 "수사가 한창 진행 중인 상황이어서 성사되지 않은 것으로 안다"고 말했다.

다른	다른/MMD
여권	여권/NNG
관계자는	관계자/NNG+는/JX
"성	"/SS+성/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
친분이	친분/NNG+이/JKS
있는	있/VA+는/ETM
인사들에게	인사/NNG+들/XSN+에게/JKB
자신의	자신/NNG+의/JKG
억울함을	억울/NNG+하/XSA+ㅁ/ETN+을/JKO
검찰	검찰/NNG
수사	수사/NNG
라인에	라인/NNG+에/JKB
비공식적으로	비/XPN+공식/NNG+적/XSN+으로/JKB
전해줄	전하/VV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
사람을	사람/NNG+을/JKO
찾아줄	찾/VV+아/EC+주/VX+ㄹ/ETM
있는지	있/VA+는지/EF
타진한	타진/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다"며	알/VV+ㄴ다/EF+"/SS+며/EC
"수사가	"/SS+수사/NNG+가/JKS
한창	한창/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
상황이어서	상황/NNG+이/VCP+어서/EC
성사되지	성사/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.341.9.3
성 전 회장은 또 지난 3일 검찰 소환조사 이후 지인들에게 차명 전화번호를 알려주고 "앞으로는 이 전화로 통화하자"고 한 것으로 전해졌다.

성	성/NNP
전	전/MMD
회장은	회장/NNG+은/JX
또	또/MAG
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
검찰	검찰/NNG
소환조사	소환/NNG+조사/NNG
이후	이후/NNG
지인들에게	지인/NNG+들/XSN+에게/JKB
차명	차명/NNG
전화번호를	전화번호/NNG+를/JKO
알려주고	알려주/VV+고/EC
"앞으로는	"/SS+앞/NNG+으로/JKB+는/JX
이	이/MMD
전화로	전화/NNG+로/JKB
통화하자"고	통화/NNG+하/XSV+자/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.341.10.1
성 전 회장을 4일 만난 것으로 알려진 A씨는 며칠간에 걸친 확인 취재 전화를 받지 않다가 13일 본지 기자를 만나 "당일 성 전 회장과 친지를 함께 만난 것은 사실이지만 금품 로비 문제와 관련한 얘기를 하진 않았다"고 했다.

성	성/NNP
전	전/MMD
회장을	회장/NNG+을/JKO
4일	4/SN+일/NNB
만난	만나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
A씨는	A/SL+씨/NNB+는/JX
며칠간에	며칠/NNG+간/XSN+에/JKB
걸친	걸치/VV+ㄴ/ETM
확인	확인/NNG
취재	취재/NNG
전화를	전화/NNG+를/JKO
받지	받/VV+지/EC
않다가	않/VX+다가/EC
13일	13/SN+일/NNB
본지	본지/NNG
기자를	기자/NNG+를/JKO
만나	만나/VV+아/EC
"당일	"/SS+당일/NNG
회장과	회장/NNG+과/JC
친지를	친지/NNG+를/JKO
함께	함께/MAG
것은	것/NNB+은/JX
사실이지만	사실/NNG+이/VCP+지만/EC
금품	금품/NNG
로비	로비/NNG
문제와	문제/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
하진	하/VV+지/EC+ㄴ/JX
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


