# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.412
metadata : {}


# id : NWRW1800000038.412.1.1
[채동욱 파문] 채동욱 총장, 혼외자 파문 관련 本社 상대 정정보도 청구 소송

[채동욱	[/SS+채동욱/NNP
바라지	바라/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.412.4.3
본지 첫 보도 직후 "검찰 흔들기", "보도의 저의와 상황을 파악하겠다"고 했던 때와 달라진 모습이다.

본지	본지/NNG
첫	첫/MMN
보도	보도/NNG
직후	직후/NNG
"검찰	"/SS+검찰/NNG
흔들기",	흔들/VV+기/ETN+"/SS+,/SP
"보도의	"/SS+보도/NNG+의/JKG
저의와	저의/NNG+와/JC
상황을	상황/NNG+을/JKO
파악하겠다"고	파악/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했던	하/VV+았/EP+던/ETM
때와	때/NNG+와/JKB
달라진	달라지/VV+ㄴ/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.412.5.1
채 총장은 이날 서울중앙지법에 제출한 소장에서 "10여년간 Y씨와 혼외 관계를 유지하면서 Y씨와 사이에 아들을 얻은 사실을 숨겨 왔다는 보도는 명백한 오보"라고 주장했다.

채	채/NNP
총장은	총장/NNG+은/JX
이날	이날/NNG
서울중앙지법에	서울중앙지법/NNP+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
소장에서	소장/NNG+에서/JKB
"10여년간	"/SS+10/SN+여/XSN+년/NNB+간/XSN
Y씨와	Y/SL+씨/NNB+와/JKB
혼외	혼외/NNG
관계를	관계/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
사이에	사이/NNG+에/JKB
아들을	아들/NNG+을/JKO
얻은	얻/VV+은/ETM
사실을	사실/NNG+을/JKO
숨겨	숨기/VV+어/EC
왔다는	오/VX+았/EP+다는/ETM
보도는	보도/NNG+는/JX
명백한	명백하/VA+ㄴ/ETM
오보"라고	오보/NNG+"/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.412.6.1
채 총장은 유전자 감식과 관련, "(법원에) 감정 신청을 계획하고 있다"면서 "아직 Y씨 모자(母子)에 대한 인적 사항 및 주소 등을 파악하지 못해 확인되는 즉시 감정 신청을 진행할 예정"이라고 밝혔다.

채	채/NNP
총장은	총장/NNG+은/JX
유전자	유전자/NNG
감식과	감식/NNG+과/JKB
관련,	관련/NNG+,/SP
"(법원에)	"/SS+(/SS+법원/NNG+에/JKB+)/SS
감정	감정/NNG
신청을	신청/NNG+을/JKO
계획하고	계획/NNG+하/XSV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"아직	"/SS+아직/MAG
Y씨	Y/SL+씨/NNB
모자(母子)에	모자/NNG+(/SS+母子/SH+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
인적	인/NNG+적/XSN
사항	사항/NNG
및	및/MAG
주소	주소/NNG
등을	등/NNB+을/JKO
파악하지	파악/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
확인되는	확인/NNG+되/XSV+는/ETM
즉시	즉시/NNG
진행할	진행/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.412.6.2
그는 "해당 아동(채모군) 측에 혹시 어떤 어려움이 있을지 알 수 없으나 혼란을 해소한다는 차원에서 이른 시일 내에 유전자 검사에 응할 것도 부탁한다"고 밝혔다.

그는	그/NP+는/JX
"해당	"/SS+해당/NNG
아동(채모군)	아동/NNG+(/SS+채/NNP+모/NP+군/NNB+)/SS
측에	측/NNB+에/JKB
혹시	혹시/MAG
어떤	어떤/MMD
어려움이	어려움/NNG+이/JKS
있을지	있/VA+을지/EF
알	알/VV+ㄹ/ETM
수	수/NNB
없으나	없/VA+으나/EC
혼란을	혼란/NNG+을/JKO
해소한다는	해소/NNG+하/XSV+ㄴ다는/ETM
차원에서	차원/NNG+에서/JKB
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
유전자	유전자/NNG
검사에	검사/NNG+에/JKB
응할	응하/VV+ㄹ/ETM
것도	것/NNB+도/JX
부탁한다"고	부탁/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.412.7.1
하지만 채 총장은 자신의 이름을 도용했다고 주장한 임씨에 대한 형사소송 등 법적 대응에 대한 언급은 전혀 하지 않았다.

하지만	하지만/MAJ
채	채/NNP
총장은	총장/NNG+은/JX
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
도용했다고	도용/NNG+하/XSV+았/EP+다고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
임씨에	임/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
형사소송	형사/NNG+소송/NNG
등	등/NNB
법적	법/NNG+적/XSN
대응에	대응/NNG+에/JKB
언급은	언급/NNG+은/JX
전혀	전혀/MAG
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.412.8.1
본사는 채 총장의 정정보도 청구 소송과 관련해 진위 규명이 늦어질 경우 관련 당사자들의 유전자 감정을 위한 증거보전 신청을 포함해 관련 법 절차에 따라 법정에서 적극적으로 대응해 나갈 방침이다.

본사는	본사/NNG+는/JX
채	채/NNP
총장의	총장/NNG+의/JKG
정정보도	정정/NNG+보도/NNG
청구	청구/NNG
소송과	소송/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
진위	진위/NNG
규명이	규명/NNG+이/JKS
늦어질	늦어지/VV+ㄹ/ETM
경우	경우/NNG
관련	관련/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
유전자	유전자/NNG
감정을	감정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
증거보전	증거/NNG+보전/NNG
신청을	신청/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
법	법/NNG
절차에	절차/NNG+에/JKB
따라	따르/VV+아/EC
법정에서	법정/NNG+에서/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
대응해	대응/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.412.8.2
원고나 피고가 증거보전을 위한 유전자 감정을 신청하고 법원이 이를 받아들이면 유전자 감정을 명령할 수 있다.

원고나	원고/NNG+나/JC
피고가	피고/NNG+가/JKS
증거보전을	증거/NNG+보전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
유전자	유전자/NNG
감정을	감정/NNG+을/JKO
신청하고	신청/NNG+하/XSV+고/EC
법원이	법원/NNG+이/JKS
이를	이/NP+를/JKO
받아들이면	받아들이/VV+면/EC
명령할	명령/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.412.8.3
그러나 당사자가 거부하면 강제할 수는 없다.

그러나	그러나/MAJ
당사자가	당사자/NNG+가/JKS
거부하면	거부/NNG+하/XSV+면/EC
강제할	강제/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.412.9.1
채 총장은 법무부 감찰에 대해서는 언급하지 않아 감찰 불응 의사를 재확인했다.

채	채/NNP
총장은	총장/NNG+은/JX
법무부	법무부/NNG
감찰에	감찰/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
언급하지	언급/NNG+하/XSV+지/EC
않아	않/VX+아/EC
감찰	감찰/NNG
불응	불응/NNG
의사를	의사/NNG+를/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.412.9.2
그러나 법무부는 채 총장 파문 진상 규명 작업을 이어간다는 방침이다.

그러나	그러나/MAJ
법무부는	법무부/NNG+는/JX
채	채/NNP
총장	총장/NNG
파문	파문/NNG
진상	진상/NNG
규명	규명/NNG
작업을	작업/NNG+을/JKO
이어간다는	잇/VV+어/EC+가/VX+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.412.9.3
법무부 감찰관실은 '의미 있는 사실이 발견됐고, 세부 감찰이 필요하다'는 내용의 보고서를 황교안 장관에게 보고한 것으로 알려졌다.

법무부	법무부/NNG
감찰관실은	감찰관실/NNG+은/JX
'의미	'/SS+의미/NNG
있는	있/VA+는/ETM
사실이	사실/NNG+이/JKS
발견됐고,	발견/NNG+되/XSV+었/EP+고/EC+,/SP
세부	세부/NNG
감찰이	감찰/NNG+이/JKS
필요하다'는	필요/NNG+하/XSA+다/EF+'/SS+는/ETM
내용의	내용/NNG+의/JKG
보고서를	보고서/NNG+를/JKO
황교안	황교안/NNP
장관에게	장관/NNG+에게/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.412.10.1
한편 황교안 법무부 장관은 추석 연휴 마지막 날인 지난 22일 저녁 길태기 대검 차장을 비롯한 고검장급 간부 9명과 만나 검찰이 본연의 업무에 충실할 것을 당부한 것으로 전해졌다.

한편	한편/MAG
황교안	황교안/NNP
법무부	법무부/NNG
장관은	장관/NNG+은/JX
추석	추석/NNG
연휴	연휴/NNG
마지막	마지막/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
저녁	저녁/NNG
길태기	길태기/NNP
대검	대검/NNG
차장을	차장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
고검장급	고검장급/NNG
간부	간부/NNG
9명과	9/SN+명/NNB+과/JKB
만나	만나/VV+아/EC
검찰이	검찰/NNG+이/JKS
본연의	본연/NNG+의/JKG
업무에	업무/NNG+에/JKB
충실할	충실/NNG+하/XSA+ㄹ/ETM
것을	것/NNB+을/JKO
당부한	당부/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.412.10.2
채 총장의 혼외 아들 논란으로 검찰 내 분위기가 어수선한 점을 고려한 것으로 보인다.

채	채/NNP
총장의	총장/NNG+의/JKG
혼외	혼외/NNG
아들	아들/NNG
논란으로	논란/NNG+으로/JKB
검찰	검찰/NNG
내	내/NNB
분위기가	분위기/NNG+가/JKS
어수선한	어수선하/VA+ㄴ/ETM
점을	점/NNG+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


